TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
25.648135901,-1,0,247,0,0,0,0,0,3075
25.653026104,-1,0,247,0,0,0,0,0,3076
25.658497096,-1,0,247,0,0,0,0,0,3077
25.664030076,-1,0,247,0,0,0,0,0,3078
25.669071913,-1,0,247,2,0,0,0,0,3079
25.693023921,-1,0,247,0,0,0,0,0,3080
25.703058005,-1,-1,246,0,0,0,0,0,3081
25.708123923,0,0,248,0,0,0,0,0,3082
25.713006974,0,0,248,0,0,0,0,0,3083
25.718966008,0,0,248,0,0,0,0,0,3084
25.742999077,0,0,248,0,0,0,0,0,3085
25.748064042,-1,0,248,0,0,0,0,0,3086
25.753014088,-1,0,248,0,0,0,0,0,3087
25.757987023,-1,0,248,0,0,0,0,0,3088
25.764029026,-1,0,248,0,-2,0,0,0,3089
25.769057036,-2,-1,246,0,0,0,0,0,3090
25.793016911,-2,-1,246,0,0,0,0,0,3091
25.79852891,-2,-1,246,0,0,0,0,0,3092
25.80300808,-2,-1,246,0,0,0,0,0,3093
25.809207917,-2,-1,245,0,0,0,0,0,3094
25.81407404,-2,-1,245,0,0,0,0,0,3095
25.819122076,-2,-1,245,0,0,0,0,0,3096
25.84304905,-2,-1,245,0,0,0,0,0,3097
25.850507021,-2,-1,248,0,0,0,0,0,3098
25.853477955,-2,-1,248,0,0,0,0,0,3099
25.858998061,-2,-1,248,0,0,0,0,0,3100
25.864012957,-2,-1,248,0,0,0,0,0,3101
25.869010926,-2,0,246,0,0,0,0,0,3102
25.893131018,-2,0,246,0,0,0,0,0,3103
25.898066998,-2,-1,247,0,0,0,0,0,3104
25.903044939,-2,-1,247,0,0,0,0,0,3105
25.909288884,-2,-1,247,0,0,0,0,0,3106
25.918482066,-2,-1,247,0,0,0,0,0,3107
25.919883013,-2,-1,247,0,0,0,0,0,3108
25.94310093,-2,-1,247,0,0,0,0,0,3109
25.948160887,0,0,247,0,0,0,0,0,3110
25.953470946,0,0,247,0,2,0,0,0,3111
25.959003926,0,0,247,0,0,0,0,0,3112
25.96400404,0,0,247,0,0,0,0,0,3113
25.969268084,-1,0,247,0,0,0,0,0,3114
25.993042946,-1,0,247,0,0,0,0,0,3115
25.998040915,-1,-1,246,0,0,0,0,0,3116
26.003263951,-1,-1,246,0,0,0,0,0,3117
26.009041071,-1,-1,247,0,0,0,0,0,3118
26.013994933,-1,-1,247,0,0,0,0,0,3119
26.019218922,-1,-1,247,0,0,0,0,0,3120
26.043227911,-1,-1,247,0,0,0,0,0,3121
26.048038006,-1,0,246,0,0,0,0,0,3122
26.053142071,-1,0,246,0,0,0,0,0,3123
26.059091092,-1,0,246,0,0,0,0,0,3124
26.066809893,-1,0,246,0,0,0,0,0,3125
26.094477892,-1,-1,248,0,0,0,0,0,3126
26.098057986,0,0,247,0,0,0,0,0,3127
26.103933096,0,0,247,0,0,0,0,0,3128
26.1089921,0,0,247,0,0,0,0,0,3129
26.114042998,0,0,247,0,0,0,0,0,3130
26.119087935,0,0,247,0,0,0,0,0,3131
26.142992974,0,0,247,0,0,0,0,0,3132
26.153002024,0,0,246,0,0,0,0,0,3133
26.158042908,0,0,246,0,0,0,0,0,3134
26.164058924,0,0,246,0,0,0,0,0,3135
26.169307948,0,-1,248,0,0,0,0,0,3136
26.193099022,0,-1,248,0,0,0,0,0,3137
26.198293925,0,-1,246,0,0,0,0,0,3138
26.204040051,0,-1,246,0,0,0,0,0,3139
26.212471962,0,-1,246,0,0,0,0,0,3140
26.214948893,0,-1,246,0,0,0,0,0,3141
26.218988896,0,-1,246,0,0,0,0,0,3142
26.243000031,0,-1,246,0,0,0,0,0,3143
26.253015995,-1,0,248,0,0,0,0,0,3144
26.258151055,-1,0,248,0,0,0,0,0,3145
26.265048981,-1,0,248,0,0,0,0,0,3146
26.269002915,-1,-2,247,0,0,0,0,0,3147
26.293076039,-1,-2,247,0,0,0,0,0,3148
26.29803896,-1,-1,247,0,0,0,0,0,3149
26.304394007,-1,-1,247,0,0,0,0,0,3150
26.309683085,-2,-1,247,0,0,0,0,0,3151
26.314069033,-2,-1,247,0,0,0,0,0,3152
26.319099904,-2,-1,247,0,0,0,0,0,3153
26.343659878,-2,-1,247,0,0,0,0,0,3154
26.34808898,-1,-1,247,0,0,0,0,0,3155
26.354058028,-1,-1,247,0,0,0,0,0,3156
26.359049082,-1,-1,247,0,0,0,0,0,3157
26.368968964,-1,0,247,0,0,0,0,0,3158
26.393193007,-1,0,247,0,0,0,0,0,3159
26.398396016,-1,-1,247,0,0,0,0,0,3160
26.405232907,-1,-1,247,0,0,0,0,0,3161
26.40911007,-1,-1,247,0,0,0,0,0,3162
26.41464305,-1,-1,247,0,0,0,0,0,3163
26.4190619,-1,-1,247,0,0,0,0,0,3164
26.446549893,-1,-1,247,0,0,0,0,0,3165
26.448659897,-1,0,247,0,0,0,0,0,3166
26.454005003,-1,0,247,0,0,0,0,0,3167
26.459791899,-1,0,247,0,0,0,0,0,3168
26.464529038,-1,0,247,0,0,0,0,0,3169
26.469106913,0,0,247,0,0,0,0,0,3170
26.493993998,0,0,247,0,0,0,0,0,3171
26.498127938,0,0,247,0,0,0,0,0,3172
26.504239083,0,0,247,0,0,0,0,0,3173
26.509126902,-1,0,247,0,0,0,0,0,3174
26.514009953,-1,0,247,0,0,0,0,0,3175
26.519032956,-1,0,247,0,0,0,0,0,3176
26.543040991,-1,0,247,0,0,0,0,0,3177
26.548017025,-1,-1,247,0,0,0,0,0,3178
26.554018021,-1,-1,247,0,0,0,0,0,3179
26.559185029,-1,-1,247,0,0,0,0,0,3180
26.564433098,-1,-1,247,0,0,0,0,0,3181
26.569020033,-1,-1,247,0,0,0,0,0,3182
26.59303093,-1,-1,247,0,0,0,0,0,3183
26.598149062,0,0,247,0,0,0,0,0,3184
26.604008913,0,0,247,0,0,0,0,0,3185
26.609039069,-1,-1,246,0,0,0,0,0,3186
26.615943909,-1,-1,246,0,0,0,0,0,3187
26.619333983,-1,-1,246,0,0,0,0,0,3188
26.643035889,-1,-1,246,0,0,0,0,0,3189
26.647986889,0,-1,246,0,0,0,0,0,3190
26.653990031,0,-1,246,0,0,0,0,0,3191
26.659187079,0,-1,246,0,0,0,0,0,3192
26.664059878,0,-1,246,0,0,0,0,0,3193
26.669321061,-1,0,246,0,0,0,0,0,3194
26.69332099,-1,0,246,0,0,0,0,0,3195
26.698138953,-1,0,245,0,0,0,0,0,3196
26.704017878,-1,0,245,0,0,0,0,0,3197
26.710905076,0,0,247,0,0,0,0,0,3198
26.714308978,0,0,247,0,0,0,0,0,3199
26.719023943,0,0,247,0,0,0,0,0,3200
26.743098021,0,0,247,0,0,0,0,0,3201
26.749157906,0,0,246,0,0,0,0,0,3202
26.75396204,0,-1,246,0,0,0,0,0,3203
26.759124041,0,-1,246,0,0,0,0,0,3204
26.764256001,0,-1,246,0,0,0,0,0,3205
26.769627095,0,-1,246,0,0,0,0,0,3206
26.793066025,0,-1,246,0,0,0,0,0,3207
26.803075076,-1,-1,245,0,0,0,0,0,3208
