TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
68.193953991,-8,27,66,-5,-5,-1,14,1,9520
68.200118065,-8,27,66,-5,-5,-1,14,1,9521
68.205150127,-8,27,66,7,0,3,14,1,9522
68.210921049,-8,27,66,7,0,3,14,1,9523
68.217931986,36,59,95,-1,3,1,14,1,9524
68.239987135,36,59,95,-1,3,1,14,1,9525
68.249804974,62,105,124,1,0,-2,14,1,9526
68.252096176,62,105,124,1,0,-2,14,1,9527
68.257184029,109,60,80,5,6,-2,14,1,9528
68.26289916,109,60,80,5,6,-2,14,1,9529
68.27264905,109,60,80,-8,0,-1,14,1,9530
68.292078972,109,60,80,-8,0,-1,14,1,9531
68.298446179,46,138,24,0,3,1,14,1,9532
68.302912951,46,138,24,0,3,1,14,1,9533
68.309650183,46,138,24,-3,1,1,14,1,9534
68.314116955,46,138,232,-3,1,1,14,1,9535
68.320029974,-6,83,232,3,-2,0,14,1,9536
68.34404707,-6,83,232,3,-2,0,14,1,9537
68.34899807,50,62,35,-1,2,2,14,1,9538
68.354921103,-7,84,24,4,-2,2,14,1,9539
68.359982967,-7,84,24,-2,-2,0,14,1,9540
68.368584156,-7,84,24,-2,-2,0,14,1,9541
68.371150017,-7,84,24,0,1,0,14,1,9542
68.395071983,8,60,63,0,1,0,14,1,9543
68.400923014,-25,84,79,6,-5,1,14,1,9544
68.408918142,-25,84,79,-3,-4,0,14,1,9545
68.416483164,-25,84,79,-3,-4,0,14,1,9546
68.417881012,156,89,131,-1,6,0,14,1,9547
68.422935963,156,89,131,2,0,0,14,1,9548
68.448055029,156,89,131,4,0,0,14,1,9549
68.45301795,15,45,119,0,3,0,14,1,9550
68.457925081,-82,-3,128,-2,4,0,14,1,9551
68.463953972,-82,-3,128,-2,4,0,14,1,9552
68.472357035,-82,-3,128,3,-1,0,14,1,9553
68.477481127,52,-3,105,3,-1,0,14,1,9554
68.500365019,53,-9,105,0,-1,0,14,1,9555
68.504006147,-13,-72,144,2,3,0,14,1,9556
68.510032177,-13,-72,144,1,-2,0,14,1,9557
68.514971018,-3,-58,163,1,-2,0,14,1,9558
68.520948172,-3,-58,163,0,-6,-4,14,1,9559
68.527536154,-3,-58,163,0,-6,-4,14,1,9560
68.550882101,-3,-58,163,-10,1,0,14,1,9561
68.556010962,89,-4,90,0,-4,0,14,1,9562
68.561907053,89,-4,90,-1,-1,0,14,1,9563
68.56695199,89,-4,90,-1,-1,0,14,1,9564
68.573045969,89,-4,90,0,4,1,14,1,9565
68.578310013,106,17,254,0,4,1,14,1,9566
68.601922989,106,17,254,8,0,1,14,1,9567
68.607939005,-35,30,68,-6,-2,-3,14,1,9568
68.612925053,-35,30,68,4,1,0,14,1,9569
68.618905068,67,12,87,4,1,0,14,1,9570
68.624114037,67,12,87,0,-1,0,14,1,9571
68.630494118,67,12,87,0,-1,0,14,1,9572
68.654139042,103,12,60,-2,-1,-2,14,1,9573
68.658955097,-8,148,121,10,9,0,14,1,9574
68.664901972,-8,148,121,10,9,0,14,1,9575
68.669980049,-8,148,121,-4,0,0,14,1,9576
68.676604986,66,-28,152,-4,0,-3,14,1,9577
68.681897163,66,-28,152,-4,-1,-3,14,1,9578
68.70503211,66,-28,152,2,-2,1,14,1,9579
68.712099075,26,-37,129,-2,-4,-1,14,1,9580
68.716119051,17,161,28,-2,-4,-1,14,1,9581
68.721961021,17,161,28,-8,-7,0,14,1,9582
68.728576183,17,161,28,-8,-7,0,14,1,9583
68.734035969,17,161,28,8,0,0,14,1,9584
68.757083178,29,-85,103,8,0,0,14,1,9585
68.762968063,21,-52,44,-4,0,0,14,1,9586
68.768017054,21,-52,44,-4,0,0,14,1,9587
68.776589155,21,-52,44,7,6,0,14,1,9588
68.780907154,-25,-25,107,7,6,0,14,1,9589
68.784888983,-25,-25,107,-3,0,2,14,1,9590
68.808915138,-25,-25,107,-3,0,2,14,1,9591
68.814295054,-11,-14,247,3,2,-2,14,1,9592
68.820294142,86,32,87,3,2,-2,14,1,9593
68.825520992,86,32,87,-1,0,0,14,1,9594
68.830916166,86,32,87,-1,0,0,14,1,9595
68.836114168,129,60,224,-1,1,-1,14,1,9596
68.860143185,129,60,224,-1,1,-1,14,1,9597
68.868051052,83,29,66,-4,2,-1,14,1,9598
68.871346951,83,29,66,0,2,-1,14,1,9599
68.876962185,67,-47,75,-2,-5,-1,14,1,9600
68.88290906,67,-47,75,-2,-5,-1,14,1,9601
68.888287067,67,-47,75,1,-1,0,14,1,9602
68.911951065,67,-47,75,1,-1,0,14,1,9603
68.916939974,-58,-41,65,1,-1,-3,14,1,9604
68.923012018,-58,-41,65,0,0,4,14,1,9605
68.929002047,-58,-41,65,0,0,4,14,1,9606
68.934081078,-58,-41,65,0,0,0,14,1,9607
68.939893961,65,-25,25,0,1,0,14,1,9608
68.963972092,65,-25,25,0,1,0,14,1,9609
68.96893096,-39,1,102,3,-3,3,14,1,9610
68.974961042,-39,1,102,-1,-2,0,14,1,9611
68.98055315,71,-35,107,-1,-2,0,14,1,9612
68.985934019,71,-35,107,1,5,1,14,1,9613
68.99093008,71,-35,107,1,5,1,14,1,9614
69.014899969,-54,21,122,-6,-1,0,14,1,9615
69.020972967,-75,-8,226,-1,2,0,14,1,9616
69.026250124,-75,-8,226,0,3,-2,14,1,9617
69.035012961,-75,-8,226,0,3,-2,14,1,9618
69.037835121,-25,-12,76,0,-2,0,14,1,9619
69.043066025,-25,-12,76,0,-2,0,14,1,9620
69.066923142,-25,-12,76,0,-2,-1,14,1,9621
69.072065115,155,0,90,-2,3,0,14,1,9622
69.084197044,22,67,92,6,-2,0,14,1,9623
69.086699009,22,67,92,6,-2,0,14,1,9624
69.089972019,22,67,92,-1,0,-1,14,1,9625
69.099467993,22,67,92,-1,0,-1,14,1,9626
69.118919134,5,60,233,0,4,0,14,1,9627
69.124041081,52,-9,45,5,0,0,14,1,9628
69.129939079,52,-9,45,5,0,0,14,1,9629
69.135630131,52,-9,45,-4,0,0,14,1,9630
69.141829968,0,-69,112,-2,0,-3,14,1,9631
69.145982981,0,-69,112,-2,0,-3,14,1,9632
69.169885159,0,-69,112,2,0,3,14,1,9633
69.176092148,1,-37,56,-1,-6,-1,14,1,9634
69.181120157,95,54,209,-1,-6,-1,14,1,9635
69.186979055,95,54,209,-5,6,0,14,1,9636
69.192121029,95,54,209,-5,6,0,14,1,9637
69.199956179,-5,24,236,4,2,1,14,1,9638
69.222064972,-5,24,236,0,-2,0,14,1,9639
69.22696209,53,-36,11,0,5,-1,14,1,9640
69.232916117,53,-36,11,0,5,-1,14,1,9641
69.239135027,-40,-1,61,8,-4,0,14,1,9642
69.244349003,-40,-1,61,8,-4,0,14,1,9643
69.24991107,-40,-1,61,-2,-1,1,14,1,9644
69.272998095,-40,-1,61,-2,-1,1,14,1,9645
69.279051066,-80,3,34,3,-2,1,14,1,9646
69.283980131,-80,3,34,3,-2,1,14,1,9647
69.289988995,-80,3,34,-5,0,0,14,1,9648
69.295992136,-80,3,34,-5,0,0,14,1,9649
69.30163908,-75,-43,82,-5,-4,-3,14,1,9650
69.324939013,-75,-43,82,-5,-4,-3,14,1,9651
69.330922127,57,-74,116,-2,0,0,14,1,9652
69.340774059,57,-74,116,-2,0,0,14,1,9653
69.344434023,-61,6,74,-1,0,0,14,1,9654
69.349298954,-61,6,74,-1,0,0,14,1,9655
69.354304075,-61,6,74,9,10,2,14,1,9656
69.376974106,-37,-2,82,9,10,2,14,1,9657
69.388235092,40,-5,213,-2,-3,1,14,1,9658
69.39130497,40,-5,213,-2,-2,0,14,1,9659
69.394234181,40,-5,213,9,3,2,14,1,9660
69.399032116,100,16,68,9,3,2,14,1,9661
69.404896975,100,16,68,-4,-9,-1,14,1,9662
69.427951098,100,16,68,-4,-9,-1,14,1,9663
69.433931112,21,20,96,4,0,3,14,1,9664
69.439068079,-48,42,117,1,0,-1,14,1,9665
69.444919109,-48,42,117,1,0,-1,14,1,9666
69.454159021,-48,42,117,-5,-2,1,14,1,9667
69.456422091,-48,42,117,-5,-2,0,14,1,9668
69.48012495,15,9,144,-9,-1,0,14,1,9669
69.485977173,-2,-13,125,-2,3,1,14,1,9670
69.490926027,-2,-13,125,0,-2,-1,14,1,9671
69.496919155,-2,-13,125,0,-2,-1,14,1,9672
69.501940966,-52,-8,154,-2,-2,-1,14,1,9673
69.507941008,-52,-8,154,-2,-2,-1,14,1,9674
69.532942057,-52,-8,154,6,5,1,14,1,9675
69.536937952,41,-7,248,-7,0,-2,14,1,9676
69.54300499,-46,81,87,4,-2,1,14,1,9677
69.548974037,-46,81,87,4,-2,1,14,1,9678
69.56043005,-46,81,87,1,0,-1,14,1,9679
69.561891079,-60,117,95,1,0,-1,14,1,9680
69.583033085,-60,117,95,3,1,1,14,1,9681
69.588904142,64,131,41,5,-3,0,14,1,9682
69.59404397,64,131,41,0,5,1,14,1,9683
69.600236178,24,47,20,0,5,1,14,1,9684
69.608268023,24,47,20,-1,-3,-1,14,1,9685
69.610919952,24,47,20,-1,-3,-1,14,1,9686
69.635017157,24,47,20,-4,0,0,14,1,9687
69.640942097,62,17,109,0,2,0,14,1,9688
69.646244049,62,17,109,0,2,-1,14,1,9689
69.652007103,62,17,109,0,0,-1,14,1,9690
69.65763998,62,17,109,0,1,2,14,1,9691
69.664426088,79,60,76,0,1,2,14,1,9692
69.686954975,79,60,76,4,-5,-3,14,1,9693
69.694290161,110,47,226,-4,2,-4,14,1,9694
69.698052168,110,47,226,-4,2,-4,14,1,9695
69.702911139,-3,93,64,6,-1,1,14,1,9696
69.712393045,-3,93,64,6,-1,1,14,1,9697
69.713940144,-3,93,64,0,-2,-1,14,1,9698
69.738124132,1,66,6,0,4,-1,14,1,9699
69.744029045,4,10,16,6,-2,4,14,1,9700
69.756071091,4,10,16,6,-2,4,14,1,9701
69.757671118,4,10,16,-3,-2,0,14,1,9702
69.760908127,-66,-57,70,-3,-2,0,14,1,9703
69.766637087,-66,-57,70,1,3,2,14,1,9704
69.792071104,-66,-57,70,1,3,2,14,1,9705
69.79499507,-47,157,11,-3,-3,1,14,1,9706
69.801702023,-57,6,28,-3,-3,1,14,1,9707
69.806900978,-57,6,28,0,3,0,14,1,9708
69.81329608,-57,6,28,0,3,0,14,1,9709
69.818024159,-57,6,28,-1,0,0,14,1,9710
69.84200716,-52,3,69,-1,0,0,14,1,9711
69.848134041,-55,91,72,-5,5,-2,14,1,9712
69.852889061,-55,91,72,-5,5,-2,14,1,9713
69.857963085,-55,91,72,3,1,1,14,1,9714
69.864001989,-76,93,224,3,1,1,14,1,9715
69.868998051,-76,93,224,0,-4,-4,14,1,9716
69.893140078,-76,93,224,0,-4,-4,14,1,9717
69.89897418,44,14,3,-2,3,-1,14,1,9718
69.908529997,19,57,250,12,-5,-2,14,1,9719
69.911211968,19,57,250,12,-1,3,14,1,9720
69.915987969,19,57,250,-5,-1,3,14,1,9721
69.921136141,24,21,79,0,-1,-1,14,1,9722
69.944974184,24,21,79,0,-1,-1,14,1,9723
69.950023174,104,46,243,7,-1,3,14,1,9724
69.956014156,104,46,243,-6,0,0,14,1,9725
69.962182999,74,100,76,-6,0,0,14,1,9726
69.967144013,74,100,76,2,-2,-4,14,1,9727
69.972907066,74,100,76,2,-2,-4,14,1,9728
69.996057034,74,100,76,-1,4,3,14,1,9729
70.002012014,-43,-56,222,-3,-1,0,14,1,9730
70.010825157,-43,-56,222,-4,-2,-3,14,1,9731
70.013075113,-43,-56,222,-4,-2,-3,14,1,9732
70.019045115,-43,-56,222,3,2,1,14,1,9733
70.024353981,-22,-39,240,3,2,1,14,1,9734
70.048406124,-22,-39,240,-2,-4,0,14,1,9735
70.053941012,83,62,173,-6,0,-4,14,1,9736
70.059950113,83,62,173,9,5,5,14,1,9737
70.064928055,93,7,23,9,5,5,14,1,9738
70.069962978,93,7,23,0,-2,-1,14,1,9739
70.075976133,93,7,23,0,-2,-1,14,1,9740
70.101691008,3,-85,48,-1,0,-1,14,1,9741
70.104933024,-69,-80,87,10,0,-1,14,1,9742
70.110933065,-69,-80,87,-6,0,0,14,1,9743
70.116008043,-69,-80,87,-6,0,0,14,1,9744
70.122117043,60,29,135,0,-2,-1,14,1,9745
70.128345013,60,29,135,0,-2,-1,14,1,9746
70.150917053,60,29,135,-3,-3,-2,14,1,9747
70.156903029,-43,-8,232,-6,0,0,14,1,9748
70.162209034,148,-5,251,-6,0,0,14,1,9749
70.168007135,148,-5,251,0,-2,-3,14,1,9750
70.17397213,148,-5,251,-3,2,1,14,1,9751
70.179026127,148,-5,251,-3,2,1,14,1,9752
70.203041077,-71,-44,243,7,6,0,14,1,9753
70.208912134,32,-86,249,-3,-1,0,14,1,9754
70.21391511,32,-86,249,-3,-1,0,14,1,9755
70.219908953,32,-86,249,4,0,0,14,1,9756
70.225001097,108,-85,87,4,0,0,14,1,9757
70.230990172,108,-85,87,6,1,1,14,1,9758
70.255037069,108,-85,87,6,1,2,14,1,9759
70.259940147,148,-85,107,4,1,1,14,1,9760
70.265890122,125,156,131,4,1,1,14,1,9761
70.272732973,125,156,131,0,0,1,14,1,9762
70.277037144,125,156,131,0,0,1,14,1,9763
70.282041073,-27,-56,92,0,-1,-1,14,1,9764
70.305957079,-27,-56,92,0,-1,-1,14,1,9765
70.311975002,35,-36,94,-2,3,3,14,1,9766
70.317020178,35,-36,94,-2,3,3,14,1,9767
70.323241949,-26,-29,5,0,-2,-2,14,1,9768
70.328895092,-26,-29,5,0,-2,-2,14,1,9769
70.333913088,-26,-29,5,-2,-5,-2,14,1,9770
70.357928991,-26,-29,5,-2,-5,-2,14,1,9771
70.364053965,80,32,4,-2,-3,-3,14,1,9772
70.368955135,80,32,4,-2,-3,-3,14,1,9773
70.374969006,80,32,4,-3,0,2,14,1,9774
70.380439043,80,32,4,-3,0,2,14,1,9775
70.385930061,-2,-9,31,6,3,0,14,1,9776
70.41003108,-2,-9,31,6,3,0,14,1,9777
70.414947987,-13,160,90,-1,-1,-1,14,1,9778
70.42098403,-13,160,90,-1,-3,0,14,1,9779
70.427003145,26,165,118,-1,1,-2,14,1,9780
70.439433098,26,165,118,2,0,-2,14,1,9781
70.440849066,26,165,118,0,0,1,14,1,9782
70.461047173,-68,-67,104,0,0,1,14,1,9783
70.466921091,60,-16,254,4,0,1,14,1,9784
