TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
29.384484053,20,19,0,41,40,103,55,1,4598
29.389966965,21,17,0,42,35,103,55,1,4599
29.41454196,11,17,0,24,36,115,55,1,4600
29.420207978,-6,18,0,-11,36,111,55,1,4601
29.425950051,-18,17,0,-35,36,109,55,1,4602
29.432026863,-25,16,0,-52,36,108,55,1,4603
29.437644959,-24,23,0,-53,54,114,55,1,4604
29.443405867,-22,27,0,-54,66,117,55,1,4605
29.46697402,-22,29,0,-55,75,120,55,1,4606
29.473005057,-8,29,0,-19,70,124,55,1,4607
29.479065895,3,33,0,7,68,102,55,1,4608
29.484915018,13,35,0,26,66,88,55,1,4609
29.490934849,20,36,0,39,65,78,55,1,4610
29.514970064,19,28,0,25,36,63,55,1,4611
29.52095294,-4,1,0,-3,1,50,55,1,4612
29.525976897,-25,-27,0,-22,-23,42,55,1,4613
29.532017947,-33,-39,0,-36,-41,37,55,1,4614
29.537993908,-49,-28,0,-61,-38,38,55,1,4615
29.566184044,-56,-23,0,-79,-36,39,55,1,4616
29.569381953,-45,-15,0,-60,-21,58,55,1,4617
29.574193955,-34,-8,0,-47,-11,70,55,1,4618
29.580069065,-28,6,0,-33,7,64,55,1,4619
29.585916043,-21,18,0,-23,21,60,55,1,4620
29.594598055,-15,27,0,-17,31,57,55,1,4621
29.616239071,-28,25,0,-35,33,60,55,1,4622
29.620947838,-22,22,0,-30,31,71,55,1,4623
29.62694192,-18,20,0,-27,30,79,55,1,4624
29.635038853,-16,18,0,-24,29,84,55,1,4625
29.638983012,-13,20,0,-22,33,90,55,1,4626
29.645614863,-12,20,0,-20,36,94,55,1,4627
29.668974877,-11,21,0,-18,38,96,55,1,4628
29.674953938,-3,20,0,-4,38,102,55,1,4629
29.68004489,14,20,0,25,35,90,55,1,4630
29.688243866,26,19,0,45,33,82,55,1,4631
29.691990853,35,18,0,58,32,77,55,1,4632
29.698086024,42,8,0,61,12,66,55,1,4633
29.721978903,47,-1,0,62,0,58,55,1,4634
29.727993965,33,-27,0,39,-31,48,55,1,4635
29.734091997,18,-49,0,22,-53,42,55,1,4636
29.739965916,-2,-56,0,-1,-61,42,55,1,4637
29.748461962,-13,-56,0,-18,-67,42,55,1,4638
29.751317978,-20,-55,0,-29,-71,42,55,1,4639
29.775049925,-20,-46,0,-28,-61,53,55,1,4640
29.780969858,-22,-29,0,-36,-46,77,55,1,4641
29.786967993,-23,-20,0,-41,-36,93,55,1,4642
29.793638945,-23,-15,0,-45,-29,103,55,1,4643
29.798909903,-17,-7,0,-28,-11,94,55,1,4644
29.822960854,-12,1,0,-17,2,88,55,1,4645
29.828995943,-12,3,0,-17,4,88,55,1,4646
29.834001065,-11,4,0,-17,6,87,55,1,4647
29.840802908,-17,8,0,-30,14,100,55,1,4648
29.846101046,-20,10,0,-39,20,109,55,1,4649
29.852138996,-22,11,0,-45,24,114,55,1,4650
29.87599802,-26,6,0,-56,15,117,55,1,4651
29.882009983,-14,10,0,-23,19,100,55,1,4652
29.894232035,-1,13,0,-1,21,89,55,1,4653
29.924973011,14,16,0,24,28,92,55,1,4654
29.936080933,11,2,0,16,4,80,55,1,4655
29.948967934,8,-11,0,10,-13,72,55,1,4656
29.979164839,-2,-24,0,-1,-29,67,55,1,4657
29.984986067,-10,-24,0,-13,-32,73,55,1,4658
29.990028859,-15,-24,0,-21,-35,76,55,1,4659
29.996170998,-11,-16,0,-17,-24,88,55,1,4660
30.002120018,-9,-10,0,-15,-17,96,55,1,4661
30.012243986,-8,-7,0,-13,-11,101,55,1,4662
30.032095909,-7,-5,0,-12,-8,104,55,1,4663
30.037982941,-2,-2,0,-2,-2,92,55,1,4664
30.044534922,3,1,0,4,1,84,55,1,4665
30.049941063,6,3,0,9,4,78,55,1,4666
30.056043864,9,4,0,12,6,75,55,1,4667
30.061933041,-7,2,0,-9,3,81,55,1,4668
30.085986853,-17,0,0,-24,1,85,55,1,4669
30.091012001,-14,-4,0,-21,-4,87,55,1,4670
30.097130061,-22,-2,0,-36,-3,93,55,1,4671
30.106818915,-26,-2,0,-47,-2,97,55,1,4672
30.109288931,-29,-1,0,-54,-1,100,55,1,4673
30.116521836,-31,-1,0,-59,-1,102,55,1,4674
30.138951063,-20,5,0,-34,9,97,55,1,4675
30.144975901,-4,7,0,-6,12,101,55,1,4676
30.151051998,6,7,0,12,14,105,55,1,4677
30.160907984,22,9,0,37,15,88,55,1,4678
30.16422987,35,6,0,55,10,76,55,1,4679
30.186930895,44,3,0,67,6,69,55,1,4680
