TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
25.734441996,-18,13,0,-18,13,54,3,1,3020
25.759530068,-21,8,0,-21,9,57,3,1,3021
25.765825034,-14,6,0,-15,7,64,3,1,3022
25.772254944,-1,7,0,-1,9,73,3,1,3023
25.778416872,11,8,0,17,12,82,3,1,3024
25.784487009,20,9,0,34,17,91,3,1,3025
25.809516907,24,11,0,45,21,98,3,1,3026
25.815416098,23,12,0,45,24,102,3,1,3027
25.821460009,19,13,0,37,26,103,3,1,3028
25.828432084,12,14,0,24,28,103,3,1,3029
25.834465981,5,15,0,9,28,102,3,1,3030
25.858579874,-1,14,0,-1,26,102,3,1,3031
25.865675927,-4,12,0,-7,24,106,3,1,3032
25.872271061,-5,10,0,-8,20,111,3,1,3033
25.877454043,-3,8,0,-6,18,118,3,1,3034
25.898154021,-1,7,0,-1,17,126,3,1,3035
25.908457041,2,8,0,5,19,133,3,1,3036
25.916555882,5,10,0,14,25,136,3,1,3037
25.921552897,10,13,0,25,32,135,3,1,3038
25.927766085,15,16,0,37,39,130,3,1,3039
25.935077906,21,19,0,49,46,120,3,1,3040
25.958538056,25,21,0,58,49,109,3,1,3041
25.964447976,28,23,0,61,49,99,3,1,3042
25.971424103,28,23,0,55,46,92,3,1,3043
25.977545023,23,22,0,43,41,88,3,1,3044
25.983488083,14,21,0,25,36,89,3,1,3045
26.008466006,3,19,0,5,32,92,3,1,3046
26.014525891,-6,16,0,-9,29,97,3,1,3047
26.020437003,-10,14,0,-17,27,100,3,1,3048
26.027437926,-8,14,0,-14,25,101,3,1,3049
26.033448935,-1,13,0,-1,23,99,3,1,3050
26.058384896,11,12,0,20,20,94,3,1,3051
26.064442873,26,10,0,45,17,87,3,1,3052
26.070436001,40,8,0,68,14,79,3,1,3053
26.077706099,48,6,0,84,12,72,3,1,3054
26.083502055,52,6,0,86,11,66,3,1,3055
26.108498097,49,6,0,74,11,62,3,1,3056
26.118378878,39,6,0,50,9,62,3,1,3057
26.12044406,17,4,0,20,4,64,3,1,3058
26.127422095,-7,-3,0,-8,-2,68,3,1,3059
26.134595871,-22,-10,0,-28,-13,72,3,1,3060
26.157418013,-26,-16,0,-36,-23,73,3,1,3061
26.164407969,-22,-22,0,-31,-31,71,3,1,3062
26.170455933,-13,-28,0,-17,-35,67,3,1,3063
26.176539898,0,-31,0,0,-36,62,3,1,3064
26.183422089,14,-29,0,18,-33,58,3,1,3065
26.207496882,25,-25,0,31,-30,57,3,1,3066
26.214385033,31,-21,0,39,-27,60,3,1,3067
26.220474005,31,-18,0,43,-24,65,3,1,3068
26.226888895,30,-15,0,44,-21,72,3,1,3069
26.232527972,28,-12,0,43,-18,77,3,1,3070
26.257512093,27,-10,0,42,-15,79,3,1,3071
26.270128012,28,-10,0,42,-14,77,3,1,3072
26.272825003,30,-10,0,41,-13,70,3,1,3073
26.276411057,31,-13,0,38,-16,60,3,1,3074
26.286181927,27,-20,0,29,-21,51,3,1,3075
26.307439089,15,-33,0,14,-28,43,3,1,3076
26.317787886,-7,-45,0,-5,-38,38,3,1,3077
26.319554091,-25,-46,0,-27,-47,36,3,1,3078
26.326473952,-35,-43,0,-45,-54,37,3,1,3079
26.332474947,-40,-40,0,-57,-56,38,3,1,3080
26.357465029,-41,-38,0,-58,-54,41,3,1,3081
26.363590956,-38,-36,0,-49,-47,45,3,1,3082
26.369452,-27,-32,0,-32,-38,52,3,1,3083
26.376409054,-9,-26,0,-9,-29,60,3,1,3084
26.382793904,10,-18,0,13,-22,69,3,1,3085
26.407557965,22,-12,0,33,-17,77,3,1,3086
26.413459063,28,-9,0,47,-14,85,3,1,3087
26.419466973,31,-8,0,55,-13,91,3,1,3088
26.425503016,30,-7,0,57,-12,95,3,1,3089
26.432449103,29,-7,0,54,-11,96,3,1,3090
26.455616951,26,-7,0,47,-11,95,3,1,3091
26.462451935,22,-7,0,39,-11,93,3,1,3092
26.471592904,18,-8,0,30,-13,89,3,1,3093
26.474831105,14,-11,0,22,-16,85,3,1,3094
26.481508971,8,-15,0,12,-22,83,3,1,3095
26.505517006,0,-21,0,0,-30,82,3,1,3096
26.51255107,-10,-26,0,-14,-41,83,3,1,3097
26.518544913,-18,-30,0,-31,-52,85,3,1,3098
26.524585963,-24,-33,0,-46,-61,86,3,1,3099
26.531269074,-28,-34,0,-56,-67,84,3,1,3100
26.555393935,-30,-34,0,-59,-67,81,3,1,3101
26.561842919,-30,-34,0,-56,-62,75,3,1,3102
26.568666935,-29,-32,0,-46,-52,69,3,1,3103
26.574493885,-24,-29,0,-32,-38,62,3,1,3104
26.580592871,-16,-23,0,-17,-24,56,3,1,3105
26.605582953,-2,-12,0,-1,-10,50,3,1,3106
26.611573935,16,1,0,13,1,45,3,1,3107
26.617548943,31,10,0,26,9,43,3,1,3108
26.624420882,39,12,0,36,13,42,3,1,3109
26.63041997,43,11,0,43,12,43,3,1,3110
26.655395985,45,7,0,46,8,44,3,1,3111
26.66145897,46,1,0,45,1,43,3,1,3112
26.667963982,45,-6,0,41,-5,40,3,1,3113
26.678512097,42,-12,0,35,-10,37,3,1,3114
26.680366993,34,-17,0,27,-13,37,3,1,3115
26.705374957,23,-16,0,18,-13,42,3,1,3116
26.711538077,10,-11,0,9,-9,53,3,1,3117
26.71753788,0,-5,0,1,-5,69,3,1,3118
26.723617077,-4,-1,0,-5,0,86,3,1,3119
26.730509043,-6,1,0,-9,3,100,3,1,3120
26.754426957,-6,2,0,-10,5,109,3,1,3121
26.761471987,-6,2,0,-10,5,110,3,1,3122
26.767416001,-5,2,0,-8,4,105,3,1,3123
26.773591042,-5,1,0,-7,2,97,3,1,3124
26.780484915,-5,1,0,-7,2,90,3,1,3125
26.804419041,-5,3,0,-7,4,86,3,1,3126
26.810496092,-6,6,0,-7,10,86,3,1,3127
26.819258929,-5,10,0,-7,17,90,3,1,3128
26.823658944,-4,14,0,-6,25,96,3,1,3129
26.829447985,-3,17,0,-3,31,102,3,1,3130
26.854455948,-1,18,0,0,36,106,3,1,3131
26.860425949,1,20,0,3,38,106,3,1,3132
26.870074988,3,20,0,6,39,102,3,1,3133
26.873499871,5,21,0,9,38,96,3,1,3134
26.881678105,5,22,0,9,36,87,3,1,3135
26.904428006,4,22,0,7,32,79,3,1,3136
26.910508871,2,19,0,2,25,73,3,1,3137
26.916599989,-4,13,0,-4,16,70,3,1,3138
26.923454047,-11,5,0,-13,6,69,3,1,3139
26.929841996,-17,-2,0,-21,-2,70,3,1,3140
26.954417944,-21,-7,0,-28,-8,73,3,1,3141
26.960474015,-23,-8,0,-31,-10,75,3,1,3142
26.967639923,-23,-6,0,-31,-7,76,3,1,3143
26.974261046,-21,-1,0,-28,-1,77,3,1,3144
26.979403019,-17,4,0,-22,5,78,3,1,3145
27.004503012,-11,8,0,-14,11,78,3,1,3146
27.010451079,-4,10,0,-4,14,79,3,1,3147
27.016503096,4,9,0,6,14,80,3,1,3148
27.026263953,13,7,0,19,11,82,3,1,3149
27.029437066,21,5,0,33,8,85,3,1,3150
27.054435969,28,3,0,49,5,90,3,1,3151
27.060451985,33,1,0,63,3,96,3,1,3152
27.066586018,35,1,0,75,3,104,3,1,3153
27.073412896,36,1,0,83,2,111,3,1,3154
27.082995892,36,1,0,85,3,117,3,1,3155
27.104398013,34,1,0,82,3,119,3,1,3156
27.110783101,32,2,0,74,5,117,3,1,3157
27.116519928,29,3,0,64,8,113,3,1,3158
27.122453928,25,5,0,53,11,110,3,1,3159
27.130281926,21,7,0,42,15,108,3,1,3160
27.153560877,16,8,0,32,16,108,3,1,3161
27.160738945,11,8,0,21,16,108,3,1,3162
27.166675091,5,6,0,9,13,109,3,1,3163
27.173153878,-2,5,0,-3,9,108,3,1,3164
27.179467917,-9,4,0,-16,8,107,3,1,3165
27.205693961,-16,5,0,-30,10,105,3,1,3166
27.20946908,-22,8,0,-41,16,105,3,1,3167
27.216459036,-25,12,0,-51,26,107,3,1,3168
27.222372055,-27,16,0,-56,35,109,3,1,3169
27.228487969,-26,18,0,-57,41,112,3,1,3170
