TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
51.11121893,-28,-5,225,4,-6,-1,133,1,6392
51.116488934,-28,-5,225,4,-1,-1,133,1,6393
51.122288943,-28,-5,225,-3,-2,-1,133,1,6394
51.127601147,5,-82,14,-5,0,-1,133,1,6395
51.137088061,5,-82,14,-5,0,-1,133,1,6396
51.15790701,5,-82,14,3,2,2,133,1,6397
51.16505313,26,20,251,-4,0,2,133,1,6398
51.168410063,1,-77,30,-4,0,2,133,1,6399
51.174571991,1,-77,30,-2,2,2,133,1,6400
51.179481984,1,-77,30,-2,2,5,133,1,6401
51.18540907,1,-77,30,0,5,5,133,1,6402
51.208436966,-46,11,234,-1,-1,2,133,1,6403
51.214308978,-25,145,247,4,2,3,133,1,6404
51.219347954,-25,145,247,4,2,3,133,1,6405
51.225312949,-25,145,247,5,-2,0,133,1,6406
51.23152113,106,75,34,5,-2,0,133,1,6407
51.236392975,106,75,34,0,-5,0,133,1,6408
51.260266066,106,75,34,0,-5,0,133,1,6409
51.266404152,114,-20,214,5,-3,-5,133,1,6410
51.277132035,-22,159,111,5,-3,-5,133,1,6411
51.279325009,-22,159,111,0,-1,-2,133,1,6412
51.28234315,-22,159,111,0,-1,-2,133,1,6413
51.28856802,117,36,187,4,3,-2,133,1,6414
51.312365056,117,36,187,4,3,-2,133,1,6415
51.31872511,3,138,176,-7,0,-3,133,1,6416
51.323320151,3,138,176,-7,0,-3,133,1,6417
51.329494954,24,59,74,0,2,1,133,1,6418
51.334886075,24,59,74,0,2,1,133,1,6419
51.340268136,24,59,74,-2,0,0,133,1,6420
51.364253998,24,59,74,-2,0,0,133,1,6421
51.369482041,-58,157,234,-2,-4,3,133,1,6422
51.375455142,-58,157,234,0,2,3,133,1,6423
51.380383015,-58,157,234,-3,-4,2,133,1,6424
51.386765957,-58,157,234,-3,-4,2,133,1,6425
51.391291142,119,-39,83,-6,-3,1,133,1,6426
51.415346146,119,-39,83,-6,-3,1,133,1,6427
51.42139411,127,81,63,1,3,0,133,1,6428
51.426613093,127,81,63,-2,0,0,133,1,6429
51.432390929,-76,-25,159,-2,0,0,133,1,6430
51.438251019,-76,-25,159,1,-5,-2,133,1,6431
51.44549203,-76,-25,159,4,6,0,133,1,6432
51.467267037,11,139,211,4,6,0,133,1,6433
51.473191977,-63,-90,62,0,-2,-2,133,1,6434
51.478423119,-63,-90,62,2,0,-2,133,1,6435
51.484339953,-63,-90,62,2,0,-2,133,1,6436
51.490468979,-31,125,100,4,9,-2,133,1,6437
51.495368004,-31,125,100,4,9,-2,133,1,6438
51.519330025,-31,125,100,0,-3,-1,133,1,6439
51.525305987,80,-85,175,2,-1,2,133,1,6440
51.530274153,9,-4,24,2,-1,1,133,1,6441
51.536349059,9,-4,24,2,-1,1,133,1,6442
51.541437149,9,-4,24,-2,-4,1,133,1,6443
51.547583104,9,-4,24,-2,-4,1,133,1,6444
51.571366072,-1,-74,190,1,-3,2,133,1,6445
51.576298953,12,-69,98,-2,3,3,133,1,6446
