TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
40.834070205,155,-20,26,-5,0,1,18,1,5284
40.839968204,112,-47,8,-6,1,1,18,1,5285
40.864282131,112,-47,8,-6,1,1,18,1,5286
40.868965149,-63,118,137,6,0,0,18,1,5287
40.874921083,-63,118,137,-6,-4,0,18,1,5288
40.880633115,153,115,138,-1,0,-4,18,1,5289
40.888638019,153,115,138,-1,0,-4,18,1,5290
40.893250227,153,115,138,5,-3,2,18,1,5291
40.914960146,153,115,138,5,-3,2,18,1,5292
40.924219131,65,16,208,-3,-8,-2,18,1,5293
40.926414013,65,16,208,-1,7,0,18,1,5294
40.933331012,65,16,208,-1,7,0,18,1,5295
40.938466072,65,16,208,3,0,-1,18,1,5296
40.943131208,-86,102,252,3,0,0,18,1,5297
40.966895103,-86,102,252,0,0,0,18,1,5298
40.971963167,119,147,139,6,7,0,18,1,5299
40.977992057,119,147,139,1,-2,-1,18,1,5300
40.984359026,-56,60,73,1,-2,-1,18,1,5301
40.99026823,-56,60,73,-3,-1,-1,18,1,5302
40.994915008,-56,60,73,-3,-1,-1,18,1,5303
41.018070221,118,34,187,0,-2,0,18,1,5304
41.024430036,-78,51,163,0,-4,1,18,1,5305
41.028979063,-78,51,163,-4,-4,-2,18,1,5306
41.034960031,-78,51,163,-4,-4,-2,18,1,5307
41.04090619,104,-8,214,5,1,2,18,1,5308
41.047191143,104,-8,214,5,1,2,18,1,5309
41.070030212,104,-8,214,-1,0,0,18,1,5310
41.080312013,139,1,73,-11,-4,-1,18,1,5311
41.081842184,102,-22,182,10,3,-1,18,1,5312
41.087065219,102,-22,182,10,3,-1,18,1,5313
41.093068122,102,-22,182,-3,0,1,18,1,5314
41.097968101,102,-22,182,-3,0,1,18,1,5315
41.121932029,55,-31,219,-1,0,-3,18,1,5316
41.126973152,155,-65,137,1,6,0,18,1,5317
41.132935047,155,-65,137,1,-4,1,18,1,5318
41.139354229,155,-65,137,1,-2,1,18,1,5319
41.144102096,52,-60,162,-7,-4,-1,18,1,5320
41.150365114,52,-60,162,-7,-4,-1,18,1,5321
41.173118114,52,-60,162,1,-3,0,18,1,5322
41.178984165,30,-13,15,-2,-4,-1,18,1,5323
41.183999061,-16,11,240,-2,-4,-1,18,1,5324
41.189990043,-16,11,240,0,-2,2,18,1,5325
41.19832015,-16,11,240,0,-2,2,18,1,5326
41.201283216,133,138,117,0,2,0,18,1,5327
41.224983215,133,138,117,0,0,2,18,1,5328
41.230912208,52,30,92,5,-2,-1,18,1,5329
41.235901117,52,30,92,5,-2,-1,18,1,5330
41.242138147,105,-44,177,-3,0,-1,18,1,5331
41.246960163,105,-44,177,-3,0,-1,18,1,5332
41.254349231,105,-44,177,0,3,0,18,1,5333
41.277006149,105,-44,177,0,3,0,18,1,5334
41.281936168,-11,151,206,2,5,2,18,1,5335
41.288338184,-11,151,206,2,5,2,18,1,5336
41.292926073,-11,151,206,-1,3,-3,18,1,5337
41.299235105,-11,151,206,-1,3,-3,18,1,5338
41.304115057,-26,106,226,7,0,0,18,1,5339
41.327993154,-26,106,226,7,0,0,18,1,5340
41.334061145,158,107,157,-3,-3,0,18,1,5341
41.339666128,158,107,157,-3,-3,0,18,1,5342
41.344944,11,-14,13,6,-1,0,18,1,5343
41.351161003,11,-14,13,6,-1,0,18,1,5344
41.360385179,11,-14,13,-4,-4,3,18,1,5345
41.380260229,-59,-64,138,-4,-4,3,18,1,5346
41.385074138,119,-5,77,0,-4,1,18,1,5347
41.390919208,119,-5,77,-2,2,1,18,1,5348
41.397102117,119,-5,77,-2,-2,2,18,1,5349
41.401971101,-76,58,229,1,-2,2,18,1,5350
41.408245086,-76,58,229,-4,5,0,18,1,5351
41.431977033,-76,58,229,-4,5,0,18,1,5352
41.436913013,-29,-37,122,-6,-3,1,18,1,5353
41.443421125,92,-66,55,2,0,-3,18,1,5354
41.448105096,92,-66,55,2,0,-3,18,1,5355
41.4539361,92,-66,55,-2,2,2,18,1,5356
41.458951234,92,-66,55,-2,2,0,18,1,5357
41.483032226,56,-10,55,5,0,0,18,1,5358
41.489018201,34,-19,111,-7,2,-2,18,1,5359
41.494210004,34,-19,111,6,0,4,18,1,5360
41.500091076,34,-19,111,6,0,4,18,1,5361
41.506101131,58,-12,184,-2,-3,-2,18,1,5362
41.511020183,58,-12,184,-2,-3,-2,18,1,5363
41.534830093,58,-12,184,-3,-5,0,18,1,5364
41.539956092,160,-53,249,6,-4,0,18,1,5365
41.545917034,6,34,193,-1,3,2,18,1,5366
41.551971197,6,34,193,-1,3,2,18,1,5367
41.557263136,6,34,193,-7,-3,-1,18,1,5368
41.564638137,28,-77,29,-7,-3,-1,18,1,5369
41.586910009,28,-77,29,8,4,2,18,1,5370
41.591953039,-1,-34,240,0,2,1,18,1,5371
41.600258112,-1,-34,240,-4,-4,-4,18,1,5372
41.603102207,73,31,78,-4,-4,-4,18,1,5373
41.608902216,73,31,78,11,7,1,18,1,5374
41.614322185,73,31,78,11,7,1,18,1,5375
41.638053178,73,31,78,-3,2,-2,18,1,5376
41.643902063,70,142,81,-6,0,0,18,1,5377
41.650487184,70,142,81,-6,0,-2,18,1,5378
41.654945135,70,142,81,4,5,-2,18,1,5379
41.66094923,70,142,81,-2,-1,0,18,1,5380
41.665973186,91,0,224,-2,-1,0,18,1,5381
41.690189123,91,0,224,-8,-2,-4,18,1,5382
41.695014,146,15,120,0,1,0,18,1,5383
41.700960159,146,15,120,0,1,0,18,1,5384
41.707051038,2,124,56,2,-1,0,18,1,5385
41.711897134,2,124,56,2,-1,0,18,1,5386
41.719171047,2,124,56,-7,-4,0,18,1,5387
41.741902113,-45,159,104,-7,0,0,18,1,5388
41.746938228,99,77,183,-2,-1,-2,18,1,5389
41.752931118,99,77,183,-2,-1,-2,18,1,5390
41.758020162,99,77,183,0,-6,1,18,1,5391
41.763961076,-11,76,2,0,-6,1,18,1,5392
41.768965005,-11,76,2,1,5,2,18,1,5393
41.792958021,-11,76,2,1,5,2,18,1,5394
41.798887014,136,148,134,4,-2,1,18,1,5395
41.803907156,-14,-49,159,4,-2,1,18,1,5396
41.812397003,-14,-49,159,-1,6,1,18,1,5397
41.815936088,-14,-49,159,-1,6,1,18,1,5398
41.821072101,-14,-49,159,2,0,0,18,1,5399
41.844935178,-57,120,71,2,0,0,18,1,5400
41.850713014,112,92,151,4,7,1,18,1,5401
41.856070041,112,92,151,4,7,1,18,1,5402
41.861915111,112,92,151,-2,-4,-4,18,1,5403
41.867206096,-61,73,70,-2,-4,-4,18,1,5404
41.872848034,-61,73,70,2,0,0,18,1,5405
41.897016048,-61,73,70,2,0,0,18,1,5406
41.901873111,-26,-73,231,6,1,-3,18,1,5407
41.908058166,-43,154,231,-8,0,-4,18,1,5408
41.913207054,-43,154,231,9,1,-4,18,1,5409
41.919055223,-43,154,231,9,1,-4,18,1,5410
41.924231052,100,-89,130,0,2,0,18,1,5411
41.948105096,100,-89,130,0,2,0,18,1,5412
41.953946113,-62,132,64,0,2,0,18,1,5413
41.960205078,-62,132,64,5,-2,-3,18,1,5414
41.96533513,-51,-75,227,5,-2,-3,18,1,5415
41.970905065,-51,-75,227,-1,2,2,18,1,5416
41.976323127,-51,-75,227,-1,2,0,18,1,5417
42.000095129,-51,-75,227,-2,1,0,18,1,5418
42.006018161,126,-1,87,-5,-3,1,18,1,5419
42.011799097,126,-1,87,0,4,3,18,1,5420
42.017046213,126,-1,87,0,4,3,18,1,5421
42.021917104,126,-1,87,-8,-2,2,18,1,5422
42.027872085,68,28,55,-8,-2,2,18,1,5423
42.052004099,68,28,55,4,-1,3,18,1,5424
42.057337045,83,159,229,-1,0,0,18,1,5425
42.062955141,83,159,20,1,-3,3,18,1,5426
42.069556236,147,126,22,1,-3,3,18,1,5427
42.073906183,147,126,22,2,-2,0,18,1,5428
42.078956127,147,126,22,2,-2,0,18,1,5429
42.103095054,147,-34,215,1,-8,0,18,1,5430
42.108971119,-84,77,82,8,0,-1,18,1,5431
42.116270065,-84,77,82,-5,0,-2,18,1,5432
42.119959116,-84,77,82,-5,0,-2,18,1,5433
42.125969171,119,49,2,-2,1,-4,18,1,5434
42.132257223,119,49,2,-2,1,-4,18,1,5435
42.154965162,119,49,2,-5,7,0,18,1,5436
42.161017179,20,-44,158,-5,-2,0,18,1,5437
42.165925026,31,-52,94,-5,0,-3,18,1,5438
42.171913147,31,-52,94,-7,0,-3,18,1,5439
42.177691221,31,-52,94,4,3,2,18,1,5440
42.182899236,31,-52,94,4,3,2,18,1,5441
42.21224904,36,164,11,3,-3,0,18,1,5442
42.213943004,-25,-64,228,-4,0,0,18,1,5443
42.219979047,-25,-64,228,-4,0,0,18,1,5444
42.224510192,-25,-64,244,11,0,3,18,1,5445
42.22955203,-48,-35,247,11,0,0,18,1,5446
42.234926223,-48,-35,247,-2,1,0,18,1,5447
42.25794816,-48,-35,247,1,0,0,18,1,5448
42.263937234,27,149,65,8,6,1,18,1,5449
42.268920183,27,149,65,8,6,1,18,1,5450
42.274980068,27,149,65,-3,4,0,18,1,5451
42.281010151,27,149,65,-3,4,0,18,1,5452
42.285970211,-56,109,97,-6,-4,-4,18,1,5453
42.309945106,-56,109,97,-6,-4,-4,18,1,5454
42.316840171,65,13,136,2,-5,0,18,1,5455
42.320999145,65,13,136,2,-5,0,18,1,5456
42.327105999,114,69,102,-8,-7,-3,18,1,5457
42.336476087,114,69,102,-8,-7,-3,18,1,5458
42.338382005,114,69,102,7,5,0,18,1,5459
42.361927032,114,69,102,7,5,0,18,1,5460
42.366912126,-67,8,31,-5,-1,-1,18,1,5461
42.373125076,-67,8,31,-5,-1,-1,18,1,5462
42.379026174,-67,8,31,6,5,0,18,1,5463
42.383948087,-6,8,190,6,5,0,18,1,5464
42.393180132,-6,47,190,-1,1,1,18,1,5465
42.413051128,-6,47,190,-1,1,1,18,1,5466
42.420434236,154,-40,52,5,-1,2,18,1,5467
42.425519228,85,39,103,6,6,2,18,1,5468
42.430077076,85,39,103,9,-1,0,18,1,5469
42.435954094,85,39,103,9,-1,0,18,1,5470
42.440964222,85,39,103,-2,0,0,18,1,5471
42.464992046,27,9,55,-2,0,0,18,1,5472
42.469946146,48,99,220,0,10,3,18,1,5473
42.478732109,48,99,220,0,1,0,18,1,5474
42.482024192,48,99,220,0,1,0,18,1,5475
42.486985206,28,162,92,-3,0,0,18,1,5476
42.498388052,28,162,92,-3,0,1,18,1,5477
42.516856193,28,162,92,-1,1,1,18,1,5478
42.521917104,-49,84,166,-5,-3,-4,18,1,5479
42.527930021,159,27,217,1,-3,-1,18,1,5480
42.533051014,159,27,217,1,-3,-1,18,1,5481
42.539411068,159,27,217,1,-2,-2,18,1,5482
42.542994022,159,27,217,1,-2,-2,18,1,5483
42.567987203,-59,-23,143,4,-2,-2,18,1,5484
42.572964191,161,-62,38,7,-3,0,18,1,5485
42.580523014,161,-62,38,-3,0,0,18,1,5486
42.584145069,43,-62,203,-3,0,0,18,1,5487
42.589033126,42,68,203,0,2,0,18,1,5488
42.594893217,42,68,203,0,2,0,18,1,5489
42.619028091,42,68,203,-3,1,2,18,1,5490
42.623948097,29,159,90,-1,3,3,18,1,5491
42.632294178,29,159,90,-3,2,0,18,1,5492
42.636097192,29,159,90,-3,2,0,18,1,5493
42.640908002,29,159,90,7,-1,2,18,1,5494
42.646876096,133,-24,23,7,-1,2,18,1,5495
42.670868158,133,-24,23,-1,-3,-1,18,1,5496
42.675938129,-82,154,214,0,-1,-1,18,1,5497
42.682012081,-82,154,214,0,-1,1,18,1,5498
42.686910152,60,-50,70,5,1,1,18,1,5499
42.693174123,60,-50,70,-4,-1,0,18,1,5500
42.700281143,60,-50,70,-4,-1,0,18,1,5501
42.72202301,60,-50,70,2,4,-1,18,1,5502
42.731062173,44,2,214,1,2,-2,18,1,5503
42.733108043,44,2,214,1,2,-2,18,1,5504
42.738913059,44,2,214,-4,-3,1,18,1,5505
42.745017051,25,132,134,-4,-3,-2,18,1,5506
42.749928236,25,132,134,-3,4,-3,18,1,5507
42.773983001,25,132,134,5,-3,1,18,1,5508
42.782286167,44,139,110,-1,-10,0,18,1,5509
42.78535223,-44,117,147,-1,-10,0,18,1,5510
42.791353225,-44,117,147,-6,5,0,18,1,5511
42.796423196,-44,117,147,-6,5,0,18,1,5512
42.801889181,-44,117,147,8,-3,2,18,1,5513
42.82598114,50,87,222,8,-3,2,18,1,5514
42.830971002,103,58,73,-3,4,2,18,1,5515
42.837244033,103,58,73,-3,4,2,18,1,5516
42.84191823,103,58,73,6,-5,-2,18,1,5517
42.848082065,-19,134,195,6,-5,-2,18,1,5518
42.853126049,-19,134,195,-4,-2,1,18,1,5519
42.87694621,-19,134,195,-4,-2,1,18,1,5520
42.882968187,151,19,154,2,0,-3,18,1,5521
42.888060093,-21,-62,89,2,0,-3,18,1,5522
42.893893003,-21,-62,89,0,1,0,18,1,5523
42.89998722,-21,-62,89,0,1,0,18,1,5524
42.904958009,37,-62,78,-5,-1,-4,18,1,5525
42.928949117,36,21,78,-5,-1,-4,18,1,5526
42.934888124,16,92,86,-4,3,-3,18,1,5527
42.93990612,16,92,86,-1,-1,-4,18,1,5528
42.948410034,17,-48,13,-7,2,0,18,1,5529
42.951175212,17,-48,13,-7,2,0,18,1,5530
42.957002163,17,-48,13,9,6,0,18,1,5531
42.981008052,17,-48,13,9,6,0,18,1,5532
42.985959053,125,-18,81,-3,-2,0,18,1,5533
42.991896152,125,-18,81,1,0,3,18,1,5534
42.99699521,125,-18,81,1,0,3,18,1,5535
43.006906032,125,-18,81,4,0,3,18,1,5536
43.009113073,110,106,114,4,0,4,18,1,5537
43.032137155,110,106,114,0,-3,4,18,1,5538
43.041334152,80,-19,159,6,-1,3,18,1,5539
43.044658184,80,-19,159,0,-2,2,18,1,5540
43.048970222,99,-49,229,0,-2,2,18,1,5541
43.056561231,99,-49,229,-4,-2,0,18,1,5542
43.05995512,99,-49,229,-4,-2,0,18,1,5543
43.083914041,99,-49,171,-9,-4,0,18,1,5544
43.088923215,-12,-88,174,-3,-1,1,18,1,5545
43.099608183,-12,-88,174,-6,-1,-4,18,1,5546
43.101956129,-12,-88,174,-6,-1,-4,18,1,5547
43.105920076,-90,84,156,2,-9,-3,18,1,5548
43.111926078,-90,84,156,2,-9,-3,18,1,5549
43.135973215,-90,84,156,1,4,-2,18,1,5550
43.14106512,151,-85,249,-4,0,-6,18,1,5551
43.147027015,26,-46,155,6,-3,-1,18,1,5552
43.152190208,26,-46,155,6,-3,-1,18,1,5553
43.164482116,26,-46,155,-1,9,0,18,1,5554
43.16617918,26,-46,155,-1,9,0,18,1,5555
43.18831706,144,130,222,2,0,-3,18,1,5556
43.192891121,129,0,47,4,-2,-1,18,1,5557
43.197961092,129,0,47,4,-2,0,18,1,5558
43.208196163,129,0,47,-1,2,0,18,1,5559
43.209812164,107,131,231,0,0,-1,18,1,5560
43.215511083,107,131,231,0,0,-1,18,1,5561
43.238935232,107,131,231,-2,-1,2,18,1,5562
43.24400115,152,98,248,1,5,3,18,1,5563
43.249975204,-85,64,134,1,5,3,18,1,5564
43.255966186,-85,64,134,-2,0,-1,18,1,5565
