TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
75.775918961,77,73,62,7,1,0,21,1,9980
75.785749912,66,69,84,7,1,0,21,1,9981
75.787930012,51,65,97,-3,-2,-2,21,1,9982
75.812037945,39,59,100,-3,-2,-2,21,1,9983
75.817962885,29,47,94,1,3,0,21,1,9984
75.823976993,20,27,86,1,3,0,21,1,9985
75.830018043,11,1,78,-4,-7,0,21,1,9986
75.836035967,4,-29,67,-4,-7,0,21,1,9987
75.860989094,4,-54,50,-6,5,0,21,1,9988
75.866910934,8,-72,30,0,-4,-1,21,1,9989
75.874103069,11,-77,13,-2,-4,2,21,1,9990
75.879113913,6,-71,9,-2,-4,2,21,1,9991
75.885674953,-12,-55,22,-5,5,-1,21,1,9992
75.909032106,-37,-37,46,10,-3,0,21,1,9993
75.915054083,-59,-26,70,-6,-4,-1,21,1,9994
75.921499014,-67,-26,80,-6,2,0,21,1,9995
75.927968025,-58,-38,75,-3,3,0,21,1,9996
75.934319019,-39,-54,59,5,-1,3,21,1,9997
75.959114075,-15,-66,36,5,-1,3,21,1,9998
75.963958025,8,-67,13,0,4,1,21,1,9999
75.970160007,27,-59,250,0,4,1,21,1,10000
75.976429939,38,-46,234,5,0,1,21,1,10001
75.982019901,38,-32,224,5,0,1,21,1,10002
76.0061059,27,-21,219,-1,0,1,21,1,10003
76.012139082,7,-14,222,2,6,0,21,1,10004
76.018121958,-17,-9,230,5,0,1,21,1,10005
76.033680916,-37,-7,243,5,0,1,21,1,10006
76.035001039,-47,-7,2,0,-1,-1,21,1,10007
76.056382894,-49,-12,15,0,-1,-1,21,1,10008
76.061059952,-44,-21,22,3,-3,-2,21,1,10009
76.067332983,-39,-33,22,3,-3,-2,21,1,10010
76.072980881,-32,-47,22,0,1,1,21,1,10011
76.079032898,-23,-58,29,0,1,-3,21,1,10012
76.103957891,-8,-66,46,-6,-4,-3,21,1,10013
76.10996604,12,-70,70,0,-1,0,21,1,10014
76.115962982,34,-70,92,-5,0,0,21,1,10015
76.122014999,54,-65,107,-5,-6,-1,21,1,10016
76.127957106,67,-55,110,-7,-6,-1,21,1,10017
76.15190506,69,-40,101,6,4,1,21,1,10018
76.157919884,59,-19,80,-2,-1,1,21,1,10019
76.163961887,39,4,50,0,-4,0,21,1,10020
76.169919014,13,27,18,0,-4,0,21,1,10021
76.17612505,-11,45,250,6,6,1,21,1,10022
76.200999021,-27,56,239,6,6,1,21,1,10023
76.207010984,-31,57,241,-1,-1,-1,21,1,10024
76.212970018,-23,49,252,-1,-1,-1,21,1,10025
76.219115972,-4,32,9,7,7,0,21,1,10026
76.224917889,21,10,23,7,7,0,21,1,10027
76.249034882,50,-11,38,-3,-5,0,21,1,10028
76.254986048,79,-25,55,0,-4,-3,21,1,10029
76.261019945,103,-27,75,1,2,0,21,1,10030
76.2680161,116,-19,97,1,2,0,21,1,10031
76.27413106,114,-8,116,3,-1,0,21,1,10032
76.297992945,94,1,130,3,-1,0,21,1,10033
76.30397892,59,1,138,0,7,2,21,1,10034
76.310307026,21,-7,135,0,7,2,21,1,10035
76.315995932,-6,-15,116,2,0,1,21,1,10036
76.321971893,-9,-17,79,-8,2,0,21,1,10037
76.347002983,9,-6,29,-6,2,0,21,1,10038
76.35293293,40,15,235,0,4,0,21,1,10039
76.359292984,67,40,197,3,0,-1,21,1,10040
76.364986896,77,61,182,-5,-3,-2,21,1,10041
76.37095809,64,73,191,-5,-3,-2,21,1,10042
76.394953966,30,72,217,1,-2,0,21,1,10043
76.401052952,-14,60,251,1,-1,-1,21,1,10044
76.407351017,-54,42,26,-2,2,0,21,1,10045
76.413044929,-80,25,48,-2,2,0,21,1,10046
76.419015884,-88,15,60,0,-4,-1,21,1,10047
76.443965912,-81,14,61,0,-4,-1,21,1,10048
76.449970007,-66,20,58,-1,-2,1,21,1,10049
76.457684994,-49,29,59,-1,-2,1,21,1,10050
76.461960077,-38,35,69,3,-4,1,21,1,10051
76.467914104,-36,37,88,3,-4,1,21,1,10052
76.492080927,-42,32,113,3,2,0,21,1,10053
76.497987032,-50,24,138,0,1,0,21,1,10054
76.504062891,-55,15,157,1,-5,-1,21,1,10055
76.510041952,-53,7,163,1,-5,-1,21,1,10056
76.518286943,-42,2,153,-3,2,0,21,1,10057
76.540942907,-28,-2,128,-1,3,-1,21,1,10058
76.546941042,-15,-7,95,1,-2,0,21,1,10059
76.553688049,-9,-11,65,1,-2,0,21,1,10060
76.558960915,-9,-13,48,0,1,0,21,1,10061
76.565018892,-14,-11,50,-3,0,-1,21,1,10062
76.589081049,-20,-4,64,-3,0,-1,21,1,10063
76.594955921,-23,10,81,2,-2,0,21,1,10064
76.60116291,-20,28,89,2,-1,0,21,1,10065
76.609920978,-11,49,84,-3,5,0,21,1,10066
76.613969088,0,71,68,-3,5,0,21,1,10067
76.638048887,5,90,51,-1,-1,0,21,1,10068
76.644022942,2,102,37,0,-3,0,21,1,10069
76.649991989,-8,106,29,-4,6,-1,21,1,10070
76.655989885,-22,103,25,-4,6,-1,21,1,10071
76.661958933,-37,92,21,6,0,0,21,1,10072
76.687030077,-50,78,13,6,0,0,21,1,10073
76.692967892,-59,63,4,-2,5,0,21,1,10074
76.699021101,-63,50,253,-2,5,0,21,1,10075
76.705496073,-61,42,251,5,-4,1,21,1,10076
76.71092701,-56,39,0,5,-4,1,21,1,10077
76.73508811,-52,38,9,-1,0,2,21,1,10078
76.741029978,-52,34,24,-3,4,-1,21,1,10079
76.74703002,-57,24,41,9,-1,1,21,1,10080
76.753051042,-62,8,59,9,-1,1,21,1,10081
76.764022112,-58,-12,75,-2,1,0,21,1,10082
76.786346912,-40,-33,87,-3,-2,-2,21,1,10083
76.790395021,-8,-51,94,8,0,1,21,1,10084
76.798173904,29,-61,98,8,0,1,21,1,10085
76.801907062,62,-62,99,0,0,1,21,1,10086
76.807934999,86,-52,101,-3,-6,-3,21,1,10087
76.831969976,100,-33,106,-3,-6,-3,21,1,10088
76.837955952,106,-10,115,9,0,1,21,1,10089
76.843997002,108,9,129,1,-2,-3,21,1,10090
76.850014925,105,19,143,-7,-3,-1,21,1,10091
76.857196093,94,18,156,-7,-3,-1,21,1,10092
76.880970955,74,8,165,0,5,0,21,1,10093
76.886997938,46,-5,170,-4,0,2,21,1,10094
76.893091917,21,-15,171,-3,-3,-2,21,1,10095
76.899071932,7,-19,168,-3,-3,-2,21,1,10096
76.90503788,12,-17,161,0,0,0,21,1,10097
76.928989887,33,-10,148,0,0,0,21,1,10098
76.934966087,63,-1,127,-5,-2,0,21,1,10099
76.941008091,93,6,98,-5,-2,0,21,1,10100
76.947949886,110,10,64,2,0,0,21,1,10101
76.953056097,107,10,31,2,0,0,21,1,10102
76.977962971,82,7,9,3,4,4,21,1,10103
76.983993053,44,5,0,-6,-3,-3,21,1,10104
76.989993095,3,3,2,0,-1,0,21,1,10105
76.99594903,-32,2,10,0,-1,0,21,1,10106
77.002012014,-61,1,18,1,3,0,21,1,10107
77.026109934,-82,-1,21,2,-4,-1,21,1,10108
77.032985926,162,-3,15,3,-1,0,21,1,10109
77.038986921,163,-3,0,3,-1,0,21,1,10110
77.044925928,-76,1,233,4,6,0,21,1,10111
77.050952911,-42,8,209,-1,0,0,21,1,10112
77.075107098,3,14,194,-1,0,0,21,1,10113
77.081046104,49,15,194,3,5,0,21,1,10114
77.08694911,87,10,208,3,4,0,21,1,10115
77.093178987,111,2,232,3,-2,1,21,1,10116
77.09900403,117,-7,3,3,-2,1,21,1,10117
77.124057054,108,-11,30,-6,1,0,21,1,10118
77.133670092,90,-9,55,-3,6,0,21,1,10119
77.137525082,70,-1,76,3,3,0,21,1,10120
77.141957998,48,8,96,3,3,0,21,1,10121
77.148020029,26,15,114,-7,-2,0,21,1,10122
77.172077894,2,16,131,-7,-2,0,21,1,10123
77.178062916,-20,11,141,1,-2,2,21,1,10124
77.184361935,-39,4,141,1,-2,2,21,1,10125
77.190023899,-49,-1,128,-5,-2,0,21,1,10126
77.196053982,-47,-2,106,-5,-2,0,21,1,10127
77.220962048,-33,1,81,3,-4,-1,21,1,10128
77.227020979,-12,7,62,-1,-2,0,21,1,10129
77.233519077,10,9,54,0,1,-3,21,1,10130
77.23901391,30,5,60,0,1,-3,21,1,10131
77.244980097,46,-7,79,5,0,-2,21,1,10132
77.269006014,60,-24,105,-1,0,-1,21,1,10133
77.275022983,74,-41,125,-4,3,-2,21,1,10134
77.281033039,89,-51,130,-4,3,0,21,1,10135
77.286973953,104,-51,117,6,-2,0,21,1,10136
77.292942047,115,-38,95,-2,1,1,21,1,10137
77.318379879,116,-18,76,-2,1,1,21,1,10138
77.32399106,103,1,71,4,-4,2,21,1,10139
77.329933882,75,13,83,3,-4,2,21,1,10140
77.335999966,35,12,106,0,-3,0,21,1,10141
77.345655918,-10,-1,132,0,-3,0,21,1,10142
77.366020918,-52,-21,151,0,2,1,21,1,10143
77.372051001,-86,-44,160,3,0,2,21,1,10144
77.378164053,153,-60,158,-2,-2,0,21,1,10145
77.384109974,151,-66,149,-2,-2,0,21,1,10146
77.389940023,165,-62,137,0,5,-2,21,1,10147
77.414952993,-66,-52,124,0,5,-2,21,1,10148
77.420964003,-32,-43,109,0,-4,-1,21,1,10149
77.427021027,3,-40,91,0,-4,-1,21,1,10150
77.432979107,36,-44,68,0,7,-1,21,1,10151
77.438932896,60,-53,44,0,7,-1,21,1,10152
77.463038921,72,-63,24,-1,0,0,21,1,10153
77.46992588,72,-70,14,-2,-2,-1,21,1,10154
77.475099087,63,-74,16,-5,4,0,21,1,10155
77.481055021,47,-74,32,-5,4,0,21,1,10156
77.487015009,31,-69,59,0,0,2,21,1,10157
77.511982918,21,-59,90,8,-3,0,21,1,10158
77.517963886,19,-47,115,-3,3,0,21,1,10159
77.523926973,26,-35,128,-3,3,0,21,1,10160
77.529862881,33,-28,124,0,-3,0,21,1,10161
77.536015987,34,-30,107,3,0,3,21,1,10162
77.542013884,23,-39,86,3,0,3,21,1,10163
77.566104889,-1,-55,71,-2,-4,-2,21,1,10164
77.572041988,-30,-70,66,1,0,0,21,1,10165
77.578089952,-56,-79,66,5,-1,-1,21,1,10166
77.584002972,-68,-78,63,5,-1,-1,21,1,10167
77.590135097,-62,-66,47,0,-1,0,21,1,10168
77.596087933,-38,-44,16,0,-1,0,21,1,10169
77.6210289,-3,-17,233,-5,-1,-3,21,1,10170
77.626992941,33,8,194,2,2,-2,21,1,10171
77.633049011,60,27,166,0,-3,0,21,1,10172
77.639048099,71,39,155,0,-3,0,21,1,10173
77.644984007,63,45,161,-6,0,0,21,1,10174
77.669078112,39,46,177,2,4,0,21,1,10175
77.675075054,11,43,199,1,0,2,21,1,10176
77.681009054,-8,36,219,1,0,2,21,1,10177
77.687035084,-10,26,234,-3,-4,0,21,1,10178
77.692936897,6,14,241,4,7,2,21,1,10179
77.717964888,29,4,241,4,7,2,21,1,10180
77.723992109,48,-2,235,-2,0,3,21,1,10181
77.729950905,53,-1,228,-8,0,-2,21,1,10182
77.735996962,42,3,222,2,0,0,21,1,10183
77.742096901,19,8,221,2,0,0,21,1,10184
77.766113996,-11,12,226,4,0,0,21,1,10185
77.772037029,-40,14,237,-4,-6,-6,21,1,10186
77.779289961,-60,16,247,4,3,1,21,1,10187
77.785033941,-68,19,251,4,3,1,21,1,10188
77.790977001,-66,21,251,2,0,0,21,1,10189
77.815032959,-56,19,248,2,0,0,21,1,10190
77.820980072,-39,12,248,4,3,0,21,1,10191
77.827100038,-20,-1,252,4,3,0,21,1,10192
77.833894968,-2,-16,3,1,3,0,21,1,10193
77.839134931,11,-27,11,1,3,0,21,1,10194
77.863934994,19,-28,16,2,-3,-1,21,1,10195
77.870179892,24,-19,18,5,0,1,21,1,10196
77.876225948,26,-2,19,3,2,-1,21,1,10197
77.882559061,26,16,21,3,2,-1,21,1,10198
77.888050079,22,32,26,0,0,1,21,1,10199
77.911933899,16,43,34,-4,0,-1,21,1,10200
77.918230057,13,51,38,0,5,0,21,1,10201
77.925375938,17,57,33,0,5,0,21,1,10202
77.929936886,28,62,17,0,-3,0,21,1,10203
77.935988903,39,66,253,-9,1,0,21,1,10204
77.960944891,42,65,236,-9,1,0,21,1,10205
77.966995954,29,59,233,-1,1,0,21,1,10206
77.973150015,0,48,247,5,0,0,21,1,10207
77.97952199,-37,34,15,-5,-4,-2,21,1,10208
77.985016107,-71,19,42,-5,-4,-2,21,1,10209
78.008979082,163,8,64,2,-4,0,21,1,10210
78.01503706,155,1,77,4,-3,0,21,1,10211
78.021598101,157,1,81,-3,0,0,21,1,10212
78.027062893,163,8,77,-3,0,0,21,1,10213
78.033406973,-90,24,64,5,-6,-1,21,1,10214
78.057904005,-88,48,47,5,-6,-1,21,1,10215
78.06395793,-86,74,31,-6,0,-1,21,1,10216
78.069993973,-82,97,23,-6,0,-1,21,1,10217
78.079583883,-75,110,27,6,0,1,21,1,10218
78.082416058,-68,110,41,6,0,1,21,1,10219
78.106046915,-65,98,58,-2,1,0,21,1,10220
78.111984014,-68,78,72,-3,2,0,21,1,10221
78.118087053,-74,58,80,5,-4,0,21,1,10222
78.12402606,-78,42,83,5,-4,0,21,1,10223
78.13034296,-76,35,84,-1,0,1,21,1,10224
78.155045032,-67,33,85,1,2,-1,21,1,10225
78.161051989,-55,36,81,7,-2,1,21,1,10226
78.167131901,-43,42,69,7,-2,1,21,1,10227
78.173062086,-33,48,47,-5,-1,-1,21,1,10228
78.178934097,-25,51,22,0,6,0,21,1,10229
78.202996015,-22,49,4,0,6,0,21,1,10230
78.208960056,-24,40,3,3,0,0,21,1,10231
78.215718031,-33,27,17,0,-1,0,21,1,10232
78.22182107,-45,12,41,5,2,-2,21,1,10233
78.226978064,-55,1,66,5,2,-2,21,1,10234
78.232980967,-61,-3,82,0,-2,0,21,1,10235
78.257946014,-63,1,88,0,-2,0,21,1,10236
78.263961077,-64,12,82,-7,4,0,21,1,10237
78.270490885,-66,29,70,-7,4,0,21,1,10238
78.275914907,-69,47,54,-1,0,-1,21,1,10239
78.281913042,-71,63,39,-1,0,-1,21,1,10240
78.306014061,-69,73,28,2,0,0,21,1,10241
78.312004089,-61,77,24,0,2,0,21,1,10242
78.319148064,-51,73,29,3,2,1,21,1,10243
78.324060917,-41,61,41,3,2,1,21,1,10244
78.329935074,-37,39,57,7,-3,0,21,1,10245
78.354049921,-40,10,74,-6,-4,2,21,1,10246
78.360949039,-49,-18,84,0,-1,0,21,1,10247
78.365964889,-65,-38,85,0,-1,0,21,1,10248
78.372950077,-81,-45,77,0,-1,1,21,1,10249
78.378956079,163,-39,61,-1,-2,0,21,1,10250
78.402997017,157,-25,42,-1,-2,0,21,1,10251
78.408989906,160,-11,23,4,6,0,21,1,10252
78.415039062,-87,-4,7,4,0,-2,21,1,10253
78.42096591,-72,-6,254,1,1,0,21,1,10254
78.426958084,-54,-14,253,1,1,0,21,1,10255
78.451951981,-34,-24,0,-6,-4,-3,21,1,10256
78.457941055,-13,-30,5,3,-1,2,21,1,10257
78.463957071,9,-30,4,0,-4,-1,21,1,10258
78.470067978,29,-22,251,0,-4,-1,21,1,10259
78.477906942,46,-8,233,-6,-3,0,21,1,10260
78.499977112,56,12,211,-6,-3,0,21,1,10261
78.506027937,60,35,191,0,0,4,21,1,10262
78.51204896,61,57,178,0,0,4,21,1,10263
78.518017054,59,73,174,-6,-4,-3,21,1,10264
78.523995876,54,77,181,-6,-4,-3,21,1,10265
78.52998209,42,71,200,-3,0,1,21,1,10266
78.555007935,24,58,229,5,0,1,21,1,10267
78.560971022,5,45,8,-5,0,-2,21,1,10268
78.567485094,-6,38,44,-5,0,-2,21,1,10269
78.572972059,-2,38,73,3,1,-1,21,1,10270
78.578943968,15,40,87,6,5,0,21,1,10271
78.58495903,37,38,84,6,5,0,21,1,10272
78.609010935,51,30,67,0,3,-1,21,1,10273
78.61503005,51,18,43,0,0,0,21,1,10274
78.620944023,36,6,23,4,3,0,21,1,10275
78.626957893,13,-5,14,4,3,0,21,1,10276
78.633076906,-11,-13,19,0,-3,-1,21,1,10277
78.658091068,-31,-19,33,0,-3,-1,21,1,10278
78.663996935,-43,-25,46,6,7,0,21,1,10279
78.670897007,-42,-31,53,6,7,0,21,1,10280
78.67592001,-32,-38,51,0,-3,0,21,1,10281
78.681931019,-17,-47,45,0,-3,0,21,1,10282
78.705986023,-8,-56,40,-1,1,0,21,1,10283
78.711975098,-9,-66,43,6,1,-2,21,1,10284
78.720344067,-19,-74,53,0,-1,2,21,1,10285
78.724189043,-33,-79,63,0,-1,2,21,1,10286
78.729935884,-41,-81,70,-7,1,0,21,1,10287
78.754946947,-39,-79,69,-7,1,-1,21,1,10288
78.760929108,-29,-76,63,0,0,1,21,1,10289
78.76767993,-14,-73,57,0,0,1,21,1,10290
78.772953033,-5,-72,56,-5,-2,0,21,1,10291
78.780339956,-6,-72,63,0,-6,-2,21,1,10292
78.803009987,-17,-73,76,0,-6,-2,21,1,10293
78.809019089,-30,-68,87,4,1,1,21,1,10294
78.815033913,-37,-58,92,-2,-3,-1,21,1,10295
78.820960998,-30,-46,88,-1,-3,0,21,1,10296
78.827089071,-6,-39,77,-1,-3,0,21,1,10297
78.832990885,32,-42,65,0,2,1,21,1,10298
78.857934952,74,-57,56,0,2,1,21,1,10299
78.863965988,107,-75,55,-1,0,0,21,1,10300
78.871270895,121,-89,62,-1,0,0,21,1,10301
78.878669023,113,-90,75,3,0,-1,21,1,10302
78.881963968,89,-79,91,3,0,-1,21,1,10303
78.905941009,61,-60,104,4,6,0,21,1,10304
