TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
65.761005164,-45,30,5,-8,9,37,15,1,8624
65.766985178,-59,29,-5,-24,14,22,15,1,8625
65.790948153,-61,25,-3,-35,17,14,15,1,8626
65.797940016,-53,21,8,-40,18,12,15,1,8627
65.803933144,-41,19,24,-40,19,16,15,1,8628
65.810352087,-29,18,39,-36,18,24,15,1,8629
65.816838026,-20,17,48,-31,18,32,15,1,8630
65.842120171,-13,17,49,-25,18,38,15,1,8631
65.846997023,-3,18,42,-18,18,39,15,1,8632
65.854459048,9,19,32,-9,18,37,15,1,8633
65.860041142,20,18,27,0,18,33,15,1,8634
65.869094134,23,13,33,7,17,33,15,1,8635
65.890895129,18,5,48,10,13,38,15,1,8636
65.898570061,10,-3,65,10,9,47,15,1,8637
65.90311122,7,-11,77,9,3,57,15,1,8638
65.90991211,9,-18,78,9,-2,64,15,1,8639
65.919898033,16,-22,68,11,-8,65,15,1,8640
65.940951109,23,-22,48,15,-12,59,15,1,8641
65.947014094,29,-16,21,20,-13,47,15,1,8642
65.952901125,32,-6,-4,24,-10,29,15,1,8643
65.960058213,31,7,-23,26,-5,11,15,1,8644
65.965883017,26,19,-34,26,1,-3,15,1,8645
65.99088502,21,28,-35,24,9,-14,15,1,8646
65.996923209,20,33,-27,23,16,-18,15,1,8647
66.002971173,27,33,-10,24,21,-16,15,1,8648
66.008924008,43,31,10,30,24,-7,15,1,8649
66.015993119,60,25,33,39,24,6,15,1,8650
66.040009022,70,17,53,49,22,22,15,1,8651
66.047870159,68,6,70,55,18,38,15,1,8652
66.054630041,53,-5,84,54,11,53,15,1,8653
66.059168101,29,-15,95,46,3,67,15,1,8654
66.064922095,2,-19,102,32,-2,79,15,1,8655
66.090381146,-22,-17,104,15,-6,87,15,1,8656
66.095878125,-40,-8,97,-1,-6,91,15,1,8657
66.102919102,-51,6,79,-17,-3,87,15,1,8658
66.108965159,-52,21,52,-27,4,75,15,1,8659
66.115158081,-41,32,24,-31,12,58,15,1,8660
66.140123129,-18,37,7,-27,19,41,15,1,8661
66.146629095,14,32,7,-13,23,29,15,1,8662
66.151957035,47,22,25,5,23,28,15,1,8663
66.158852101,71,9,56,26,19,37,15,1,8664
66.164861203,76,0,90,42,13,55,15,1,8665
66.190207005,61,-3,119,48,9,76,15,1,8666
66.197826147,33,2,133,43,7,95,15,1,8667
66.202159167,4,12,127,31,8,106,15,1,8668
66.210082054,-17,24,102,16,13,105,15,1,8669
66.214861155,-26,34,64,3,19,91,15,1,8670
66.240256071,-30,40,23,-7,25,68,15,1,8671
66.245920182,-35,42,-10,-15,30,42,15,1,8672
66.253255129,-43,42,-28,-24,33,18,15,1,8673
66.257979155,-50,42,-30,-32,36,1,15,1,8674
66.267760992,-49,44,-18,-37,38,-4,15,1,8675
66.289010048,-35,45,2,-36,40,-2,15,1,8676
66.295964003,-9,45,26,-27,42,7,15,1,8677
66.301892996,25,41,48,-10,41,21,15,1,8678
66.307862997,58,33,67,11,39,36,15,1,8679
