TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
78.470405102,-9,-13,244,0,0,0,0,0,8686
78.474993944,-9,-13,244,0,0,0,0,0,8687
78.48012209,-9,-13,244,0,0,0,0,0,8688
78.485439062,-9,-12,245,0,0,0,0,0,8689
78.508025885,-9,-12,245,0,0,0,0,0,8690
78.519416094,-9,-12,245,0,0,0,0,0,8691
78.524056912,-9,-12,245,0,0,0,0,0,8692
78.528047085,-9,-10,244,0,0,0,0,0,8693
78.5339849,-9,-10,244,0,0,0,0,0,8694
78.556982994,-9,-10,244,0,0,0,0,0,8695
78.56200409,-10,-11,243,0,0,0,0,0,8696
78.567071915,-9,-11,243,0,0,0,0,0,8697
78.577142,-9,-11,243,0,0,0,0,0,8698
78.58195591,-9,-11,243,0,0,0,0,0,8699
78.605025053,-10,-12,243,0,0,0,0,0,8700
78.610006094,-10,-10,243,0,0,0,0,0,8701
78.6150949,-10,-10,243,0,0,0,0,0,8702
78.625160933,-9,-10,242,0,0,0,0,0,8703
78.630021095,-9,-10,242,0,0,0,0,0,8704
78.653992892,-9,-10,242,0,0,0,0,0,8705
78.65913105,-9,-11,243,0,0,0,0,0,8706
78.663987875,-9,-11,243,0,0,0,0,0,8707
78.674000979,-9,-11,243,0,0,0,0,0,8708
78.679074049,-9,-11,243,0,0,0,0,0,8709
78.684053898,-9,-11,243,0,0,0,0,0,8710
78.709271908,-9,-11,242,0,0,0,0,0,8711
78.712076903,-9,-11,244,0,0,0,0,0,8712
78.722059012,-9,-11,244,0,0,0,0,0,8713
78.727674961,-10,-11,245,0,0,0,0,0,8714
78.736984968,-10,-11,245,0,0,0,0,0,8715
78.756030083,-10,-11,245,0,0,0,0,0,8716
78.760989905,-11,-11,245,0,0,0,0,0,8717
78.771414042,-10,-11,245,0,0,0,0,0,8718
78.775993109,-10,-11,245,0,0,0,0,0,8719
78.78104496,-10,-11,245,0,0,0,0,0,8720
78.804137945,-10,-11,244,0,0,0,0,0,8721
78.809045077,-10,-12,243,0,0,0,0,0,8722
78.818989992,-10,-12,243,0,0,0,0,0,8723
78.825001955,-10,-12,243,0,0,0,0,0,8724
78.829052925,-10,-11,244,0,0,0,0,0,8725
78.85206008,-10,-11,244,0,0,0,0,0,8726
78.857965946,-9,-11,244,0,0,0,0,0,8727
78.866976977,-11,-10,246,0,0,0,0,0,8728
78.873181105,-11,-10,246,0,0,0,0,0,8729
78.878375054,-11,-10,246,0,0,0,0,0,8730
78.901187897,-11,-10,246,0,0,0,0,0,8731
78.905986071,-10,-11,244,0,0,0,0,0,8732
78.911042929,-9,-11,244,0,0,0,0,0,8733
78.921044111,-9,-11,244,0,0,0,0,0,8734
78.928961992,-9,-11,240,0,0,0,0,0,8735
78.951307059,-9,-11,243,0,0,0,0,0,8736
78.954118967,-9,-10,243,0,0,0,0,0,8737
78.960033894,-9,-10,243,0,0,0,0,0,8738
78.968919039,-10,-10,243,0,0,0,0,0,8739
78.974994898,-10,-10,243,0,0,0,0,0,8740
78.998071909,-10,-10,243,0,0,0,0,0,8741
79.003057957,-10,-11,245,0,0,0,0,0,8742
79.008315087,-8,-11,245,0,0,0,0,0,8743
79.018115044,-8,-11,245,0,0,0,0,0,8744
79.023323059,-8,-11,245,0,0,0,0,0,8745
79.028058052,-10,-11,245,0,0,0,0,0,8746
79.051099062,-10,-11,245,0,0,0,0,0,8747
79.056080103,-8,-11,244,0,0,0,0,0,8748
79.062006951,-8,-11,244,0,0,0,0,0,8749
79.073311091,-8,-12,244,0,0,0,0,0,8750
79.077316046,-8,-12,244,0,0,0,0,0,8751
79.100383997,-8,-12,244,0,0,0,0,0,8752
79.105156899,-9,-11,244,0,0,0,0,0,8753
79.110217095,-9,-11,244,0,0,0,0,0,8754
79.123590946,-9,-11,244,0,0,0,0,0,8755
79.126216889,-9,-11,244,0,0,0,0,0,8756
79.148046971,-9,-12,244,0,0,0,0,0,8757
79.15319109,-9,-11,242,0,0,0,0,0,8758
79.159808874,-9,-11,242,0,0,0,0,0,8759
79.168063879,-8,-11,243,0,0,0,0,0,8760
79.17336011,-8,-11,243,0,0,0,0,0,8761
79.200875998,-8,-11,243,0,0,0,0,0,8762
79.202383042,-9,-12,243,0,0,0,0,0,8763
79.207104922,-9,-12,243,0,0,0,0,0,8764
79.212407112,-9,-12,244,0,0,0,0,0,8765
79.226114035,-9,-12,244,0,0,0,0,0,8766
79.244946957,-9,-12,244,0,0,0,0,0,8767
79.250550032,-10,-12,243,0,0,0,0,0,8768
79.260722876,-10,-12,243,0,0,0,0,0,8769
79.264971018,-10,-12,243,0,0,0,0,0,8770
79.270056963,-9,-11,244,0,0,0,0,0,8771
79.293972969,-9,-11,244,0,0,0,0,0,8772
79.298996926,-9,-12,243,0,0,0,0,0,8773
79.304053068,-9,-12,243,0,0,0,0,0,8774
79.310000897,-9,-12,244,0,0,0,0,0,8775
79.315093041,-9,-12,244,0,0,0,0,0,8776
79.328942061,-9,-12,244,0,0,0,0,0,8777
79.348228932,-8,-11,244,0,0,0,0,0,8778
79.352128029,-9,-12,244,0,0,0,0,0,8779
79.357059002,-9,-12,244,0,0,0,0,0,8780
79.362025023,-9,-12,244,0,0,0,0,0,8781
79.372095108,-9,-12,244,0,0,0,0,0,8782
79.377017021,-9,-12,244,0,0,0,0,0,8783
79.404774904,-9,-12,244,0,0,0,0,0,8784
79.408760071,-9,-12,246,0,0,0,0,0,8785
79.410994053,-9,-12,246,0,0,0,0,0,8786
79.421061039,-9,-12,246,0,0,0,0,0,8787
79.42501998,-9,-12,246,0,0,0,0,0,8788
79.447998047,-10,-12,246,0,0,0,0,0,8789
79.453052044,-8,-12,245,0,0,0,0,0,8790
79.458029986,-8,-12,245,0,0,0,0,0,8791
79.468098879,-8,-11,245,0,0,0,0,0,8792
79.473279953,-8,-11,245,0,0,0,0,0,8793
79.497016907,-8,-11,245,0,0,0,0,0,8794
79.502074003,-8,-12,243,0,0,0,0,0,8795
79.507153034,-8,-12,243,0,0,0,0,0,8796
79.512077093,-8,-12,243,0,0,0,0,0,8797
79.522012949,-8,-12,243,0,0,0,0,0,8798
79.545288086,-8,-12,243,0,0,0,0,0,8799
79.550023079,-9,-12,244,0,0,0,0,0,8800
79.55499506,-9,-12,244,0,0,0,0,0,8801
79.563460112,-9,-12,244,0,0,0,0,0,8802
79.570014954,-9,-12,244,0,0,0,0,0,8803
79.595056057,-9,-12,244,0,0,0,0,0,8804
79.599040985,-9,-12,245,0,0,0,0,0,8805
79.605285883,-9,-12,245,0,0,0,0,0,8806
79.609042883,-9,-13,246,0,0,0,0,0,8807
79.614074946,-9,-13,246,0,0,0,0,0,8808
79.624900103,-9,-13,246,0,0,0,0,0,8809
79.647099018,-8,-13,245,0,0,0,0,0,8810
79.652055979,-8,-12,244,0,0,0,0,0,8811
79.657032967,-8,-12,244,0,0,0,0,0,8812
79.662065029,-8,-12,244,0,0,0,0,0,8813
79.672100067,-8,-12,244,0,0,0,0,0,8814
79.677051068,-8,-12,244,0,0,0,0,0,8815
79.701000929,-8,-12,244,0,0,0,0,0,8816
79.706007004,-9,-12,244,0,0,0,0,0,8817
79.711322069,-10,-12,245,0,0,0,0,0,8818
79.721014977,-10,-12,245,0,0,0,0,0,8819
79.726624966,-10,-12,245,0,0,0,0,0,8820
79.748986006,-10,-12,246,0,0,0,0,0,8821
79.753989935,-9,-13,246,0,0,0,0,0,8822
79.758995056,-9,-13,246,0,0,0,0,0,8823
79.769088984,-9,-12,245,0,0,0,0,0,8824
79.775722027,-9,-12,245,0,0,0,0,0,8825
79.797214031,-9,-12,245,0,0,0,0,0,8826
79.803025961,-9,-11,245,0,0,0,0,0,8827
79.808037043,-9,-11,245,0,0,0,0,0,8828
79.813025952,-9,-12,244,0,0,0,0,0,8829
79.823031903,-9,-12,244,0,0,0,0,0,8830
79.846020937,-9,-12,244,0,0,0,0,0,8831
79.851696015,-10,-12,244,0,0,0,0,0,8832
79.85601902,-10,-12,244,0,0,0,0,0,8833
79.861003876,-10,-12,244,0,0,0,0,0,8834
79.871011973,-10,-11,246,0,0,0,0,0,8835
79.894150019,-10,-11,246,0,0,0,0,0,8836
79.898994923,-10,-11,245,0,0,0,0,0,8837
79.905018091,-10,-11,245,0,0,0,0,0,8838
79.910038948,-10,-11,243,0,0,0,0,0,8839
79.919975996,-10,-11,243,0,0,0,0,0,8840
79.924973965,-10,-11,243,0,0,0,0,0,8841
79.947963953,-10,-12,244,0,0,0,0,0,8842
79.953088045,-11,-12,244,0,0,0,0,0,8843
79.958010912,-11,-12,244,0,0,0,0,0,8844
79.968981981,-11,-12,244,0,0,0,0,0,8845
79.976051092,-10,-12,244,0,0,0,0,0,8846
79.978441,-10,-12,244,0,0,0,0,0,8847
80.001024962,-10,-12,244,0,0,0,0,0,8848
80.006005049,-10,-12,244,0,0,0,0,0,8849
80.016083002,-10,-12,242,0,0,0,0,0,8850
80.021728993,-10,-12,242,0,0,0,0,0,8851
80.028836012,-10,-12,242,0,0,0,0,0,8852
80.050110102,-10,-11,244,0,0,0,0,0,8853
80.055366993,-9,-12,244,0,0,0,0,0,8854
80.060021878,-9,-12,244,0,0,0,0,0,8855
80.070157051,-10,-12,243,0,0,0,0,0,8856
80.075223923,-10,-12,243,0,0,0,0,0,8857
80.098042011,-10,-12,243,0,0,0,0,0,8858
80.103075981,-9,-12,244,0,0,0,0,0,8859
80.108938933,-9,-12,244,0,0,0,0,0,8860
80.116868973,-9,-12,244,0,0,0,0,0,8861
80.123984099,-9,-12,244,0,0,0,0,0,8862
80.147008896,-9,-12,244,0,0,0,0,0,8863
80.152029038,-9,-12,244,0,0,0,0,0,8864
80.160084963,-9,-12,244,0,0,0,0,0,8865
80.167017937,-9,-12,244,0,0,0,0,0,8866
80.172036886,-9,-12,245,0,0,0,0,0,8867
80.195101977,-9,-12,245,0,0,0,0,0,8868
80.200027943,-9,-12,244,0,0,0,0,0,8869
80.205385924,-9,-12,244,0,0,0,0,0,8870
80.210074902,-9,-12,244,0,0,0,0,0,8871
80.220001936,-9,-12,244,0,0,0,0,0,8872
80.225930929,-9,-12,244,0,0,0,0,0,8873
80.248989105,-8,-12,244,0,0,0,0,0,8874
80.255867958,-9,-12,244,0,0,0,0,0,8875
80.261584997,-9,-12,244,0,0,0,0,0,8876
80.271406889,-9,-12,244,0,0,0,0,0,8877
80.274022103,-9,-12,243,0,0,0,0,0,8878
80.278974056,-9,-12,243,0,0,0,0,0,8879
80.301986933,-9,-12,243,0,0,0,0,0,8880
80.307003975,-9,-12,243,0,0,0,0,0,8881
80.316977978,-9,-12,244,0,0,0,0,0,8882
80.32210207,-9,-12,244,0,0,0,0,0,8883
80.326979876,-9,-12,244,0,0,0,0,0,8884
80.35097003,-9,-11,243,0,0,0,0,0,8885
80.355998039,-9,-11,244,0,0,0,0,0,8886
80.365987063,-9,-11,244,0,0,0,0,0,8887
80.372556925,-9,-11,245,0,0,0,0,0,8888
80.376910925,-9,-12,245,0,0,0,0,0,8889
80.399080038,-9,-12,245,0,0,0,0,0,8890
80.40413189,-9,-12,244,0,0,0,0,0,8891
80.409188032,-9,-12,244,0,0,0,0,0,8892
80.419137001,-9,-12,244,0,0,0,0,0,8893
80.424139977,-9,-12,244,0,0,0,0,0,8894
80.448035956,-9,-12,244,0,0,0,0,0,8895
80.454385042,-10,-11,244,0,0,0,0,0,8896
