TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
703.853594065,-7,-5,-16,0,1,1,13,1,76324
703.859235049,-7,-5,-16,0,1,1,13,1,76325
703.864593029,-7,-5,-16,2,1,1,13,1,76326
703.870579005,-7,-5,-16,2,1,1,13,1,76327
703.89465499,-7,-5,-16,5,1,0,13,1,76328
703.901642084,-6,-5,-16,7,0,-1,13,1,76329
703.905807972,-6,-5,-16,7,0,-1,13,1,76330
703.911663056,-6,-5,-16,9,0,-2,13,1,76331
703.916760922,-6,-5,-16,9,0,-2,13,1,76332
703.928338051,-6,-4,-16,9,0,-4,13,1,76333
703.946562052,-6,-4,-16,9,0,-4,13,1,76334
703.953547955,-5,-4,-16,9,-1,-5,13,1,76335
703.963500977,-5,-4,-16,9,-1,-5,13,1,76336
703.968592882,-5,-4,-16,8,-2,-6,13,1,76337
703.97456789,-5,-4,-16,8,-2,-6,13,1,76338
703.998568058,-5,-4,-16,7,-4,-7,13,1,76339
704.005660057,-4,-4,-16,5,-4,-7,13,1,76340
704.013453961,-4,-4,-16,5,-4,-7,13,1,76341
704.015687943,-4,-4,-16,5,-4,-7,13,1,76342
704.020838023,-4,-4,-16,4,-5,-8,13,1,76343
704.027540922,-3,-4,-16,4,-5,-8,13,1,76344
704.050561905,-3,-4,-16,4,-5,-8,13,1,76345
704.057590008,-3,-4,-16,3,-5,-8,13,1,76346
704.067676068,-3,-4,-16,3,-5,-8,13,1,76347
704.073412896,-3,-4,-16,1,-4,-8,13,1,76348
704.078796864,-2,-4,-16,1,-4,-8,13,1,76349
704.102567911,-2,-4,-16,0,-4,-7,13,1,76350
704.109587908,-2,-4,-17,-1,-5,-5,13,1,76351
704.114523888,-2,-4,-17,-1,-5,-5,13,1,76352
704.119554997,-2,-4,-17,-1,-5,-5,13,1,76353
704.124836922,-2,-3,-17,-2,-5,-2,13,1,76354
704.131567955,-2,-3,-17,-2,-5,-2,13,1,76355
704.153697014,-2,-3,-17,-3,-5,0,13,1,76356
704.16067195,-2,-3,-17,-3,-5,1,13,1,76357
704.170600891,-2,-3,-17,-3,-5,1,13,1,76358
704.17659688,-2,-3,-17,-4,-4,3,13,1,76359
704.182585955,-2,-3,-17,-4,-4,3,13,1,76360
704.205646992,-2,-2,-17,-3,-2,4,13,1,76361
704.212620974,-2,-2,-16,-2,0,4,13,1,76362
704.222657919,-2,-2,-16,-2,0,4,13,1,76363
704.228628874,-2,-2,-16,-1,1,4,13,1,76364
704.234673024,-2,-2,-16,-1,1,4,13,1,76365
704.257592917,-2,-2,-16,0,4,2,13,1,76366
704.264615059,-2,-2,-16,0,6,1,13,1,76367
704.274592877,-2,-2,-16,0,6,1,13,1,76368
704.279546023,-2,-2,-16,0,9,0,13,1,76369
704.290349007,-2,-2,-16,0,9,0,13,1,76370
704.31057787,-2,-2,-16,1,10,-1,13,1,76371
704.316575051,-2,-2,-16,0,12,-2,13,1,76372
704.322149039,-2,-2,-16,0,12,-2,13,1,76373
704.327025891,-2,-2,-16,0,12,-2,13,1,76374
704.33255601,-2,-2,-16,0,12,-2,13,1,76375
704.338619948,-2,-2,-16,0,12,-2,13,1,76376
704.362550974,-2,-2,-16,0,12,-3,13,1,76377
704.369628907,-2,-2,-17,0,11,-4,13,1,76378
704.374583006,-2,-2,-17,0,11,-4,13,1,76379
704.380187035,-2,-2,-17,0,11,-4,13,1,76380
704.384630919,-2,-2,-17,0,9,-4,13,1,76381
704.39150095,-2,-2,-17,0,9,-4,13,1,76382
704.414557934,-2,-2,-17,0,9,-4,13,1,76383
704.421521902,-2,-2,-17,0,7,-3,13,1,76384
704.426604033,-2,-2,-17,0,7,-3,13,1,76385
704.436644078,-2,-2,-17,0,4,-3,13,1,76386
704.442548991,-1,-2,-17,0,4,-3,13,1,76387
704.466603995,-1,-2,-17,0,1,-2,13,1,76388
704.473686934,-1,-2,-17,1,-1,-2,13,1,76389
704.478625059,-1,-2,-17,1,-1,-2,13,1,76390
704.483502865,-1,-2,-17,1,-1,-2,13,1,76391
704.488595963,-1,-2,-17,2,-3,-2,13,1,76392
704.495601893,-1,-2,-17,2,-3,-2,13,1,76393
704.519520045,-1,-2,-17,3,-6,-3,13,1,76394
704.525691986,-1,-2,-17,3,-7,-4,13,1,76395
704.530710936,-1,-2,-17,3,-7,-4,13,1,76396
704.535583973,-1,-2,-17,3,-7,-4,13,1,76397
704.541599989,-1,-2,-17,4,-8,-5,13,1,76398
704.547666073,-1,-2,-17,4,-8,-5,13,1,76399
704.571572066,-1,-2,-17,4,-8,-5,13,1,76400
704.5776999,-1,-3,-17,4,-8,-6,13,1,76401
704.587591887,-2,-3,-17,4,-8,-6,13,1,76402
704.593483925,-2,-3,-17,4,-6,-7,13,1,76403
704.599658966,-2,-3,-17,4,-6,-7,13,1,76404
704.623507023,-2,-3,-17,4,-4,-8,13,1,76405
704.629709959,-2,-2,-17,3,-2,-8,13,1,76406
704.6346519,-2,-2,-18,3,-2,-8,13,1,76407
704.640661002,-2,-2,-18,2,0,-8,13,1,76408
704.651623965,-2,-2,-18,2,0,-8,13,1,76409
704.675589085,-2,-2,-18,1,2,-7,13,1,76410
704.682578087,-3,-1,-18,1,5,-6,13,1,76411
704.69194603,-3,-1,-18,1,5,-6,13,1,76412
704.697542906,-3,-1,-18,0,7,-4,13,1,76413
704.703494072,-3,0,-18,0,7,-4,13,1,76414
704.727568865,-3,0,-18,0,8,-1,13,1,76415
704.734526873,-3,0,-18,-1,8,0,13,1,76416
704.739676953,-3,1,-18,-1,8,0,13,1,76417
704.748171091,-3,1,-18,-1,8,0,13,1,76418
704.749691963,-3,2,-18,-3,7,2,13,1,76419
704.75551486,-3,2,-18,-3,7,2,13,1,76420
704.779574871,-3,2,-18,-4,5,4,13,1,76421
704.786607027,-4,3,-18,-5,3,4,13,1,76422
704.79173708,-4,3,-18,-5,3,4,13,1,76423
704.796554089,-4,3,-18,-5,3,4,13,1,76424
704.801578999,-4,4,-18,-6,2,4,13,1,76425
704.808497906,-4,4,-18,-6,2,4,13,1,76426
704.831559897,-4,4,-18,-6,0,2,13,1,76427
704.844280958,-4,4,-18,-6,0,1,13,1,76428
704.848594904,-5,5,-18,-6,0,1,13,1,76429
704.853692055,-5,5,-18,-6,0,0,13,1,76430
704.860508919,-5,5,-18,-6,0,0,13,1,76431
704.883547068,-5,5,-18,-5,1,-1,13,1,76432
704.890584946,-5,5,-18,-4,2,-2,13,1,76433
704.895562887,-5,5,-18,-4,2,-2,13,1,76434
704.901509047,-6,5,-18,-3,3,-2,13,1,76435
704.912523985,-6,5,-18,-3,3,-2,13,1,76436
704.936579943,-6,5,-18,-3,2,-2,13,1,76437
704.942588091,-6,5,-18,-3,1,-1,13,1,76438
704.952553988,-6,4,-18,-3,1,-1,13,1,76439
704.960973978,-6,4,-18,-3,0,0,13,1,76440
704.964732886,-6,4,-18,-3,0,0,13,1,76441
704.98849988,-7,4,-18,-3,-1,0,13,1,76442
704.994620085,-7,3,-18,-3,-3,0,13,1,76443
705.000248909,-7,3,-18,-3,-3,0,13,1,76444
705.00463605,-7,3,-18,-3,-3,0,13,1,76445
705.010848046,-7,3,-18,-3,-3,1,13,1,76446
705.016514063,-7,2,-18,-3,-3,1,13,1,76447
705.039592982,-7,2,-18,-3,-3,1,13,1,76448
705.046542883,-7,2,-18,-2,-3,1,13,1,76449
705.056735993,-7,1,-18,-2,-3,1,13,1,76450
705.061541081,-7,1,-18,0,-3,0,13,1,76451
705.069319964,-7,1,-18,0,-3,0,13,1,76452
705.091626883,-7,1,-18,1,-2,0,13,1,76453
705.098614931,-7,0,-18,3,-2,0,13,1,76454
705.103650093,-7,0,-18,3,-2,0,13,1,76455
705.108552933,-7,0,-18,3,-2,0,13,1,76456
705.116232872,-7,0,-18,5,-1,0,13,1,76457
705.120609999,-7,-1,-18,5,-1,0,13,1,76458
705.144655943,-7,-1,-18,6,-1,0,13,1,76459
705.150629998,-7,-1,-18,6,0,0,13,1,76460
705.155768872,-7,-1,-18,6,0,0,13,1,76461
705.161643982,-7,-2,-18,6,0,0,13,1,76462
705.166559935,-7,-2,-18,6,0,0,13,1,76463
705.172564984,-7,-2,-18,5,-1,0,13,1,76464
705.196599007,-7,-2,-18,5,-1,0,13,1,76465
705.203579903,-6,-3,-18,3,-1,0,13,1,76466
705.208512068,-6,-3,-18,3,-1,0,13,1,76467
705.213582039,-6,-3,-18,3,-1,0,13,1,76468
705.219618082,-6,-4,-18,2,-1,-1,13,1,76469
705.224694968,-6,-4,-18,2,-1,-1,13,1,76470
705.248571873,-6,-4,-18,2,-1,-1,13,1,76471
705.254612923,-6,-5,-18,0,-2,-3,13,1,76472
705.26453805,-6,-5,-18,0,-2,-3,13,1,76473
705.270601034,-6,-6,-18,0,-1,-4,13,1,76474
705.276576996,-6,-6,-18,0,-1,-4,13,1,76475
705.299622059,-6,-6,-18,0,-1,-4,13,1,76476
705.306614876,-6,-7,-18,-1,0,-4,13,1,76477
705.316498995,-5,-7,-18,-1,0,-4,13,1,76478
705.321552992,-5,-7,-18,-1,0,-4,13,1,76479
705.332206965,-5,-8,-18,-1,0,-4,13,1,76480
705.351568938,-5,-8,-18,0,1,-4,13,1,76481
705.358589888,-5,-8,-18,0,1,-3,13,1,76482
705.363569022,-5,-8,-18,0,1,-3,13,1,76483
705.368633032,-5,-9,-18,0,1,-3,13,1,76484
705.373569966,-4,-9,-18,1,0,-1,13,1,76485
705.379596949,-4,-9,-18,1,0,-1,13,1,76486
705.403631926,-4,-9,-18,2,0,0,13,1,76487
705.410554886,-4,-9,-18,2,-2,1,13,1,76488
705.424402952,-4,-9,-18,2,-2,1,13,1,76489
