TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
1070.99567389,-5,-2,16,-4,6,-5,4,1,116827
1071.00079203,-5,-2,16,-4,6,-5,4,1,116828
1071.00840902,-5,-2,16,-2,6,-3,4,1,116829
1071.01183891,-6,-1,16,-2,6,-3,4,1,116830
1071.03580904,-6,-1,16,-1,6,-1,4,1,116831
1071.04279804,-6,-1,16,0,7,0,4,1,116832
1071.04812598,-6,-1,16,0,7,0,4,1,116833
1071.05279493,-6,-1,16,0,7,0,4,1,116834
1071.05810094,-6,-1,16,0,8,1,4,1,116835
1071.06462288,-6,0,16,0,8,1,4,1,116836
1071.08777308,-6,0,16,0,10,2,4,1,116837
1071.09470105,-6,0,16,0,11,2,4,1,116838
1071.10468793,-6,0,16,0,11,2,4,1,116839
1071.11064696,-6,0,16,-2,13,1,4,1,116840
1071.11665797,-6,1,16,-2,13,1,4,1,116841
1071.14075899,-6,1,16,-2,14,0,4,1,116842
1071.14683104,-6,1,16,-2,16,-1,4,1,116843
1071.15211105,-6,1,16,-2,16,-1,4,1,116844
1071.15712595,-6,1,16,-2,16,-1,4,1,116845
1071.16265488,-6,1,16,-2,17,-3,4,1,116846
1071.16867399,-6,1,16,-2,17,-3,4,1,116847
1071.19169402,-6,2,16,-2,17,-3,4,1,116848
1071.19873786,-7,2,16,0,17,-3,4,1,116849
1071.20870495,-7,2,16,0,17,-3,4,1,116850
1071.21375108,-7,2,16,1,17,-3,4,1,116851
1071.22433496,-7,2,16,1,17,-3,4,1,116852
1071.24382186,-7,2,16,1,17,-3,4,1,116853
1071.25069809,-7,3,16,2,16,-2,4,1,116854
1071.26063609,-7,3,16,2,16,-2,4,1,116855
1071.26568699,-7,3,16,3,14,-1,4,1,116856
1071.27176309,-7,2,16,3,14,-1,4,1,116857
1071.29566789,-7,2,16,3,11,-1,4,1,116858
1071.30272388,-7,3,16,2,7,-1,4,1,116859
1071.30797005,-7,2,16,2,7,-1,4,1,116860
1071.31278801,-8,2,16,2,7,-1,4,1,116861
1071.31780005,-8,2,16,0,3,-1,4,1,116862
1071.32472706,-8,2,16,0,3,-1,4,1,116863
1071.34870696,-8,2,16,-2,0,-2,4,1,116864
1071.35474396,-8,2,16,-4,-4,-3,4,1,116865
1071.35975289,-8,2,16,-4,-4,-3,4,1,116866
1071.36576104,-8,1,16,-6,-8,-3,4,1,116867
1071.37128401,-8,1,16,-6,-8,-3,4,1,116868
1071.37769389,-8,1,16,-7,-9,-3,4,1,116869
1071.400738,-8,1,15,-7,-9,-3,4,1,116870
1071.4077549,-8,1,15,-7,-10,-3,4,1,116871
1071.41268492,-8,0,15,-7,-10,-3,4,1,116872
1071.41777086,-8,0,15,-7,-10,-3,4,1,116873
1071.42277098,-8,0,15,-7,-9,-3,4,1,116874
1071.42893791,-8,0,15,-7,-9,-3,4,1,116875
1071.45279598,-8,0,15,-6,-8,-4,4,1,116876
1071.45982909,-8,0,15,-5,-6,-4,4,1,116877
1071.46972799,-8,0,15,-5,-6,-4,4,1,116878
1071.47478294,-8,-1,15,-4,-4,-5,4,1,116879
1071.48165298,-8,-1,15,-4,-4,-5,4,1,116880
1071.50572395,-8,-1,15,-2,-2,-5,4,1,116881
1071.51169705,-7,-1,15,-1,-1,-5,4,1,116882
1071.52626801,-7,-1,15,-1,-1,-5,4,1,116883
1071.52862501,-7,-1,15,0,0,-4,4,1,116884
1071.53376389,-6,-1,15,0,0,-4,4,1,116885
1071.55805588,-6,-1,15,1,0,-3,4,1,116886
1071.56473899,-6,-1,15,3,0,-1,4,1,116887
1071.56914902,-6,-1,15,3,0,-1,4,1,116888
1071.57374501,-5,-1,15,3,0,-1,4,1,116889
1071.57980609,-5,-1,15,3,0,1,4,1,116890
1071.5857091,-5,-1,15,3,0,1,4,1,116891
1071.609761,-5,-1,15,4,0,3,4,1,116892
1071.62027502,-4,-2,15,4,0,6,4,1,116893
1071.62667799,-4,-2,15,4,0,6,4,1,116894
1071.63168192,-4,-2,15,4,0,7,4,1,116895
1071.63773203,-4,-2,15,4,0,7,4,1,116896
1071.66189909,-3,-2,15,4,1,7,4,1,116897
1071.66880107,-3,-2,15,4,2,6,4,1,116898
1071.67435002,-3,-3,15,4,2,6,4,1,116899
1071.67893291,-3,-3,15,4,2,6,4,1,116900
1071.68413305,-3,-3,15,5,3,5,4,1,116901
1071.69068098,-3,-3,15,5,3,5,4,1,116902
1071.71378303,-3,-3,15,5,3,5,4,1,116903
1071.72068,-3,-3,16,5,3,2,4,1,116904
1071.72967601,-3,-4,16,5,3,2,4,1,116905
1071.73574305,-3,-4,16,4,3,0,4,1,116906
1071.74429893,-3,-4,16,4,3,0,4,1,116907
1071.76570392,-3,-4,16,4,3,0,4,1,116908
1071.77173901,-3,-4,16,4,2,-1,4,1,116909
1071.781708,-4,-4,15,4,2,-1,4,1,116910
1071.78772092,-4,-5,15,3,1,-2,4,1,116911
1071.79367709,-4,-5,15,3,1,-2,4,1,116912
1071.81768298,-4,-5,15,2,0,-3,4,1,116913
1071.82371497,-4,-5,15,1,0,-4,4,1,116914
1071.82872295,-4,-5,15,1,0,-4,4,1,116915
1071.83478904,-4,-5,15,0,-1,-4,4,1,116916
1071.84569192,-5,-5,15,-1,-1,-4,4,1,116917
1071.86974692,-5,-5,15,-1,-1,-4,4,1,116918
1071.87585688,-5,-5,15,-3,-2,-4,4,1,116919
1071.88574696,-5,-5,15,-3,-2,-4,4,1,116920
1071.89575601,-5,-5,15,-5,-2,-4,4,1,116921
1071.89825392,-5,-5,15,-5,-2,-4,4,1,116922
1071.92168808,-6,-5,15,-6,-2,-3,4,1,116923
1071.92780089,-6,-5,15,-6,-2,-1,4,1,116924
1071.93276,-6,-5,15,-6,-2,-1,4,1,116925
1071.93867302,-6,-5,15,-6,-2,-1,4,1,116926
1071.94377494,-6,-5,15,-5,-2,0,4,1,116927
1071.94972396,-6,-4,15,-5,-2,0,4,1,116928
1071.97371602,-6,-4,15,-3,-1,1,4,1,116929
1071.98069286,-6,-4,15,-1,-2,2,4,1,116930
1071.98565888,-6,-4,15,-1,-2,2,4,1,116931
1071.99074197,-6,-4,15,-1,-2,2,4,1,116932
1071.99572897,-6,-4,15,0,-2,2,4,1,116933
1072.00176501,-6,-4,15,0,-2,2,4,1,116934
1072.02577496,-6,-4,15,1,-2,2,4,1,116935
1072.03269792,-6,-4,15,3,-2,1,4,1,116936
1072.04268193,-6,-3,15,3,-2,1,4,1,116937
1072.04789901,-6,-3,15,4,-1,0,4,1,116938
1072.05477691,-6,-3,15,4,-1,0,4,1,116939
1072.07777596,-6,-3,15,5,0,-1,4,1,116940
1072.084867,-6,-3,15,6,1,-2,4,1,116941
1072.0897789,-6,-3,15,6,1,-2,4,1,116942
1072.09575296,-6,-3,15,6,3,-3,4,1,116943
1072.10668588,-6,-3,15,6,3,-3,4,1,116944
1072.13073897,-6,-3,15,6,5,-4,4,1,116945
1072.13680387,-6,-3,15,5,7,-3,4,1,116946
1072.14668894,-7,-3,15,5,7,-3,4,1,116947
1072.15167689,-7,-3,15,4,7,-3,4,1,116948
1072.15867496,-7,-3,15,4,7,-3,4,1,116949
1072.18269086,-7,-3,15,2,7,-2,4,1,116950
1072.189435,-7,-2,15,0,6,0,4,1,116951
1072.19366288,-7,-2,15,0,6,0,4,1,116952
1072.20167708,-7,-2,15,0,6,0,4,1,116953
1072.20487189,-7,-2,15,0,4,0,4,1,116954
1072.21063995,-7,-2,15,0,4,0,4,1,116955
1072.23364496,-7,-2,15,0,4,0,4,1,116956
1072.2407279,-8,-2,15,-1,2,1,4,1,116957
1072.25069189,-8,-2,15,-1,2,1,4,1,116958
1072.25567699,-8,-2,15,-2,1,3,4,1,116959
1072.26271987,-8,-2,15,-2,1,3,4,1,116960
1072.28671908,-8,-2,15,-1,0,3,4,1,116961
1072.29685187,-8,-2,15,-1,0,4,4,1,116962
1072.29820204,-8,-2,15,-1,0,4,4,1,116963
1072.30267787,-8,-2,15,-1,0,4,4,1,116964
1072.30862594,-8,-2,15,0,0,5,4,1,116965
1072.31467104,-8,-2,15,0,0,5,4,1,116966
1072.33867788,-9,-2,15,0,0,5,4,1,116967
1072.34464288,-9,-2,15,0,0,4,4,1,116968
1072.35056806,-9,-1,15,0,0,4,4,1,116969
1072.36065102,-9,-1,15,-1,1,4,4,1,116970
1072.36666489,-9,-1,15,-1,1,4,4,1,116971
1072.39070201,-9,-1,15,-1,2,3,4,1,116972
1072.39679098,-9,-1,15,-2,3,1,4,1,116973
1072.40175509,-9,-1,15,-2,3,1,4,1,116974
1072.40771008,-10,-1,15,-2,3,1,4,1,116975
1072.41268087,-10,-1,15,-2,3,0,4,1,116976
1072.41882086,-10,-1,15,-2,3,0,4,1,116977
1072.44274998,-10,-1,15,-2,3,0,4,1,116978
1072.44879508,-10,0,15,-2,3,-1,4,1,116979
1072.45872498,-10,0,15,-2,3,-1,4,1,116980
1072.46472096,-10,0,15,-1,3,-2,4,1,116981
1072.47064591,-10,0,15,-1,3,-2,4,1,116982
1072.494771,-9,0,15,0,2,-3,4,1,116983
1072.50173092,-9,0,15,0,1,-3,4,1,116984
1072.50657892,-9,0,15,0,1,-3,4,1,116985
1072.51212597,-9,0,15,0,1,-3,4,1,116986
1072.51667595,-9,0,15,1,0,-3,4,1,116987
1072.52265,-9,0,15,1,0,-3,4,1,116988
1072.54672194,-8,0,15,2,-2,-2,4,1,116989
1072.55376005,-8,0,15,2,-3,0,4,1,116990
1072.55875087,-8,0,15,2,-3,0,4,1,116991
1072.56812286,-7,1,15,1,-5,0,4,1,116992
1072.57588601,-7,1,15,1,-5,0,4,1,116993
1072.59884787,-7,1,15,1,-5,2,4,1,116994
1072.60584807,-6,1,15,0,-5,3,4,1,116995
1072.61569786,-6,1,15,0,-5,3,4,1,116996
1072.62073994,-5,1,15,-1,-5,3,4,1,116997
1072.63221908,-5,1,15,-1,-5,3,4,1,116998
1072.65172196,-5,1,15,-1,-4,3,4,1,116999
1072.65833688,-5,1,15,-2,-4,2,4,1,117000
1072.66275787,-4,1,15,-2,-4,2,4,1,117001
1072.667799,-4,1,15,-2,-4,2,4,1,117002
1072.67367387,-4,1,15,-2,-4,1,4,1,117003
1072.67966986,-4,1,15,-2,-4,1,4,1,117004
1072.70373988,-4,1,15,-1,-3,0,4,1,117005
1072.71073389,-3,1,15,-1,-2,0,4,1,117006
1072.71570301,-3,1,15,-1,-2,0,4,1,117007
1072.72068691,-3,1,15,-1,-2,0,4,1,117008
1072.7259059,-3,1,15,0,-1,-1,4,1,117009
1072.73269796,-3,1,15,0,-1,-1,4,1,117010
1072.75579095,-3,1,15,0,0,-1,4,1,117011
1072.762712,-3,1,15,0,1,0,4,1,117012
1072.76769996,-3,1,15,0,1,0,4,1,117013
1072.77270103,-3,1,15,0,1,0,4,1,117014
1072.78024602,-3,1,15,1,2,0,4,1,117015
1072.78470302,-3,1,15,1,2,0,4,1,117016
1072.80874586,-3,1,15,1,3,1,4,1,117017
1072.81569696,-3,1,15,1,4,2,4,1,117018
1072.82070589,-3,1,15,1,4,2,4,1,117019
1072.82577109,-3,1,15,2,5,2,4,1,117020
1072.83066797,-3,1,15,2,5,2,4,1,117021
1072.83773208,-3,1,15,2,7,1,4,1,117022
1072.86077309,-3,1,16,2,7,1,4,1,117023
1072.86777806,-3,1,16,3,9,0,4,1,117024
1072.8778069,-4,1,16,3,9,0,4,1,117025
1072.88299894,-4,1,16,3,10,0,4,1,117026
1072.8886931,-4,1,16,3,10,0,4,1,117027
1072.91269588,-4,1,16,2,11,0,4,1,117028
1072.91979504,-4,2,16,2,11,0,4,1,117029
1072.92470288,-4,2,16,2,11,0,4,1,117030
1072.92978406,-4,2,16,2,11,0,4,1,117031
1072.93501806,-5,2,16,1,11,0,4,1,117032
1072.94166589,-5,2,16,1,11,0,4,1,117033
1072.96471405,-5,2,16,1,11,0,4,1,117034
1072.97183395,-5,2,16,0,10,2,4,1,117035
1072.98171306,-5,2,16,0,10,2,4,1,117036
1072.98675394,-6,2,16,-1,8,3,4,1,117037
1072.99278903,-6,2,16,-1,8,3,4,1,117038
1073.01673508,-6,2,16,-3,6,4,4,1,117039
1073.02366209,-6,2,16,-3,5,4,4,1,117040
1073.028759,-6,2,16,-3,5,4,4,1,117041
1073.0336349,-6,2,16,-3,5,4,4,1,117042
1073.03875709,-6,2,16,-3,4,3,4,1,117043
1073.04478598,-6,2,16,-3,4,3,4,1,117044
1073.06868196,-6,2,16,-2,4,2,4,1,117045
1073.07566404,-6,2,16,0,4,0,4,1,117046
1073.08074689,-6,2,16,0,4,0,4,1,117047
1073.092412,-6,2,16,1,4,-1,4,1,117048
1073.09768796,-6,1,16,1,4,-1,4,1,117049
1073.12083101,-6,1,16,2,4,-2,4,1,117050
1073.12774205,-6,1,16,4,4,-2,4,1,117051
1073.13286901,-6,1,16,4,4,-2,4,1,117052
1073.13771796,-6,1,16,4,4,-2,4,1,117053
1073.14382196,-6,1,16,4,5,-2,4,1,117054
1073.14985895,-6,0,16,4,5,-2,4,1,117055
1073.17271805,-5,0,16,4,5,-2,4,1,117056
1073.17971492,-5,0,16,4,5,-2,4,1,117057
1073.18989491,-5,0,16,4,5,-2,4,1,117058
1073.19473791,-5,0,16,3,6,-2,4,1,117059
1073.20070005,-5,-1,16,3,6,-2,4,1,117060
1073.22468996,-5,-1,16,3,6,-2,4,1,117061
1073.23078108,-5,-1,16,2,7,-1,4,1,117062
1073.24079704,-5,-1,16,2,7,-1,4,1,117063
1073.24674487,-5,-1,16,1,7,-1,4,1,117064
1073.25282288,-5,-1,16,1,7,-1,4,1,117065
1073.27673507,-4,-1,16,1,7,-1,4,1,117066
1073.28365207,-5,-1,16,0,7,-1,4,1,117067
1073.28820586,-5,-1,16,0,7,-1,4,1,117068
1073.29373908,-5,-1,16,0,7,-1,4,1,117069
1073.29865193,-5,-2,16,0,7,-1,4,1,117070
1073.30588198,-5,-2,16,0,6,-2,4,1,117071
1073.32871008,-5,-2,16,0,6,-2,4,1,117072
1073.33565688,-5,-2,15,0,4,-2,4,1,117073
1073.34569192,-5,-2,15,0,4,-2,4,1,117074
1073.35079789,-5,-2,15,0,3,-3,4,1,117075
1073.35681892,-6,-2,15,0,3,-3,4,1,117076
1073.38068509,-6,-2,15,-1,1,-3,4,1,117077
1073.387676,-6,-2,15,-1,0,-3,4,1,117078
1073.398031,-7,-2,15,-1,0,-3,4,1,117079
1073.40307307,-7,-2,15,-1,-2,-4,4,1,117080
1073.40875506,-7,-2,15,-1,-2,-4,4,1,117081
1073.43274498,-7,-2,15,-1,-5,-5,4,1,117082
1073.43973708,-7,-2,15,-1,-8,-5,4,1,117083
1073.44468093,-8,-2,15,-1,-8,-5,4,1,117084
1073.44969392,-8,-2,15,-1,-8,-5,4,1,117085
1073.45565486,-8,-2,15,0,-10,-5,4,1,117086
1073.46175003,-8,-2,15,0,-10,-5,4,1,117087
1073.48567605,-8,-2,15,0,-12,-6,4,1,117088
1073.49183607,-8,-2,15,1,-14,-6,4,1,117089
1073.50174189,-9,-2,15,1,-14,-6,4,1,117090
1073.50784492,-9,-2,15,1,-15,-6,4,1,117091
1073.51371503,-9,-2,15,1,-15,-6,4,1,117092
1073.537709,-9,-2,15,2,-15,-6,4,1,117093
1073.54466605,-9,-2,15,2,-15,-5,4,1,117094
1073.54874086,-9,-2,15,2,-15,-5,4,1,117095
1073.55467606,-9,-2,15,2,-15,-5,4,1,117096
1073.55980086,-9,-2,15,1,-15,-5,4,1,117097
1073.56571508,-8,-2,15,1,-15,-5,4,1,117098
1073.58972788,-8,-2,15,0,-14,-4,4,1,117099
1073.5966959,-8,-2,14,0,-13,-4,4,1,117100
1073.60170889,-8,-2,14,0,-13,-4,4,1,117101
1073.60939693,-8,-2,14,0,-13,-4,4,1,117102
1073.61331797,-8,-2,14,0,-12,-4,4,1,117103
1073.62084889,-8,-2,14,0,-12,-4,4,1,117104
1073.64174509,-8,-2,14,0,-12,-4,4,1,117105
1073.64872289,-8,-2,14,-1,-9,-4,4,1,117106
1073.65867901,-7,-2,14,-1,-9,-4,4,1,117107
1073.66370487,-7,-1,14,-1,-5,-3,4,1,117108
1073.67076397,-7,-1,14,-1,-5,-3,4,1,117109
1073.6937809,-7,-1,14,-1,-1,-2,4,1,117110
1073.70073199,-7,-1,14,-2,3,0,4,1,117111
1073.70574594,-7,0,14,-2,3,0,4,1,117112
1073.71079803,-7,0,14,-2,3,0,4,1,117113
1073.71675491,-7,0,14,-2,7,3,4,1,117114
1073.72261691,-7,0,14,-2,7,3,4,1,117115
1073.7466979,-7,1,14,-3,10,6,4,1,117116
1073.7528429,-8,1,14,-3,13,9,4,1,117117
1073.75813103,-8,2,15,-3,13,9,4,1,117118
1073.76273608,-8,2,15,-3,13,9,4,1,117119
1073.76900387,-8,2,15,-4,14,11,4,1,117120
1073.77472496,-8,3,15,-4,14,11,4,1,117121
1073.79875398,-8,3,15,-5,15,12,4,1,117122
1073.8057189,-9,4,15,-4,15,11,4,1,117123
1073.8107729,-9,4,15,-4,15,11,4,1,117124
1073.82066488,-9,4,15,-4,14,9,4,1,117125
1073.82676196,-9,5,15,-4,14,9,4,1,117126
1073.85071993,-9,5,15,-2,13,6,4,1,117127
1073.85787606,-10,5,15,0,11,2,4,1,117128
1073.8626709,-10,6,15,0,11,2,4,1,117129
1073.86762309,-10,6,15,0,11,2,4,1,117130
1073.87280488,-10,6,15,1,9,-1,4,1,117131
1073.8787899,-10,6,15,1,9,-1,4,1,117132
1073.90270686,-10,6,15,3,6,-4,4,1,117133
1073.90975189,-10,6,15,5,4,-7,4,1,117134
1073.91970396,-10,6,15,5,4,-7,4,1,117135
1073.92469096,-10,6,15,5,2,-9,4,1,117136
1073.93069506,-10,6,15,5,2,-9,4,1,117137
1073.95471001,-10,6,15,5,0,-9,4,1,117138
1073.96182704,-10,6,15,3,0,-8,4,1,117139
1073.96671009,-10,6,15,3,0,-8,4,1,117140
1073.97287488,-10,6,15,3,0,-8,4,1,117141
1073.97673893,-10,6,15,2,-1,-7,4,1,117142
1073.98374701,-10,5,15,2,-1,-7,4,1,117143
1074.00801086,-10,5,15,1,-1,-5,4,1,117144
1074.01377392,-10,5,14,0,-2,-3,4,1,117145
1074.01872706,-10,5,14,0,-2,-3,4,1,117146
1074.02470493,-10,5,14,0,-2,-2,4,1,117147
1074.02971292,-10,4,14,0,-2,-2,4,1,117148
1074.03666401,-10,4,14,1,-3,-1,4,1,117149
1074.05971789,-10,4,14,1,-3,-1,4,1,117150
1074.06576586,-10,4,14,1,-3,-1,4,1,117151
1074.07570505,-10,4,14,1,-3,-1,4,1,117152
1074.08172298,-10,3,14,2,-2,0,4,1,117153
1074.08789492,-10,3,14,2,-2,0,4,1,117154
1074.11167908,-10,3,14,2,-1,0,4,1,117155
1074.11868286,-10,3,14,1,1,0,4,1,117156
1074.12298298,-10,3,14,1,1,0,4,1,117157
1074.12864494,-10,3,14,1,1,0,4,1,117158
1074.13373089,-10,3,14,0,3,0,4,1,117159
1074.14007997,-10,3,14,0,3,0,4,1,117160
1074.1637919,-10,3,14,0,3,0,4,1,117161
1074.16977,-10,3,14,0,6,1,4,1,117162
1074.17975903,-10,2,14,0,6,1,4,1,117163
1074.18573499,-10,2,14,-1,9,3,4,1,117164
1074.19171,-10,2,14,-1,9,3,4,1,117165
1074.21566796,-10,2,14,-2,11,4,4,1,117166
1074.22183395,-10,3,15,-2,13,6,4,1,117167
1074.22680998,-10,3,15,-2,13,6,4,1,117168
1074.23169994,-10,2,15,-2,13,6,4,1,117169
1074.23770595,-10,2,15,-2,14,7,4,1,117170
1074.24376988,-10,2,15,-2,14,7,4,1,117171
1074.26809692,-10,2,15,-1,13,8,4,1,117172
1074.27478194,-10,3,15,0,11,7,4,1,117173
1074.27922797,-10,3,15,0,11,7,4,1,117174
1074.28966594,-10,3,15,0,8,6,4,1,117175
1074.29578304,-10,3,15,0,8,6,4,1,117176
1074.31872296,-11,3,15,0,8,6,4,1,117177
1074.32570195,-11,3,15,0,4,4,4,1,117178
1074.33569908,-11,3,15,0,4,4,4,1,117179
1074.34074807,-11,3,15,1,0,2,4,1,117180
1074.34811187,-11,3,15,1,0,2,4,1,117181
1074.37069106,-11,3,15,1,0,2,4,1,117182
1074.37799191,-11,3,15,1,-4,0,4,1,117183
1074.38684297,-12,3,15,1,-4,0,4,1,117184
1074.39278293,-12,3,15,1,-8,-3,4,1,117185
1074.39899707,-12,3,15,1,-8,-3,4,1,117186
1074.421767,-12,3,15,1,-8,-3,4,1,117187
1074.42874694,-12,2,15,0,-12,-6,4,1,117188
1074.43873692,-13,2,15,0,-12,-6,4,1,117189
1074.4437139,-13,2,15,0,-15,-9,4,1,117190
1074.45072103,-13,2,15,0,-15,-9,4,1,117191
1074.47471404,-13,1,15,0,-16,-11,4,1,117192
1074.48075008,-13,1,15,0,-17,-13,4,1,117193
1074.48571396,-13,0,15,0,-17,-13,4,1,117194
1074.49082398,-13,0,14,0,-17,-13,4,1,117195
