TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
306.239336014,1,0,-53,1,2,0,5,1,32931
306.245495081,1,0,-53,0,1,0,5,1,32932
306.251420021,1,0,-53,0,1,0,5,1,32933
306.275390864,1,-1,-53,0,0,0,5,1,32934
306.28241992,1,-1,-53,0,0,0,5,1,32935
306.288600922,1,-1,-53,0,0,0,5,1,32936
306.292515993,1,-1,-53,0,0,0,5,1,32937
306.297324896,1,-2,-53,-1,-1,0,5,1,32938
306.303343058,1,-2,-53,-1,-1,0,5,1,32939
306.327476979,1,-2,-53,-2,-2,0,5,1,32940
306.334326983,1,-2,-53,-2,-3,-1,5,1,32941
306.345264912,0,-3,-53,-2,-3,-1,5,1,32942
306.349974871,0,-3,-53,-3,-3,-1,5,1,32943
306.355346918,0,-3,-53,-3,-3,-1,5,1,32944
306.38079691,0,-4,-53,-3,-2,-1,5,1,32945
306.386373997,0,-4,-53,-3,-1,-1,5,1,32946
306.391438008,0,-4,-53,-3,-1,-1,5,1,32947
306.396553994,0,-4,-53,-3,-1,-1,5,1,32948
306.402328968,0,-4,-53,-3,0,-1,5,1,32949
306.40840292,0,-5,-53,-3,0,-1,5,1,32950
306.432408095,0,-5,-53,-2,1,-1,5,1,32951
306.440376044,0,-5,-53,-1,2,0,5,1,32952
306.444438935,0,-5,-53,-1,2,0,5,1,32953
306.449374914,0,-5,-53,-1,2,0,5,1,32954
306.454369068,0,-5,-53,0,2,0,5,1,32955
306.460448027,0,-5,-53,0,2,0,5,1,32956
306.484453917,0,-5,-53,0,2,0,5,1,32957
306.490375042,0,-5,-53,2,2,0,5,1,32958
306.500323057,0,-5,-53,2,2,0,5,1,32959
306.50629592,0,-5,-53,3,1,0,5,1,32960
306.512516022,0,-5,-53,3,1,0,5,1,32961
306.536341906,1,-6,-53,4,0,0,5,1,32962
306.542470932,1,-6,-53,4,0,0,5,1,32963
306.547375918,1,-6,-53,4,0,0,5,1,32964
306.552341938,1,-6,-53,4,0,0,5,1,32965
306.560111046,1,-6,-53,3,-1,0,5,1,32966
306.566689968,1,-6,-53,3,-1,0,5,1,32967
306.591315985,1,-6,-53,3,-1,0,5,1,32968
306.594408036,1,-6,-53,1,0,-1,5,1,32969
306.599407912,1,-6,-53,1,0,-1,5,1,32970
306.610444069,1,-7,-53,0,0,-2,5,1,32971
306.616333962,1,-7,-53,0,0,-2,5,1,32972
306.640363932,1,-7,-53,-2,0,-2,5,1,32973
306.647338867,0,-7,-53,-4,1,-3,5,1,32974
306.651571989,0,-7,-53,-4,1,-3,5,1,32975
306.657393933,0,-7,-53,-4,1,-3,5,1,32976
306.662451029,0,-7,-53,-5,1,-2,5,1,32977
306.668591976,0,-8,-53,-5,1,-2,5,1,32978
306.692399025,0,-8,-53,-5,1,-2,5,1,32979
306.698426009,0,-8,-53,-4,0,-2,5,1,32980
306.708585024,0,-8,-53,-4,0,-2,5,1,32981
306.714660883,-1,-8,-53,-3,0,-1,5,1,32982
306.720371008,-1,-9,-53,-3,0,-1,5,1,32983
306.74426508,-1,-9,-53,-2,0,0,5,1,32984
306.751338959,-1,-9,-53,0,0,0,5,1,32985
306.760340929,-1,-9,-53,0,0,0,5,1,32986
306.766327858,-1,-9,-53,1,0,1,5,1,32987
306.772388935,-1,-9,-53,1,0,1,5,1,32988
306.796334982,-1,-9,-53,2,0,1,5,1,32989
306.803364039,-1,-9,-53,3,1,0,5,1,32990
306.812440872,-1,-9,-53,3,1,0,5,1,32991
306.818610907,-1,-9,-53,2,1,0,5,1,32992
306.824357987,0,-9,-53,2,1,0,5,1,32993
306.848402977,0,-9,-53,1,2,0,5,1,32994
306.855428934,0,-9,-53,0,2,-1,5,1,32995
306.865385056,0,-9,-53,0,2,-1,5,1,32996
306.870977879,0,-9,-53,0,2,-1,5,1,32997
306.877477885,0,-9,-53,0,2,-1,5,1,32998
306.900424958,0,-9,-53,-1,1,-1,5,1,32999
306.907401085,0,-9,-53,-1,0,0,5,1,33000
306.912777901,1,-8,-53,-1,0,0,5,1,33001
306.917484045,1,-8,-53,-1,0,0,5,1,33002
306.924170018,1,-8,-53,-1,0,0,5,1,33003
306.93112588,1,-8,-53,-1,0,0,5,1,33004
306.953377009,1,-8,-53,-2,-1,0,5,1,33005
306.960237027,1,-8,-53,-2,-2,1,5,1,33006
306.969413996,1,-8,-53,-2,-2,1,5,1,33007
306.975450993,1,-7,-53,-2,-3,1,5,1,33008
306.98138094,1,-7,-53,-2,-3,1,5,1,33009
307.005413056,1,-7,-53,-2,-3,0,5,1,33010
307.011384964,1,-7,-53,-2,-3,0,5,1,33011
307.016352892,1,-7,-53,-2,-3,0,5,1,33012
307.021322012,1,-7,-53,-2,-3,0,5,1,33013
307.027318001,1,-7,-53,-2,-2,-1,5,1,33014
307.033372879,1,-7,-53,-2,-2,-1,5,1,33015
307.057710886,1,-6,-53,-2,-1,-3,5,1,33016
307.064408064,1,-6,-53,-1,0,-4,5,1,33017
307.069478989,1,-6,-53,-1,0,-4,5,1,33018
307.074342966,1,-6,-53,0,1,-4,5,1,33019
307.08631897,1,-6,-53,0,1,-4,5,1,33020
307.111155987,1,-6,-53,0,1,-4,5,1,33021
307.116255045,1,-6,-53,1,1,-3,5,1,33022
307.126450062,0,-5,-53,1,1,-3,5,1,33023
307.131366968,0,-5,-53,1,1,-1,5,1,33024
307.137326002,0,-5,-53,1,1,-1,5,1,33025
307.161375046,0,-5,-53,1,0,0,5,1,33026
307.168462038,0,-5,-53,1,0,1,5,1,33027
307.178348065,0,-5,-53,1,0,1,5,1,33028
307.183758021,-1,-4,-53,0,0,2,5,1,33029
307.1904459,-1,-4,-53,0,0,2,5,1,33030
307.213330984,-1,-4,-53,0,0,2,5,1,33031
307.220428944,-1,-4,-53,0,0,1,5,1,33032
307.230467081,-1,-4,-53,0,0,1,5,1,33033
307.235356093,-2,-4,-53,0,0,0,5,1,33034
307.241585017,-2,-4,-53,0,0,0,5,1,33035
307.265424967,-2,-4,-53,0,1,0,5,1,33036
307.272374869,-2,-4,-53,0,1,-1,5,1,33037
307.278480053,-2,-4,-53,0,1,-1,5,1,33038
307.282568932,-2,-4,-53,0,1,-1,5,1,33039
307.288412094,-2,-4,-53,1,1,-1,5,1,33040
307.294322968,-3,-4,-53,1,1,-1,5,1,33041
307.317404986,-3,-4,-53,1,1,-1,5,1,33042
307.32465005,-3,-4,-53,1,1,-1,5,1,33043
307.331278086,-3,-4,-53,1,1,-1,5,1,33044
307.339401007,-3,-5,-53,1,0,-1,5,1,33045
307.346344948,-3,-5,-53,1,0,-1,5,1,33046
307.369572878,-3,-5,-53,0,0,-1,5,1,33047
307.376455069,-3,-5,-53,0,0,0,5,1,33048
307.381644965,-3,-5,-53,0,0,0,5,1,33049
307.38635993,-3,-5,-53,0,0,0,5,1,33050
307.39250207,-3,-5,-53,0,-1,0,5,1,33051
307.398472071,-3,-5,-53,0,-1,0,5,1,33052
307.423982859,-3,-5,-53,0,-1,0,5,1,33053
307.428408861,-3,-5,-53,0,-1,0,5,1,33054
307.438346863,-3,-5,-53,0,-1,0,5,1,33055
307.443515063,-3,-5,-53,0,-1,0,5,1,33056
307.449395895,-2,-5,-53,0,-1,0,5,1,33057
307.47337389,-2,-5,-53,0,-1,0,5,1,33058
307.480407,-2,-5,-53,1,0,0,5,1,33059
307.489403963,-2,-5,-53,1,0,0,5,1,33060
307.495445013,-2,-5,-53,1,0,0,5,1,33061
307.501314879,-2,-5,-53,1,0,0,5,1,33062
307.52540803,-2,-5,-53,2,0,0,5,1,33063
307.532309056,-2,-5,-53,1,0,0,5,1,33064
307.537384034,-2,-4,-53,1,0,0,5,1,33065
307.542478085,-1,-4,-53,1,0,0,5,1,33066
307.548435927,-1,-4,-53,0,0,0,5,1,33067
307.553392887,-1,-4,-53,0,0,0,5,1,33068
307.577427864,-1,-4,-53,-1,0,0,5,1,33069
307.584321976,-1,-3,-53,-2,-1,0,5,1,33070
307.589678049,-1,-3,-53,-2,-1,0,5,1,33071
307.595352888,-1,-3,-53,-3,-1,0,5,1,33072
307.599426031,-1,-3,-53,-3,-1,0,5,1,33073
307.608409882,-1,-3,-53,-2,-1,0,5,1,33074
307.630347014,0,-2,-53,-2,-1,0,5,1,33075
307.638808966,0,-2,-53,-1,0,-1,5,1,33076
307.646373988,0,-1,-53,-1,0,-1,5,1,33077
307.653100968,0,-1,-53,0,1,-2,5,1,33078
307.658395052,0,-1,-53,0,1,-2,5,1,33079
307.682493925,0,-1,-53,1,3,-3,5,1,33080
307.68933487,0,0,-54,1,4,-4,5,1,33081
307.700721026,0,0,-54,1,4,-4,5,1,33082
307.704545021,1,0,-54,2,4,-3,5,1,33083
307.710397959,1,0,-54,2,4,-3,5,1,33084
307.734391928,1,1,-54,1,2,-2,5,1,33085
307.741404057,1,1,-54,0,0,-1,5,1,33086
307.74632001,1,1,-54,0,0,-1,5,1,33087
307.752829075,1,1,-54,0,0,-1,5,1,33088
307.756866932,1,1,-54,0,0,0,5,1,33089
307.76337409,1,1,-54,0,0,0,5,1,33090
307.787303925,1,1,-54,0,-2,2,5,1,33091
307.793448925,1,1,-54,0,-2,2,5,1,33092
307.798835039,1,1,-54,0,-2,2,5,1,33093
307.804378033,1,1,-54,0,-2,2,5,1,33094
307.809406996,1,1,-54,0,-2,2,5,1,33095
307.815567971,1,0,-54,1,-1,1,5,1,33096
307.839482069,1,0,-54,1,-1,1,5,1,33097
307.846399069,1,0,-54,2,0,0,5,1,33098
307.855457068,1,0,-54,2,0,0,5,1,33099
307.864220858,1,0,-54,2,0,-1,5,1,33100
307.867441893,1,-1,-54,2,0,-1,5,1,33101
307.891360998,1,-1,-54,1,1,-3,5,1,33102
