TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
9.599886894,-6,-2,-7,12,-15,-1,59,1,1041
9.60223484,-6,-2,-7,12,-15,-1,59,1,1042
9.607903004,-6,-2,-7,12,-15,-1,59,1,1043
9.612901926,-6,-2,-7,8,-16,-2,59,1,1044
9.618928909,-6,-2,-7,8,-16,-2,59,1,1045
9.642900944,-6,-2,-7,5,-15,-3,59,1,1046
9.649941921,-6,-2,-7,0,-14,-3,59,1,1047
9.662466049,-6,-2,-7,0,-14,-3,59,1,1048
9.665104866,-7,-2,-7,-3,-12,-4,59,1,1049
9.672030926,-7,-3,-7,-3,-12,-4,59,1,1050
9.697906971,-7,-3,-8,-6,-12,-3,59,1,1051
9.702009916,-7,-3,-8,-7,-11,-2,59,1,1052
9.715128898,-7,-3,-8,-7,-11,-2,59,1,1053
9.744994879,-7,-3,-8,-7,-11,-1,59,1,1054
9.757928848,-7,-3,-8,-5,-11,0,59,1,1055
9.770817995,-7,-3,-8,-2,-11,1,59,1,1056
9.793009996,-7,-3,-8,-2,-11,1,59,1,1057
9.80002284,-7,-4,-8,0,-9,2,59,1,1058
9.809093952,-7,-4,-8,0,-9,2,59,1,1059
9.81488204,-7,-4,-8,2,-7,2,59,1,1060
9.821493864,-7,-4,-8,2,-7,2,59,1,1061
9.844899893,-7,-4,-8,3,-3,2,59,1,1062
9.851989984,-7,-4,-7,2,0,1,59,1,1063
9.857661009,-7,-4,-7,2,0,1,59,1,1064
9.86192584,-7,-4,-7,2,0,1,59,1,1065
9.866973877,-7,-4,-7,0,5,0,59,1,1066
9.875601053,-7,-4,-7,0,5,0,59,1,1067
9.896975994,-7,-4,-7,0,5,0,59,1,1068
9.903188944,-7,-4,-8,-4,10,-2,59,1,1069
9.913424969,-8,-4,-8,-4,10,-2,59,1,1070
9.918854952,-8,-4,-8,-10,14,-4,59,1,1071
9.924978971,-8,-4,-8,-10,14,-4,59,1,1072
9.948956013,-8,-4,-8,-16,17,-4,59,1,1073
9.955914974,-8,-3,-8,-21,18,-3,59,1,1074
9.961076975,-8,-3,-8,-21,18,-3,59,1,1075
9.967681885,-9,-3,-8,-21,18,-3,59,1,1076
9.970916986,-9,-3,-8,-25,18,0,59,1,1077
9.977005005,-9,-3,-8,-25,18,0,59,1,1078
10.000941992,-9,-3,-8,-25,18,0,59,1,1079
10.007889986,-10,-3,-8,-26,16,3,59,1,1080
10.017056942,-10,-2,-8,-26,16,3,59,1,1081
10.048927069,-10,-2,-8,-24,13,7,59,1,1082
10.06093502,-10,-1,-7,-20,10,10,59,1,1083
10.066977978,-10,-1,-7,-20,10,10,59,1,1084
