TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
160.26903081,-30,-42,0,-10,1,3,0,1,11045
160.298116922,29,1,0,9,-5,-6,0,1,11046
160.30910492,17,-9,0,4,-4,-7,0,1,11047
160.320065975,21,7,0,-6,-1,7,0,1,11048
160.350281,21,7,0,-2,4,4,0,1,11049
160.360028029,38,13,0,0,5,4,0,1,11050
160.371043921,38,13,0,11,0,-16,0,1,11051
160.400041819,-16,12,0,-10,-4,17,0,1,11052
160.411108971,64,-10,0,10,-3,-9,0,1,11053
160.422086954,-8,23,0,-7,1,0,0,1,11054
160.45123291,-8,23,0,6,0,-15,0,1,11055
160.462031841,6,1,0,7,4,-6,0,1,11056
160.473104,6,1,0,5,0,-5,0,1,11057
160.502013922,-32,20,0,-5,-1,1,0,1,11058
160.512343884,-21,0,0,-12,-1,8,0,1,11059
160.52389288,-45,-6,0,-3,2,-6,0,1,11060
160.553035021,-45,-6,0,8,-2,5,0,1,11061
160.563035011,-4,22,0,7,0,6,0,1,11062
160.574100018,-4,22,0,8,2,-3,0,1,11063
160.603152037,-6,-12,0,-6,1,4,0,1,11064
160.613991022,20,-24,0,-16,-1,10,0,1,11065
160.625128985,-41,-14,0,4,3,-5,0,1,11066
160.654065848,39,-30,0,0,-1,-7,0,1,11067
160.665056944,32,-29,0,11,2,-12,0,1,11068
160.68165803,24,-19,0,-4,-4,8,0,1,11069
160.705857039,24,-19,0,0,6,-4,0,1,11070
160.716135025,-47,-30,0,-3,-7,12,0,1,11071
160.725998879,-47,-30,0,-4,2,-4,0,1,11072
160.756039858,-2,-38,0,9,-1,-1,0,1,11073
160.767908812,18,-12,0,9,0,1,0,1,11074
160.777137041,35,20,0,-4,-7,13,0,1,11075
160.806201935,35,20,0,-9,5,-11,0,1,11076
160.817133904,9,-8,0,-15,8,-7,0,1,11077
160.830137014,9,-8,0,3,4,-4,0,1,11078
160.857304812,17,17,0,7,-3,4,0,1,11079
160.868292809,-21,33,0,5,-7,3,0,1,11080
160.878993034,30,-7,0,-2,-1,-4,0,1,11081
160.907974005,30,-7,0,2,-2,8,0,1,11082
160.919042826,35,25,0,1,1,5,0,1,11083
160.930099964,35,25,0,-5,-5,2,0,1,11084
160.959017992,2,-16,0,-2,0,2,0,1,11085
160.969185829,-13,-24,0,2,0,-2,0,1,11086
160.983179808,1,34,0,-7,-1,4,0,1,11087
161.010035038,1,34,0,-2,1,-10,0,1,11088
161.020491839,6,26,0,7,7,-9,0,1,11089
161.031117916,6,26,0,-3,3,-6,0,1,11090
161.060199022,-19,-20,0,-2,-3,2,0,1,11091
161.071800947,0,-17,0,-2,-2,0,0,1,11092
161.082109928,1,-35,0,5,2,4,0,1,11093
161.111078024,1,-35,0,10,0,-6,0,1,11094
161.122042894,14,-35,0,2,0,6,0,1,11095
161.137564898,14,-35,0,-4,-4,-4,0,1,11096
161.162088871,-39,1,0,0,0,6,0,1,11097
161.173097849,26,41,0,-2,0,-2,0,1,11098
161.185835838,15,-28,0,4,7,6,0,1,11099
161.213081837,15,-28,0,0,0,-9,0,1,11100
161.223321915,50,2,0,-3,0,-7,0,1,11101
161.234000921,50,2,0,-13,-2,3,0,1,11102
161.26331687,-27,1,0,7,6,5,0,1,11103
161.274036884,12,-19,0,-15,-2,14,0,1,11104
161.285122872,-30,21,0,17,4,-10,0,1,11105
161.314208984,-30,21,0,3,-4,0,0,1,11106
161.32491684,4,-27,0,8,-8,-7,0,1,11107
