TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
67.992365122,-10,-27,0,-15,-3,8,0,1,4791
68.022243976,-13,9,0,4,-4,7,0,1,4792
68.034394026,-14,-20,0,8,-3,7,0,1,4793
68.045268059,-7,-22,0,4,4,0,0,1,4794
68.075311184,-11,-16,0,-6,1,0,0,1,4795
68.086317062,23,-3,0,-11,0,3,0,1,4796
68.098289013,-1,-8,0,8,-3,-2,0,1,4797
68.128261089,-30,-18,0,2,2,-8,0,1,4798
68.139300108,-11,4,0,0,2,0,0,1,4799
68.151345014,-4,-9,0,-8,5,2,0,1,4800
68.180441141,-17,0,0,3,0,-11,0,1,4801
68.192243099,28,-12,0,6,-4,-10,0,1,4802
68.203324079,3,8,0,0,-2,6,0,1,4803
68.233319044,12,0,0,-3,3,12,0,1,4804
68.244382143,1,-15,0,0,1,3,0,1,4805
68.256231069,1,-9,0,5,-6,-14,0,1,4806
68.286355018,-20,-1,0,1,-6,15,0,1,4807
68.297348022,2,-13,0,3,-2,14,0,1,4808
68.309244156,-26,-11,0,-1,7,0,0,1,4809
68.33327198,-13,-12,0,4,-4,-16,0,1,4810
68.344355106,26,-18,0,-3,-4,-11,0,1,4811
68.356356144,15,-16,0,-3,-3,7,0,1,4812
68.386265993,-9,9,0,-5,0,-3,0,1,4813
68.397222042,15,17,0,-3,1,-1,0,1,4814
68.409271002,7,22,0,2,5,-4,0,1,4815
68.438328981,-1,5,0,-1,3,-4,0,1,4816
68.450433969,-27,-9,0,6,0,-1,0,1,4817
68.461373091,-15,-10,0,0,-2,-2,0,1,4818
68.486284971,-8,8,0,0,-2,-2,0,1,4819
68.497262955,4,-21,0,0,-5,0,0,1,4820
68.509230137,-24,9,0,-10,0,15,0,1,4821
68.538321018,12,3,0,1,-2,0,0,1,4822
68.550330162,-8,-25,0,13,3,3,0,1,4823
68.56124711,3,-11,0,4,-3,-6,0,1,4824
68.59131813,-7,8,0,-18,4,6,0,1,4825
68.602370024,-10,-22,0,-21,3,8,0,1,4826
68.615427017,-76,-29,0,11,7,0,0,1,4827
68.64430213,-12,17,0,12,2,-25,0,1,4828
68.655325174,16,-7,0,7,0,-17,0,1,4829
68.667381048,-12,-10,0,-28,-6,19,0,1,4830
68.69642806,2,-6,0,13,2,-4,0,1,4831
68.715309143,-40,38,0,11,0,-5,0,1,4832
68.719455957,-21,22,0,12,-5,-13,0,1,4833
68.749276161,-7,19,0,-13,-9,22,0,1,4834
68.760331154,1,20,0,-9,-2,11,0,1,4835
68.772442102,-7,49,0,-3,1,-11,0,1,4836
68.80234909,-4,34,0,7,1,3,0,1,4837
68.813305139,-2,-17,0,8,6,1,0,1,4838
68.825307131,9,22,0,-10,2,-2,0,1,4839
68.855309009,7,17,0,-4,1,0,0,1,4840
68.866361141,12,8,0,2,-4,0,0,1,4841
68.878287077,12,11,0,10,4,7,0,1,4842
68.907341003,-1,-10,0,-8,0,-3,0,1,4843
68.919272184,27,4,0,-8,-4,-3,0,1,4844
68.930320024,-12,-53,0,5,-12,0,0,1,4845
68.960252046,1,-33,0,3,4,2,0,1,4846
68.97131896,15,-17,0,-4,5,1,0,1,4847
68.983289003,12,-10,0,14,1,-3,0,1,4848
69.013360977,5,-5,0,-7,1,-5,0,1,4849
69.024348974,19,-41,0,-17,2,-11,0,1,4850
69.036250114,20,-31,0,-1,1,7,0,1,4851
69.065328121,-3,-3,0,0,5,3,0,1,4852
69.077327013,-13,-20,0,1,2,0,0,1,4853
69.08833313,-4,16,0,-14,-2,-2,0,1,4854
69.118350983,-6,18,0,7,-6,11,0,1,4855
69.130300999,-23,-9,0,13,-2,0,0,1,4856
69.142217159,5,3,0,3,1,-9,0,1,4857
69.171355009,47,3,0,0,-3,12,0,1,4858
69.182232141,5,-6,0,4,-3,15,0,1,4859
69.197539091,24,9,0,3,-3,-20,0,1,4860
69.2243011,-12,-13,0,-6,-6,3,0,1,4861
69.23538804,-7,-21,0,1,-5,8,0,1,4862
69.247557163,-5,16,0,-14,9,5,0,1,4863
69.277278185,-6,7,0,-2,2,-14,0,1,4864
69.288331032,-30,22,0,0,4,-11,0,1,4865
69.300496101,-29,-2,0,2,2,8,0,1,4866
69.329365969,-42,-56,0,-15,13,10,0,1,4867
69.341382027,-28,-14,0,-11,3,13,0,1,4868
69.352416992,-7,1,0,17,0,-12,0,1,4869
69.382302046,-4,-6,0,0,-3,9,0,1,4870
69.393511057,-19,39,0,-1,-5,4,0,1,4871
69.405230999,3,-4,0,0,-7,-2,0,1,4872
69.435212135,45,-53,0,2,-4,-2,0,1,4873
69.446305036,-4,-59,0,4,4,-5,0,1,4874
69.45729208,-1,-50,0,0,1,-6,0,1,4875
69.487535,-3,19,0,6,-3,0,0,1,4876
69.499300003,14,-17,0,7,-1,-4,0,1,4877
69.511444092,-28,3,0,-15,0,-1,0,1,4878
69.540239096,-22,13,0,4,-1,13,0,1,4879
69.551484108,-11,6,0,3,3,19,0,1,4880
69.563225031,-30,4,0,13,2,-16,0,1,4881
69.59524703,-46,-5,0,-14,-2,16,0,1,4882
69.604303121,15,-3,0,-6,-7,20,0,1,4883
69.61552,10,28,0,7,1,0,0,1,4884
69.645380974,-17,-21,0,3,-5,-19,0,1,4885
69.656269073,8,7,0,11,1,-23,0,1,4886
69.668344021,7,3,0,-4,-3,20,0,1,4887
69.69828105,5,5,0,0,9,-9,0,1,4888
69.709304094,25,13,0,-13,2,2,0,1,4889
69.721529007,11,21,0,9,5,-9,0,1,4890
69.750470161,-14,37,0,-17,-1,5,0,1,4891
69.762292147,-21,-23,0,-17,0,4,0,1,4892
69.773312092,16,38,0,-1,-1,7,0,1,4893
69.803328991,6,5,0,20,3,-3,0,1,4894
69.815272093,-28,-9,0,16,2,-8,0,1,4895
69.826323986,-4,-3,0,-9,-3,0,0,1,4896
