TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
9.995213032,9,-33,0,0,-3,3,0,1,657
10.00788188,49,7,0,0,1,3,0,1,658
10.032088041,28,4,0,0,3,2,0,1,659
10.044991016,-19,0,0,0,5,0,0,1,660
10.058204889,21,22,0,0,2,1,0,1,661
10.083179951,36,24,0,0,0,3,0,1,662
10.094951868,23,13,0,3,-1,4,0,1,663
10.107951879,-45,-2,0,1,0,0,0,1,664
10.133038044,-22,0,0,0,0,-2,0,1,665
10.146708012,18,-7,0,-1,-2,-5,0,1,666
10.159004927,-34,2,0,3,-4,-3,0,1,667
10.183991909,-65,-1,0,5,-3,-2,0,1,668
10.196022034,-27,-23,0,2,0,0,0,1,669
10.213435888,-5,-19,0,-2,4,2,0,1,670
10.233945847,-17,-16,0,-3,4,2,0,1,671
10.246902943,-29,-8,0,-1,2,-1,0,1,672
10.262063026,-15,2,0,3,-2,-8,0,1,673
10.284965992,-6,6,0,5,-4,-10,0,1,674
10.29794693,-7,9,0,2,-4,-7,0,1,675
10.310864925,-28,-13,0,-7,-1,0,0,1,676
10.335222959,-17,-16,0,-10,0,3,0,1,677
10.348222971,7,13,0,-4,0,0,0,1,678
10.3662889,-25,-1,0,5,0,-6,0,1,679
10.385942936,-33,-7,0,6,-1,-6,0,1,680
10.400586843,-17,-23,0,1,-2,1,0,1,681
10.412009954,3,-37,0,-3,0,6,0,1,682
10.436897039,1,-30,0,-1,0,5,0,1,683
10.449002981,12,-24,0,3,0,-3,0,1,684
10.462085962,18,-28,0,2,0,-6,0,1,685
10.486977816,13,-26,0,0,0,-3,0,1,686
10.500087976,9,-17,0,-3,2,2,0,1,687
10.512967825,-8,7,0,0,6,0,0,1,688
10.538036823,-6,10,0,2,6,-3,0,1,689
10.550190926,11,-8,0,8,3,-5,0,1,690
10.562945843,-15,6,0,7,0,0,0,1,691
10.588322878,-31,12,0,4,-1,3,0,1,692
10.60113287,-11,-10,0,-4,-2,6,0,1,693
10.613975048,-8,-7,0,-7,0,6,0,1,694
10.64200902,4,16,0,-5,1,6,0,1,695
10.651082993,65,11,0,2,3,4,0,1,696
10.663980007,26,5,0,4,3,-2,0,1,697
10.688946009,20,7,0,1,1,-5,0,1,698
10.702211857,9,2,0,-6,0,-7,0,1,699
10.715175867,-25,-10,0,-10,1,-3,0,1,700
10.739992857,-24,2,0,-9,1,-1,0,1,701
10.752935886,16,35,0,-5,1,0,0,1,702
10.76610589,9,-16,0,-1,-1,-2,0,1,703
