TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
5.558245897,-2,-21,0,6,-2,-4,0,1,500
5.560859919,-2,-21,0,6,-2,-3,0,1,501
5.59053278,-2,5,0,4,0,-3,0,1,502
5.601522923,-1,29,0,3,0,-4,0,1,503
5.612749815,-1,29,0,2,0,-4,0,1,504
5.640543938,-1,40,0,2,0,-4,0,1,505
5.653848887,-3,43,0,1,-1,-4,0,1,506
5.662546873,-3,43,0,1,-2,-3,0,1,507
5.691559792,-8,32,0,1,-2,-2,0,1,508
5.705267906,-6,9,0,1,-2,-1,0,1,509
5.713879824,-6,9,0,1,-3,0,0,1,510
5.743765831,2,4,0,1,-3,0,0,1,511
5.752564907,13,4,0,1,-3,0,0,1,512
5.763514996,13,4,0,0,-3,-1,0,1,513
5.792541981,24,-2,0,0,-3,-1,0,1,514
5.803670883,30,-16,0,0,-3,-1,0,1,515
5.813786984,30,-16,0,0,-2,-2,0,1,516
5.842586994,26,-32,0,0,-2,-2,0,1,517
5.853733778,3,-44,0,-1,-1,-3,0,1,518
5.863672972,3,-44,0,0,0,-4,0,1,519
5.893588781,-26,-19,0,0,0,-5,0,1,520
5.90454483,-23,8,0,3,0,-6,0,1,521
5.914577961,-23,8,0,4,0,-6,0,1,522
5.943711996,-5,22,0,4,0,-6,0,1,523
5.954584837,8,25,0,5,-2,-6,0,1,524
5.965512991,8,25,0,5,-3,-5,0,1,525
5.994594812,9,19,0,4,-3,-5,0,1,526
6.005557776,2,3,0,3,-1,-6,0,1,527
6.015559912,2,3,0,2,0,-6,0,1,528
6.044544935,-10,-19,0,2,0,-6,0,1,529
6.055533886,-19,-31,0,2,1,-7,0,1,530
6.071616888,-21,-31,0,3,2,-8,0,1,531
6.095535994,-21,-31,0,3,2,-8,0,1,532
6.106539965,-18,-26,0,4,1,-7,0,1,533
6.11655283,-18,-26,0,5,0,-6,0,1,534
6.14554596,-15,-21,0,5,0,-6,0,1,535
6.156527996,-17,-16,0,4,0,-5,0,1,536
6.167483807,-17,-16,0,3,-1,-3,0,1,537
6.197227001,-26,-3,0,2,-1,-2,0,1,538
6.210526943,-27,22,0,1,-1,-1,0,1,539
6.217589855,-27,22,0,2,-1,-2,0,1,540
6.247548819,-15,35,0,4,-1,-4,0,1,541
6.258845806,-6,28,0,6,-1,-5,0,1,542
6.268514872,-6,28,0,6,-1,-4,0,1,543
6.29854393,-4,17,0,5,-2,-3,0,1,544
6.309542894,-3,14,0,2,-3,-1,0,1,545
6.319528818,-3,14,0,0,-3,0,0,1,546
6.350033999,2,18,0,0,-3,0,0,1,547
6.359547854,9,19,0,-1,-4,0,0,1,548
6.370665789,9,19,0,-2,-3,0,0,1,549
6.399557829,1,10,0,-2,-3,-2,0,1,550
6.410567999,-14,2,0,-1,-2,-4,0,1,551
6.425534964,-14,2,0,-1,-2,-5,0,1,552
6.449591875,-19,10,0,-1,-2,-5,0,1,553
6.460655928,-9,31,0,0,-2,-5,0,1,554
6.471534968,-9,31,0,0,-3,-5,0,1,555
6.499563933,6,45,0,0,-3,-5,0,1,556
6.511494875,15,38,0,0,-3,-4,0,1,557
6.52153492,15,38,0,0,-3,-2,0,1,558
6.550586939,19,20,0,-1,-3,-1,0,1,559
6.562135935,21,13,0,0,-2,0,0,1,560
6.5737288,21,13,0,0,-1,0,0,1,561
6.601507902,24,16,0,0,-1,0,0,1,562
6.612536907,22,22,0,1,0,-2,0,1,563
6.622592926,22,22,0,2,0,-4,0,1,564
6.651662827,10,18,0,2,0,-4,0,1,565
6.663806915,-5,5,0,3,0,-6,0,1,566
6.672574997,-5,5,0,4,-1,-7,0,1,567
6.702559948,-13,2,0,4,-3,-7,0,1,568
6.713536978,-4,25,0,5,-4,-7,0,1,569
6.728675842,-4,25,0,4,-4,-6,0,1,570
6.752545834,9,26,0,4,-4,-6,0,1,571
6.763578892,-4,-6,0,3,-3,-5,0,1,572
6.774550915,-4,-6,0,2,-3,-3,0,1,573
6.803766966,-22,-28,0,2,-3,-3,0,1,574
6.814549923,-27,-32,0,0,-3,-3,0,1,575
6.824522972,-27,-32,0,0,-3,-2,0,1,576
6.853614807,-8,-20,0,-1,-3,-2,0,1,577
6.864830971,22,1,0,0,-2,-3,0,1,578
6.875508785,22,1,0,0,-2,-3,0,1,579
6.904559851,30,13,0,0,-2,-3,0,1,580
6.915731907,25,17,0,1,-1,-3,0,1,581
6.925610781,25,17,0,2,-1,-3,0,1,582
6.953665972,19,14,0,2,-1,-3,0,1,583
6.964556933,18,9,0,2,-2,-3,0,1,584
6.974601984,18,9,0,2,-3,-2,0,1,585
7.004562855,18,7,0,1,-3,-1,0,1,586
