TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
7.519837856,-38,28,0,0,0,2,0,1,597
7.533347845,-15,4,0,0,0,2,0,1,598
7.550058842,-15,4,0,0,0,2,0,1,599
7.555832863,14,-11,0,0,0,2,0,1,600
7.561725855,14,-11,0,0,0,2,0,1,601
7.566972017,14,-11,0,0,0,2,0,1,602
7.572201967,14,-11,0,-1,0,0,0,1,603
7.577639818,27,-13,0,-1,0,0,0,1,604
7.60074687,27,-13,0,-1,0,0,0,1,605
7.606890917,34,-10,0,-2,0,-2,0,1,606
7.618618965,34,-10,0,-2,0,-2,0,1,607
7.627956867,34,-10,0,-1,0,-5,0,1,608
7.635460853,37,-8,0,-1,0,-5,0,1,609
7.651763916,37,-8,0,-1,0,-5,0,1,610
7.657748937,21,-14,0,0,0,-7,0,1,611
7.662745952,21,-14,0,0,0,-7,0,1,612
7.667850971,21,-14,0,0,0,-7,0,1,613
7.673862934,21,-14,0,1,0,-6,0,1,614
7.683957815,-8,-21,0,1,0,-6,0,1,615
7.702973842,-8,-21,0,1,0,-2,0,1,616
7.709782839,-26,-21,0,1,0,1,0,1,617
7.719775915,-26,-21,0,1,0,1,0,1,618
7.724751949,-26,-21,0,1,-1,4,0,1,619
7.730815887,-35,-18,0,1,-1,4,0,1,620
7.754732847,-35,-18,0,1,-2,5,0,1,621
7.760830879,-37,-13,0,1,-3,4,0,1,622
7.765753984,-37,-13,0,1,-3,4,0,1,623
7.770757913,-37,-13,0,1,-3,4,0,1,624
7.776733875,-37,-13,0,2,-2,1,0,1,625
7.782754898,-30,-5,0,2,-2,1,0,1,626
7.805740833,-30,-5,0,2,-2,1,0,1,627
7.811765909,-21,2,0,4,-2,0,0,1,628
7.821816921,-21,2,0,4,-2,0,0,1,629
7.827831983,-21,2,0,5,-1,-1,0,1,630
7.833009958,-17,4,0,5,-1,-1,0,1,631
7.856820822,-17,4,0,5,-1,-1,0,1,632
7.862812996,-16,2,0,4,-1,-1,0,1,633
7.86908102,-16,2,0,4,-1,-1,0,1,634
7.872800827,-16,2,0,4,-1,-1,0,1,635
7.878731966,-16,2,0,2,-1,0,0,1,636
7.884799957,-14,2,0,2,-1,0,0,1,637
7.90783596,-14,2,0,2,-1,0,0,1,638
7.913820982,-14,9,0,0,0,3,0,1,639
7.923811912,-14,9,0,0,0,3,0,1,640
7.929733991,-14,9,0,-4,0,6,0,1,641
7.934750795,-19,18,0,-4,0,6,0,1,642
7.958748817,-19,18,0,-6,0,8,0,1,643
7.965721845,-23,20,0,-8,0,8,0,1,644
7.975813865,-23,20,0,-8,0,8,0,1,645
7.980834961,-23,20,0,-7,0,7,0,1,646
7.986786842,-23,14,0,-7,0,7,0,1,647
8.009829998,-23,14,0,-7,0,7,0,1,648
8.016782999,-17,5,0,-4,1,5,0,1,649
8.021739006,-17,5,0,-4,1,5,0,1,650
8.026747942,-17,5,0,0,0,1,0,1,651
8.037823915,-14,3,0,2,0,-1,0,1,652
8.061728954,-14,3,0,2,0,-1,0,1,653
8.067838907,-21,10,0,3,0,-3,0,1,654
8.072878837,-21,10,0,3,0,-3,0,1,655
8.077790022,-21,10,0,3,0,-3,0,1,656
8.083734989,-21,10,0,3,0,-4,0,1,657
8.089720964,-37,17,0,3,0,-4,0,1,658
8.112751961,-37,17,0,1,0,-3,0,1,659
8.119728803,-51,13,0,0,0,-1,0,1,660
8.124810934,-51,13,0,0,0,-1,0,1,661
8.129793882,-51,13,0,0,0,-1,0,1,662
8.135273933,-51,13,0,0,0,0,0,1,663
8.140749931,-42,-1,0,0,0,0,0,1,664
8.16386199,-42,-1,0,0,0,0,0,1,665
8.170789957,-25,-2,0,0,0,2,0,1,666
8.180727959,-25,-2,0,0,0,2,0,1,667
8.185732841,-25,-2,0,0,0,2,0,1,668
8.191807985,-20,6,0,0,0,2,0,1,669
8.215721845,-20,6,0,0,0,0,0,1,670
8.22181797,-21,11,0,1,0,-1,0,1,671
8.231887817,-21,11,0,1,0,-1,0,1,672
8.23674798,-21,11,0,2,0,-2,0,1,673
8.242744922,-24,6,0,2,0,-2,0,1,674
8.266723871,-24,6,0,2,0,-2,0,1,675
8.272735834,-25,-14,0,2,0,-2,0,1,676
8.278053999,-25,-14,0,2,0,-2,0,1,677
8.283802986,-25,-14,0,1,0,0,0,1,678
8.288793802,-25,-14,0,1,0,0,0,1,679
8.294735908,-18,-31,0,0,0,3,0,1,680
8.317899942,-18,-31,0,0,0,3,0,1,681
8.324739933,-9,-30,0,-1,0,7,0,1,682
8.328748941,-9,-30,0,-1,0,7,0,1,683
8.334716797,-9,-30,0,-1,0,7,0,1,684
8.33976984,-9,-30,0,-3,1,8,0,1,685
8.345735788,4,-26,0,-3,1,8,0,1,686
8.369830847,4,-26,0,-3,1,6,0,1,687
8.375818968,28,-24,0,-1,1,1,0,1,688
8.380834818,28,-24,0,-1,1,1,0,1,689
8.385757923,28,-24,0,-1,1,1,0,1,690
8.391728878,28,-24,0,0,0,-4,0,1,691
8.39771986,52,-25,0,0,0,-4,0,1,692
8.421717882,52,-25,0,3,0,-9,0,1,693
8.427726984,54,-27,0,4,0,-10,0,1,694
8.432823896,54,-27,0,4,0,-10,0,1,695
8.437838793,54,-27,0,4,0,-10,0,1,696
8.443841934,54,-27,0,3,0,-8,0,1,697
8.448760986,37,-29,0,3,0,-8,0,1,698
8.472857952,37,-29,0,1,0,-4,0,1,699
8.479720831,19,-23,0,0,0,0,0,1,700
8.489715814,19,-23,0,0,0,0,0,1,701
8.494997978,19,-23,0,-2,0,4,0,1,702
8.500748873,13,-9,0,-2,0,4,0,1,703
8.523851871,13,-9,0,-2,0,4,0,1,704
8.530771971,8,13,0,-2,0,5,0,1,705
8.535724878,8,13,0,-2,0,5,0,1,706
8.540746927,8,13,0,-1,0,4,0,1,707
8.545735836,8,13,0,-1,0,4,0,1,708
8.552718878,0,24,0,0,0,2,0,1,709
8.5757339,0,24,0,0,0,2,0,1,710
8.581748009,-7,20,0,1,0,0,0,1,711
8.587319851,-7,20,0,1,0,0,0,1,712
8.591933966,-7,20,0,1,0,0,0,1,713
8.597810983,-7,20,0,3,-1,-1,0,1,714
8.60373497,-11,18,0,3,-1,-1,0,1,715
8.626936912,-11,18,0,3,-1,-2,0,1,716
8.633734941,-16,25,0,3,0,-3,0,1,717
8.638729811,-16,25,0,3,0,-3,0,1,718
8.643759012,-16,25,0,3,0,-3,0,1,719
8.648903847,-16,25,0,3,0,-3,0,1,720
8.654893875,-20,37,0,3,0,-3,0,1,721
8.678815841,-20,37,0,3,0,-3,0,1,722
8.685805797,-10,17,0,2,0,-2,0,1,723
8.695739984,-10,17,0,2,0,-2,0,1,724
8.700728893,-10,17,0,1,0,-1,0,1,725
8.706826925,9,-9,0,1,0,-1,0,1,726
8.730759859,9,-9,0,0,0,0,0,1,727
8.736840963,20,-13,0,-2,0,1,0,1,728
8.746882915,20,-13,0,-2,0,1,0,1,729
8.752736807,20,-13,0,-3,0,2,0,1,730
8.757745981,27,-9,0,-3,0,2,0,1,731
8.781912803,27,-9,0,-2,0,1,0,1,732
8.790966987,26,-11,0,-1,1,0,0,1,733
8.793745994,26,-11,0,-1,1,0,0,1,734
8.798729896,26,-11,0,-1,1,0,0,1,735
8.803766012,26,-11,0,0,1,-3,0,1,736
8.809815883,8,-27,0,0,1,-3,0,1,737
8.833783865,8,-27,0,0,1,-3,0,1,738
8.839838981,-9,-40,0,1,1,-4,0,1,739
8.845086813,-9,-40,0,1,1,-4,0,1,740
8.853680849,-9,-40,0,1,1,-4,0,1,741
8.856112957,-9,-40,0,1,1,-4,0,1,742
8.861726999,-4,-35,0,1,1,-4,0,1,743
8.884727955,-4,-35,0,1,1,-4,0,1,744
8.890751839,4,-29,0,0,1,-3,0,1,745
8.900846958,4,-29,0,0,1,-3,0,1,746
8.905826807,4,-29,0,0,0,-2,0,1,747
8.9117558,9,-22,0,0,0,-2,0,1,748
8.936077833,9,-22,0,0,0,-2,0,1,749
8.94184494,8,-8,0,0,0,-1,0,1,750
8.947533846,8,-8,0,0,0,-1,0,1,751
8.95174694,8,-8,0,0,0,-1,0,1,752
8.957720995,8,-8,0,0,1,-2,0,1,753
8.963737964,-3,12,0,0,1,-2,0,1,754
8.986828804,-3,12,0,0,1,-3,0,1,755
8.993896007,-13,13,0,0,1,-4,0,1,756
9.00373292,-13,13,0,0,1,-4,0,1,757
9.008735895,-13,13,0,0,1,-5,0,1,758
9.014738798,-11,-2,0,0,1,-5,0,1,759
9.037750959,-11,-2,0,0,1,-5,0,1,760
9.044729948,0,-11,0,0,0,-4,0,1,761
9.049724817,0,-11,0,0,0,-4,0,1,762
9.055825949,0,-11,0,0,0,-3,0,1,763
9.060122967,0,-11,0,0,0,-3,0,1,764
9.067485809,12,-5,0,0,0,-1,0,1,765
9.089849949,12,-5,0,0,0,-1,0,1,766
9.09938097,22,3,0,0,0,0,0,1,767
9.103014946,22,3,0,0,0,0,0,1,768
9.106830835,22,3,0,0,0,0,0,1,769
9.111871004,22,3,0,0,0,1,0,1,770
9.117903948,22,0,0,0,0,1,0,1,771
9.141786814,22,0,0,0,0,1,0,1,772
9.147792816,14,-10,0,1,0,0,0,1,773
9.15779686,14,-10,0,1,0,0,0,1,774
9.163797855,14,-10,0,1,0,-1,0,1,775
9.171317816,2,-16,0,1,0,-1,0,1,776
9.192831993,2,-16,0,1,0,-1,0,1,777
9.199034929,-8,-16,0,1,0,-2,0,1,778
9.208875894,-8,-16,0,1,0,-2,0,1,779
9.214807987,-8,-16,0,1,0,-2,0,1,780
9.220856905,-14,-12,0,1,0,-2,0,1,781
9.243856907,-14,-12,0,1,0,-3,0,1,782
9.250810861,-14,1,0,2,0,-3,0,1,783
9.260790825,-14,1,0,2,0,-3,0,1,784
9.265757799,-14,1,0,2,0,-3,0,1,785
9.271885872,-9,25,0,2,0,-3,0,1,786
9.294907808,-9,25,0,2,0,-3,0,1,787
9.30180788,-4,32,0,2,0,-1,0,1,788
9.308382988,-4,32,0,2,0,-1,0,1,789
9.313015938,-4,32,0,1,0,1,0,1,790
9.323817968,0,23,0,0,0,4,0,1,791
9.346807957,0,23,0,0,0,4,0,1,792
9.352806806,7,12,0,-3,0,7,0,1,793
9.357760906,7,12,0,-3,0,7,0,1,794
9.363833904,7,12,0,-3,0,7,0,1,795
9.368743896,7,12,0,-4,0,8,0,1,796
9.374732017,14,0,0,-4,0,8,0,1,797
9.398149967,14,0,0,-4,0,8,0,1,798
9.404784918,18,-14,0,-3,0,5,0,1,799
9.409729957,18,-14,0,-3,0,5,0,1,800
9.414731026,18,-14,0,-3,0,5,0,1,801
9.419754982,18,-14,0,-1,0,0,0,1,802
9.42581892,11,-26,0,-1,0,0,0,1,803
9.449809789,11,-26,0,1,1,-5,0,1,804
9.456805944,-1,-24,0,3,1,-8,0,1,805
9.465755939,-1,-24,0,3,1,-8,0,1,806
9.471740007,-1,-24,0,4,0,-8,0,1,807
9.477809906,-8,-16,0,4,0,-8,0,1,808
9.50176692,-8,-16,0,2,0,-5,0,1,809
9.507816791,-7,-17,0,1,0,0,0,1,810
9.517867803,-7,-17,0,1,0,0,0,1,811
9.522770881,-7,-17,0,0,0,5,0,1,812
9.528774977,-3,-31,0,0,0,5,0,1,813
9.5528059,-3,-31,0,0,0,5,0,1,814
9.559185982,0,-43,0,0,2,8,0,1,815
9.568753004,0,-43,0,0,2,8,0,1,816
9.573763847,0,-43,0,0,4,8,0,1,817
9.579835892,2,-41,0,0,4,8,0,1,818
9.602824926,2,-41,0,0,4,8,0,1,819
9.609821796,11,-26,0,1,4,6,0,1,820
9.614745855,11,-26,0,1,4,6,0,1,821
9.619755983,11,-26,0,1,4,6,0,1,822
9.62480998,11,-26,0,2,2,4,0,1,823
9.63083291,23,-10,0,2,2,4,0,1,824
9.654757976,23,-10,0,2,0,1,0,1,825
9.660746813,24,-4,0,1,-1,0,0,1,826
9.665858984,24,-4,0,1,-1,0,0,1,827
9.671791792,24,-4,0,1,-1,0,0,1,828
9.676756859,24,-4,0,0,-2,0,0,1,829
9.68274188,5,10,0,0,-2,0,0,1,830
9.705760956,5,10,0,0,-2,0,0,1,831
9.712724924,-23,29,0,-1,-2,0,0,1,832
9.721827984,-23,29,0,-1,-2,0,0,1,833
9.727808952,-23,29,0,-2,-2,1,0,1,834
9.733806848,-33,30,0,-2,-2,1,0,1,835
