TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
262.288130045,6,-4,0,-5,0,-4,4,1,19320
262.303179979,6,-4,0,-5,0,-4,4,1,19321
262.328061104,14,-8,0,-5,1,-3,4,1,19322
262.339136124,14,-14,0,-3,2,-2,4,1,19323
262.356487036,14,-14,0,-3,2,-2,4,1,19324
262.378144026,6,-19,0,0,3,0,4,1,19325
262.389130116,0,-9,0,1,2,0,4,1,19326
262.400958061,0,-9,0,1,2,0,4,1,19327
262.42810297,-5,9,0,3,1,2,4,1,19328
262.439172983,-13,11,0,3,0,5,4,1,19329
262.456991911,-13,11,0,3,0,5,4,1,19330
262.47911191,-21,0,0,2,-1,7,4,1,19331
262.491439104,-24,-5,0,1,-1,7,4,1,19332
262.499201059,-24,-5,0,1,-1,7,4,1,19333
262.529165983,-19,-1,0,0,-2,5,4,1,19334
262.540105104,-6,2,0,-1,-1,2,4,1,19335
262.554129124,-6,2,0,-1,-1,2,4,1,19336
262.579097033,6,-10,0,-2,-1,0,4,1,19337
262.590102911,8,-32,0,-2,0,-1,4,1,19338
262.605075121,8,-32,0,-2,0,-1,4,1,19339
262.629106045,13,-35,0,-1,0,-2,4,1,19340
262.641074896,28,-2,0,0,0,-2,4,1,19341
262.655183077,28,-2,0,0,0,-2,4,1,19342
262.680066109,28,18,0,0,0,-3,4,1,19343
262.691065073,23,12,0,1,1,-4,4,1,19344
262.703601122,23,12,0,1,1,-4,4,1,19345
262.730087996,12,-11,0,2,1,-4,4,1,19346
262.741111994,1,-28,0,3,1,-5,4,1,19347
262.75108695,1,-28,0,3,1,-5,4,1,19348
262.780225039,-4,-18,0,4,0,-5,4,1,19349
262.791265965,-5,0,0,4,0,-5,4,1,19350
262.805109024,-5,0,0,4,0,-5,4,1,19351
262.830181122,-9,10,0,4,0,-4,4,1,19352
262.843899012,-16,15,0,2,-1,-3,4,1,19353
262.856208086,-16,15,0,2,-1,-3,4,1,19354
