TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
63.050881148,0,36,-38,-30,30,16,5,1,7880
63.074032069,1,36,-38,-25,35,17,5,1,7881
63.080899,0,36,-37,-21,39,17,5,1,7882
63.089956999,1,35,-37,-21,39,17,5,1,7883
63.096041203,1,34,-37,-16,42,15,5,1,7884
63.101961136,1,34,-37,-16,42,15,5,1,7885
63.126302004,1,34,-37,-12,43,11,5,1,7886
63.131965161,0,34,-37,-7,43,6,5,1,7887
63.145578146,0,34,-37,-2,40,1,5,1,7888
63.174916029,-1,33,-37,3,36,-3,5,1,7889
63.187926054,-1,34,-37,9,30,-8,5,1,7890
63.200020075,-2,33,-37,9,30,-8,5,1,7891
63.205404044,-3,33,-37,16,23,-11,5,1,7892
63.229931116,-4,32,-37,16,23,-11,5,1,7893
63.235959053,-4,32,-38,22,15,-13,5,1,7894
63.241747141,-5,31,-38,22,15,-13,5,1,7895
63.249079228,-6,31,-38,22,15,-13,5,1,7896
63.251968146,-6,30,-38,26,8,-13,5,1,7897
63.25812006,-7,29,-38,26,8,-13,5,1,7898
63.281990052,-8,29,-38,28,2,-13,5,1,7899
63.287976027,-8,28,-38,28,-2,-11,5,1,7900
63.30190301,-8,26,-38,28,-2,-11,5,1,7901
63.304359198,-9,26,-38,25,-4,-10,5,1,7902
63.309918166,-9,25,-38,25,-4,-10,5,1,7903
63.335124016,-9,24,-38,20,-3,-9,5,1,7904
63.340046168,-9,23,-38,15,0,-8,5,1,7905
63.345119,-8,21,-39,15,0,-8,5,1,7906
63.351093054,-8,20,-39,9,3,-8,5,1,7907
63.355878115,-8,19,-39,9,3,-8,5,1,7908
63.361951113,-8,18,-39,5,9,-8,5,1,7909
63.385904074,-8,17,-39,5,9,-8,5,1,7910
63.398003102,-7,17,-39,2,16,-8,5,1,7911
63.412675143,-7,16,-39,2,16,-8,5,1,7912
63.440962076,-7,15,-39,1,24,-7,5,1,7913
63.453869105,-6,15,-39,1,30,-6,5,1,7914
63.467749119,-6,15,-39,1,36,-4,5,1,7915
63.494900227,-6,14,-39,1,36,-4,5,1,7916
63.502013207,-6,14,-39,2,40,-2,5,1,7917
63.517035008,-5,14,-39,2,40,-2,5,1,7918
63.518832207,-5,13,-39,3,42,-1,5,1,7919
63.522891999,-5,13,-39,3,42,-1,5,1,7920
63.5469172,-5,13,-39,3,41,0,5,1,7921
63.55398202,-5,14,-39,4,38,0,5,1,7922
63.563059092,-5,14,-39,4,38,0,5,1,7923
63.569204092,-5,14,-39,4,32,0,5,1,7924
63.576549054,-5,14,-39,4,32,0,5,1,7925
63.599053145,-5,14,-39,3,25,-1,5,1,7926
63.606739998,-5,15,-39,2,18,-2,5,1,7927
63.610117197,-5,15,-39,2,18,-2,5,1,7928
63.615900994,-5,14,-39,0,10,-4,5,1,7929
63.627203226,-5,14,-39,0,10,-4,5,1,7930
63.650970221,-5,14,-39,0,3,-7,5,1,7931
63.66385603,-5,14,-40,-2,-1,-9,5,1,7932
63.674945116,-4,14,-40,-4,-6,-11,5,1,7933
63.706956148,-4,13,-40,-6,-9,-12,5,1,7934
