TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
3179.05397296,15,41,0,-45,-46,35,0,0,220528
3179.06795311,15,41,0,-43,-45,42,0,0,220529
3179.07798719,13,42,0,-41,-44,45,0,0,220530
3179.09293604,13,42,0,-41,-44,45,0,0,220531
3179.10290217,12,43,0,-37,-42,50,0,0,220532
3179.11694813,9,45,0,-36,-41,54,0,0,220533
3179.1309371,6,48,0,-34,-38,62,0,0,220534
3179.14085507,6,48,0,-35,-37,65,57,0,220535
3179.15581608,2,50,0,-38,-35,69,0,0,220536
3179.16884398,2,50,0,-41,-32,72,0,0,220537
3179.178725,-1,51,0,-46,-31,76,0,0,220538
3179.192837,-5,51,0,-57,-26,84,0,0,220539
3179.20704699,-5,51,0,-63,-24,87,0,0,220540
3179.22071814,-9,49,0,-69,-22,91,0,0,220541
3179.23872805,-11,48,0,-78,-18,96,0,0,220542
3179.24891901,-11,48,0,-82,-16,100,0,0,220543
3179.26371002,-12,47,0,-85,-16,105,0,0,220544
3179.27674818,-16,47,0,-88,-14,109,0,0,220545
3179.286654,-16,47,0,-88,-14,109,0,0,220546
3179.30267811,-22,43,0,-91,-12,110,0,0,220547
3179.31281614,-29,41,0,-87,-14,120,0,0,220548
3179.32791018,-29,41,0,-96,-13,121,0,0,220549
3179.33965898,-29,41,0,-95,-10,127,0,0,220550
3179.35466504,-35,39,0,-94,-10,131,0,0,220551
3179.37357211,-35,39,0,-108,-4,125,0,0,220552
3179.38258505,-36,37,0,-107,-2,135,0,0,220553
3179.39755511,-38,37,0,-112,1,135,0,0,220554
3179.41059804,-38,37,0,-113,4,137,46,0,220555
3179.42062306,-41,38,0,-114,5,140,0,0,220556
3179.43460703,-44,34,0,-115,5,149,0,0,220557
3179.44758701,-44,34,0,-117,3,151,0,0,220558
3179.46152616,-43,40,0,-115,12,156,0,0,220559
3179.47751904,-52,31,0,-113,15,141,0,0,220560
3179.48755312,-52,31,0,-99,28,134,0,0,220561
3179.50266409,-60,24,0,-104,27,140,0,0,220562
3179.51607418,-64,18,0,-104,31,136,0,0,220563
3179.52952504,-66,19,0,-97,26,137,0,0,220564
3179.54741406,-65,16,0,-74,14,129,0,0,220565
3179.5625,-69,11,0,-43,4,115,0,0,220566
3179.57238316,-73,10,0,-26,9,95,0,0,220567
3179.58439398,-73,10,0,-26,9,95,0,0,220568
3179.59442115,-74,12,0,-2,4,65,0,0,220569
3179.60950708,-74,12,0,7,0,54,0,0,220570
3179.62247109,-74,10,0,20,0,40,0,0,220571
3179.63231611,-75,7,0,38,1,28,0,0,220572
3179.64632416,-75,7,0,57,9,3,0,0,220573
3179.65928316,-76,2,0,69,9,-9,0,0,220574
3179.67429209,-70,7,0,85,6,-20,39,0,220575
3179.68736506,-70,7,0,100,2,-39,0,0,220576
3179.70222116,-65,9,0,117,-6,-74,0,0,220577
3179.71926403,-62,9,0,121,-10,-93,0,0,220578
3179.73421502,-58,11,0,126,-17,-135,0,0,220579
3179.74426913,-58,11,0,128,-26,-153,0,0,220580
3179.75788712,-56,13,0,127,-37,-167,0,0,220581
3179.76717806,-56,13,0,124,-47,-178,0,0,220582
3179.7811861,-52,18,0,122,-56,-191,0,0,220583
3179.79405999,-48,23,0,116,-68,-215,0,0,220584
3179.80434298,-48,23,0,111,-74,-220,0,0,220585
3179.81939006,-43,29,0,103,-78,-222,0,0,220586
3179.83302403,-43,29,0,103,-78,-222,0,0,220587
3179.8431561,-37,38,0,94,-82,-226,0,0,220588
3179.85351205,-45,32,0,88,-79,-231,0,0,220589
3179.86641097,-45,32,0,83,-71,-239,0,0,220590
3179.88171601,-33,43,0,77,-55,-228,0,0,220591
3179.89026999,-33,43,0,73,-45,-220,0,0,220592
3179.91025615,-26,48,0,71,-31,-218,0,0,220593
3179.91913509,-23,49,0,70,-18,-205,0,0,220594
3179.93410015,-17,49,0,73,2,-200,0,0,220595
3179.94900107,-17,49,0,73,2,-200,0,0,220596
3179.95903707,-10,51,0,72,15,-189,0,0,220597
3179.97344017,-4,51,0,72,20,-183,0,0,220598
3179.98594809,-4,51,0,74,22,-182,0,0,220599
3180.00090909,4,50,0,76,24,-181,0,0,220600
3180.01895118,7,50,0,77,28,-183,0,0,220601
3180.02892303,7,50,0,74,29,-185,0,0,220602
3180.04291916,12,47,0,71,31,-180,0,0,220603
3180.05491805,19,47,0,66,32,-171,0,0,220604
3180.06521416,19,47,0,59,36,-159,0,0,220605
3180.0797751,24,44,0,35,48,-125,0,0,220606
3180.09098697,24,44,0,19,57,-105,0,0,220607
3180.10480809,29,40,0,1,68,-78,0,0,220608
3180.12077403,28,42,0,-16,79,-26,0,0,220609
3180.13575911,31,41,0,-44,106,-10,0,0,220610
3180.14580417,31,41,0,-60,114,7,0,0,220611
3180.15673614,31,39,0,-75,117,29,0,0,220612
3180.17071414,31,39,0,-89,118,52,0,0,220613
3180.180722,29,36,0,-102,116,73,0,0,220614
3180.19212007,27,33,0,-113,111,92,0,0,220615
3180.20729709,27,33,0,-130,99,128,0,0,220616
3180.22316813,24,30,0,-135,92,144,25,0,220617
3180.23266315,22,24,0,-139,87,159,0,0,220618
3180.24767208,22,24,0,-147,80,188,0,0,220619
3180.25871611,20,19,0,-151,77,202,0,0,220620
3180.27360606,15,14,0,-155,76,213,0,0,220621
3180.29258919,15,14,0,-159,77,224,0,0,220622
3180.30760097,9,8,0,-168,81,237,0,0,220623
3180.31655407,2,1,0,-169,80,240,0,0,220624
3180.33150005,2,1,0,-171,76,244,0,0,220625
3180.34699416,-7,0,0,-168,59,250,0,0,220626
3180.35657,-18,1,0,-165,50,248,0,0,220627
3180.37558603,-18,1,0,-162,39,245,0,0,220628
3180.38541913,-25,3,0,-155,17,246,0,0,220629
3180.39945006,-35,6,0,-151,6,240,0,0,220630
3180.41446018,-35,6,0,-147,-1,232,0,0,220631
3180.42472219,-45,4,0,-142,-8,224,0,0,220632
3180.43843317,-50,-3,0,-135,-27,219,0,0,220633
3180.45851111,-50,-3,0,-132,-41,222,0,0,220634
3180.47298098,-58,-7,0,-125,-60,210,0,0,220635
3180.48784208,-58,-7,0,-122,-64,201,0,0,220636
3180.50293517,-61,-8,0,-119,-68,195,0,0,220637
3180.51627302,-67,-9,0,-115,-75,183,0,0,220638
3180.52650309,-67,-9,0,-111,-76,174,22,0,220639
3180.54026198,-67,-9,0,-111,-81,163,0,0,220640
3180.55532217,-65,-17,0,-101,-88,146,0,0,220641
3180.5655191,-65,-17,0,-95,-95,142,0,0,220642
3180.58430409,-63,-19,0,-88,-102,136,0,0,220643
3180.59594512,-62,-19,0,-81,-113,111,0,0,220644
3180.60922599,-62,-19,0,-65,-117,93,0,0,220645
3180.62222409,-62,-18,0,-56,-122,73,0,0,220646
3180.63619208,-64,-16,0,-47,-140,36,0,0,220647
3180.65120602,-64,-16,0,-31,-149,11,0,0,220648
3180.66683507,-66,-13,0,-31,-149,11,0,0,220649
3180.67645216,-69,-10,0,-24,-160,-44,0,0,220650
3180.69078803,-69,-10,0,-23,-170,-96,0,0,220651
