TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
2701.14822006,-23,9,0,0,0,0,0,0,186679
2701.16055417,-23,9,0,0,0,0,0,0,186680
2701.17049408,-24,9,0,0,0,0,0,0,186681
2701.18636918,-24,9,0,0,0,0,0,0,186682
2701.19950509,-24,9,0,0,0,0,0,0,186683
2701.21445513,-23,9,0,0,0,0,0,0,186684
2701.22942209,-23,9,0,0,0,0,0,0,186685
2701.23944402,-23,9,0,0,0,0,0,0,186686
2701.25348496,-24,9,0,0,0,0,0,0,186687
2701.27244496,-24,9,0,0,0,0,0,0,186688
2701.28741217,-23,9,0,0,0,0,0,0,186689
2701.30229616,-23,9,0,0,0,0,0,0,186690
2701.31634116,-23,9,0,0,0,0,0,0,186691
2701.32637501,-23,9,0,0,0,0,0,0,186692
2701.341501,-23,9,0,0,0,0,0,0,186693
2701.3603251,-23,9,0,0,0,0,0,0,186694
2701.37736607,-23,9,0,0,0,0,0,0,186695
2701.38944197,-23,9,0,0,0,0,0,0,186696
2701.40431309,-23,9,0,0,0,0,0,0,186697
2701.41426611,-23,9,0,0,0,0,0,0,186698
2701.42827296,-23,9,0,0,0,0,0,0,186699
2701.44336104,-23,9,0,0,0,0,0,0,186700
2701.45338702,-23,9,0,0,0,0,0,0,186701
2701.46778512,-23,9,0,0,0,0,0,0,186702
2701.48725414,-23,9,0,0,0,0,0,0,186703
2701.50145507,-23,9,0,0,0,0,0,0,186704
2701.51626706,-23,9,0,0,0,0,0,0,186705
2701.53121615,-23,9,0,0,0,0,0,0,186706
2701.54616809,-23,9,0,0,0,0,0,0,186707
2701.55520701,-23,9,0,0,0,0,0,0,186708
2701.57412696,-23,9,0,0,0,0,0,0,186709
2701.58910799,-23,9,0,0,0,0,0,0,186710
2701.60411406,-23,9,0,0,0,0,1,0,186711
2701.61851001,-23,9,0,0,0,0,0,0,186712
2701.62840199,-23,9,0,0,0,0,0,0,186713
2701.64408016,-23,9,0,0,0,0,0,0,186714
2701.65778017,-23,9,0,0,0,0,0,0,186715
2701.67285109,-24,9,0,0,0,0,0,0,186716
2701.68198419,-24,9,0,0,0,0,0,0,186717
2701.70103717,-23,9,0,0,0,0,0,0,186718
2701.71097517,-23,9,0,0,0,0,0,0,186719
2701.72593307,-23,9,0,0,0,0,0,0,186720
2701.74492311,-24,9,0,0,0,0,0,0,186721
2701.75995612,-23,9,0,0,0,0,0,0,186722
2701.76901317,-23,9,0,0,0,0,0,0,186723
2701.78890109,-23,9,0,0,0,0,0,0,186724
2701.797997,-23,9,0,0,0,0,0,0,186725
2701.81340098,-24,9,0,0,0,0,0,0,186726
2701.83189511,-24,9,0,0,0,0,0,0,186727
2701.84683418,-24,9,0,0,0,0,0,0,186728
2701.8617661,-24,9,0,0,0,0,0,0,186729
2701.87618208,-23,9,0,0,0,0,0,0,186730
2701.88583803,-23,9,0,0,0,0,0,0,186731
2701.90071702,-23,9,0,0,0,0,0,0,186732
2701.91476202,-23,9,0,0,0,0,0,0,186733
2701.92473197,-24,9,0,0,0,0,1,0,186734
2701.93965507,-24,9,0,0,0,0,0,0,186735
2701.95869017,-24,9,0,0,0,0,0,0,186736
2701.97372007,-24,9,0,0,0,0,0,0,186737
2701.98774219,-24,9,0,0,0,0,0,0,186738
2702.00266218,-24,9,0,0,0,0,0,0,186739
2702.01315498,-24,9,0,0,0,0,0,0,186740
2702.02757406,-24,9,0,0,0,0,0,0,186741
2702.04664207,-24,9,0,0,0,0,0,0,186742
2702.06049204,-24,9,0,0,0,0,0,0,186743
2702.07559204,-24,9,0,0,0,0,0,0,186744
2702.09109998,-24,9,0,0,0,0,0,0,186745
2702.10449505,-23,9,0,0,0,0,0,0,186746
2702.11454701,-24,9,0,0,0,0,0,0,186747
2702.12955403,-24,9,0,0,0,0,0,0,186748
2702.14368319,-23,9,0,0,0,0,0,0,186749
2702.15336013,-23,9,0,0,0,0,0,0,186750
2702.17236519,-23,9,0,0,0,0,0,0,186751
2702.18242001,-23,9,0,0,0,0,0,0,186752
2702.19738102,-23,8,0,0,0,0,0,0,186753
2702.21698904,-23,8,0,0,0,0,0,0,186754
2702.23182702,-23,9,0,0,0,0,0,0,186755
2702.24139905,-23,9,0,0,0,0,0,0,186756
2702.26041317,-23,9,0,0,0,0,0,0,186757
2702.27040505,-23,9,0,0,0,0,0,0,186758
2702.28529215,-23,9,0,0,0,0,0,0,186759
2702.30435801,-24,9,0,0,0,0,0,0,186760
2702.320086,-23,9,0,0,0,0,0,0,186761
2702.32930303,-24,9,0,0,0,0,0,0,186762
2702.348207,-24,9,0,0,0,0,0,0,186763
2702.35822916,-24,9,0,0,0,0,0,0,186764
2702.37226415,-23,9,0,0,0,0,0,0,186765
2702.38724899,-23,9,0,0,0,0,0,0,186766
2702.39714098,-23,9,0,0,0,0,0,0,186767
2702.41119504,-23,9,0,0,0,0,0,0,186768
2702.43179798,-23,9,0,0,0,0,0,0,186769
2702.445256,-23,9,0,0,0,0,0,0,186770
2702.460639,-23,9,0,0,0,0,0,0,186771
2702.47473097,-23,9,0,0,0,0,0,0,186772
2702.48411298,-23,9,0,0,0,0,0,0,186773
2702.49912405,-23,9,0,0,0,0,0,0,186774
2702.51800108,-23,9,0,0,0,0,0,0,186775
2702.53319907,-23,9,0,0,0,0,0,0,186776
2702.54806209,-23,9,0,0,0,0,1,0,186777
2702.56329417,-23,9,0,0,0,0,0,0,186778
2702.57227612,-23,9,0,0,0,0,0,0,186779
2702.58695006,-23,9,0,0,0,0,0,0,186780
2702.60099506,-23,9,0,0,0,0,0,0,186781
2702.61603713,-23,9,0,0,0,0,0,0,186782
2702.62723899,-23,9,0,0,0,0,0,0,186783
2702.64497709,-23,9,0,0,0,0,0,0,186784
2702.65990901,-23,9,0,0,0,0,0,0,186785
2702.67393208,-23,9,0,0,0,0,0,0,186786
2702.68890905,-23,9,0,0,0,0,0,0,186787
2702.70300817,-24,9,0,0,0,0,0,0,186788
2702.71308517,-23,9,0,0,0,0,0,0,186789
2702.73306513,-23,9,0,0,0,0,0,0,186790
2702.74691415,-23,9,0,0,0,0,0,0,186791
2702.76192117,-24,9,0,0,0,0,0,0,186792
2702.77602601,-24,9,0,0,0,0,0,0,186793
2702.79082203,-23,9,0,0,0,0,0,0,186794
2702.80206108,-23,9,0,0,0,0,0,0,186795
2702.81984901,-24,9,0,0,0,0,0,0,186796
2702.83564615,-23,9,0,0,0,0,0,0,186797
2702.8587811,-23,9,0,0,0,0,0,0,186798
2702.86880899,-23,9,0,0,0,0,1,0,186799
2702.88377118,-23,9,0,0,0,0,0,0,186800
2702.902807,-24,9,0,0,0,0,0,0,186801
2702.91765213,-23,9,0,0,0,0,0,0,186802
2702.93169618,-23,9,0,0,0,0,0,0,186803
2702.94653702,-23,9,0,0,0,0,0,0,186804
2702.95681405,-23,9,0,0,0,0,0,0,186805
2702.97095609,-23,9,0,0,0,0,0,0,186806
2702.99078703,-23,9,0,0,0,0,0,0,186807
2703.00464201,-23,9,0,0,0,0,0,0,186808
2703.01986218,-24,9,0,0,0,0,0,0,186809
2703.03373599,-24,9,0,0,0,0,0,0,186810
2703.04363513,-23,9,0,0,0,0,0,0,186811
2703.05852914,-23,9,0,0,0,0,0,0,186812
2703.07752919,-23,9,0,0,0,0,0,0,186813
2703.09240413,-23,9,0,0,0,0,0,0,186814
2703.11648107,-23,9,0,0,0,0,0,0,186815
2703.12645197,-23,9,0,0,0,0,0,0,186816
2703.14143014,-23,9,0,0,0,0,0,0,186817
2703.16045713,-23,9,0,0,0,0,0,0,186818
2703.1761651,-24,9,0,0,0,0,0,0,186819
2703.18963504,-24,9,0,0,0,0,0,0,186820
2703.20584107,-23,9,0,0,0,0,0,0,186821
2703.21431017,-23,9,0,0,0,0,0,0,186822
2703.2283411,-23,9,0,0,0,0,0,0,186823
2703.2483151,-24,9,0,0,0,0,0,0,186824
2703.26240206,-23,9,0,0,0,0,0,0,186825
2703.27721214,-23,9,0,0,0,0,0,0,186826
2703.29225302,-23,9,0,0,0,0,0,0,186827
2703.30130506,-23,9,0,0,0,0,0,0,186828
2703.31627011,-23,9,0,0,0,0,0,0,186829
2703.33522201,-23,9,0,0,0,0,0,0,186830
2703.35025597,-23,9,0,0,0,0,0,0,186831
2703.36047316,-23,9,0,0,0,0,0,0,186832
2703.37928701,-23,9,0,0,0,0,0,0,186833
2703.38916111,-23,9,0,0,0,0,0,0,186834
2703.40419912,-24,9,0,0,0,0,0,0,186835
2703.41814399,-24,9,0,0,0,0,0,0,186836
2703.42813706,-23,9,0,0,0,0,0,0,186837
2703.44328809,-23,9,0,0,0,0,0,0,186838
2703.46211815,-23,9,0,0,0,0,0,0,186839
2703.47709107,-23,9,0,0,0,0,0,0,186840
2703.49115419,-24,9,0,0,0,0,1,0,186841
2703.50606108,-24,9,0,0,0,0,0,0,186842
2703.51600313,-23,9,0,0,0,0,0,0,186843
2703.53143406,-23,9,0,0,0,0,0,0,186844
2703.55006599,-23,9,0,0,0,0,0,0,186845
2703.5649941,-23,9,0,0,0,0,0,0,186846
2703.58066106,-23,9,0,0,0,0,0,0,186847
2703.59394717,-23,9,0,0,0,0,0,0,186848
2703.60401702,-23,9,0,0,0,0,0,0,186849
2703.61796904,-23,9,0,0,0,0,0,0,186850
2703.63292813,-23,9,0,0,0,0,0,0,186851
2703.64287615,-23,9,0,0,0,0,0,0,186852
2703.65682817,-23,9,0,0,0,0,0,0,186853
2703.67684007,-23,9,0,0,0,0,0,0,186854
2703.69081807,-23,9,0,0,0,0,0,0,186855
2703.70583606,-23,9,0,0,0,0,0,0,186856
2703.71991015,-23,9,0,0,0,0,0,0,186857
2703.73132014,-23,9,0,0,0,0,0,0,186858
2703.74487996,-23,9,0,0,0,0,0,0,186859
2703.76412296,-23,9,0,0,0,0,0,0,186860
2703.77879715,-23,9,0,0,0,0,0,0,186861
2703.79367018,-24,9,0,0,0,0,0,0,186862
2703.80783415,-24,9,0,0,0,0,0,0,186863
2703.81777716,-23,9,0,0,0,0,0,0,186864
2703.832798,-24,9,0,0,0,0,0,0,186865
2703.84672117,-24,9,0,0,0,0,0,0,186866
2703.86171317,-24,9,0,0,0,0,0,0,186867
2703.87178206,-24,9,0,0,0,0,0,0,186868
2703.89088798,-24,9,0,0,0,0,0,0,186869
2703.9058311,-23,9,0,0,0,0,0,0,186870
2703.91978311,-23,9,0,0,0,0,0,0,186871
2703.93463397,-23,9,0,0,0,0,0,0,186872
2703.94940805,-23,9,0,0,0,0,0,0,186873
2703.95869112,-23,9,0,0,0,0,0,0,186874
2703.97906113,-23,9,0,0,0,0,0,0,186875
2703.99334097,-23,9,0,0,0,0,0,0,186876
2704.00750303,-23,9,0,0,0,0,0,0,186877
2704.02168012,-23,9,0,0,0,0,0,0,186878
2704.03653812,-23,9,0,0,0,0,0,0,186879
2704.04646301,-23,9,0,0,0,0,0,0,186880
2704.06051111,-23,9,0,0,0,0,0,0,186881
2704.07555318,-23,9,0,0,0,0,0,0,186882
2704.09051418,-23,9,0,0,0,0,0,0,186883
2704.10436702,-24,9,0,0,0,0,0,0,186884
2704.11444497,-23,9,0,0,0,0,0,0,186885
2704.1294272,-23,9,0,0,0,0,0,0,186886
2704.14861107,-23,9,0,0,0,0,0,0,186887
2704.16488814,-23,9,0,0,0,0,0,0,186888
2704.17339301,-23,9,0,0,0,0,0,0,186889
2704.192384,-23,9,0,0,0,0,0,0,186890
2704.20234013,-23,9,0,0,0,0,0,0,186891
2704.21733618,-23,9,0,0,0,0,0,0,186892
2704.23638201,-23,9,0,0,0,0,0,0,186893
2704.25131607,-24,9,0,0,0,0,0,0,186894
2704.26024914,-23,9,0,0,0,0,0,0,186895
2704.28029609,-23,9,0,0,0,0,0,0,186896
2704.29097104,-23,9,0,0,0,0,0,0,186897
2704.30515099,-23,9,0,0,0,0,0,0,186898
2704.32074213,-23,9,0,0,0,0,0,0,186899
2704.32922506,-23,9,0,0,0,0,0,0,186900
2704.34338999,-23,9,0,0,0,0,0,0,186901
2704.36328006,-23,9,0,0,0,0,0,0,186902
2704.37719798,-23,9,0,0,0,0,0,0,186903
2704.39218998,-23,9,0,0,0,0,0,0,186904
2704.40621018,-24,9,0,0,0,0,0,0,186905
2704.41624808,-23,9,0,0,0,0,0,0,186906
2704.43112612,-23,9,0,0,0,0,0,0,186907
2704.4500711,-23,9,0,0,0,0,0,0,186908
2704.46506906,-23,9,0,0,0,0,0,0,186909
2704.48010516,-24,9,0,0,0,0,0,0,186910
2704.49407506,-24,9,0,0,0,0,0,0,186911
2704.50401115,-23,9,0,0,0,0,0,0,186912
2704.51903105,-23,9,0,0,0,0,0,0,186913
2704.53326797,-23,9,0,0,0,0,0,0,186914
2704.54321098,-23,9,0,0,0,0,0,0,186915
2704.55798411,-23,9,0,0,0,0,0,0,186916
2704.57751012,-23,9,0,0,0,0,0,0,186917
2704.59205317,-23,9,0,0,0,0,0,0,186918
2704.60606217,-23,9,0,0,0,0,0,0,186919
2704.62094212,-23,9,0,0,0,0,0,0,186920
2704.63174701,-23,9,0,0,0,0,0,0,186921
2704.64537597,-23,9,0,0,0,0,0,0,186922
2704.66494513,-23,9,0,0,0,0,0,0,186923
2704.67893004,-23,9,0,0,0,0,0,0,186924
2704.69393802,-23,9,0,0,0,0,0,0,186925
2704.7079761,-23,9,0,0,0,0,0,0,186926
2704.71788502,-23,9,0,0,0,0,0,0,186927
2704.73290515,-23,9,0,0,0,0,0,0,186928
2704.75188804,-23,9,0,0,0,0,0,0,186929
2704.76692009,-24,9,0,0,0,0,0,0,186930
2704.7908771,-23,9,0,0,0,0,0,0,186931
2704.80079913,-23,9,0,0,0,0,0,0,186932
2704.81638217,-23,9,0,0,0,0,0,0,186933
2704.83483005,-23,9,0,0,0,0,0,0,186934
2704.84971714,-23,9,0,0,0,0,0,0,186935
2704.86385798,-24,9,0,0,0,0,0,0,186936
2704.878896,-24,9,0,0,0,0,0,0,186937
2704.88866401,-24,9,0,0,0,0,0,0,186938
2704.90260816,-24,9,0,0,0,0,0,0,186939
2704.92317319,-24,9,0,0,0,0,0,0,186940
2704.93664503,-23,9,0,0,0,0,0,0,186941
2704.95240998,-23,9,0,0,0,0,0,0,186942
2704.96554017,-24,9,0,0,0,0,0,0,186943
2704.97558117,-24,9,0,0,0,0,0,0,186944
2704.9905591,-24,9,0,0,0,0,0,0,186945
2705.00956011,-23,9,0,0,0,0,0,0,186946
2705.02458906,-23,9,0,0,0,0,0,0,186947
2705.03955197,-23,9,0,0,0,0,0,0,186948
2705.05378699,-23,9,0,0,0,0,0,0,186949
2705.0641191,-23,9,0,0,0,0,0,0,186950
2705.07848215,-23,9,0,0,0,0,0,0,186951
2705.09294009,-23,9,0,0,0,0,0,0,186952
2705.10249615,-23,9,0,0,0,0,0,0,186953
2705.11759305,-23,9,0,0,0,0,0,0,186954
2705.13674903,-23,9,0,0,0,0,0,0,186955
2705.15154409,-23,9,0,0,0,0,0,0,186956
2705.16545916,-23,8,0,0,0,0,0,0,186957
2705.18039107,-23,8,0,0,0,0,0,0,186958
2705.19031811,-23,9,0,0,0,0,0,0,186959
2705.20449114,-23,9,0,0,0,0,0,0,186960
2705.22441816,-23,9,0,0,0,0,0,0,186961
2705.23839116,-23,9,0,0,0,0,0,0,186962
2705.253474,-23,9,0,0,0,0,0,0,186963
2705.26831007,-23,9,0,0,0,0,0,0,186964
2705.27732015,-24,9,0,0,0,0,0,0,186965
2705.29227614,-24,9,0,0,0,0,0,0,186966
2705.307266,-24,9,0,0,0,0,0,0,186967
2705.32132411,-23,9,0,0,0,0,0,0,186968
2705.33125019,-23,9,0,0,0,0,0,0,186969
2705.35021806,-23,9,0,0,0,0,0,0,186970
2705.36522317,-24,9,0,0,0,0,0,0,186971
2705.38016009,-24,9,0,0,0,0,1,0,186972
2705.39416099,-24,9,0,0,0,0,0,0,186973
2705.40913916,-24,9,0,0,0,0,0,0,186974
2705.41982508,-24,9,0,0,0,0,0,0,186975
2705.43804717,-24,9,0,0,0,0,0,0,186976
2705.45325708,-23,9,0,0,0,0,0,0,186977
2705.46865916,-23,9,0,0,0,0,0,0,186978
2705.48269606,-23,9,0,0,0,0,0,0,186979
2705.49208498,-24,9,0,0,0,0,0,0,186980
2705.50617719,-24,9,0,0,0,0,0,0,186981
2705.52098799,-24,9,0,0,0,0,0,0,186982
2705.53601313,-23,9,0,0,0,0,0,0,186983
2705.5461371,-23,9,0,0,0,0,0,0,186984
2705.56504417,-23,9,0,0,0,0,0,0,186985
2705.58000708,-24,9,0,0,0,0,0,0,186986
2705.59393001,-24,9,0,0,0,0,0,0,186987
2705.60896397,-23,9,0,0,0,0,0,0,186988
2705.62332106,-23,9,0,0,0,0,0,0,186989
2705.63311315,-23,9,0,0,0,0,0,0,186990
2705.65280104,-23,9,0,0,0,0,0,0,186991
2705.66702819,-23,9,0,0,0,0,0,0,186992
2705.68190098,-23,9,0,0,0,0,0,0,186993
2705.69588304,-23,9,0,0,0,0,0,0,186994
2705.71078515,-23,9,0,0,0,0,0,0,186995
2705.72093797,-23,9,0,0,0,0,0,0,186996
2705.73492503,-23,9,0,0,0,0,0,0,186997
2705.74998808,-23,9,0,0,0,0,0,0,186998
2705.76055098,-24,9,0,0,0,0,0,0,186999
2705.77877307,-24,9,0,0,0,0,0,0,187000
2705.79386711,-24,9,0,0,0,0,0,0,187001
2705.80937314,-23,9,0,0,0,0,0,0,187002
2705.82367802,-23,9,0,0,0,0,0,0,187003
2705.8391192,-23,9,0,0,0,0,0,0,187004
2705.84807897,-23,9,0,0,0,0,0,0,187005
