TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
9.574500799,-80,9,90,-13,-4,85,4,1,1519
9.5802598,13,37,123,-13,-4,85,4,1,1520
9.586336851,13,37,123,-13,-4,85,4,1,1521
9.592451811,13,37,123,-13,-4,85,4,1,1522
9.597320795,69,83,123,-13,-4,85,4,1,1523
9.622294903,69,83,123,-13,-4,85,4,1,1524
9.627396822,45,41,106,-13,-4,85,4,1,1525
9.633465767,45,41,106,-12,-4,85,4,1,1526
9.639303923,2,35,86,-12,-4,85,4,1,1527
9.645294905,2,35,86,-12,-4,85,4,1,1528
9.669354916,2,35,86,-12,-4,85,4,1,1529
9.675324917,-21,38,119,-12,-4,85,4,1,1530
9.681302786,60,56,110,-12,-4,85,4,1,1531
9.687287808,60,56,110,-12,-4,85,4,1,1532
9.693282843,60,56,110,-12,-4,85,4,1,1533
9.717279911,104,10,69,-12,-4,85,4,1,1534
9.722372771,54,-26,58,-12,-4,85,4,1,1535
9.728488922,54,-26,58,-12,-4,85,4,1,1536
9.734349966,54,-26,58,-12,-4,85,4,1,1537
9.740272999,41,-54,27,-12,-4,85,4,1,1538
9.764341831,41,-54,27,-12,-4,85,4,1,1539
9.770303965,-52,-59,82,-12,-4,85,4,1,1540
9.776733876,-52,-59,82,-12,-4,85,4,1,1541
9.782264948,-87,-16,120,-12,-4,85,4,1,1542
9.787408829,-87,-16,120,-12,-4,85,4,1,1543
9.812307835,-87,-16,120,-12,-4,85,4,1,1544
9.817320824,-20,65,133,-12,-4,85,4,1,1545
9.823879004,-20,65,133,-12,-4,85,4,1,1546
9.830007792,-20,65,133,-12,-4,85,4,1,1547
9.835577965,-20,65,133,-12,-4,85,4,1,1548
9.86041379,67,70,111,-12,-4,85,4,1,1549
9.865385771,0,70,110,-12,-3,85,4,1,1550
9.871349812,0,70,110,-12,-3,85,4,1,1551
9.877365828,0,70,110,-12,-3,86,4,1,1552
9.882339955,11,36,82,-12,-3,86,4,1,1553
9.888290882,11,36,82,-12,-3,86,4,1,1554
9.912373781,11,36,82,-12,-3,86,4,1,1555
9.918365956,-75,49,112,-12,-3,86,4,1,1556
9.926110983,-75,49,112,-12,-3,86,4,1,1557
9.930295944,-75,49,112,-12,-3,86,4,1,1558
9.936289788,-75,49,112,-12,-3,86,4,1,1559
9.941280842,-10,52,125,-12,-3,86,4,1,1560
9.966276884,-10,52,125,-12,-3,86,4,1,1561
9.971417904,29,29,114,-12,-3,86,4,1,1562
9.97731781,91,-20,90,-12,-3,86,4,1,1563
9.983337879,91,-20,90,-12,-3,86,4,1,1564
9.989420891,91,-20,90,-12,-3,86,4,1,1565
9.995287895,91,-20,90,-12,-3,86,4,1,1566
10.019347906,4,-32,58,-12,-3,86,4,1,1567
10.025247813,-15,164,85,-12,-3,86,4,1,1568
10.030402899,-15,164,85,-12,-3,86,4,1,1569
10.036331892,-15,164,85,-12,-3,86,4,1,1570
10.042360783,24,138,47,-12,-3,86,4,1,1571
10.048348904,24,138,47,-12,-3,86,4,1,1572
10.072326899,24,138,47,-12,-3,86,4,1,1573
10.078319788,41,3,112,-12,-3,86,4,1,1574
10.084440947,41,3,112,-12,-3,86,4,1,1575
10.090322972,41,3,112,-12,-3,86,4,1,1576
10.096322775,41,3,112,-12,-3,86,4,1,1577
10.120253802,14,44,112,-12,-3,86,4,1,1578
10.125319958,-44,1,61,-12,-3,86,4,1,1579
10.131806851,-44,1,61,-12,-3,86,4,1,1580
10.137276888,-44,1,61,-12,-3,86,4,1,1581
10.143286944,130,-23,114,-12,-3,86,4,1,1582
10.149333,130,-23,114,-12,-3,86,4,1,1583
10.173345804,130,-23,114,-12,-3,86,4,1,1584
10.179300785,-11,1,129,-12,-3,86,4,1,1585
10.185383797,-11,1,129,-12,-3,86,4,1,1586
10.191250801,-11,1,129,-12,-3,86,4,1,1587
10.197100878,-11,1,129,-12,-3,86,4,1,1588
10.202351809,11,43,140,-12,-3,86,4,1,1589
10.226314783,11,43,140,-12,-3,86,4,1,1590
10.232315779,39,40,125,-12,-3,86,4,1,1591
10.238455773,62,51,115,-12,-3,86,4,1,1592
10.243311882,62,51,115,-12,-3,86,4,1,1593
10.250308991,62,51,115,-12,-3,86,4,1,1594
10.25531888,62,51,115,-12,-3,86,4,1,1595
