TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
38.196966887,6,81,106,0,0,86,6,1,5398
38.203016996,42,53,61,0,0,86,6,1,5399
38.208909989,42,53,61,0,0,86,6,1,5400
38.214978933,42,53,61,0,0,86,6,1,5401
38.220973015,42,53,61,0,0,86,6,1,5402
38.22616601,56,5,112,0,0,86,6,1,5403
38.250987053,56,5,112,0,0,86,6,1,5404
38.256079912,39,13,58,0,0,86,6,1,5405
38.262013912,36,13,84,0,0,86,6,1,5406
38.267966986,36,18,84,0,0,86,6,1,5407
38.273958922,36,18,84,0,0,86,6,1,5408
38.27997303,36,18,84,0,0,86,6,1,5409
38.303996086,17,21,125,0,0,86,6,1,5410
38.310046911,28,-12,153,0,0,86,6,1,5411
38.315941095,28,-12,153,0,0,86,6,1,5412
38.320976973,28,-12,153,0,0,86,6,1,5413
38.326958895,-58,-18,122,0,0,86,6,1,5414
38.35104394,-58,-18,122,0,0,86,6,1,5415
38.35700798,-31,-15,125,0,0,86,6,1,5416
38.363169909,6,-13,91,0,0,86,6,1,5417
38.368933916,6,-13,91,0,0,86,6,1,5418
38.374969006,6,-13,91,0,0,86,6,1,5419
38.399168968,6,-13,91,0,0,86,6,1,5420
38.405008078,36,24,39,0,0,86,6,1,5421
38.410448074,36,24,39,0,0,86,6,1,5422
38.416979075,36,24,39,0,0,86,6,1,5423
38.421926022,36,24,49,0,0,86,6,1,5424
38.427953005,-52,-10,49,0,0,86,6,1,5425
38.452083111,-52,-10,49,0,0,86,6,1,5426
38.458030939,-19,-39,45,0,0,86,6,1,5427
38.464257002,-64,-68,97,0,0,86,6,1,5428
38.469990015,-64,-68,97,0,0,86,6,1,5429
38.475933075,-64,-68,97,0,0,86,6,1,5430
38.481116057,-64,-68,97,0,0,86,6,1,5431
38.506011009,-50,-50,38,0,0,86,6,1,5432
38.511049986,-43,-28,20,0,0,86,6,1,5433
38.517244101,-43,-28,20,0,0,86,6,1,5434
38.523058891,-36,-28,34,0,0,86,6,1,5435
38.529081106,-37,-47,34,0,0,86,6,1,5436
38.534960032,-37,-47,34,0,0,86,6,1,5437
38.558954001,-37,-47,34,0,0,86,6,1,5438
38.564027071,-47,12,120,0,0,86,6,1,5439
38.572443009,-47,12,120,0,0,86,6,1,5440
38.575954914,-47,12,120,0,0,86,6,1,5441
38.58195591,-47,12,120,0,0,86,6,1,5442
38.588152886,44,58,100,0,0,86,6,1,5443
38.612003088,44,58,100,0,0,86,6,1,5444
38.61797905,-22,38,73,0,0,86,6,1,5445
38.623200894,-45,7,128,0,0,86,6,1,5446
38.628983021,-45,7,128,0,0,86,6,1,5447
38.635030031,-45,7,128,0,0,86,6,1,5448
38.658962011,-45,7,128,0,0,86,6,1,5449
38.665048123,4,-19,103,0,0,86,6,1,5450
38.670939922,4,-19,103,0,0,86,6,1,5451
38.677051067,4,-19,103,0,0,86,6,1,5452
38.682001114,4,-19,103,0,0,86,6,1,5453
38.688966036,12,-5,134,0,0,86,6,1,5454
38.711971998,12,-5,134,0,0,86,6,1,5455
38.717963934,4,1,90,0,0,86,6,1,5456
38.723258019,63,-28,46,0,0,86,6,1,5457
38.729156017,63,-28,46,0,0,86,6,1,5458
38.735013008,63,-28,46,0,0,86,6,1,5459
38.741005898,63,-28,46,0,0,86,6,1,5460
38.765034914,-12,-52,71,0,0,86,6,1,5461
38.770992994,-17,-37,69,0,0,86,6,1,5462
38.776986122,-17,-37,69,0,0,86,6,1,5463
38.782929897,-17,-37,72,0,0,86,6,1,5464
38.787935019,-3,-43,73,0,0,86,6,1,5465
38.794167996,-3,-43,73,0,0,86,6,1,5466
38.818087101,-3,-43,73,0,0,86,6,1,5467
38.82400012,44,25,52,0,0,86,6,1,5468
38.829987049,44,25,52,0,0,86,6,1,5469
38.835985899,44,25,52,0,0,86,6,1,5470
38.841993094,44,25,52,0,0,86,6,1,5471
38.847342968,48,60,98,0,0,86,6,1,5472
38.871990919,48,60,98,0,0,86,6,1,5473
38.877052069,11,9,139,0,0,86,6,1,5474
38.883054972,-35,-17,158,0,0,86,6,1,5475
38.888962984,-35,-17,158,0,0,86,6,1,5476
38.894944906,-35,-17,158,0,0,86,6,1,5477
38.91907692,-35,-17,158,0,0,86,6,1,5478
38.925026894,10,8,77,0,0,86,6,1,5479
38.93183589,10,8,77,0,0,86,6,1,5480
38.936949015,10,8,77,0,0,86,6,1,5481
38.942131043,10,8,77,0,0,86,6,1,5482
38.948005915,6,22,62,0,0,86,6,1,5483
38.972054958,6,22,62,0,0,86,6,1,5484
38.97803998,52,-10,73,0,0,86,6,1,5485
38.984004021,-37,8,54,0,0,86,6,1,5486
38.994674921,-37,8,54,0,0,86,6,1,5487
38.996213913,-37,8,54,0,0,86,6,1,5488
39.001055002,-37,8,54,0,0,86,6,1,5489
39.02601099,-43,-53,37,0,0,86,6,1,5490
39.031115055,-61,-68,91,0,0,86,6,1,5491
39.0369699,-61,-68,91,0,0,86,6,1,5492
39.043098927,-61,-68,91,0,0,86,6,1,5493
39.049031019,-23,-44,116,0,0,86,6,1,5494
39.054982901,-23,-44,116,0,0,86,6,1,5495
39.078987122,-23,-44,116,0,0,86,6,1,5496
39.091598988,36,29,16,0,0,86,6,1,5497
39.094597101,36,29,16,0,0,86,6,1,5498
39.096587896,36,29,16,0,0,86,6,1,5499
39.10196209,36,29,16,0,0,86,6,1,5500
39.126060963,-25,8,99,0,0,86,6,1,5501
39.131995916,40,35,140,0,0,86,6,1,5502
39.138051987,40,35,140,0,0,86,6,1,5503
39.143929005,-24,35,145,0,0,86,6,1,5504
39.149964094,-24,40,145,0,0,86,6,1,5505
39.173985958,-24,40,145,0,0,86,6,1,5506
39.179999113,-65,-2,103,0,0,86,6,1,5507
39.185318947,51,0,86,0,0,86,6,1,5508
39.190968037,51,0,86,0,0,86,6,1,5509
