TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
14.03335619,-12,15,-1,9,-1,-1,0,1,294
14.083264113,-14,10,-1,13,0,0,0,1,295
14.134426117,-13,10,-1,-7,1,0,0,1,296
14.184287072,-15,8,-1,11,-6,-2,0,1,297
14.235323191,-15,10,-1,-22,2,1,0,1,298
14.290410996,-20,8,-1,2,1,0,0,1,299
14.346263171,-19,0,-1,-4,-5,0,0,1,300
14.40219307,-16,-2,-1,-1,0,0,0,1,301
14.452311039,-17,0,-1,-3,4,1,0,1,302
14.50347519,-20,4,-1,18,2,-1,0,1,303
14.558353186,-18,8,-1,-10,0,0,0,1,304
14.614264012,-19,4,-1,2,-3,0,0,1,305
14.688327075,-18,0,-1,2,2,0,0,1,306
14.743302107,-20,1,-1,0,4,0,0,1,307
14.799357176,-18,5,-1,0,6,0,0,1,308
14.855192185,-18,4,-1,0,2,0,0,1,309
14.905233145,-17,4,-1,5,3,0,0,1,310
14.955402136,-16,3,-1,0,0,0,0,1,311
15.00624013,-13,6,-1,13,3,0,0,1,312
15.056305171,-13,9,-1,3,5,0,0,1,313
15.10631013,-13,13,-1,-5,3,0,0,1,314
15.157317162,-15,17,-1,4,1,0,0,1,315
15.212308169,-15,18,-1,-8,-6,0,0,1,316
15.268438101,-16,13,-1,6,6,0,0,1,317
15.322136164,-16,7,-1,2,3,0,0,1,318
15.369261981,-16,7,-1,-9,1,0,0,1,319
15.420284033,-16,4,-1,6,-1,0,0,1,320
15.49425912,-14,5,-1,-8,-2,0,0,1,321
15.544249058,-15,3,-1,8,0,-1,0,1,322
15.600327015,-16,8,-1,18,4,-1,0,1,323
15.655342103,-15,7,-1,0,1,0,0,1,324
15.711278201,-13,12,-1,-5,2,0,0,1,325
15.762200118,-14,13,-1,2,4,0,0,1,326
15.823709012,-15,15,-1,-5,-9,-1,0,1,327
15.873412133,-18,15,-1,-4,1,0,0,1,328
15.947332144,-15,15,-1,0,2,0,0,1,329
16.003417969,-14,9,-1,0,0,0,0,1,330
16.058362008,-10,10,-1,-12,0,0,0,1,331
16.114381075,-11,13,-1,-12,0,0,0,1,332
16.170287133,-13,19,-1,14,2,0,0,1,333
16.225327015,-13,19,-1,1,7,1,0,1,334
16.276306153,-9,13,-1,12,-3,-1,0,1,335
16.326330185,-10,8,-1,-4,-7,0,0,1,336
16.376401186,-11,6,-1,6,-3,0,0,1,337
16.427332163,-9,8,-1,-13,-2,0,0,1,338
16.477360011,-11,6,-1,0,4,0,0,1,339
16.528320075,-12,8,-1,0,4,0,0,1,340
16.578370095,-14,5,-1,3,6,0,0,1,341
16.628314019,-14,6,-1,-5,2,0,0,1,342
16.702378035,-16,10,-1,20,8,0,0,1,343
16.758347035,-18,6,-1,16,-3,-1,0,1,344
16.814227105,-12,2,-1,-1,-3,0,0,1,345
16.864384175,-13,-1,-1,-5,-7,0,0,1,346
16.915376187,-10,0,-1,18,9,1,0,1,347
16.96538806,-10,2,-1,1,-3,0,0,1,348
17.015339137,-11,7,-1,5,4,0,0,1,349
17.066313982,-12,10,-1,11,10,0,0,1,350
17.116383076,-11,11,-1,-6,1,0,0,1,351
17.166435004,-12,10,-1,10,-5,-1,0,1,352
17.222459078,-16,7,-1,9,5,0,0,1,353
17.28619814,-14,5,-1,2,-5,-1,0,1,354
17.333245993,-15,0,-1,9,3,0,0,1,355
17.407318116,-11,1,-1,-2,-2,-1,0,1,356
17.463384152,-10,5,-1,-1,0,0,0,1,357
17.519257069,-11,6,-1,9,0,0,0,1,358
17.569329024,-15,7,-1,11,8,0,0,1,359
17.61933899,-18,10,-1,10,-7,-1,0,1,360
17.670439005,-15,14,-1,8,5,0,0,1,361
17.720308066,-15,15,-1,-16,-3,-1,0,1,362
17.776300192,-14,10,-1,-13,-7,-1,0,1,363
17.826410056,-14,8,-1,4,0,-1,0,1,364
17.882228137,-13,4,-1,-6,11,0,0,1,365
17.937350035,-7,7,-1,-2,-3,0,0,1,366
18.011275054,-8,8,-1,0,1,-1,0,1,367
18.067396164,-9,9,-1,-2,-1,0,0,1,368
18.123409987,-11,10,-1,5,6,1,0,1,369
18.179286004,-14,12,-1,-12,-4,0,0,1,370
18.234330178,-16,9,-1,-6,-3,-1,0,1,371
18.285408974,-11,6,-1,-16,-1,0,0,1,372
18.33528018,-12,5,-1,0,0,0,0,1,373
18.391448975,-12,4,-1,-7,-1,-1,0,1,374
18.465490103,-12,8,-1,-12,-6,0,0,1,375
18.515397072,-14,10,-1,2,7,1,0,1,376
18.565323115,-15,13,-1,6,3,-1,0,1,377
18.616440058,-14,15,-1,-5,-7,-1,0,1,378
18.666270972,-12,12,-1,14,5,0,0,1,379
18.717337132,-13,9,-1,-13,-7,0,0,1,380
18.767353058,-14,3,-1,4,-4,-1,0,1,381
18.823332072,-14,2,-2,0,-8,-2,0,1,382
18.878363133,-13,6,-2,-5,5,1,0,1,383
18.934298039,-12,8,-1,-12,-2,0,0,1,384
18.984394074,-14,10,-1,0,3,0,0,1,385
19.040277005,-16,10,-2,0,9,0,0,1,386
19.096305132,-17,15,-2,3,-3,0,0,1,387
19.17028904,-18,16,-2,-4,3,1,0,1,388
19.225315094,-15,18,-1,1,11,1,0,1,389
19.275380135,-15,10,-2,3,-1,-1,0,1,390
19.326229096,-14,10,-2,11,-1,0,0,1,391
19.376302004,-16,12,-2,5,5,0,0,1,392
19.427312136,-15,16,-2,-9,-9,0,0,1,393
19.477368117,-14,21,-2,0,-8,-1,0,1,394
19.53234005,-15,16,-2,-6,0,0,0,1,395
19.582381011,-13,13,-2,7,3,0,0,1,396
19.638307095,-14,8,-2,-14,-6,0,0,1,397
19.693364144,-11,9,-2,-10,-7,-1,0,1,398
19.749382973,-12,13,-2,5,5,0,0,1,399
19.806306124,-15,11,-2,-3,0,0,0,1,400
19.850464106,-16,11,-2,7,2,0,0,1,401
19.900238991,-11,8,-2,-5,-3,-1,0,1,402
19.951241017,-12,9,-2,13,6,0,0,1,403
20.001284123,-16,7,-2,-4,0,0,0,1,404
20.051254035,-17,3,-2,-1,-5,0,0,1,405
20.102251053,-15,1,-2,9,0,-1,0,1,406
20.152245045,-13,2,-2,-3,-5,0,0,1,407
20.226412058,-11,7,-2,0,-3,-1,0,1,408
20.28233099,-15,7,-2,-3,2,0,0,1,409
20.337315083,-17,10,-2,5,1,-1,0,1,410
20.393371106,-16,18,-2,1,0,0,0,1,411
20.444284201,-16,18,-2,-2,0,0,0,1,412
20.499309063,-16,14,-2,-12,-12,0,0,1,413
20.555407048,-17,6,-2,-2,-11,-1,0,1,414
20.630172968,-14,4,-2,7,2,0,0,1,415
20.679394007,-11,4,-2,4,0,-2,0,1,416
20.730240107,-12,6,-2,-5,-6,0,0,1,417
20.780480147,-13,10,-2,-3,-5,0,0,1,418
20.830340147,-15,10,-2,-18,0,1,0,1,419
20.886511088,-13,14,-2,-7,-1,0,0,1,420
20.943687201,-14,16,-2,-15,3,0,0,1,421
20.997409106,-12,16,-2,-2,10,1,0,1,422
21.05329609,-15,15,-2,-1,1,0,0,1,423
21.108314991,-11,13,-2,-9,5,0,0,1,424
21.182308198,-14,11,-2,-2,-3,-1,0,1,425
21.233406067,-15,7,-2,-8,-5,-1,0,1,426
21.284764052,-17,2,-2,-6,-3,0,0,1,427
21.334299088,-17,-2,-2,9,1,0,0,1,428
21.384407998,-15,1,-2,-3,-4,0,0,1,429
21.435363055,-12,3,-2,-1,1,0,0,1,430
21.485306979,-13,4,-2,3,-4,0,0,1,431
21.535382987,-13,7,-2,0,-1,0,0,1,432
21.586523057,-13,7,-2,-1,0,0,0,1,433
21.636334181,-17,6,-2,0,2,0,0,1,434
21.687262059,-16,7,-2,-15,-5,0,0,1,435
21.744467974,-20,7,-2,-3,9,2,0,1,436
21.798333169,-20,13,-2,0,6,0,0,1,437
21.854278088,-19,20,-2,-22,-5,0,0,1,438
21.905069113,-20,19,-2,-3,9,1,0,1,439
21.959268094,-14,22,-2,-17,3,0,0,1,440
22.010433198,-16,20,-2,-6,2,0,0,1,441
22.060263157,-14,18,-2,-18,2,1,0,1,442
22.110320092,-9,18,-2,-6,6,0,0,1,443
22.161391974,-14,17,-2,19,0,-1,0,1,444
22.21635604,-14,19,-2,1,11,0,0,1,445
22.290395976,-11,26,-2,-10,-5,-1,0,1,446
22.341307164,-15,21,-2,-5,-7,-1,0,1,447
22.391309977,-8,17,-2,5,-3,0,0,1,448
22.441346169,-9,16,-2,-3,8,1,0,1,449
22.492257119,-9,9,-2,9,8,0,0,1,450
22.54241705,-10,6,-2,2,-1,-1,0,1,451
22.593267203,-13,4,-2,9,5,1,0,1,452
22.643371106,-15,2,-2,2,0,0,0,1,453
22.69927311,-16,4,-2,-5,0,0,0,1,454
22.7543571,-18,4,-2,6,0,0,0,1,455
22.805451155,-18,4,-2,-11,1,0,0,1,456
22.855339051,-18,8,-2,8,0,-1,0,1,457
22.905367136,-15,4,-2,-12,-13,-3,0,1,458
