TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
164.661452055,-16,-42,0,-6,1,-3,40,1,3032
164.714415073,-15,-28,0,0,-9,-8,40,1,3033
164.767544985,4,-28,0,-12,-9,-12,40,1,3034
164.820525884,-14,-43,0,-52,6,-19,40,1,3035
164.873584032,-58,-15,0,-107,12,-31,40,1,3036
164.926527977,-4,85,0,-155,12,-43,40,1,3037
164.979506969,-14,41,0,-99,8,-48,40,1,3038
165.033554077,-27,15,0,-43,-2,-36,40,1,3039
165.086572885,-40,1,0,12,-4,-17,40,1,3040
165.139513015,-28,-3,0,26,15,6,40,1,3041
165.194316864,-5,-1,0,23,24,11,40,1,3042
165.246500969,-28,-27,0,-2,13,0,40,1,3043
165.299474001,-58,-17,0,-41,0,-25,40,1,3044
165.352632999,-40,11,0,-70,-19,-35,40,1,3045
165.405593872,-14,28,0,-74,-30,-32,40,1,3046
165.458555937,-44,0,0,-54,-22,-19,40,1,3047
165.512498855,-49,2,0,-5,-10,12,40,1,3048
165.565500021,-44,0,0,70,-30,31,40,1,3049
165.618442058,-57,1,0,124,-8,43,40,1,3050
165.67151308,-7,25,0,125,43,91,40,1,3051
165.724668979,6,-7,0,91,51,75,40,1,3052
165.777451038,6,-40,0,70,31,42,40,1,3053
165.849411964,-21,-24,0,10,16,15,40,1,3054
165.902546882,-45,-22,0,-2,-4,-4,40,1,3055
165.955518961,-34,-29,0,-21,-19,-6,40,1,3056
166.008514881,-21,-36,0,-1,-24,9,40,1,3057
166.061497926,-17,-13,0,14,-5,31,40,1,3058
166.115556001,-16,-18,0,14,66,47,40,1,3059
166.168679952,0,-13,0,23,62,-20,40,1,3060
166.222362041,17,-8,0,-6,-12,-116,40,1,3061
166.274435997,-16,-13,0,-93,-106,-152,40,1,3062
166.327473879,-47,-41,0,-100,-132,-125,40,1,3063
166.380604028,-26,-46,0,-137,-115,-43,40,1,3064
166.452522039,-20,-34,0,-44,-75,4,40,1,3065
166.505517959,-44,23,0,32,-1,40,40,1,3066
166.558517933,-22,22,0,61,28,34,40,1,3067
166.611448049,-29,23,0,27,34,19,40,1,3068
166.664448023,-53,-22,0,9,6,7,40,1,3069
166.717565059,-63,-13,0,-16,-28,-1,40,1,3070
166.770503998,-35,34,0,-30,-36,11,40,1,3071
166.824472904,-31,18,0,18,-13,64,40,1,3072
166.877460956,-57,18,0,68,54,118,40,1,3073
166.930495977,-64,2,0,101,111,113,40,1,3074
166.983607053,-56,-21,0,69,84,75,40,1,3075
167.036566019,-36,-29,0,56,39,20,40,1,3076
