TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
121.237523079,0,16,0,-2,-2,-1,5,1,2237
121.290513992,-1,-8,0,-2,0,0,5,1,2238
121.343451976,-35,-8,0,2,1,-1,5,1,2239
121.415528059,-15,10,0,0,2,0,5,1,2240
121.468628883,-12,3,0,1,1,0,5,1,2241
121.521473884,-15,30,0,-1,-2,-1,5,1,2242
121.574570894,-22,11,0,0,1,0,5,1,2243
121.627419948,-12,5,0,0,0,-1,5,1,2244
121.680448055,-38,-1,0,-1,0,0,5,1,2245
121.733442068,-19,-9,0,3,0,0,5,1,2246
121.787632942,-11,-2,0,0,1,0,5,1,2247
121.840432882,-27,-6,0,3,2,0,5,1,2248
121.893500089,10,-2,0,2,0,0,5,1,2249
121.946523905,-14,15,0,0,0,0,5,1,2250
122.017436981,-8,10,0,1,-1,0,5,1,2251
122.071532011,-22,-6,0,0,0,0,5,1,2252
122.12453103,-23,-2,0,1,0,0,5,1,2253
122.17798686,-11,3,0,-1,-1,0,5,1,2254
122.233116865,-3,-14,0,1,0,0,5,1,2255
122.283434868,-17,-13,0,3,2,0,5,1,2256
122.337488889,-16,10,0,0,1,0,5,1,2257
122.414138078,4,30,0,2,0,0,5,1,2258
122.461448908,-13,16,0,0,0,0,5,1,2259
122.514456987,-21,9,0,0,-1,0,5,1,2260
122.568516969,-26,11,0,-3,-2,0,5,1,2261
122.621413946,-19,26,0,0,0,0,5,1,2262
122.674443006,-13,19,0,0,3,0,5,1,2263
122.727452039,-15,30,0,2,2,0,5,1,2264
122.780399084,-7,25,0,0,2,0,5,1,2265
122.833397865,-30,24,0,2,1,0,5,1,2266
122.886496067,-18,17,0,1,0,2,5,1,2267
122.939420938,-32,-1,0,0,-2,0,5,1,2268
123.011586904,-11,-1,0,0,-2,0,5,1,2269
123.064415931,-11,7,0,3,-1,0,5,1,2270
123.117563963,-20,11,0,-4,-1,0,5,1,2271
123.170521974,-26,15,0,-2,0,0,5,1,2272
123.223528862,0,12,0,0,0,0,5,1,2273
123.279456854,-27,17,0,1,3,0,5,1,2274
123.330563068,-25,2,0,1,2,1,5,1,2275
123.383548021,-19,6,0,-1,-1,0,5,1,2276
123.436465978,-22,11,0,-3,1,2,5,1,2277
123.489474058,-34,4,0,0,-3,1,5,1,2278
123.542500972,-22,16,0,-2,-2,1,5,1,2279
123.595490932,6,13,0,-1,-3,-1,5,1,2280
123.648436069,-24,16,0,-2,-3,1,5,1,2281
123.701485872,-27,24,0,-5,-4,-2,5,1,2282
123.754534006,15,38,0,-3,-3,0,5,1,2283
123.808491945,-7,20,0,0,-1,-1,5,1,2284
123.861476898,-15,27,0,-6,0,-1,5,1,2285
123.932479858,-26,26,0,0,1,-1,5,1,2286
123.985481977,-8,27,0,0,2,0,5,1,2287
124.03848505,-32,24,0,1,1,0,5,1,2288
124.091522932,-27,8,0,0,1,0,5,1,2289
124.145513057,-19,15,0,3,1,0,5,1,2290
124.197442054,-9,25,0,0,0,0,5,1,2291
124.250438928,-31,9,0,1,-1,0,5,1,2292
124.303551912,-12,30,0,0,-1,-1,5,1,2293
124.356487989,-25,11,0,1,0,0,5,1,2294
124.409514904,-17,9,0,0,1,0,5,1,2295
124.462496996,-30,12,0,-1,0,0,5,1,2296
124.515465021,-30,-15,0,-1,1,0,5,1,2297
124.568721056,-18,-16,0,0,1,0,5,1,2298
124.621487856,-31,-13,0,0,0,0,5,1,2299
124.674409866,-27,-6,0,4,0,-1,5,1,2300
124.72842288,-20,-5,0,2,2,0,5,1,2301
124.78147006,-34,0,0,4,3,0,5,1,2302
124.834501981,-15,29,0,3,1,0,5,1,2303
124.887486934,-24,13,0,2,3,0,5,1,2304
124.940428972,-1,31,0,4,1,0,5,1,2305
124.993555069,-9,13,0,0,0,0,5,1,2306
125.046457052,-19,1,0,2,0,0,5,1,2307
125.100446939,-24,-4,0,0,0,0,5,1,2308
125.153461933,-29,-8,0,-1,-2,-1,5,1,2309
125.206408024,-25,-9,0,-2,-4,0,5,1,2310
125.259512901,-20,-28,0,-2,-1,0,5,1,2311
125.312475919,-31,-16,0,-4,-4,0,5,1,2312
125.365550995,-15,-6,0,-2,-4,0,5,1,2313
125.418676853,-7,9,0,-1,-1,-1,5,1,2314
125.490483999,11,10,0,-2,-1,0,5,1,2315
125.543550014,-17,8,0,-3,0,0,5,1,2316
125.596452951,-23,23,0,3,2,0,5,1,2317
125.649559021,-10,40,0,0,0,0,5,1,2318
125.704004049,-3,27,0,-1,0,0,5,1,2319
125.755506992,-14,18,0,0,0,1,5,1,2320
125.808541059,-23,13,0,-3,-1,0,5,1,2321
125.862417936,-10,8,0,3,-3,-1,5,1,2322
125.915433883,-5,10,0,-3,-1,1,5,1,2323
125.968693018,-22,13,0,-3,-2,0,5,1,2324
126.021624088,-27,11,0,-4,-5,0,5,1,2325
126.074437856,-18,26,0,-5,-1,0,5,1,2326
126.127421856,-5,26,0,0,-3,0,5,1,2327
126.180470943,1,21,0,-5,-3,0,5,1,2328
126.233433962,1,0,0,1,0,0,5,1,2329
126.305500984,-21,-14,0,-1,1,0,5,1,2330
126.358594894,-17,-10,0,0,0,0,5,1,2331
126.411532879,-31,-6,0,1,0,0,5,1,2332
126.465528965,-21,-2,0,3,0,-1,5,1,2333
126.518378973,-35,11,0,3,0,1,5,1,2334
126.571560859,-29,32,0,3,0,0,5,1,2335
126.624520063,-34,14,0,1,0,0,5,1,2336
126.677514076,-21,4,0,0,0,0,5,1,2337
126.730432987,-20,4,0,1,-1,0,5,1,2338
126.783426046,-10,15,0,-2,0,1,5,1,2339
