TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
12.654824972,10,2,252,11,2,-4,0,0,241
12.704768896,-6,6,1,-2,5,0,0,0,242
12.755749941,-17,13,10,-14,12,8,0,0,243
12.809740067,-31,22,18,-26,20,17,0,0,244
12.862855911,-72,31,27,-59,29,25,0,0,245
12.913774014,96,14,50,-149,17,49,0,0,246
12.963871002,38,-28,60,-214,-24,59,0,0,247
13.015806913,20,-30,36,-240,-24,48,0,0,248
13.066842079,74,3,37,-190,0,38,0,0,249
13.117712021,-71,37,3,-74,37,4,0,0,250
13.176828861,30,11,225,20,16,-26,0,0,251
13.22784996,58,-25,194,57,-23,-58,0,0,252
13.277877092,102,-71,194,97,-68,-62,0,0,253
13.338732004,19,-28,190,14,-33,-63,0,0,254
13.393748045,30,91,188,30,86,-70,0,0,255
13.445770979,-84,97,231,185,98,-27,0,0,256
13.502671957,-33,47,9,-15,55,3,0,0,257
13.554802895,-52,-13,26,-57,-3,26,0,0,258
13.607739925,6,-34,9,-3,-32,14,0,0,259
13.669862032,99,-13,15,89,-26,9,0,0,260
13.722830057,145,106,30,144,106,29,0,0,261
13.774811983,146,-20,103,147,235,98,0,0,262
13.836862087,103,-56,108,104,201,108,0,0,263
13.88886404,91,98,74,93,108,79,0,0,264
13.941757918,73,33,45,75,34,46,0,0,265
14.003823996,8,-15,6,10,-12,7,0,0,266
14.055825949,-66,-61,216,-59,-56,-35,0,0,267
14.108829022,126,-81,191,-128,-81,-64,0,0,268
14.170829058,10,141,181,-236,-114,-79,0,0,269
14.224792957,105,-89,184,-158,-90,-70,0,0,270
14.275872946,4,-35,196,-15,-41,-65,0,0,271
14.330838919,31,-5,220,33,-6,-36,0,0,272
14.387851,-6,-14,14,4,-11,5,0,0,273
14.440829039,-87,-57,95,-82,-53,74,0,0,274
14.490799904,141,-80,200,-113,-78,194,0,0,275
14.548848868,156,-33,216,-105,-35,219,0,0,276
14.597733975,28,156,227,16,146,223,0,0,277
14.650821924,-54,-41,142,191,216,152,0,0,278
14.70686388,-15,97,16,251,111,33,0,0,279
14.758774996,-78,39,209,210,43,-47,0,0,280
14.811853886,24,34,234,39,33,-24,0,0,281
14.872857094,-20,5,236,-20,13,-18,0,0,282
14.924720049,-5,-51,203,-6,-44,-47,0,0,283
14.977858067,-8,-70,169,-4,-65,-82,0,0,284
15.039829016,-39,136,116,-37,-112,-135,0,0,285
15.091770887,-80,52,70,-76,-196,-179,0,0,286
15.143820047,149,-11,52,-107,-10,-204,0,0,287
15.206026077,139,18,87,-117,-241,-171,0,0,288
