TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
171.75258112,15,-2,-244,42,218,211,97,1,3060
171.805528164,79,156,121,39,216,156,97,1,3061
171.859522105,132,71,44,54,79,73,97,1,3062
171.912526131,28,7,225,88,24,-18,97,1,3063
171.96647811,-4,-16,190,-6,-17,-64,97,1,3064
172.019437075,-8,-30,200,-18,-28,-54,97,1,3065
172.073496104,-13,-26,217,-11,-31,-46,97,1,3066
172.126580954,-13,-8,249,-2,-7,-7,97,1,3067
172.180465937,9,13,12,8,13,15,97,1,3068
172.233433962,7,28,24,13,28,23,97,1,3069
172.287536145,15,25,25,16,24,24,97,1,3070
172.340538979,14,5,10,13,5,11,97,1,3071
172.394524098,12,-15,250,9,-12,-5,97,1,3072
172.447572947,-1,-34,231,1,-31,-25,97,1,3073
172.501498938,-8,-62,206,-8,-58,-48,97,1,3074
172.554564953,-13,142,178,-29,-99,-73,97,1,3075
172.608521939,-41,106,158,-39,-140,-88,97,1,3076
172.680555106,-72,101,-79,-33,-164,-105,97,1,3077
172.733649016,154,147,-55,-109,-108,-54,97,1,3078
172.787418127,-59,-31,-4,-12,-74,-26,97,1,3079
172.840600968,-9,-23,-2,-28,-21,0,97,1,3080
172.893495083,26,-6,-8,3,-6,11,97,1,3081
172.94746399,28,7,-13,31,8,11,97,1,3082
173.000602007,27,3,-4,16,13,12,97,1,3083
173.054478169,-10,5,-8,24,-2,2,97,1,3084
173.107507944,-3,-6,-2,1,-5,0,97,1,3085
173.161545039,1,4,-10,-6,6,13,97,1,3086
173.214543104,-1,28,-27,4,28,27,97,1,3087
173.267606974,24,30,-25,27,27,24,97,1,3088
173.321532011,31,11,-10,26,13,11,97,1,3089
173.393532038,-30,5,-9,-32,6,11,97,1,3090
173.446632147,113,17,-16,-136,15,16,97,1,3091
173.500579119,34,12,-53,-204,8,31,97,1,3092
173.553524018,-51,-46,12,-107,-28,30,97,1,3093
173.60760212,-20,-24,13,-54,-22,18,97,1,3094
173.660494089,13,-2,15,16,-10,17,97,1,3095
173.714498997,10,16,10,11,18,9,97,1,3096
173.768471003,0,6,9,-13,19,16,97,1,3097
173.821462155,-6,-4,2,0,-3,4,97,1,3098
173.875409127,-14,-4,0,-1,-9,-2,97,1,3099
173.928550959,5,-8,249,-13,-2,-2,97,1,3100
173.982475996,32,-8,247,24,-9,-10,97,1,3101
174.035596133,109,-23,2,76,-15,-1,97,1,3102
174.089494944,-87,26,8,182,5,7,97,1,3103
174.14248395,-41,67,48,204,64,41,97,1,3104
174.196532965,-76,45,35,157,59,38,97,1,3105
174.249488116,14,43,33,28,36,30,97,1,3106
174.303555012,-7,-6,8,-9,-8,6,97,1,3107
174.356495142,-25,-30,245,-29,-26,-11,97,1,3108
174.410441161,-8,-32,235,-11,-29,-22,97,1,3109
174.463582993,11,-28,236,-5,-25,-19,97,1,3110
174.517580033,-3,-18,251,5,-18,-7,97,1,3111
174.570615053,-7,-13,253,-3,-12,-3,97,1,3112
174.62450409,-5,-11,255,-16,-12,0,97,1,3113
174.677561045,-23,-17,250,-1,-18,-8,97,1,3114
174.731584072,64,-34,0,37,-26,-2,97,1,3115
174.784590006,148,6,3,128,-2,15,97,1,3116
174.856542111,151,92,20,168,84,26,97,1,3117
174.909538031,-20,61,22,39,60,27,97,1,3118
174.963475943,7,6,251,2,26,2,97,1,3119
175.017562151,18,-20,246,7,-13,-9,97,1,3120
175.070496083,16,-20,253,14,-20,-5,97,1,3121
175.124516011,9,-12,254,10,-10,0,97,1,3122
175.17853117,20,-5,255,16,-3,0,97,1,3123
175.235013008,6,7,1,5,7,0,97,1,3124
175.285552979,-32,-6,250,-31,-4,-5,97,1,3125
175.338577032,73,-21,2,-151,-21,-10,97,1,3126
175.391549111,45,-40,242,-235,-29,-7,97,1,3127
175.463557005,119,-33,249,-120,-48,-17,97,1,3128
175.51752615,9,-30,227,-6,-36,-25,97,1,3129
175.570554018,64,-3,235,88,-16,-19,97,1,3130
175.624493122,30,22,247,103,3,-23,97,1,3131
175.677767992,-21,10,8,-25,23,5,97,1,3132
175.731587172,-19,-13,254,-27,-4,4,97,1,3133
175.784584046,0,-12,247,-10,-12,-6,97,1,3134
175.838835001,2,-9,241,2,-5,-10,97,1,3135
175.891601086,-3,-2,243,12,-8,-16,97,1,3136
175.945528984,7,-13,240,-9,-2,-15,97,1,3137
175.99882102,-5,-10,245,-1,-10,-11,97,1,3138
176.052585125,-13,-4,254,-6,-6,-3,97,1,3139
176.106555939,10,-9,0,3,-2,1,97,1,3140
176.159451008,-12,8,5,-7,7,4,97,1,3141
176.213500023,11,4,2,9,7,1,97,1,3142
