TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
128.823517084,-2,-1,0,-5,-1,0,0,1,2281
128.876487971,-5,4,0,-3,1,0,0,1,2282
128.930464983,-5,1,0,-11,0,0,0,1,2283
128.983468056,1,3,-2,-1,1,0,0,1,2284
129.037479163,4,-1,0,1,4,1,0,1,2285
129.090548039,1,-1,-1,-1,1,0,0,1,2286
129.144453049,3,-3,0,2,-1,0,0,1,2287
129.197525978,-5,-4,0,-5,-1,0,0,1,2288
129.251492977,0,-3,0,-1,-1,0,0,1,2289
129.305511952,-3,-2,0,-1,-2,0,0,1,2290
129.358494997,-4,-2,0,-2,0,0,0,1,2291
129.430531025,0,-1,0,-1,0,0,0,1,2292
129.484487057,6,2,0,-1,0,0,0,1,2293
129.53757906,-4,2,-1,-4,-1,-1,0,1,2294
129.591511965,3,0,0,-1,4,1,0,1,2295
129.644509077,-3,-1,0,-1,0,-2,0,1,2296
129.698476076,-4,-1,0,-6,3,0,0,1,2297
129.751467944,-7,-2,0,-3,1,0,0,1,2298
129.805480004,1,-5,0,0,0,0,0,1,2299
129.858584166,-2,-3,0,1,0,0,0,1,2300
129.912475109,1,-4,-1,0,0,0,0,1,2301
129.965465069,-7,-3,0,3,-3,-1,0,1,2302
130.019510031,-3,-1,0,2,0,0,0,1,2303
130.072525978,-1,1,0,0,1,0,0,1,2304
130.126486063,-1,1,0,0,2,0,0,1,2305
130.180499077,2,-3,-2,1,-1,-1,0,1,2306
130.233450175,-4,0,-1,-2,0,0,0,1,2307
130.287517071,-1,2,-1,0,1,0,0,1,2308
130.340528965,5,1,0,0,2,1,0,1,2309
130.394438982,10,1,0,1,0,-1,0,1,2310
130.448824168,-1,0,0,7,1,0,0,1,2311
130.501424074,5,2,-1,-1,1,-1,0,1,2312
130.555415154,6,1,0,2,1,-2,0,1,2313
130.627510071,3,2,-1,-4,4,0,0,1,2314
130.680534125,6,-1,0,-3,3,-1,0,1,2315
130.73440814,-3,-2,0,0,0,0,0,1,2316
130.787544966,-5,-2,0,0,1,0,0,1,2317
130.841555119,-3,-1,0,-1,0,0,0,1,2318
130.894505978,-2,-1,0,-1,1,1,0,1,2319
130.948544026,-4,-1,0,1,1,0,0,1,2320
131.001435042,0,-4,-1,0,-1,-1,0,1,2321
131.054583073,-6,-2,0,-2,0,0,0,1,2322
131.108601094,-3,-2,0,0,0,0,0,1,2323
