TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
70.260653972,0,-3,-1,-4,-1,1,5,1,1243
70.332688093,0,-3,-1,-1,0,0,5,1,1244
70.385753154,0,-3,-1,0,0,0,5,1,1245
70.438711166,0,-3,-1,4,0,1,5,1,1246
70.491793155,0,-3,-1,-2,3,2,5,1,1247
70.544708967,0,-3,-1,-1,1,-2,5,1,1248
70.598737955,0,-3,-1,1,1,-2,5,1,1249
70.653527975,0,-3,-1,0,0,0,5,1,1250
70.722723007,0,-2,-1,1,2,2,5,1,1251
70.775803089,0,-2,-1,-2,-1,2,5,1,1252
70.828750133,0,-2,-1,-3,2,2,5,1,1253
70.881767034,0,-2,-1,-7,0,1,5,1,1254
70.935692072,0,-2,-1,0,0,0,5,1,1255
70.988711118,0,-2,-1,2,0,0,5,1,1256
71.041967153,0,-2,-1,0,-1,0,5,1,1257
71.094803095,0,-2,-1,0,-1,-2,5,1,1258
71.147812128,0,-2,-1,0,0,0,5,1,1259
71.200783968,0,-2,-1,4,1,0,5,1,1260
71.253721952,0,-2,-1,2,0,0,5,1,1261
71.306718111,0,-2,-1,0,3,3,5,1,1262
71.361577987,0,-2,-1,1,0,2,5,1,1263
71.413697958,0,-2,-1,-2,-2,1,5,1,1264
71.466658115,0,-2,-1,0,0,-2,5,1,1265
71.519696951,0,-2,-1,-3,1,-3,5,1,1266
71.572772979,0,-2,-1,2,1,-5,5,1,1267
71.625753164,0,-2,-1,5,0,-1,5,1,1268
71.678802013,0,-2,-1,2,2,-1,5,1,1269
71.731791973,0,-2,-1,-4,-1,0,5,1,1270
71.784795999,0,-2,-1,1,3,1,5,1,1271
71.837810039,0,-2,-1,-1,-2,-1,5,1,1272
71.890794038,0,-2,-1,-1,1,-1,5,1,1273
71.944240093,0,-2,-1,-2,0,0,5,1,1274
71.997678041,0,-2,-1,2,2,0,5,1,1275
72.0506711,0,-2,-1,-2,0,0,5,1,1276
72.103826999,0,-2,-1,0,0,2,5,1,1277
72.156639099,0,-2,-1,-1,-1,2,5,1,1278
72.209728956,0,-2,-1,-3,0,2,5,1,1279
72.262751102,0,-2,-1,-1,-2,0,5,1,1280
72.315801143,-1,-2,-1,-2,2,0,5,1,1281
72.36877203,0,-2,-1,1,0,-2,5,1,1282
72.421768188,0,-2,-1,1,1,0,5,1,1283
72.474749088,0,-2,-1,2,1,0,5,1,1284
72.52880001,0,-2,-1,0,0,1,5,1,1285
72.581668138,0,-2,-1,3,0,0,5,1,1286
72.634891033,0,-2,-1,-1,-1,0,5,1,1287
72.68780303,0,-2,-1,0,-1,-2,5,1,1288
72.740745067,0,-2,-1,2,0,-4,5,1,1289
72.79372406,0,-2,-1,3,3,-2,5,1,1290
72.846912145,0,-2,-1,0,-1,0,5,1,1291
72.899829149,0,-2,-1,5,2,0,5,1,1292
72.952744007,0,-2,-1,0,0,1,5,1,1293
73.005732059,0,-2,-1,-2,2,3,5,1,1294
73.058853149,0,-2,-1,2,-1,2,5,1,1295
73.112787008,0,-2,-1,-2,-1,0,5,1,1296
