TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
12.406646013,-26,16,0,-1,0,0,0,1,263
12.460625172,-19,5,0,-5,0,0,0,1,264
12.513615131,-17,-3,0,1,1,-3,0,1,265
12.56678009,-16,2,0,1,2,0,0,1,266
12.619637012,-23,-4,0,5,0,0,0,1,267
12.69157505,-27,-24,0,1,0,1,0,1,268
12.744659185,-17,16,0,0,0,0,0,1,269
12.797578096,-11,14,0,1,1,0,0,1,270
12.850605011,-31,-5,0,-2,0,2,0,1,271
12.904606104,-19,0,0,1,0,1,0,1,272
12.957627058,-10,1,0,0,0,2,0,1,273
13.01069808,-20,1,0,0,-2,0,0,1,274
13.064640999,6,5,0,0,-1,0,0,1,275
13.117628097,-19,5,0,0,1,-1,0,1,276
13.1707201,-41,-8,0,0,0,-2,0,1,277
13.22382617,-23,-8,0,4,2,-1,0,1,278
13.27665019,-10,-6,0,1,0,-2,0,1,279
13.329697132,-2,20,0,1,1,0,0,1,280
13.383575201,-22,14,0,3,0,0,0,1,281
13.436586141,-28,23,0,-1,-1,0,0,1,282
13.48984909,-24,15,0,0,-1,-1,0,1,283
13.542617083,-3,6,0,-4,0,-1,0,1,284
13.595622063,-13,0,0,-2,0,-3,0,1,285
13.65261507,-25,-5,0,0,3,-1,0,1,286
13.720811129,-8,1,0,0,2,0,0,1,287
13.773627043,8,10,0,1,-2,0,0,1,288
13.827514172,-26,-14,0,-5,-1,1,0,1,289
13.880660057,-23,-3,0,-2,1,0,0,1,290
13.933631182,-21,-4,0,-2,0,-3,0,1,291
13.98667407,-30,-17,0,1,3,0,0,1,292
14.039882183,-33,8,0,10,0,-4,0,1,293
14.09367013,-15,5,0,4,0,0,0,1,294
14.164685011,-11,23,0,4,0,0,0,1,295
14.218690157,-42,-1,0,0,1,0,0,1,296
14.27168107,-38,15,0,-2,0,-1,0,1,297
14.324743032,-23,30,0,-1,0,0,0,1,298
14.380661011,-13,24,0,-1,0,0,0,1,299
14.430703163,0,16,0,0,0,0,0,1,300
14.484580994,-24,11,0,0,1,2,0,1,301
14.537626982,-27,24,0,-1,2,3,0,1,302
14.590700149,-34,12,0,5,-3,0,0,1,303
14.643802166,-33,27,0,-2,0,0,0,1,304
14.697666168,-28,12,0,-3,-2,-2,0,1,305
14.768676042,-6,16,0,-1,1,0,0,1,306
14.821653128,-7,7,0,0,1,0,0,1,307
14.875589132,-34,-12,0,0,-1,0,0,1,308
14.928544044,-37,-8,0,0,2,0,0,1,309
14.981700182,-34,-11,0,-1,0,0,0,1,310
15.034558058,-10,-12,0,0,0,0,0,1,311
15.088640213,-8,3,0,-1,1,0,0,1,312
15.141551018,-27,-11,0,-2,-1,-2,0,1,313
15.194648981,-14,-6,0,0,2,0,0,1,314
15.247623205,-2,-4,0,2,0,-1,0,1,315
15.300698996,-17,-12,0,1,0,-1,0,1,316
15.354612112,-22,-10,0,2,3,0,0,1,317
15.407631159,-24,-15,0,1,0,0,0,1,318
15.460608005,-20,-12,0,2,0,1,0,1,319
15.513600111,-24,-10,0,2,0,2,0,1,320
15.567645073,-17,-25,0,-3,-1,1,0,1,321
15.620542049,-11,-11,0,0,-5,-2,0,1,322
15.692589998,-14,13,0,0,1,0,0,1,323
15.74558711,-30,-12,0,5,0,-2,0,1,324
15.798707008,-35,-7,0,0,2,1,0,1,325
15.851734161,-29,1,0,-1,2,1,0,1,326
15.905517101,-15,-4,0,1,0,2,0,1,327
15.958669186,2,4,0,-2,-2,3,0,1,328
16.011792183,-44,-9,0,-4,-1,2,0,1,329
16.064697981,-27,7,0,-5,-4,0,0,1,330
16.118610144,-26,23,0,-2,0,0,0,1,331
16.17158699,-34,21,0,0,-2,-4,0,1,332
16.224627018,-28,31,0,-4,2,-1,0,1,333
16.277619123,-41,9,0,1,3,-1,0,1,334
16.330694199,-10,21,0,-2,1,1,0,1,335
16.383651018,-18,22,0,2,1,0,0,1,336
16.436678171,-25,3,0,3,-1,1,0,1,337
16.488607168,-37,11,0,0,1,2,0,1,338
16.541717052,-29,3,0,0,-2,0,0,1,339
16.594693184,-30,-2,0,-2,-1,0,0,1,340
16.647622108,-41,3,0,0,-1,0,0,1,341
16.700612068,-35,1,0,-2,-2,0,0,1,342
16.754581213,-44,-6,0,0,0,0,0,1,343
16.807598114,-43,-9,0,-1,0,-1,0,1,344
16.860630989,-49,-2,0,-3,0,0,0,1,345
16.913648128,-39,-1,0,0,0,-2,0,1,346
16.966633081,-12,-5,0,0,0,-1,0,1,347
17.01971221,1,13,0,1,4,0,0,1,348
17.073643207,17,10,0,1,0,0,0,1,349
17.126661062,-11,-7,0,0,1,0,0,1,350
17.179620981,-14,-19,0,2,1,1,0,1,351
17.232674122,-13,-1,0,-2,0,2,0,1,352
17.285756111,-21,-8,0,0,-1,1,0,1,353
17.33874011,-28,4,0,3,0,1,0,1,354
17.392600059,-39,11,0,-1,-2,0,0,1,355
17.463736057,-24,15,0,0,-5,-1,0,1,356
17.517628193,-21,21,0,-3,-2,0,0,1,357
17.570602178,-9,23,0,-2,0,0,0,1,358
17.623697042,-14,8,0,0,2,1,0,1,359
17.676693201,-8,3,0,4,1,0,0,1,360
17.730751038,-1,10,0,0,4,2,0,1,361
17.783663988,10,-12,0,1,0,1,0,1,362
17.836600065,-17,9,0,-1,1,3,0,1,363
17.889629126,-8,-1,0,-1,0,2,0,1,364
17.943631172,-8,-6,0,1,-2,0,0,1,365
17.996581077,-29,-4,0,-3,-1,0,0,1,366
18.049590111,-20,-4,0,0,-2,-1,0,1,367
18.102714062,-30,2,0,-5,-3,-1,0,1,368
18.156604052,-7,22,0,-1,1,-1,0,1,369
18.209811211,-17,15,0,-2,0,-1,0,1,370
18.262730122,-15,9,0,-2,1,0,0,1,371
18.315677166,-26,-4,0,3,1,-1,0,1,372
18.368703127,-21,-6,0,1,1,0,0,1,373
18.422717094,-10,1,0,0,3,1,0,1,374
18.476369142,16,11,0,2,0,-1,0,1,375
18.528639078,-33,-3,0,0,1,0,0,1,376
18.58162713,-20,-18,0,3,2,1,0,1,377
18.634661198,-29,-1,0,1,0,0,0,1,378
18.68761611,-7,26,0,-1,0,2,0,1,379
18.740669012,4,34,0,5,0,0,0,1,380
18.793658018,2,27,0,0,-1,2,0,1,381
18.846693039,-23,6,0,0,0,0,0,1,382
18.900665045,-20,2,0,0,-4,0,0,1,383
18.971660137,-24,6,0,-1,-2,0,0,1,384
19.024648189,-16,-17,0,0,-3,-1,0,1,385
19.078508139,-18,-11,0,-1,0,0,0,1,386
19.131672144,-39,-2,0,-2,-1,0,0,1,387
19.184648991,-13,12,0,1,1,0,0,1,388
19.237606048,-9,14,0,1,0,0,0,1,389
19.290678978,1,11,0,-1,2,0,0,1,390
19.343775034,-33,-12,0,-1,0,0,0,1,391
19.396651029,-18,11,0,1,1,0,0,1,392
19.449650049,8,11,0,-1,0,0,0,1,393
19.503753185,6,1,0,2,1,1,0,1,394
19.556668997,-7,-11,0,2,-2,0,0,1,395
19.609646082,-18,18,0,0,-1,0,0,1,396
19.662575006,-11,14,0,0,-3,-2,0,1,397
19.734637022,-12,14,0,-2,-1,-1,0,1,398
19.787628174,-33,-3,0,-1,0,-1,0,1,399
19.840606213,-8,-6,0,1,0,0,0,1,400
19.893771171,-11,-3,0,4,2,0,0,1,401
19.946583033,-5,-23,0,2,0,0,0,1,402
20.00062418,-36,-14,0,3,1,1,0,1,403
20.052635193,-35,0,0,2,0,0,0,1,404
20.105668068,-25,10,0,-3,0,1,0,1,405
20.17794919,-10,21,0,0,0,0,0,1,406
20.230674982,-29,6,0,0,0,0,0,1,407
20.283596992,13,8,0,-2,0,0,0,1,408
20.336620092,12,11,0,0,-1,0,0,1,409
20.390612125,-8,-13,0,3,1,0,0,1,410
20.443847179,-14,2,0,0,0,0,0,1,411
20.496648073,3,15,0,-1,0,0,0,1,412
20.549684048,-28,6,0,1,2,0,0,1,413
20.602629185,-25,-1,0,0,1,0,0,1,414
20.655615091,-29,8,0,0,2,0,0,1,415
20.708607197,-13,0,0,1,0,0,0,1,416
20.762633085,-18,-8,0,0,1,1,0,1,417
20.815690994,-16,1,0,1,2,1,0,1,418
20.868669033,-15,13,0,3,0,0,0,1,419
20.921591997,-18,12,0,2,-1,0,0,1,420
20.974690199,-22,-4,0,1,0,0,0,1,421
21.027791977,-17,8,0,1,-1,0,0,1,422
21.080624103,-22,-1,0,-1,0,0,0,1,423
21.134585142,-24,-1,0,0,-3,0,0,1,424
21.18764615,-18,8,0,-1,-3,-1,0,1,425
21.240576982,-35,14,0,-4,-1,0,0,1,426
21.293576002,-18,6,0,-1,-2,-1,0,1,427
21.346784115,-30,0,0,-6,-6,-2,0,1,428
21.399609089,-35,3,0,-2,-1,0,0,1,429
21.452615023,-9,4,0,-1,-2,-2,0,1,430
21.505717993,-4,-2,0,-4,0,0,0,1,431
21.558600187,-26,-9,0,-2,0,-1,0,1,432
21.612723112,-26,7,0,4,2,-1,0,1,433
21.665626049,-10,8,0,0,1,0,0,1,434
21.71865201,-42,-5,0,-1,2,-1,0,1,435
21.771620989,-12,-3,0,3,1,-1,0,1,436
21.824683189,-1,-1,0,1,3,1,0,1,437
21.877763033,-3,4,0,2,3,0,0,1,438
21.930642128,-30,20,0,0,1,0,0,1,439
21.983709097,19,25,0,0,2,1,0,1,440
22.037687063,-36,-2,0,3,1,0,0,1,441
22.090639114,-36,-9,0,0,1,1,0,1,442
22.143594026,-18,-6,0,1,1,1,0,1,443
22.196646213,-28,-18,0,1,0,0,0,1,444
22.248672008,-41,-10,0,1,0,1,0,1,445
22.301693201,-16,11,0,2,2,2,0,1,446
22.354691982,-19,-3,0,2,0,1,0,1,447
22.407800198,-25,5,0,0,-2,0,0,1,448
22.460626125,5,9,0,1,0,0,0,1,449
22.513914108,-14,7,0,0,-1,0,0,1,450
22.566684008,-16,9,0,-1,-1,0,0,1,451
22.620658159,-4,23,0,2,-4,-2,0,1,452
22.673596144,-16,9,0,-3,-3,0,0,1,453
22.744603157,-17,-4,0,-2,-2,0,0,1,454
22.797703028,-26,-16,0,-2,0,-1,0,1,455
22.851621151,-24,-10,0,0,0,0,0,1,456
22.904546976,-10,21,0,0,1,0,0,1,457
22.957612038,-27,18,0,2,0,0,0,1,458
23.01060009,-21,9,0,5,4,0,0,1,459
23.012629986,-21,9,0,5,4,0,0,1,459
23.060597181,-19,-2,0,2,0,-1,0,0,460
23.11266613,-27,-11,0,-3,2,1,0,0,461
23.168676138,-14,1,0,-4,1,2,0,0,462
23.220662117,-25,3,0,0,-1,0,0,0,463
23.272668123,-19,3,0,-1,0,0,0,0,464
23.334654093,-21,7,0,0,0,0,0,0,465
23.386646032,-21,0,0,0,0,0,0,0,466
23.438662052,-15,6,0,0,0,0,0,0,467
23.500622034,-20,4,0,-1,0,0,0,0,468
23.552586079,-14,3,0,0,0,0,0,0,469
23.604732037,-21,4,0,1,0,0,0,0,470
23.665638208,-20,0,0,0,0,0,0,0,471
23.717639208,-18,4,0,0,0,0,0,0,472
23.770533085,-20,6,0,0,0,0,0,0,473
23.831737995,-19,1,0,0,0,0,0,0,474
23.883800983,-22,3,0,0,0,0,0,0,475
23.935693979,-24,0,0,0,0,0,0,0,476
23.997686148,-23,0,0,0,0,0,0,0,477
24.049647093,-17,5,0,-1,-1,0,0,0,478
24.102669001,-20,7,0,-1,0,0,0,0,479
24.163662195,-19,3,0,0,0,0,0,0,480
24.215689182,-20,4,0,0,0,0,0,0,481
24.267626047,-20,4,0,0,0,0,0,0,482
24.329653025,-20,5,0,0,0,0,0,0,483
24.38451314,-20,4,0,0,0,0,0,0,484
24.433604002,-20,4,0,0,0,0,0,0,485
24.494758129,-20,4,0,0,0,0,0,0,486
24.54658699,-20,4,0,0,0,0,0,0,487
24.598674059,-20,4,0,0,0,0,0,0,488
24.660739183,-20,4,0,0,0,0,0,0,489
24.712686062,-20,4,0,0,0,0,0,0,490
24.764791012,-21,4,0,0,0,0,0,0,491
24.826635122,-20,4,0,0,0,0,0,0,492
24.878728151,-20,4,0,0,0,0,0,0,493
24.930739164,-20,4,0,0,0,0,0,0,494
24.991772175,-20,4,0,0,0,0,0,0,495
25.043774128,-20,4,0,0,0,0,0,0,496
25.096613169,-20,4,0,0,0,0,0,0,497
25.157690048,-21,4,0,0,0,0,0,0,498
25.209735155,-20,4,0,0,0,0,0,0,499
25.261644125,-20,4,0,0,0,0,0,0,500
25.32367301,-20,4,0,0,0,0,0,0,501
25.375643015,-20,4,0,0,0,0,0,0,502
25.427717209,-20,4,0,0,0,0,0,0,503
25.489703178,-20,4,0,0,0,0,0,0,504
25.541629076,-20,4,0,0,0,0,0,0,505
25.593664169,-20,4,0,0,0,0,0,0,506
25.654759169,-20,4,0,0,0,0,0,0,507
25.706758022,-20,4,0,0,0,0,0,0,508
