TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
9.487778902,-18,4,1,24,-7,0,0,1,211
9.538778782,-19,3,1,24,-19,-13,0,1,212
9.588713884,-18,4,1,5,-4,-8,0,1,213
9.644722938,-18,2,1,-10,-3,-2,0,1,214
9.699707985,-17,2,1,4,-3,-4,0,1,215
9.750724792,-16,1,1,-6,-7,-5,0,1,216
9.806724786,-16,1,1,13,11,0,0,1,217
9.856818914,-15,1,1,-30,-4,2,0,1,218
9.906777858,-16,1,1,12,-1,-3,0,1,219
9.956796884,-15,1,1,32,3,5,0,1,220
10.007647991,-14,0,1,-2,24,8,0,1,221
10.05776596,-13,0,1,-5,10,-4,0,1,222
10.108640909,-13,0,1,-19,1,1,0,1,223
10.158763885,-14,0,1,15,-11,1,0,1,224
10.208769798,-14,0,1,31,-4,0,0,1,225
10.259661913,-14,0,1,-11,0,2,0,1,226
10.315725803,-15,1,1,-3,19,6,0,1,227
10.365703821,-15,1,1,4,-12,-1,0,1,228
10.416660785,-16,2,1,0,-2,2,0,1,229
10.47179985,-16,3,1,-26,-11,-7,0,1,230
10.522652864,-16,2,1,-1,16,9,0,1,231
10.596724987,-17,3,1,0,7,10,0,1,232
10.646705865,-17,2,1,-38,13,9,0,1,233
10.697624921,-17,2,1,-22,-11,1,0,1,234
10.747681856,-18,3,1,18,-15,-6,0,1,235
10.797735929,-18,2,1,13,-12,-8,0,1,236
10.848670959,-17,2,1,7,3,0,0,1,237
10.898749828,-16,1,1,3,6,-4,0,1,238
10.949728012,-16,1,1,-39,-1,-3,0,1,239
10.999866008,-15,1,1,41,23,15,0,1,240
11.050630807,-15,2,1,-12,-4,-5,0,1,241
11.10067892,-16,2,1,-4,-3,0,0,1,242
11.151734829,-16,2,1,-1,-5,3,0,1,243
11.201750993,-16,3,1,1,-13,-10,0,1,244
11.251765012,-17,3,2,27,4,2,0,1,245
11.30774784,-18,3,2,-14,-1,-2,0,1,246
11.363722801,-16,2,1,50,-15,-6,0,1,247
11.418773889,-17,2,2,-45,6,-1,0,1,248
11.474762916,-16,2,2,-7,8,6,0,1,249
11.525669813,-15,2,2,36,-3,0,0,1,250
11.575791835,-16,3,2,7,-1,3,0,1,251
11.631688833,-17,3,2,-20,-8,-11,0,1,252
11.681680917,-17,3,2,3,-20,-12,0,1,253
11.755747795,-16,4,2,24,24,16,0,1,254
11.805723905,-17,2,2,11,19,11,0,1,255
11.856819868,-16,2,2,-18,11,7,0,1,256
11.906659841,-14,2,2,-33,10,16,0,1,257
11.957752943,-14,2,2,1,-1,-1,0,1,258
12.007989883,-16,2,2,25,-8,-2,0,1,259
12.057786941,-16,2,2,21,-12,-12,0,1,260
12.10878396,-16,3,2,29,-3,0,0,1,261
12.163646936,-16,3,2,34,3,5,0,1,262
12.219747781,-16,2,2,-2,4,-4,0,1,263
12.270728826,-16,2,2,-2,-4,0,0,1,264
