TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
15.990139008,-17,2,0,-20,-18,-13,0,1,327
16.04316783,-16,1,0,21,-2,-3,0,1,328
16.097086906,-16,2,0,-10,-7,-3,0,1,329
16.150139809,-17,2,0,-31,26,9,0,1,330
16.204164028,-19,3,0,-48,-5,9,0,1,331
16.257026911,-18,3,-1,22,-13,-14,0,1,332
16.310046911,-17,4,-1,38,-5,-10,0,1,333
16.363150835,-18,3,-1,-21,13,7,0,1,334
16.435091019,-17,2,-1,-23,15,5,0,1,335
16.488219023,-16,2,-1,10,0,-2,0,1,336
16.541082859,-18,3,-1,-8,-14,-6,0,1,337
16.595060825,-18,2,-1,16,1,-6,0,1,338
16.647070885,-18,1,-1,-13,19,13,0,1,339
16.700182915,-17,3,-1,-22,11,9,0,1,340
16.754107952,-16,3,-1,-17,-8,-7,0,1,341
16.807140827,-15,2,-1,28,-21,-13,0,1,342
16.860266924,-16,2,-1,24,-4,-10,0,1,343
16.913125992,-16,3,0,-5,13,7,0,1,344
16.967118979,-17,4,0,-26,11,2,0,1,345
17.020196915,-17,4,-1,-1,0,4,0,1,346
17.09215498,-16,2,-1,26,-8,-4,0,1,347
17.145138025,-15,2,-1,8,0,3,0,1,348
17.198068857,-16,4,-1,-6,-15,-14,0,1,349
17.251127005,-17,4,-1,16,0,-2,0,1,350
17.305063963,-17,3,-1,-18,0,4,0,1,351
17.358126879,-16,2,-2,-16,-21,-10,0,1,352
17.430130005,-15,2,-1,29,0,-2,0,1,353
17.483151913,-16,4,-1,-9,12,7,0,1,354
17.536046982,-17,4,-1,-18,20,13,0,1,355
17.589090824,-18,2,-1,-48,-14,-18,0,1,356
17.642115831,-16,1,-1,23,-9,-3,0,1,357
17.696188927,-16,2,-1,-20,2,-1,0,1,358
17.749092817,-16,4,-2,-28,12,7,0,1,359
17.802218914,-17,3,-2,39,-10,2,0,1,360
17.856189966,-17,2,-2,1,-7,-8,0,1,361
17.909080982,-17,2,-2,-10,-21,-6,0,1,362
17.962075949,-17,3,-2,-7,-29,-22,0,1,363
18.015036821,-17,3,-2,32,13,0,0,1,364
18.068223,-18,3,-1,-2,19,14,0,1,365
18.122117043,-18,2,-1,-8,41,34,0,1,366
18.175159931,-18,2,-1,-44,-11,3,0,1,367
18.228214979,-16,3,-1,20,-14,-16,0,1,368
18.281157017,-16,5,-1,39,-13,-8,0,1,369
18.334225893,-16,4,-1,0,17,9,0,1,370
18.388167858,-17,3,-1,-43,10,-2,0,1,371
18.441161871,-16,2,-1,0,6,6,0,1,372
18.512209892,-16,3,-1,8,-1,0,0,1,373
18.566056967,-17,5,-1,10,2,4,0,1,374
18.619020939,-18,4,-1,-7,-7,-3,0,1,375
18.672195911,-17,2,-1,-2,-8,-6,0,1,376
18.725049019,-17,2,-1,-12,-5,2,0,1,377
18.779036999,-16,3,-2,-12,-23,-13,0,1,378
18.832168818,-17,5,-2,14,-12,-14,0,1,379
18.885138989,-17,4,-2,28,-21,-10,0,1,380
18.938145876,-17,3,-2,26,5,-1,0,1,381
18.991205931,-17,2,-1,-11,4,2,0,1,382
19.045045853,-18,4,-1,-34,7,5,0,1,383
19.097995996,-19,6,-1,-23,-6,0,0,1,384
19.151144028,-18,6,-1,31,-11,-10,0,1,385
19.204128027,-18,4,-1,18,-9,0,0,1,386
19.257146835,-18,3,-2,2,0,9,0,1,387
19.31020999,-19,3,-1,-45,6,-10,0,1,388
19.364161015,-18,4,-1,21,28,10,0,1,389
19.417141914,-16,4,-1,-9,13,13,0,1,390
19.488148928,-17,4,-1,10,10,14,0,1,391
19.542115927,-18,3,-1,-19,-16,-4,0,1,392
19.59500289,-18,2,-1,-24,-10,-11,0,1,393
19.648222923,-17,2,-1,20,18,4,0,1,394
19.702116013,-15,2,-1,-16,0,5,0,1,395
19.75513792,-15,4,-1,5,0,7,0,1,396
19.80804801,-16,3,-1,9,-2,-3,0,1,397
19.862119913,-16,2,-1,12,-13,-13,0,1,398
19.915139914,-16,1,-1,19,15,9,0,1,399
19.968120813,-16,2,-1,-49,14,2,0,1,400
20.021142006,-17,4,-1,12,-9,-4,0,1,401
