TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
37.332076072,5,-6,24,57,0,-1,24,1,694
37.388026953,12,-7,24,28,1,-2,24,1,695
37.443068027,17,-6,24,15,-2,-9,24,1,696
37.49305892,22,-7,23,4,0,-6,24,1,697
37.543952942,27,-6,23,20,-3,0,24,1,698
37.593965053,31,-3,23,4,8,4,24,1,699
37.668056011,34,-4,23,1,3,0,24,1,700
37.718086004,35,-5,23,13,-4,-2,24,1,701
37.768100977,38,-5,23,0,-1,-4,24,1,702
37.824029922,41,-5,23,3,-1,0,24,1,703
37.879419088,40,-5,23,-7,4,0,24,1,704
37.935009002,43,-5,23,-30,-8,-4,24,1,705
37.989936113,41,-5,23,-56,-18,-8,24,1,706
38.040086984,39,-6,22,-120,-19,-25,24,1,707
38.091027021,38,0,21,-124,-20,-18,24,1,708
38.146070003,27,2,20,-185,-20,-21,24,1,709
38.196926117,12,-2,20,-158,-31,2,24,1,710
38.27095294,-4,-6,20,-209,-20,7,24,1,711
38.320989132,-12,-8,21,-187,-31,16,24,1,712
38.371094942,-10,-6,22,-132,-31,28,24,1,713
38.421998024,-11,5,23,-124,-27,31,24,1,714
38.471997976,-26,7,24,-113,-12,30,24,1,715
38.52195692,-29,5,25,-74,-13,26,24,1,716
38.57805109,-29,2,26,-44,-15,11,24,1,717
38.633130073,-29,2,27,-4,-17,7,24,1,718
38.684056997,-34,2,27,-9,-11,1,24,1,719
38.734003067,-39,1,27,8,1,2,24,1,720
38.784013033,-43,3,27,-14,-7,1,24,1,721
38.835026026,-49,3,27,-19,-11,0,24,1,722
38.890088081,-54,2,27,-9,-8,2,24,1,723
38.941047907,-56,1,27,3,2,4,24,1,724
38.996016979,-55,0,27,1,-6,0,24,1,725
39.052072048,-53,0,27,-3,-2,0,24,1,726
39.126068115,-49,1,27,0,-6,0,24,1,727
39.182029009,-44,1,27,-11,-6,0,24,1,728
39.23713398,-35,1,27,4,-1,0,24,1,729
39.293031931,-35,-1,27,32,-4,3,24,1,730
39.34803009,-37,-3,28,52,-9,4,24,1,731
39.398047924,-33,-1,28,110,7,4,24,1,732
39.447976112,-24,12,28,195,1,7,24,1,733
39.498309135,-19,20,28,164,15,-3,24,1,734
39.554049015,-17,17,28,186,-14,-10,24,1,735
39.628035068,-18,6,27,109,-4,-22,24,1,736
39.678050995,-15,1,26,61,-12,-36,24,1,737
39.728068113,-5,2,25,3,-13,-27,24,1,738
39.7791121,-1,-1,24,-27,-7,-20,24,1,739
39.82911396,-8,-2,23,-65,-1,-12,24,1,740
39.884971142,-11,-1,23,-24,-4,-5,24,1,741
39.941025018,-13,2,22,-7,-7,-5,24,1,742
39.996644974,-15,3,22,11,-4,-1,24,1,743
40.046956062,-11,2,22,-8,-3,2,24,1,744
40.102021932,-6,2,22,-14,0,-2,24,1,745
40.157987118,-4,2,22,-30,0,-4,24,1,746
40.208024025,-3,1,22,-23,-5,-2,24,1,747
40.282951116,-2,-1,22,-21,1,5,24,1,748
40.338073015,-4,1,23,-12,36,17,24,1,749
40.394086122,-4,2,24,-15,65,16,24,1,750
40.450022936,-7,2,24,-42,100,15,24,1,751
40.504965067,-9,7,24,-56,96,0,24,1,752
40.554986,-3,11,25,-40,106,9,24,1,753
40.605956077,0,5,25,-20,98,11,24,1,754
40.655993938,-7,0,25,-32,72,9,24,1,755
40.711086988,-13,-5,26,4,59,10,24,1,756
40.785088062,-12,-10,26,6,37,11,24,1,757
40.841048956,-10,-18,27,-11,15,7,24,1,758
40.891041994,-9,-27,27,11,17,11,24,1,759
40.942030906,-11,-32,28,17,11,10,24,1,760
40.992053985,-12,-35,28,0,7,2,24,1,761
41.047073126,-18,-35,28,13,3,5,24,1,762
41.103025913,-22,-36,28,2,9,3,24,1,763
41.153011083,-22,-38,28,5,3,0,24,1,764
