TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
25.626297951,-8,1,4,-4,-2,5,4,1,508
25.676377058,-10,1,4,16,4,2,4,1,509
25.726419926,-5,7,4,-8,-1,2,4,1,510
25.777350903,-2,8,5,3,6,4,4,1,511
25.827316046,-5,8,5,16,8,5,4,1,512
25.877332926,-1,7,5,16,9,3,4,1,513
25.933357954,-5,1,5,8,12,1,4,1,514
25.989324093,-5,-1,5,-9,0,3,4,1,515
26.039359093,-4,-1,5,-4,2,0,4,1,516
26.09036088,-4,-1,5,-5,1,2,4,1,517
26.140352964,-2,-3,5,-11,1,2,4,1,518
26.196402073,-2,-3,6,-32,0,1,4,1,519
26.246376991,4,-1,6,-27,4,6,4,1,520
26.302303076,-4,-7,6,-9,-5,0,4,1,521
26.358277082,-5,-11,6,-16,-12,1,4,1,522
26.408398867,-4,-9,6,-26,-17,5,4,1,523
26.48239994,-9,-5,6,-31,-13,5,4,1,524
26.532495975,-12,-7,7,-28,-17,1,4,1,525
26.583333969,-13,-8,7,-21,-18,0,4,1,526
26.633362055,-16,-9,7,-33,-24,0,4,1,527
26.68332386,-14,-8,7,-40,-20,3,4,1,528
26.733407974,-16,-12,7,-19,-16,6,4,1,529
26.784363985,-16,-13,7,-29,-12,10,4,1,530
26.834308863,-11,-11,7,9,-6,6,4,1,531
26.884366035,-11,-10,8,-21,-12,7,4,1,532
26.940281868,-21,-6,8,-14,-5,13,4,1,533
26.995424032,-24,-6,9,-6,-7,6,4,1,534
27.051370859,-25,-5,9,-11,-8,1,4,1,535
27.107317924,-29,-2,9,-10,-8,2,4,1,536
27.162401915,-30,-5,9,-11,0,6,4,1,537
27.212353945,-33,-5,9,-4,-2,7,4,1,538
27.263262033,-30,-4,10,-7,-4,5,4,1,539
27.313360929,-27,-3,10,3,-3,-5,4,1,540
27.387315035,-29,-3,9,6,-2,-11,4,1,541
27.437370062,-30,1,9,8,-2,-18,4,1,542
27.488260031,-22,6,8,5,-9,-20,4,1,543
27.538336039,-20,7,7,-3,-19,-23,4,1,544
27.588361979,-26,4,6,8,-23,-25,4,1,545
27.639492989,-28,1,5,1,-17,-24,4,1,546
27.689373016,-28,0,4,17,-18,-22,4,1,547
27.740359068,-30,3,4,14,-9,-9,4,1,548
