TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
9.291419029,-18,3,0,-1,0,0,0,1,207
9.345288992,-17,5,0,-4,0,0,0,1,208
9.398401022,-16,1,0,0,0,0,0,1,209
9.451414108,-17,1,-1,2,0,-2,0,1,210
9.504342079,-18,3,-1,2,0,0,0,1,211
9.576375961,-18,5,-1,-2,0,0,0,1,212
9.62944293,-14,2,0,-1,0,1,0,1,213
9.683371067,-12,2,-1,3,0,0,0,1,214
9.736357927,-13,3,-1,0,0,0,0,1,215
9.789406061,-16,2,-1,1,0,0,0,1,216
9.842370987,-16,0,-1,3,2,0,0,1,217
9.896394968,-12,2,-1,-3,1,1,0,1,218
9.949342966,-12,4,-1,-2,0,0,0,1,219
10.002419948,-16,4,-1,-6,1,0,0,1,220
10.074430942,-17,2,-1,5,0,-1,0,1,221
10.127439022,-17,0,-1,1,0,0,0,1,222
10.180401087,-16,3,-1,0,0,1,0,1,223
10.233383894,-17,4,-1,4,0,0,0,1,224
10.287358045,-13,3,-1,-1,1,1,0,1,225
10.340554952,-13,2,-1,2,0,0,0,1,226
10.393402099,-14,3,-1,-1,-1,0,0,1,227
10.446367025,-16,3,-1,-2,1,0,0,1,228
10.500456095,-17,2,-1,8,1,1,0,1,229
10.553311109,-20,0,-1,-2,0,0,0,1,230
10.606365919,-19,2,-1,-5,0,0,0,1,231
10.678378105,-20,4,-1,-1,0,0,0,1,232
10.731332063,-20,3,-1,0,0,0,0,1,233
10.784349918,-18,1,-1,-1,0,0,0,1,234
10.837471962,-12,2,-1,1,1,0,0,1,235
10.891367912,-10,7,-1,-1,0,0,0,1,236
10.94431901,-10,7,-1,3,0,0,0,1,237
10.997364998,-12,5,-1,-3,0,0,0,1,238
11.050381899,-10,2,-1,-1,0,-1,0,1,239
11.122334957,-9,2,-1,1,0,0,0,1,240
11.175407886,-12,6,-1,2,0,0,0,1,241
11.22833395,-13,6,-1,-2,-1,0,0,1,242
11.281306028,-14,4,-1,3,1,0,0,1,243
11.335275888,-16,1,-1,1,0,-1,0,1,244
11.388431072,-15,1,-1,0,0,0,0,1,245
11.441324949,-17,4,-1,-1,0,0,0,1,246
11.494391918,-18,5,-1,-1,0,1,0,1,247
11.547365904,-18,2,-1,2,0,0,0,1,248
11.600436926,-19,0,-1,0,2,0,0,1,249
11.654370069,-20,0,-1,1,2,0,0,1,250
11.707397938,-20,2,-1,-3,-1,0,0,1,251
11.760344028,-20,5,-1,0,0,0,0,1,252
11.813412905,-20,2,-1,0,0,0,0,1,253
11.866419077,-18,2,-1,3,0,-2,0,1,254
11.919668913,-10,1,-1,3,0,0,0,1,255
11.973287105,-11,2,-1,0,1,0,0,1,256
12.026380062,-14,5,-1,-7,-1,0,0,1,257
12.07932496,-14,3,-1,1,1,1,0,1,258
12.132281065,-12,3,-1,2,-1,-1,0,1,259
12.18443203,-15,3,-1,0,2,1,0,1,260
12.238236904,-11,3,-1,-6,-1,-1,0,1,261
12.309417009,-15,5,-1,-3,1,0,0,1,262
12.362400055,-17,6,-1,2,0,0,0,1,263
12.415362119,-17,5,-1,2,0,0,0,1,264
12.46932292,-20,4,-1,-8,0,2,0,1,265
12.522285938,-18,4,-1,0,1,-1,0,1,266
12.575349092,-14,8,-1,0,0,0,0,1,267
12.628303051,-16,13,-1,2,-1,-1,0,1,268
12.681298971,-18,12,-1,-1,0,1,0,1,269
12.735321998,-16,7,-1,0,0,0,0,1,270
