TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
127.830146074,7,-2,-53,0,-2,0,5,1,2349
127.881142139,7,-2,-53,0,-1,0,5,1,2350
127.931181907,7,-2,-53,0,-1,0,5,1,2351
127.982993126,7,-2,-53,0,-1,0,5,1,2352
128.032115936,7,-2,-53,0,-1,0,5,1,2353
128.083030939,7,-2,-53,0,-1,0,5,1,2354
128.133002043,7,-2,-53,0,-1,0,5,1,2355
128.184169054,7,-2,-53,0,-1,0,5,1,2356
128.234208107,7,-2,-53,0,-2,0,5,1,2357
128.28510499,7,-2,-53,1,-1,0,5,1,2358
128.341145038,7,-2,-53,0,-1,0,5,1,2359
128.391088962,7,-2,-53,0,-1,0,5,1,2360
128.447103023,7,-2,-53,0,-1,0,5,1,2361
128.498197078,7,-2,-53,0,-1,0,5,1,2362
128.548177004,7,-2,-53,0,-1,0,5,1,2363
128.599333048,7,-2,-53,0,-1,0,5,1,2364
128.649148941,7,-2,-53,0,-1,0,5,1,2365
128.700149059,7,-2,-53,-1,-1,0,5,1,2366
128.750026941,6,-2,-53,0,-1,0,5,1,2367
128.8010571,7,-2,-53,0,-2,0,5,1,2368
128.851063013,7,-2,-53,0,-1,0,5,1,2369
128.90219593,7,-2,-53,0,-2,0,5,1,2370
128.952173948,7,-2,-53,0,-1,0,5,1,2371
129.00295496,7,-2,-53,1,-2,0,5,1,2372
129.053170919,7,-2,-53,0,-1,0,5,1,2373
129.104151964,7,-2,-53,0,-1,0,5,1,2374
129.1550951,7,-2,-53,0,-1,0,5,1,2375
129.205147981,7,-2,-53,0,-2,0,5,1,2376
129.256093025,7,-2,-53,0,-1,0,5,1,2377
129.306123018,7,-2,-53,0,-1,0,5,1,2378
129.357044935,7,-2,-53,0,-1,0,5,1,2379
129.407102108,7,-2,-53,0,-1,0,5,1,2380
129.458130121,7,-2,-53,0,-1,0,5,1,2381
129.508104086,7,-2,-53,0,-1,0,5,1,2382
129.559082985,7,-2,-53,0,-1,0,5,1,2383
129.609235048,7,-2,-53,0,-1,0,5,1,2384
129.660181045,7,-2,-53,0,-1,0,5,1,2385
129.716114044,7,-2,-53,0,-1,0,5,1,2386
129.766098022,7,-2,-53,0,-1,0,5,1,2387
129.822207927,7,-2,-53,0,-1,0,5,1,2388
129.896139145,7,-2,-53,-1,-1,0,5,1,2389
129.952116012,7,-2,-53,0,-2,0,5,1,2390
130.002027035,7,-2,-53,0,-1,0,5,1,2391
130.058175087,7,-2,-53,0,-1,0,5,1,2392
130.108106136,7,-2,-53,0,-1,0,5,1,2393
130.159198046,7,-2,-53,0,-2,0,5,1,2394
130.209136009,7,-2,-53,0,-2,0,5,1,2395
130.260146141,7,-2,-53,0,-1,0,5,1,2396
130.311017036,7,-2,-53,0,-1,0,5,1,2397
130.361149072,7,-2,-53,0,-2,0,5,1,2398
130.412178993,7,-2,-53,0,-1,0,5,1,2399
130.462142944,7,-2,-53,0,-1,0,5,1,2400
130.513107061,7,-2,-53,0,-1,0,5,1,2401
130.563163042,7,-2,-53,0,-1,0,5,1,2402
130.61404705,7,-2,-53,0,-1,0,5,1,2403
130.663067102,7,-2,-53,0,-1,0,5,1,2404
130.714157104,7,-2,-53,0,-2,0,5,1,2405
