TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
68.330398082,-20,4,0,0,0,0,0,0,1276
68.391524076,-20,4,0,0,0,0,0,0,1277
68.443561077,-20,3,0,0,0,0,0,0,1278
68.495409965,-20,3,0,0,0,0,0,0,1279
68.557403087,-20,4,0,0,0,0,0,0,1280
68.609680891,-20,3,0,0,0,0,0,0,1281
68.661436081,-20,4,0,0,0,0,0,0,1282
68.723348856,-20,4,0,0,0,0,0,0,1283
68.775387048,-20,4,0,0,0,0,0,0,1284
68.827404022,-20,4,0,0,0,0,0,0,1285
68.894443989,-20,4,0,0,0,0,0,0,1286
68.940464019,-20,4,0,0,0,0,0,0,1287
68.992460966,-20,4,0,0,0,0,0,0,1288
69.054449081,-20,3,0,0,0,0,0,0,1289
69.10643506,-20,3,0,0,0,0,0,0,1290
69.158452034,-20,3,0,0,0,0,0,0,1291
69.220391988,-20,4,0,0,0,0,0,0,1292
69.272412061,-20,4,0,0,0,0,0,0,1293
69.324380874,-20,4,0,0,0,0,0,0,1294
69.385405063,-20,4,0,0,0,0,0,0,1295
69.437669038,-20,3,0,0,0,0,0,0,1296
69.489438057,-20,3,0,0,0,0,0,0,1297
69.551390886,-20,3,0,0,0,0,0,0,1298
69.606389999,-20,4,0,0,0,0,0,0,1299
69.655407905,-20,4,0,0,0,0,0,0,1300
69.717391014,-20,4,0,0,0,0,0,0,1301
69.769468069,-20,3,0,0,0,0,0,0,1302
69.821506023,-21,3,0,0,0,0,0,0,1303
69.882404089,-20,4,0,0,0,0,0,0,1304
69.934508085,-20,4,0,0,0,0,0,0,1305
69.986407995,-20,3,0,0,0,0,0,0,1306
70.048398971,-20,4,0,0,0,0,0,0,1307
70.100414037,-20,4,0,0,0,0,0,0,1308
70.152454853,-20,3,0,0,0,0,0,0,1309
70.214570045,-21,4,0,0,0,0,0,0,1310
70.266433,-20,4,0,0,0,0,0,0,1311
70.318865061,-20,4,0,0,0,0,0,0,1312
70.379474878,-20,4,0,0,0,0,0,0,1313
70.431438923,-21,4,0,0,0,0,0,0,1314
70.483433962,-20,4,0,0,0,0,0,0,1315
70.545465946,-20,3,0,0,0,0,0,0,1316
70.597416877,-20,4,0,0,0,0,0,0,1317
70.649383068,-20,4,0,0,0,0,0,0,1318
70.710483074,-20,4,0,0,0,0,0,0,1319
70.762495994,-20,3,0,0,0,0,0,0,1320
70.815492868,-20,3,0,0,0,0,0,0,1321
70.876420021,-20,4,0,0,0,0,0,0,1322
70.928741932,-20,4,0,0,0,0,0,0,1323
70.980427026,-20,4,0,0,0,0,0,0,1324
71.042587995,-20,4,0,0,0,0,0,0,1325
71.094412088,-20,4,0,0,0,0,0,0,1326
71.150326967,-21,4,0,0,0,0,0,0,1327
71.207464933,-20,4,0,0,0,0,0,0,1328
71.260444879,-20,4,0,0,0,0,0,0,1329
71.312397003,-20,4,0,0,0,0,0,0,1330
71.373473882,-20,4,0,0,0,0,0,0,1331
71.426167011,-20,3,0,0,0,0,0,0,1332
71.477370023,-20,4,0,0,0,0,0,0,1333
71.54335308,-20,3,0,0,0,0,0,0,1334
71.591410875,-20,3,0,0,0,0,0,0,1335
71.643483877,-20,3,0,0,0,0,0,0,1336
71.704532861,-20,4,0,0,0,0,0,0,1337
71.756413936,-20,4,0,0,0,0,0,0,1338
71.808666944,-20,4,0,0,0,0,0,0,1339
71.870496034,-20,3,0,0,0,0,0,0,1340
71.922405004,-20,4,0,0,0,0,0,0,1341
71.974437952,-20,4,0,0,0,0,0,0,1342
72.036377907,-20,3,0,0,0,0,0,0,1343
72.090210914,-20,4,0,0,0,0,0,0,1344
72.140398979,-20,4,0,0,0,0,0,0,1345
72.201407909,-20,3,0,0,0,0,0,0,1346
72.253449917,-20,4,0,0,0,0,0,0,1347
72.305456876,-20,3,0,0,0,0,0,0,1348
72.36747694,-20,4,0,0,0,0,0,0,1349
72.419378996,-20,4,0,0,0,0,0,0,1350
72.470592975,-20,3,0,0,0,0,0,0,1351
72.532376051,-20,4,0,0,0,0,0,0,1352
72.584435939,-20,4,0,0,0,0,0,0,1353
72.636358022,-21,4,0,0,0,0,0,0,1354
72.697450876,-20,3,0,0,0,0,0,0,1355
72.74949789,-21,4,0,0,0,0,0,0,1356
72.801383972,-20,4,0,0,0,0,0,0,1357
72.863406896,-20,3,0,0,0,0,0,0,1358
72.915412903,-20,3,0,0,0,0,0,0,1359
72.96747303,-20,3,0,0,0,0,0,0,1360
73.028719902,-20,3,0,0,0,0,0,0,1361
73.081390857,-20,4,0,0,0,0,0,0,1362
73.13341999,-20,4,0,0,0,0,0,0,1363
73.194350958,-20,3,0,0,0,0,0,0,1364
73.246451854,-20,3,0,0,0,0,0,0,1365
73.298520088,-20,3,0,0,0,0,0,0,1366
73.360435009,-20,4,0,0,0,0,0,0,1367
73.412405967,-20,4,0,0,0,0,0,0,1368
73.464334011,-20,3,0,0,0,0,0,0,1369
73.525346994,-20,3,0,0,0,0,0,0,1370
73.577636957,-20,4,0,0,0,0,0,0,1371
73.629482031,-20,3,0,0,0,0,0,0,1372
73.691448927,-20,3,0,0,0,0,0,0,1373
73.743552923,-20,4,0,0,0,0,0,0,1374
73.795436859,-20,4,0,0,0,0,0,0,1375
73.856425047,-20,4,0,0,0,0,0,0,1376
73.909380912,-20,4,0,0,0,0,0,0,1377
73.961405992,-20,4,0,0,0,0,0,0,1378
74.022454023,-20,3,0,0,0,0,0,0,1379
74.074354887,-20,4,0,0,0,0,0,0,1380
74.126430988,-20,3,0,0,0,0,0,0,1381
74.188333988,-20,3,0,0,0,0,0,0,1382
74.240396023,-20,3,0,0,0,0,0,0,1383
74.292460918,-20,3,0,0,0,0,0,0,1384
74.353441953,-20,4,0,0,0,0,0,0,1385
74.405475855,-20,4,0,0,0,0,0,0,1386
74.457409858,-20,4,0,0,0,0,0,0,1387
