TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
4.093196869,-28,18,-4,1,139,-27,0,0,112
4.143294096,-31,22,-4,27,33,13,0,0,113
4.199938059,-30,17,-4,30,17,9,0,0,114
4.250241041,-29,13,-4,2,66,21,0,0,115
4.303221941,-30,11,-3,2,92,30,0,0,116
4.353276968,-30,9,-2,6,74,32,0,0,117
4.406208992,-31,7,-1,5,20,23,0,0,118
4.456320047,-31,3,0,17,-24,9,0,0,119
4.509227991,-29,-1,0,47,-28,10,0,0,120
4.560265064,-25,-4,0,88,-17,11,0,0,121
4.613218069,-21,-5,0,117,4,8,0,0,122
4.668211937,-15,-5,0,115,0,-6,0,0,123
4.720270872,-10,-5,0,81,-25,-6,0,0,124
4.771228075,-7,-6,0,46,-51,-3,0,0,125
4.823308945,-5,-7,0,0,-78,1,0,0,126
4.875222921,-5,-6,0,-31,-93,4,0,0,127
4.927304029,-4,-4,0,-35,-99,5,0,0,128
4.979290962,-4,-2,0,-19,-91,6,0,0,129
5.029289961,-5,2,0,-15,-59,14,0,0,130
5.085246086,-5,6,1,-15,-16,23,0,0,131
5.140227079,-5,11,2,-9,18,29,0,0,132
5.201318979,-5,16,3,8,48,12,0,0,133
5.256217003,-6,18,3,24,71,-12,0,0,134
5.306266069,-5,19,2,34,89,-30,0,0,135
5.35917902,-4,18,1,38,97,-38,0,0,136
5.411278009,-3,15,0,25,101,-42,0,0,137
5.466307878,-2,12,-1,1,96,-40,0,0,138
5.51730895,-3,8,-2,-26,85,-34,0,0,139
5.570170879,-3,3,-3,-43,65,-26,0,0,140
5.625323057,-4,-1,-4,-50,32,-11,45,0,141
5.678155899,-7,-5,-4,-68,-21,3,0,0,142
5.728317976,-10,-8,-4,-87,-74,11,0,0,143
5.780279875,-14,-10,-3,-94,-111,14,0,0,144
5.831243038,-18,-11,-3,-90,-126,19,0,0,145
5.882191896,-23,-11,-2,-88,-112,24,31,0,146
5.931308985,-27,-9,-2,-78,-93,24,0,0,147
5.983327866,-31,-7,-1,-43,-71,13,0,0,148
6.034326076,-34,-3,0,-3,-46,6,0,0,149
6.087306023,-35,1,0,52,-26,-9,0,0,150
6.142268896,-33,4,-1,83,24,-21,0,0,151
6.199323893,-31,7,-2,86,53,-19,0,0,152
6.250154972,-26,9,-3,102,68,-20,0,0,153
6.30030489,-20,11,-3,128,47,-30,0,0,154
6.36125803,-13,10,-5,131,24,-33,0,0,155
6.413311958,-7,8,-6,110,44,-22,0,0,156
6.465225935,-2,7,-6,88,81,-8,0,0,157
6.519253015,4,6,-6,66,94,2,0,0,158
6.571242094,7,4,-6,28,65,-8,0,0,159
6.621272087,8,0,-7,-27,15,-28,0,0,160
6.67235899,7,-3,-8,-83,-8,-48,0,0,161
6.727248907,5,-6,-10,-114,-10,-53,0,0,162
6.779273033,3,-8,-12,-102,-20,-57,0,0,163
6.832215071,0,-9,-14,-66,-34,-60,0,0,164
6.882328033,-3,-9,-16,-28,-49,-50,0,0,165
6.933291912,-6,-9,-17,-15,-71,-29,0,0,166
6.986265898,-8,-8,-17,5,-129,-15,0,0,167
7.036226988,-9,-7,-18,17,-173,-15,0,0,168
7.097328901,-12,-4,-18,0,-182,-4,0,0,169
7.149266005,-14,-1,-18,-25,-130,24,0,0,170
7.200309038,-14,7,-17,-24,-66,27,0,0,171
7.25226593,-14,14,-16,-4,1,18,0,0,172
7.306305885,-13,21,-16,13,54,6,0,0,173
7.358188868,-14,26,-15,19,129,0,0,0,174
7.413328886,-14,29,-15,25,165,0,0,0,175
7.465265989,-13,29,-16,28,169,-3,0,0,176
7.51631403,-12,25,-16,23,152,-9,0,0,177
7.56624794,-12,21,-16,13,141,-10,0,0,178
7.620336056,-11,17,-16,9,138,0,0,0,179
7.676306963,-10,9,-16,19,106,8,0,0,180
7.730165958,-8,1,-16,26,44,8,0,0,181
7.780226946,-6,-6,-16,18,-33,7,0,0,182
7.834202051,-5,-13,-15,-5,-93,7,0,0,183
7.889308929,-5,-17,-15,-19,-118,12,0,0,184
7.944380999,-5,-18,-14,9,-122,17,0,0,185
7.996219873,-3,-17,-14,52,-111,20,0,0,186
8.054169893,-3,-14,-13,59,-91,8,0,0,187
8.104319096,-2,-10,-13,34,-51,-11,0,0,188
8.15931201,0,-5,-14,35,-6,-17,0,0,189
8.211298943,4,-1,-14,39,25,-14,0,0,190
8.263231993,8,2,-15,20,39,-9,0,0,191
8.31529808,9,4,-15,-18,18,-12,0,0,192
8.365308046,8,5,-16,-54,0,-13,0,0,193
8.41526103,5,4,-16,-95,-15,-13,0,0,194
8.465247869,0,4,-16,-136,3,-10,0,0,195
8.516280889,-5,5,-17,-167,45,2,0,0,196
8.566343069,-10,8,-16,-149,56,13,0,0,197
8.61729908,-15,8,-16,-104,39,23,0,0,198
8.670271873,-21,6,-15,-60,7,35,0,0,199
8.720242977,-28,3,-13,-26,-28,36,0,0,200
8.773293972,-34,0,-12,10,-55,22,0,0,201
8.824307919,-35,-2,-12,55,-66,4,0,0,202
8.876231909,-33,-3,-12,86,-57,-11,0,0,203
8.927282095,-29,-2,-13,89,-37,-16,0,0,204
8.977300882,-25,-1,-13,84,-24,-20,0,0,205
9.029212952,-19,2,-14,97,-18,-20,0,0,206
9.080317974,-13,4,-15,119,-15,-22,0,0,207
9.131361961,-8,5,-15,101,-2,-22,0,0,208
9.183310986,-2,6,-16,61,17,-28,0,0,209
9.238190889,1,6,-17,26,40,-30,0,0,210
9.290194988,5,7,-18,11,53,-30,0,0,211
9.341305971,8,7,-19,0,43,-20,0,0,212
9.396230936,7,6,-20,-29,15,-18,0,0,213
9.447251081,5,4,-20,-68,-18,-16,0,0,214
9.497292042,2,3,-21,-94,-39,-10,0,0,215
9.549164057,-2,3,-21,-121,-51,4,0,0,216
9.60117197,-6,4,-20,-133,-48,17,0,0,217
9.651319981,-12,5,-19,-132,-33,31,0,0,218
9.70418191,-18,6,-18,-111,-15,42,0,0,219
9.754277945,-25,7,-17,-86,2,47,0,0,220
9.805248976,-30,7,-15,-41,15,40,0,0,221
9.857310057,-34,7,-14,21,16,18,0,0,222
9.908225059,-36,6,-14,77,15,-3,0,0,223
9.960263967,-35,5,-15,102,6,-22,0,0,224
10.010385036,-31,4,-16,106,-9,-32,0,0,225
10.063276052,-25,4,-17,109,-28,-34,0,0,226
10.113224983,-19,3,-18,98,-24,-27,0,0,227
10.163265943,-14,4,-18,82,-13,-17,0,0,228
10.215169907,-9,4,-19,68,1,-17,0,0,229
10.270190954,-5,6,-19,39,10,-22,0,0,230
10.325210094,-2,7,-20,-2,14,-19,0,0,231
10.377314091,-2,7,-21,-38,5,-10,0,0,232
10.431171894,-2,8,-21,-71,-8,2,0,0,233
10.481227875,-4,8,-20,-106,-23,14,0,0,234
10.53333497,-8,9,-20,-130,-33,17,0,0,235
10.584325075,-13,10,-19,-116,-32,19,0,0,236
10.6342659,-19,10,-19,-96,-18,29,0,0,237
10.686326027,-25,11,-17,-75,-8,36,0,0,238
10.741240978,-30,11,-16,-14,0,24,0,0,239
10.793330908,-33,11,-16,69,2,-2,0,0,240
10.84927392,-33,10,-17,114,13,-22,0,0,241
10.901221991,-30,10,-17,110,23,-27,0,0,242
10.95522809,-26,9,-18,98,37,-21,0,0,243
11.007324934,-19,10,-19,93,52,-13,0,0,244
11.062228918,-12,9,-19,78,74,-8,0,0,245
11.116333961,-8,8,-20,46,94,-14,0,0,246
11.167335987,-5,6,-20,1,111,-20,0,0,247
11.221237898,-4,4,-21,-17,103,-29,0,0,248
11.276258945,-2,0,-22,-8,70,-27,0,0,249
11.329186916,-1,-4,-23,6,35,-22,0,0,250
11.384321928,-2,-10,-24,4,-24,-11,0,0,251
11.436227083,-3,-14,-24,-7,-74,-4,0,0,252
11.486303091,-4,-16,-24,-5,-114,0,0,0,253
11.538260937,-3,-17,-24,4,-161,3,0,0,254
11.588243961,-3,-16,-24,0,-189,2,0,0,255
11.643315077,-3,-12,-24,1,-197,-2,0,0,256
11.694259882,-4,-9,-24,-14,-160,7,0,0,257
11.746269941,-5,-2,-23,-33,-96,26,0,0,258
11.808290005,-7,8,-22,-43,-26,33,0,0,259
11.859332085,-8,16,-21,-33,48,21,0,0,260
11.910348892,-8,22,-20,-13,98,5,0,0,261
11.963273048,-10,27,-20,9,130,-6,0,0,262
12.016273975,-11,28,-21,15,139,-13,0,0,263
12.068263054,-11,26,-21,6,131,-15,0,0,264
12.123251915,-12,22,-22,-20,112,-11,0,0,265
12.17531991,-13,18,-22,-31,98,-6,0,0,266
