TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
30.20439291,-15,1,1,0,0,0,0,0,584
30.258385896,-15,1,1,0,0,0,0,0,585
30.311421871,-15,1,1,0,0,0,0,0,586
30.369374037,-15,1,1,0,0,0,0,0,587
30.422397852,-15,1,1,0,0,0,0,0,588
30.476325035,-15,1,1,0,0,0,0,0,589
30.538455009,-15,1,1,0,0,0,0,0,590
30.592399835,-15,1,1,0,0,0,0,0,591
30.645411968,-15,1,1,0,0,0,0,0,592
30.708274841,-15,1,1,0,0,0,0,0,593
30.761344909,-15,1,1,0,0,0,0,0,594
30.814424038,-15,1,1,0,0,0,0,0,595
30.868307829,-15,1,1,0,0,0,0,0,596
30.926388979,-15,1,1,0,0,0,0,0,597
30.979305029,-15,1,1,0,0,0,0,0,598
31.03236103,-15,1,1,0,0,0,0,0,599
31.095468044,-15,1,1,0,0,0,0,0,600
31.149313927,-15,1,1,0,0,0,0,0,601
31.202416897,-15,1,1,0,0,0,0,0,602
31.255493879,-15,1,1,0,0,0,0,0,603
31.313333988,-15,1,1,0,0,0,0,0,604
31.366427898,-15,1,1,0,0,0,0,0,605
31.420349836,-15,1,1,0,0,0,0,0,606
31.482579946,-15,1,1,0,0,0,0,0,607
31.536290884,-15,1,1,0,0,0,0,0,608
31.589340925,-15,1,1,0,0,0,0,0,609
31.642452955,-15,1,1,0,0,0,0,0,610
31.700366974,-15,1,1,0,0,0,0,0,611
31.753432989,-15,1,1,0,0,0,0,0,612
31.806397915,-15,1,1,0,0,0,0,0,613
31.869429827,-15,1,1,0,0,0,0,0,614
31.922402859,-15,1,1,0,0,0,0,0,615
31.976330042,-15,1,1,0,0,0,0,0,616
32.029485941,-15,1,1,0,0,0,0,0,617
32.082433939,-15,1,1,0,0,0,0,0,618
32.135454893,-15,1,1,0,0,0,0,0,619
32.189309835,-15,1,1,0,0,0,0,0,620
32.242344856,-15,1,1,0,0,0,0,0,621
32.300380945,-15,1,1,0,0,0,0,0,622
32.353446007,-15,1,1,0,0,0,0,0,623
32.407413959,-15,1,1,0,0,0,0,0,624
32.470392942,-15,1,1,0,0,0,0,0,625
32.523396015,-15,1,1,0,0,0,0,0,626
32.576310873,-15,1,1,0,0,0,0,0,627
32.629397869,-15,1,1,0,0,0,0,0,628
32.687450886,-15,1,1,0,0,0,0,0,629
32.741396904,-15,1,1,0,0,0,0,0,630
32.794306993,-15,1,1,0,0,0,0,0,631
32.857394934,-15,1,1,0,0,0,0,0,632
32.91041398,-15,1,1,0,0,0,0,0,633
