TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
7.306607961,-15,4,-2,0,0,0,0,1,134
7.358597993,-15,5,-2,0,1,0,0,1,135
7.412348032,-14,5,-2,2,3,0,0,1,136
7.472627162,-15,5,-2,4,4,0,0,1,137
7.524609088,-15,4,-2,-3,-2,0,0,1,138
7.577623128,-15,4,-2,-2,-2,0,0,1,139
7.639552116,-15,4,-2,0,0,0,0,1,140
7.691583156,-16,4,-2,-4,-3,-1,0,1,141
7.743587017,-14,6,-2,-5,-4,-1,0,1,142
7.805639982,-14,5,-2,-5,-4,-1,0,1,143
7.85763216,-15,5,-2,0,0,0,0,1,144
7.910550117,-15,5,-2,-4,-3,-1,0,1,145
7.972601175,-16,4,-2,-3,-3,-1,0,1,146
8.024659156,-15,4,-2,6,5,1,0,1,147
8.077499151,-15,5,-2,5,3,0,0,1,148
8.139528036,-13,6,-2,0,0,0,0,1,149
8.191578149,-15,3,-2,0,0,0,0,1,150
8.243546962,-14,5,-2,-2,-3,-1,0,1,151
8.305643081,-14,5,-2,-4,-4,-1,0,1,152
8.357612133,-14,4,-2,4,3,0,0,1,153
8.410551071,-14,3,-2,2,1,0,0,1,154
8.47264409,-15,4,-2,0,0,0,0,1,155
8.524618148,-15,5,-2,8,7,2,0,1,156
8.576590061,-16,3,-2,7,6,1,0,1,157
8.638764143,-15,5,-2,7,5,1,0,1,158
8.691609144,-15,4,-2,0,1,0,0,1,159
8.743623018,-15,5,-2,4,4,0,0,1,160
8.805600166,-15,4,-2,5,5,1,0,1,161
8.857756137,-16,4,-2,-5,-4,-1,0,1,162
8.910564184,-16,3,-2,-4,-3,0,0,1,163
8.972624063,-17,4,-2,-1,-1,0,0,1,164
9.024724006,-15,5,-2,0,2,0,0,1,165
9.076559066,-16,3,-2,4,5,1,0,1,166
9.138688087,-15,4,-2,5,5,1,0,1,167
9.191508054,-16,2,-2,-4,-2,0,0,1,168
9.243546009,-14,4,-2,-2,-1,0,0,1,169
9.305782079,-15,2,-2,0,2,0,0,1,170
9.357650995,-15,4,-2,-4,-4,-2,0,1,171
9.410612106,-15,3,-2,-4,-3,-1,0,1,172
9.472532033,-15,4,-2,-3,-2,0,0,1,173
9.524615049,-14,4,-2,-1,-2,-1,0,1,174
9.576743125,-16,4,-2,0,-2,-1,0,1,175
9.63867712,-15,3,-2,-4,-3,-1,0,1,176
9.69159913,-16,3,-2,1,0,0,0,1,177
9.74353218,-15,3,-2,0,-1,-1,0,1,178
9.805627107,-16,4,-2,-1,-2,-1,0,1,179
9.85763216,-14,5,-2,-2,-2,0,0,1,180
9.910696029,-15,5,-2,-4,-3,-1,0,1,181
9.972589969,-14,5,-2,-4,-3,-1,0,1,182
10.024608135,-15,4,-2,-1,-1,-1,0,1,183
10.076547145,-14,5,-2,-1,-2,-1,0,1,184
10.138631105,-15,3,-2,-3,-3,-1,0,1,185
10.190639972,-15,3,-2,1,1,0,0,1,186
10.243776083,-16,2,-2,1,0,0,0,1,187
10.305695056,-14,4,-2,0,-2,-1,0,1,188
10.357498169,-15,3,-2,5,5,1,0,1,189
10.410585165,-14,4,-2,5,3,0,0,1,190
10.47166109,-14,3,-2,2,1,0,0,1,191
10.524599075,-15,4,-2,4,4,1,0,1,192
10.576621055,-14,4,-2,6,5,1,0,1,193
10.638624191,-15,4,-2,7,5,1,0,1,194
10.690613031,-14,4,-2,4,3,0,0,1,195
10.743589162,-15,5,-2,0,0,0,0,1,196
10.805576086,-13,6,-2,0,-1,-1,0,1,197
10.857621192,-15,5,-2,6,5,1,0,1,198
10.909538984,-15,4,-2,6,4,1,0,1,199
10.971503973,-17,4,-2,2,2,0,0,1,200
11.023607015,-15,5,-2,2,3,1,0,1,201
11.076567173,-16,4,-2,6,5,1,0,1,202
11.138520002,-14,5,-3,6,5,1,0,1,203
11.190587043,-15,3,-3,-1,-1,0,0,1,204
11.243580102,-13,5,-3,0,1,0,0,1,205
11.304605007,-14,5,-3,3,3,1,0,1,206
11.357587099,-14,4,-3,-7,-4,-2,0,1,207
11.409515142,-15,2,-3,-5,-4,-1,0,1,208
11.471562147,-15,4,-3,-1,-1,0,0,1,209
11.523629188,-14,5,-3,1,2,-1,0,1,210
11.576537132,-15,5,-3,5,5,1,0,1,211
11.638581991,-15,4,-3,7,6,1,0,1,212
11.69079113,-15,4,-3,-5,-3,-1,0,1,213
11.74250698,-14,5,-3,0,0,0,0,1,214
11.804651975,-16,5,-3,2,3,1,0,1,215
11.856750965,-14,4,-3,-8,-6,-2,0,1,216
11.909825086,-16,3,-3,-6,-5,-1,0,1,217
11.973373174,-15,5,-3,-4,-3,0,0,1,218
12.023581028,-17,4,-3,-2,-2,-2,0,1,219
12.075837135,-15,3,-3,-4,-3,-2,0,1,220
12.141288042,-16,3,-3,-7,-5,-2,0,1,221
12.188663959,-15,4,-3,1,1,0,0,1,222
12.241702079,-15,4,-3,0,-1,-1,0,1,223
12.303590059,-15,5,-3,-3,-3,-1,0,1,224
12.355669975,-14,5,-3,-4,-4,-2,0,1,225
12.407593965,-15,6,-3,-6,-5,-2,0,1,226
12.469671964,-15,5,-3,-6,-4,-1,0,1,227
12.521602153,-15,5,-3,-2,-2,-1,0,1,228
12.57458806,-14,6,-3,-2,-3,-1,0,1,229
12.636578083,-15,7,-3,-4,-4,-2,0,1,230
12.688626051,-15,6,-3,3,2,0,0,1,231
12.740648031,-16,4,-3,1,0,0,0,1,232
12.802677154,-14,6,-3,-1,-1,-1,0,1,233
12.85458517,-15,5,-3,7,6,1,0,1,234
12.907703161,-14,5,-3,6,4,1,0,1,235
12.969575166,-15,3,-3,3,2,0,0,1,236
13.021613121,-14,5,-3,3,3,1,0,1,237
13.073621034,-14,5,-3,7,6,1,0,1,238
