TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
15.373713016,-10,4,-1,0,1,0,0,1,316
15.425811052,-10,5,-1,-1,0,0,0,1,317
15.478711843,-11,5,-1,-2,0,0,0,1,318
15.540731907,-11,6,-1,1,0,0,0,1,319
15.592720985,-10,7,-1,-2,0,0,0,1,320
15.645663023,-11,6,-1,-2,0,0,0,1,321
15.70767498,-11,4,-1,0,0,0,0,1,322
15.759650946,-11,5,-1,-1,0,0,0,1,323
15.812731981,-12,6,-1,0,0,0,0,1,324
15.873721838,-11,6,-1,0,0,0,0,1,325
15.926650047,-11,7,-1,0,0,0,0,1,326
15.978751898,-11,6,-1,-1,0,0,0,1,327
16.040760994,-10,6,-1,-2,0,0,0,1,328
16.093813896,-12,4,-1,0,-1,0,0,1,329
16.145661831,-12,3,-1,0,0,0,0,1,330
16.207772016,-11,4,-1,0,0,0,0,1,331
16.259752989,-11,5,-1,0,0,0,0,1,332
16.312723875,-11,6,-1,2,0,0,0,1,333
16.375072002,-10,4,-1,1,0,0,0,1,334
16.426635027,-11,6,-1,0,1,0,0,1,335
16.479691029,-12,4,-1,0,0,0,0,1,336
16.541589022,-11,4,-1,0,0,0,0,1,337
16.593754053,-12,6,-1,-2,0,0,0,1,338
16.646735907,-13,5,-1,0,0,0,0,1,339
16.712476969,-12,5,-1,0,0,0,0,1,340
16.762631893,-12,4,-1,0,0,0,0,1,341
16.812757969,-13,4,-1,2,0,0,0,1,342
16.874716997,-13,4,-1,0,0,0,0,1,343
16.927778959,-12,6,-1,0,0,0,0,1,344
16.979743004,-13,6,-1,0,0,0,0,1,345
17.041830063,-12,5,-1,0,0,0,0,1,346
17.09474206,-11,5,-1,-1,0,0,0,1,347
17.146831036,-12,4,-1,-1,1,0,0,1,348
17.208744049,-13,4,-1,-1,0,0,0,1,349
17.260766029,-12,4,-1,-1,-2,0,0,1,350
17.313784838,-11,6,-1,1,-1,0,0,1,351
17.375756025,-12,5,-1,0,0,0,0,1,352
17.427851915,-10,4,-1,0,0,0,0,1,353
17.480648994,-9,6,-1,0,-1,0,0,1,354
17.541627884,-10,6,-1,-1,0,0,0,1,355
17.594018936,-11,5,-1,2,0,0,0,1,356
17.646815062,-11,4,-1,3,0,0,0,1,357
17.708696842,-11,6,-1,0,0,0,0,1,358
17.763041019,-12,4,-1,0,0,0,0,1,359
17.813657999,-11,3,-1,-1,0,0,0,1,360
17.874641895,-11,4,-1,-1,-1,0,0,1,361
17.927759886,-11,5,-1,2,1,0,0,1,362
17.979750872,-11,4,-1,2,0,0,0,1,363
18.041756868,-10,4,-1,1,0,0,0,1,364
18.093864918,-10,6,-1,1,1,0,0,1,365
18.14662385,-11,5,-1,1,0,0,0,1,366
18.207798004,-11,4,-1,2,0,0,0,1,367
18.260674,-10,4,-1,1,0,0,0,1,368
18.312733889,-11,5,-1,2,1,0,0,1,369
18.375112057,-12,5,-1,1,0,0,0,1,370
18.426668882,-12,4,-1,-2,0,0,0,1,371
18.479676008,-12,3,-1,-1,0,0,0,1,372
18.541699886,-12,5,-1,2,0,0,0,1,373
18.593750954,-12,4,-1,0,0,0,0,1,374
18.645808935,-11,3,-1,2,0,0,0,1,375
18.70775485,-11,3,-1,2,1,0,0,1,376
18.760607004,-10,5,-1,-2,0,0,0,1,377
18.812898874,-12,5,-1,0,0,0,0,1,378
18.874866962,-11,4,-1,1,0,0,0,1,379
18.926734924,-11,3,-1,-1,0,0,0,1,380
18.979656935,-10,5,-1,-1,0,0,0,1,381
19.041789055,-11,6,-1,0,0,0,0,1,382
19.093768835,-11,4,-1,-2,0,0,0,1,383
19.145704031,-11,5,-1,0,0,0,0,1,384
19.20775485,-10,6,-1,-1,0,0,0,1,385
19.260663986,-12,7,-1,0,0,0,0,1,386
19.31266284,-13,4,-1,-1,0,0,0,1,387
19.374703884,-12,3,-1,0,0,0,0,1,388
19.426753044,-11,3,-1,0,0,0,0,1,389
19.478733063,-11,5,-1,0,0,0,0,1,390
19.540637016,-12,4,-1,-1,1,0,0,1,391
19.593668938,-12,3,-1,0,-1,0,0,1,392
19.6457479,-10,3,-1,-1,0,0,0,1,393
19.707703829,-10,6,-1,-1,0,0,0,1,394
19.759701014,-11,5,-1,0,0,0,0,1,395
19.812733889,-12,4,-1,0,-1,0,0,1,396
19.874668837,-11,2,-1,0,0,0,0,1,397
19.926738024,-9,5,-1,0,0,0,0,1,398
19.978736877,-11,5,-1,0,-1,0,0,1,399
20.040669918,-13,5,-1,0,0,0,0,1,400
20.092839956,-13,2,-1,2,0,0,0,1,401
20.14565897,-11,4,-1,0,0,0,0,1,402
20.206760883,-11,5,-1,-2,-1,0,0,1,403
20.259702921,-11,6,-1,0,0,0,0,1,404
20.311761856,-12,4,-1,0,0,0,0,1,405
20.373687029,-11,4,-1,0,0,0,0,1,406
20.425680876,-10,5,-1,1,0,0,0,1,407
20.478684902,-10,6,-1,2,0,0,0,1,408
20.545408964,-12,6,-1,0,0,0,0,1,409
20.592738867,-11,4,-1,1,0,0,0,1,410
20.644830942,-11,3,-1,1,0,0,0,1,411
20.706766844,-11,5,-1,0,0,0,0,1,412
20.759718895,-11,6,-1,1,0,0,0,1,413
20.811718941,-12,4,-1,1,0,0,0,1,414
20.873720884,-11,2,-1,1,0,0,0,1,415
20.926743984,-10,4,-1,0,1,0,0,1,416
20.978740931,-11,5,-1,0,0,0,0,1,417
21.040665865,-12,5,-1,1,0,0,0,1,418
21.09276104,-11,4,-1,0,0,0,0,1,419
21.145731926,-10,3,-1,0,0,0,0,1,420
