TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
5.807443858,-17,2,0,-5,-1,-1,0,1,143
5.859512806,-17,1,0,-5,2,0,0,1,144
5.912533999,-16,1,0,-6,0,0,0,1,145
5.974568844,-15,0,0,-6,-1,-1,0,1,146
6.026465893,-16,1,0,-4,2,0,0,1,147
6.078620911,-16,2,0,-7,0,0,0,1,148
6.140601874,-16,1,0,-7,0,0,0,1,149
6.193476916,-15,3,0,-3,2,1,0,1,150
6.245556832,-16,3,0,-5,0,0,0,1,151
6.307487965,-17,1,0,-8,0,0,0,1,152
6.360620022,-17,2,0,-4,-1,-1,0,1,153
6.412497998,-17,2,0,1,-1,-1,0,1,154
6.474479914,-17,1,0,7,-1,0,0,1,155
6.526636839,-16,4,0,-7,-2,0,0,1,156
6.579491854,-16,3,0,-2,-2,-1,0,1,157
6.641474963,-17,5,0,5,-2,0,0,1,158
6.693514824,-17,5,0,-7,-1,0,0,1,159
6.746438981,-16,5,0,-3,-2,0,0,1,160
6.808468819,-14,7,0,3,-1,-1,0,1,161
6.860509873,-16,6,0,-8,-1,0,0,1,162
6.913522005,-16,7,0,-6,-2,-1,0,1,163
6.975421906,-16,7,0,2,-1,0,0,1,164
7.027432919,-14,7,0,-7,-1,0,0,1,165
7.080510855,-13,6,0,-6,-1,-1,0,1,166
7.142501831,-13,6,0,0,-1,-1,0,1,167
7.194494963,-14,5,0,-7,0,0,0,1,168
7.246711016,-14,6,0,-4,0,-1,0,1,169
7.308585883,-12,5,0,0,-2,-1,0,1,170
7.361486912,-13,4,0,6,-1,0,0,1,171
7.413432837,-14,4,0,8,0,0,0,1,172
7.475478888,-15,2,0,4,2,1,0,1,173
7.527523995,-15,3,0,6,-1,0,0,1,174
7.580395937,-15,2,0,8,0,0,0,1,175
7.642408848,-15,2,0,5,1,0,0,1,176
7.694477797,-15,3,0,3,-1,-1,0,1,177
7.747455836,-16,1,0,7,0,0,0,1,178
7.809458971,-16,3,0,5,1,0,0,1,179
7.861553908,-17,2,0,5,-1,-1,0,1,180
7.913563013,-17,1,0,8,0,0,0,1,181
7.975516797,-18,1,0,6,1,0,0,1,182
8.028527975,-18,-1,0,3,-1,-1,0,1,183
8.081491948,-18,-1,0,8,0,0,0,1,184
8.142567873,-18,-1,0,7,2,0,0,1,185
8.195483923,-19,-4,0,2,1,-1,0,1,186
8.247450829,-20,-3,0,-1,2,0,0,1,187
8.30950594,-20,-5,0,-5,1,0,0,1,188
8.361508847,-21,-5,0,3,2,1,0,1,189
8.414583922,-21,-6,0,-1,2,0,0,1,190
8.476433993,-21,-8,0,-6,0,0,0,1,191
8.527483941,-21,-7,0,4,2,1,0,1,192
8.579571009,-21,-7,0,-1,1,0,0,1,193
8.641499997,-21,-8,0,-6,0,0,0,1,194
8.694522858,-21,-7,0,6,1,0,0,1,195
8.746500016,-20,-8,0,0,2,1,0,1,196
8.808560849,-21,-9,0,-4,0,0,0,1,197
8.861479998,-20,-9,0,5,2,1,0,1,198
8.913478852,-20,-9,0,0,1,1,0,1,199
8.975656987,-21,-9,0,-4,1,0,0,1,200
9.028494835,-20,-10,0,5,1,0,0,1,201
9.080523968,-21,-8,0,1,1,1,0,1,202
9.142515898,-19,-8,0,-4,1,0,0,1,203
9.195551873,-20,-8,0,-8,0,0,0,1,204
9.247527838,-21,-8,0,-8,0,0,0,1,205
9.309489966,-21,-9,0,-3,-1,-1,0,1,206
9.365278006,-21,-8,0,-7,0,0,0,1,207
9.414584876,-21,-8,0,-7,0,0,0,1,208
9.47650981,-22,-10,0,-3,-1,-1,0,1,209
9.528527975,-22,-9,0,-7,0,0,0,1,210
9.581587792,-21,-9,0,-8,0,0,0,1,211
9.643522025,-21,-8,0,-3,-2,-1,0,1,212
9.695573807,-20,-8,0,-7,0,0,0,1,213
9.748566866,-21,-9,0,-7,0,0,0,1,214
9.810434819,-22,-9,0,-5,-1,-1,0,1,215
9.862639904,-21,-9,0,-5,1,0,0,1,216
9.915470839,-21,-9,0,-6,0,0,0,1,217
9.97750783,-20,-8,0,-3,-1,-1,0,1,218
10.029569865,-20,-9,0,-6,0,0,0,1,219
10.082484007,-22,-8,0,-6,0,0,0,1,220
10.144473792,-22,-10,0,-5,-3,0,0,1,221
10.196502924,-22,-9,0,1,-2,-1,0,1,222
10.249519825,-21,-9,0,7,0,0,0,1,223
10.311479807,-20,-8,0,6,2,0,0,1,224
10.363474846,-20,-5,0,0,-2,-1,0,1,225
10.416509867,-19,-5,0,6,-1,0,0,1,226
10.477530003,-20,-4,0,8,1,0,0,1,227
10.530416012,-20,-3,0,0,-2,-1,0,1,228
10.582464934,-20,-3,0,6,-1,0,0,1,229
10.644516945,-20,-2,0,9,1,0,0,1,230
10.696592808,-19,-2,0,0,-2,-1,0,1,231
10.749380827,-19,-1,0,6,0,0,0,1,232
10.81145382,-18,-1,0,8,0,0,0,1,233
10.86353302,-18,0,0,0,-2,-1,0,1,234
10.916550875,-18,2,0,6,-2,0,0,1,235
10.978430987,-18,1,0,9,1,0,0,1,236
11.030466795,-17,3,0,3,2,-1,0,1,237
11.08264494,-17,3,0,0,2,1,0,1,238
11.14443183,-16,5,0,-5,1,0,0,1,239
11.197530985,-15,7,0,4,1,1,0,1,240
11.250488997,-14,7,0,-1,0,0,0,1,241
11.311456919,-13,8,0,-4,2,0,0,1,242
11.364518881,-13,8,0,4,1,0,0,1,243
11.416459799,-13,9,0,-2,1,1,0,1,244
11.478446007,-13,9,0,-5,0,0,0,1,245
11.531574965,-13,10,0,3,2,0,0,1,246
11.583412886,-14,9,0,-3,1,0,0,1,247
11.64561081,-15,7,0,-4,0,0,0,1,248
11.698484898,-14,8,0,2,1,1,0,1,249
11.75045681,-15,5,0,-3,0,0,0,1,250
11.812450886,-17,3,0,-6,-1,0,0,1,251
11.864422799,-17,1,0,0,3,1,0,1,252
11.917567015,-17,0,0,-3,0,0,0,1,253
11.979449988,-17,1,0,-6,0,0,0,1,254
12.032549858,-16,0,0,-6,0,1,0,1,255
12.08453393,-16,0,0,-1,-2,0,0,1,256
12.146539927,-15,1,0,6,-1,0,0,1,257
12.199522019,-16,2,0,-5,-1,0,0,1,258
12.251456976,-17,1,0,0,-3,-1,0,1,259
12.313543797,-17,3,0,8,0,0,0,1,260
12.36647296,-16,4,0,-2,0,-1,0,1,261
12.418450833,-17,4,0,2,-2,-1,0,1,262
12.480753899,-15,3,0,8,0,0,0,1,263
12.53260994,-15,3,0,-1,-1,-1,0,1,264
12.585490942,-15,2,0,6,-1,0,0,1,265
12.647447825,-15,0,0,7,0,0,0,1,266
12.700482846,-16,-2,0,0,-2,-1,0,1,267
12.752518893,-17,-1,0,8,0,0,0,1,268
12.81457901,-16,3,0,8,1,0,0,1,269
12.86646986,-15,6,0,3,-2,-1,0,1,270
12.919559956,-16,5,0,7,0,0,0,1,271
12.981523991,-16,4,0,3,2,1,0,1,272
13.033540011,-14,1,0,-1,1,1,0,1,273
13.086452008,-16,-1,0,-6,0,0,0,1,274
13.148510933,-15,3,0,-6,0,0,0,1,275
13.200685978,-15,6,0,-4,0,0,0,1,276
13.253450871,-16,4,0,-7,0,0,0,1,277
13.315562964,-17,3,0,-5,0,-1,0,1,278
13.367524863,-17,-1,0,-7,0,0,0,1,279
13.420416832,-17,-2,0,-7,0,0,0,1,280
13.48245287,-16,1,0,-2,-2,-1,0,1,281
13.534524918,-16,4,0,-7,0,0,0,1,282
13.587485791,-16,4,0,-4,0,-1,0,1,283
13.649493933,-17,3,0,0,-2,-1,0,1,284
13.701495886,-18,1,0,-6,0,0,0,1,285
13.754638911,-17,0,0,0,-1,-1,0,1,286
13.816478968,-16,1,0,4,-3,-1,0,1,287
13.868501902,-15,3,0,-4,0,0,0,1,288
13.921516896,-15,3,0,1,-1,0,0,1,289
13.982546807,-17,3,0,7,-1,0,0,1,290
14.035549879,-17,2,0,7,2,0,0,1,291
14.087559939,-16,2,0,0,2,0,0,1,292
14.149840832,-17,0,0,-6,0,0,0,1,293
14.202493906,-17,2,0,5,4,1,0,1,294
14.253461838,-15,3,0,-2,1,1,0,1,295
14.315588952,-15,4,0,-7,0,0,0,1,296
14.368455887,-16,3,0,0,3,1,0,1,297
14.420591832,-16,1,0,-5,0,0,0,1,298
14.482564927,-16,-2,0,-7,0,0,0,1,299
14.53548193,-18,-2,0,-2,2,0,0,1,300
14.587486983,-17,0,0,-6,0,0,0,1,301
14.649546862,-15,3,0,-5,0,0,0,1,302
14.702458859,-17,2,0,-5,1,0,0,1,303
14.75451994,-17,0,0,-6,0,0,0,1,304
14.816507817,-18,-2,0,-3,0,-1,0,1,305
14.869509936,-18,0,0,-7,0,0,0,1,306
14.921602965,-16,3,0,-5,0,0,0,1,307
14.983530999,-14,6,0,0,-1,-1,0,1,308
15.035529852,-16,2,0,7,-1,0,0,1,309
15.089412928,-19,1,0,7,2,1,0,1,310
15.150486947,-18,1,0,0,3,1,0,1,311
15.202529908,-17,2,0,7,0,0,0,1,312
15.255661011,-18,2,0,4,2,0,0,1,313
15.317474842,-18,2,0,-3,0,0,0,1,314
15.369494915,-17,0,0,5,3,1,0,1,315
15.422499895,-18,-2,0,-1,0,1,0,1,316
15.48452282,-18,0,0,-6,0,1,0,1,317
15.536561966,-16,3,0,1,3,1,0,1,318
15.589406014,-14,4,0,-5,0,0,0,1,319
15.651474953,-16,1,0,-6,0,0,0,1,320
15.703504801,-17,1,0,-3,2,1,0,1,321
15.756454945,-16,3,0,-7,0,0,0,1,322
15.81841898,-17,3,0,-5,0,-1,0,1,323
15.872475863,-18,1,0,-6,0,0,0,1,324
15.92766285,-18,-1,0,-5,0,0,0,1,325
15.985394955,-18,0,0,-3,-1,-1,0,1,326
16.037519932,-18,3,0,4,-2,0,0,1,327
16.090603829,-16,5,0,9,1,0,0,1,328
16.152536869,-16,4,0,2,2,1,0,1,329
16.204572916,-16,2,0,7,0,0,0,1,330
16.257441998,-16,2,0,6,2,1,0,1,331
16.319556952,-15,4,0,-1,0,0,0,1,332
