TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
19.232684135,-13,8,-1,26,3,0,0,1,350
19.281927109,-13,6,-1,-31,-2,0,0,1,351
19.337072134,-13,7,-1,14,5,0,0,1,352
19.388084173,-14,6,-1,-24,-3,0,0,1,353
19.443896055,-12,7,-1,3,3,0,0,1,354
19.499003172,-13,6,-1,-2,4,0,0,1,355
19.550053119,-14,6,-1,-9,2,0,0,1,356
19.604933023,-13,6,-1,-13,1,0,0,1,357
19.656000137,-12,7,-1,-21,1,0,0,1,358
19.712116003,-14,7,-1,-24,0,0,0,1,359
19.766977071,-13,6,-1,-29,0,0,0,1,360
19.818044185,-14,6,-1,-26,-3,0,0,1,361
19.873014211,-15,7,-1,-26,-2,0,0,1,362
19.923941135,-13,6,-1,-27,-3,-1,0,1,363
19.980883121,-13,7,-1,-18,-5,0,0,1,364
20.035148144,-13,7,-1,-4,3,0,0,1,365
20.08598113,-13,7,-1,-11,2,0,0,1,366
20.14094615,-13,7,-1,-19,1,0,0,1,367
20.192099094,-14,6,-1,-26,0,0,0,1,368
20.248001098,-14,7,-1,-30,0,0,0,1,369
20.302968979,-13,7,-1,-26,-2,0,0,1,370
20.354138136,-13,7,-1,-26,-3,0,0,1,371
20.408907175,-14,7,-1,-23,-4,0,0,1,372
20.460035085,-13,6,-1,-18,-4,0,0,1,373
20.516075134,-14,7,-1,-8,-5,0,0,1,374
20.570907116,-15,7,-1,-18,1,0,0,1,375
20.622099161,-13,7,-1,7,-4,0,0,1,376
20.677054167,-14,7,-1,-27,0,0,0,1,377
20.727908134,-14,7,-1,22,0,-1,0,1,378
20.778048038,-12,7,-1,24,0,0,0,1,379
20.828999996,-14,6,-1,25,2,0,0,1,380
20.884966135,-14,7,-1,28,1,0,0,1,381
20.940066099,-14,7,-1,-15,-4,0,0,1,382
20.99105215,-13,8,-1,25,2,0,0,1,383
21.046056986,-13,7,-1,0,-3,0,0,1,384
21.096954107,-13,7,-1,10,-2,0,0,1,385
21.153931141,-13,7,-1,18,0,0,0,1,386
21.202964067,-14,6,-1,24,0,0,0,1,387
21.254004001,-12,6,-1,-12,1,0,0,1,388
21.309046983,-12,6,-1,26,2,0,0,1,389
21.360038042,-14,6,-1,-26,0,0,0,1,390
