TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
699.968632936,-5,-15,-127,2,0,5,107,1,12561
700.026659011,-2,-14,-127,7,4,1,107,1,12562
700.076685905,0,-13,-127,2,5,0,107,1,12563
700.128812074,1,-12,-126,3,-5,-3,107,1,12564
700.182672023,2,-11,-126,1,5,-4,107,1,12565
700.239618063,2,-10,-126,1,2,-5,107,1,12566
700.294749021,1,-9,-126,1,1,-4,107,1,12567
700.348670959,1,-8,-127,2,0,-5,107,1,12568
700.401752948,0,-6,-127,-2,-1,0,107,1,12569
700.455668926,-1,-5,-127,1,5,1,107,1,12570
700.510599851,-1,-4,-127,0,-3,3,107,1,12571
700.563611984,0,-3,-127,1,-3,2,107,1,12572
700.616672992,2,-3,-127,9,7,-2,107,1,12573
700.674633979,4,-2,-127,3,-3,0,107,1,12574
700.729649067,8,-2,-127,3,1,-1,107,1,12575
700.782644987,9,-1,-127,1,0,-5,107,1,12576
700.836706876,10,-1,-127,-6,6,0,107,1,12577
700.894723892,10,-1,-127,-7,-3,-1,107,1,12578
700.949580907,8,-2,-127,2,4,-3,107,1,12579
701.002661943,5,-3,-127,2,6,0,107,1,12580
701.056640863,2,-3,-127,2,-3,2,107,1,12581
701.115748882,0,-3,-127,0,-6,0,107,1,12582
701.158658981,-1,-3,-127,0,-4,0,107,1,12583
701.217622041,-1,-3,-127,3,3,1,107,1,12584
701.271697044,-2,-4,-127,-2,-2,2,107,1,12585
701.329617023,-1,-4,-127,3,-1,0,107,1,12586
701.384669065,-1,-5,-127,-3,6,-1,107,1,12587
701.438534021,0,-5,-127,-16,5,-4,107,1,12588
701.492662906,1,-6,-127,-88,2,-16,107,1,12589
701.541604995,1,-6,-127,-68,-1,-2,107,1,12590
701.595687866,1,-6,-127,-5,8,4,107,1,12591
701.64565587,1,-6,-127,33,4,8,107,1,12592
701.701659917,0,-5,-127,60,-5,11,107,1,12593
701.755663871,-1,-3,-127,52,-7,6,107,1,12594
701.809645891,-2,-2,-127,22,0,2,107,1,12595
701.868653059,-4,-2,-126,-21,-1,0,107,1,12596
701.918635845,-5,-4,-126,-28,1,-2,107,1,12597
701.973643064,-4,-5,-126,-23,4,-3,107,1,12598
702.026677847,-4,-6,-127,-15,4,3,107,1,12599
702.081620931,-4,-6,-127,9,-3,0,107,1,12600
702.136688947,-7,-6,-127,22,-1,1,107,1,12601
702.194752931,-9,-6,-127,26,-1,2,107,1,12602
702.249641895,-9,-7,-127,17,-1,5,107,1,12603
702.307641983,-9,-7,-127,0,0,0,107,1,12604
702.356785059,-10,-8,-127,-11,0,-4,107,1,12605
702.40773201,-11,-8,-127,-14,5,0,107,1,12606
702.461638927,-12,-8,-127,-12,-1,-7,107,1,12607
702.516607999,-12,-8,-127,-6,-1,0,107,1,12608
702.571732998,-10,-8,-127,9,-4,0,107,1,12609
702.63063097,-8,-7,-127,10,2,3,107,1,12610
702.680629015,-6,-6,-127,15,-6,2,107,1,12611
702.733644962,-5,-5,-127,9,-4,3,107,1,12612
702.788599014,-4,-4,-127,-121,13,-2,107,1,12613
702.841565847,-2,-2,-127,-126,3,-8,107,1,12614
702.897691965,-1,-1,-127,-42,8,-2,107,1,12615
702.951714038,-1,0,-127,22,3,4,107,1,12616
703.006561994,0,-1,-127,77,-9,10,107,1,12617
703.060639858,1,-1,-127,86,-3,11,107,1,12618
703.115675926,3,-1,-127,52,-1,5,107,1,12619
703.169636964,5,-1,-127,-7,-1,-1,107,1,12620
703.219779968,7,-1,-126,-41,6,-2,107,1,12621
703.273608923,7,0,-126,-53,7,-6,107,1,12622
703.331933021,8,0,-127,-32,0,-2,107,1,12623
703.382710933,9,0,-127,-7,-1,1,107,1,12624
