TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,G_Pitch,G_Roll,G_Yaw,G_Pitch_filtrada,G_Roll_filtrada,G_Yaw_filtrada,Ax,Ay,Az,Ax_filtrada,Ay_filtrada,Az_filtrada,posZ,posZ_filtrada,velZ,motorDelantero,motorTrasero,motorDerecho,motorIzquierdo,EstadoEncendido,MensajesRecibidos
8.298996926,-1,-2,0,0,-4,0,0,0,1,30,18,96,-28,-3,28,0,0,0,169,170,167,172,1,729
8.310070992,-1,-2,0,0,0,0,0,0,1,-19,-123,114,-44,0,39,0,0,0,169,170,167,172,1,730
8.321059942,-1,-2,0,0,0,0,0,0,1,-19,-123,114,-44,0,39,0,0,0,169,170,170,169,1,731
8.332137823,-1,-2,0,0,3,0,0,-1,1,-19,-123,114,-44,0,39,0,0,0,169,170,172,167,1,732
8.35097599,-1,-2,0,0,3,0,0,-1,1,-29,47,86,-54,9,41,0,0,0,169,170,172,167,1,733
8.362063885,-1,-2,0,-2,-3,0,0,-2,0,-97,46,218,-55,19,35,0,0,0,169,170,172,167,1,734
8.373049975,-1,-2,0,-2,-3,0,0,-2,0,-97,46,218,-55,19,35,0,0,0,171,168,167,172,1,735
8.383993864,-1,-2,0,-1,0,0,0,-2,0,-97,46,218,-55,19,35,0,0,0,171,168,169,170,1,736
8.40198493,-1,-2,0,-1,0,0,0,-2,0,-60,7,22,-50,28,21,0,0,0,171,168,169,170,1,737
8.413921833,-1,-2,0,0,-1,0,0,-1,0,34,31,88,-41,32,2,0,0,0,171,168,169,170,1,738
8.424017906,-1,-2,0,0,3,0,0,-1,0,34,31,88,-41,32,2,0,0,0,170,169,169,170,1,739
8.435005903,-1,-2,0,0,3,0,0,-1,0,34,31,88,-41,32,2,0,0,0,169,170,172,167,1,740
8.453929901,0,-3,0,0,0,0,0,0,0,7,163,69,-31,33,236,0,0,0,169,170,169,170,1,741
8.464995861,0,-3,0,0,0,0,0,0,0,1,3,130,-24,30,213,0,0,0,169,170,169,170,1,742
