TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,G_Pitch,G_Roll,G_Yaw,G_Pitch_filtrada,G_Roll_filtrada,G_Yaw_filtrada,Ax,Ay,Az,Ax_filtrada,Ay_filtrada,Az_filtrada,posZ,posZ_filtrada,velZ,motorDelantero,motorTrasero,motorDerecho,motorIzquierdo,EstadoEncendido,MensajesRecibidos
6.873167991,0,-1,0,0,0,0,0,0,0,-7,2,234,-8,2,234,0,0,0,0,0,0,0,0,625
6.888313055,0,-1,0,0,0,0,0,0,0,-7,2,233,-8,2,234,0,0,0,0,0,0,0,0,626
6.894925117,0,-1,0,0,0,0,0,0,0,-7,2,233,-8,2,234,0,0,0,0,0,0,0,0,627
6.905981064,0,-1,0,0,0,0,0,0,0,-8,2,234,-8,2,234,0,0,0,0,0,0,0,0,628
6.917040109,0,-1,0,0,0,0,0,0,0,-8,2,234,-8,2,234,0,0,0,0,0,0,0,0,629
6.928056001,0,-1,0,0,0,0,0,0,0,-8,2,234,-8,2,234,0,0,0,0,0,0,0,0,630
6.939370155,0,-1,0,0,0,0,0,0,0,-8,3,234,-8,2,234,0,0,0,0,0,0,0,0,631
6.949874162,0,-1,0,0,0,0,0,0,0,-8,3,234,-8,2,234,0,0,0,0,0,0,0,0,632
6.960909128,0,-1,0,0,0,0,0,0,0,-8,3,234,-8,2,234,0,0,0,0,0,0,0,0,633
6.972127199,0,-1,0,0,0,0,0,0,0,-8,2,234,-7,2,234,0,0,0,0,0,0,0,0,634
6.98299098,0,-1,0,0,0,0,0,0,0,-8,2,234,-7,2,234,0,0,0,0,0,0,0,0,635
6.99408102,0,-1,0,0,0,0,0,0,0,-8,1,233,-7,2,234,0,0,0,0,0,0,0,0,636
7.004980087,0,-1,0,0,0,0,0,0,0,-8,1,233,-7,2,234,0,0,0,0,0,0,0,0,637
7.016008138,0,-1,0,0,0,0,0,0,0,-8,2,234,-7,2,234,0,0,0,0,0,0,0,0,638
7.027043104,0,-1,0,0,0,0,0,0,0,-8,2,234,-7,2,234,0,0,0,0,0,0,0,0,639
7.037883997,0,-1,0,0,0,0,0,0,0,-8,2,234,-7,2,234,0,0,0,0,0,0,0,0,640
7.048928976,0,-1,0,0,0,0,0,0,0,-8,2,234,-7,2,234,0,0,0,0,0,0,0,0,641
7.060065984,0,-1,0,0,0,0,0,0,0,-8,2,234,-7,2,234,0,0,0,0,0,0,0,0,642
7.071008205,0,-1,0,0,0,0,0,0,0,-8,2,234,-7,2,234,0,0,0,0,0,0,0,0,643
7.082210064,0,-1,0,0,0,0,0,0,0,-8,2,234,-7,2,234,0,0,0,0,0,0,0,0,644
7.09288001,0,-1,0,0,0,0,0,0,0,-8,2,234,-7,2,234,0,0,0,0,0,0,0,0,645
7.10428214,0,-1,0,0,0,0,0,0,0,-8,1,235,-8,2,234,0,0,0,0,0,0,0,0,646
7.115065098,0,-1,0,0,0,0,0,0,0,-8,1,235,-8,2,234,0,0,0,0,0,0,0,0,647
7.128115177,0,-1,0,0,0,0,0,0,0,-8,2,234,-8,2,234,0,0,0,0,0,0,0,0,648
7.137242079,0,-1,0,0,0,0,0,0,0,-8,2,234,-8,2,234,0,0,0,0,0,0,0,0,649
7.147924185,0,-1,0,0,0,0,0,0,0,-9,2,234,-8,2,234,0,0,0,0,0,0,0,0,650
7.160224199,0,-1,0,0,0,0,0,0,0,-9,2,234,-8,2,234,0,0,0,0,0,0,0,0,651
7.16989398,0,-1,0,0,0,0,0,0,0,-9,2,235,-8,2,234,0,0,0,0,0,0,0,0,652
7.180864095,0,-1,0,0,0,0,0,0,0,-9,2,235,-8,2,234,0,0,0,0,0,0,0,0,653
7.192020178,0,-1,0,0,0,0,0,0,0,-9,2,235,-8,2,234,0,0,0,0,0,0,0,0,654
7.203082084,0,-1,0,0,0,0,0,0,0,-9,3,234,-8,2,234,0,0,0,0,0,0,0,0,655
7.213934183,0,-1,0,0,0,0,0,0,0,-9,3,234,-8,2,234,0,0,0,0,0,0,0,0,656
7.225993156,0,-1,0,0,0,0,0,0,0,-9,3,234,-8,2,234,0,0,0,0,0,0,0,0,657
7.235859155,0,-1,0,0,0,0,0,0,0,-8,2,235,-8,2,234,0,0,0,0,0,0,0,0,658
7.246973037,0,-1,0,0,0,0,0,0,0,-8,2,235,-8,2,234,0,0,0,0,0,0,0,0,659
7.260307073,0,-1,0,0,0,0,0,0,0,-8,2,233,-8,2,234,0,0,0,0,0,0,0,0,660
7.268917083,0,-1,0,0,0,0,0,0,0,-8,2,233,-8,2,234,0,0,0,0,0,0,0,0,661
7.279881,0,-1,0,0,0,0,0,0,0,-8,2,233,-8,2,234,0,0,0,0,0,0,0,0,662
7.291000128,0,-1,0,0,0,0,0,0,0,-8,3,234,-8,2,234,0,0,0,0,0,0,0,0,663
7.301954984,0,-1,0,0,0,0,0,0,0,-8,3,234,-8,2,234,0,0,0,0,0,0,0,0,664
7.3129282,0,-1,0,0,0,0,0,0,0,-8,3,234,-8,2,234,0,0,0,0,0,0,0,0,665
7.323952198,0,-1,0,0,0,0,0,0,0,-7,3,236,-8,2,234,0,0,0,0,0,0,0,0,666
7.335050106,0,-1,0,0,0,0,0,0,0,-7,3,236,-8,2,234,0,0,0,0,0,0,0,0,667
7.345831156,0,-1,0,0,0,0,0,0,0,-8,2,235,-8,2,234,0,0,0,0,0,0,0,0,668
7.356892109,0,-1,0,0,0,0,0,0,0,-8,2,235,-8,2,234,0,0,0,0,0,0,0,0,669
7.367879152,0,-1,0,0,0,0,0,0,0,-8,3,235,-8,2,234,0,0,0,0,0,0,0,0,670
7.379096031,0,-1,0,0,0,0,0,0,0,-8,3,235,-8,2,234,0,0,0,0,0,0,0,0,671
7.389067173,0,-1,0,0,0,0,0,0,0,-8,3,234,-8,2,235,0,0,0,0,0,0,0,0,672
7.400123119,0,-1,0,0,0,0,0,0,0,-8,3,234,-8,2,235,0,0,0,0,0,0,0,0,673
7.410995006,0,-1,0,0,0,0,0,0,0,-8,3,234,-8,2,235,0,0,0,0,0,0,0,0,674
