TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,G_Pitch,G_Roll,G_Yaw,G_Pitch_filtrada,G_Roll_filtrada,G_Yaw_filtrada,Ax,Ay,Az,Ax_filtrada,Ay_filtrada,Az_filtrada,posZ,posZ_filtrada,velZ,motorDelantero,motorTrasero,motorDerecho,motorIzquierdo,EstadoEncendido,MensajesRecibidos
123.025682927,0,-1,-28,0,0,0,0,0,0,-8,1,234,-8,2,235,6,5,0,0,0,0,0,0,11175
123.036750079,0,-1,-28,0,0,0,0,0,0,-8,1,234,-8,2,235,6,5,0,0,0,0,0,0,11176
123.0480721,0,-1,-28,0,0,0,0,0,0,-8,2,233,-8,2,235,6,5,0,0,0,0,0,0,11177
123.061537028,0,-1,-28,0,0,0,0,0,0,-8,2,233,-8,2,235,6,5,0,0,0,0,0,0,11178
123.070203066,0,-1,-28,0,0,0,0,0,0,-8,2,233,-8,2,235,6,5,0,0,0,0,0,0,11179
123.080845118,0,-1,-28,0,0,0,0,0,0,-7,2,235,-8,2,234,6,5,0,0,0,0,0,0,11180
123.09267807,0,-1,-28,0,0,0,0,0,0,-7,2,235,-8,2,234,6,5,0,0,0,0,0,0,11181
123.102898121,0,-1,-28,0,0,0,0,0,0,-7,2,235,-8,2,234,6,5,0,0,0,0,0,0,11182
123.113862992,0,-1,-28,0,0,0,0,0,0,-8,2,235,-8,2,234,6,5,0,0,0,0,0,0,11183
123.124769926,0,-1,-28,0,0,0,0,0,0,-8,2,235,-8,2,234,6,5,0,0,0,0,0,0,11184
123.13579011,0,-1,-28,0,0,0,0,0,0,-8,2,234,-7,2,234,6,5,0,0,0,0,0,0,11185
123.146858931,0,-1,-28,0,0,0,0,0,0,-8,2,234,-7,2,234,6,5,0,0,0,0,0,0,11186
123.15801096,0,-1,-28,0,0,0,0,0,0,-8,2,234,-7,2,234,6,5,0,0,0,0,0,0,11187
123.168785096,0,-1,-28,0,0,0,0,0,0,-8,2,234,-7,2,234,6,5,0,0,0,0,0,0,11188
123.181194067,0,-1,-28,0,0,0,0,0,0,-8,2,234,-7,2,234,6,5,0,0,0,0,0,0,11189
123.192146063,0,-1,-28,0,0,0,0,0,0,-8,2,234,-7,2,234,6,5,0,0,0,0,0,0,11190
123.20176816,0,-1,-28,0,0,0,0,0,0,-8,3,234,-7,2,234,6,5,0,0,0,0,0,0,11191
123.212798119,0,-1,-28,0,0,0,0,0,0,-8,3,234,-7,2,234,6,5,0,0,0,0,0,0,11192
123.225729943,0,-1,-28,0,0,0,0,0,0,-8,3,234,-7,2,234,6,5,0,0,0,0,0,0,11193
123.234801054,0,-1,-28,0,0,0,0,0,0,-9,4,234,-7,2,234,6,5,0,0,0,0,0,0,11194
123.245882988,0,-1,-28,0,0,0,0,0,0,-9,4,234,-7,2,234,6,5,0,0,0,0,0,0,11195
123.256840945,0,-1,-28,0,0,0,0,0,0,-8,2,235,-7,2,234,6,5,0,0,0,0,0,0,11196
123.267825127,0,-1,-28,0,0,0,0,0,0,-8,2,235,-7,2,234,6,5,0,0,0,0,0,0,11197
123.277810097,0,-1,-28,0,0,0,0,0,0,-8,2,235,-7,2,234,6,5,0,0,0,0,0,0,11198
123.288833142,0,-1,-28,0,0,0,0,0,0,-8,2,235,-8,2,234,6,5,0,0,0,0,0,0,11199
123.299860001,0,-1,-28,0,0,0,0,0,0,-8,2,235,-8,2,234,6,5,0,0,0,0,0,0,11200
123.310884953,0,-1,-28,0,0,0,0,0,0,-8,2,235,-8,2,234,6,5,0,0,0,0,0,0,11201
123.321944952,0,-1,-28,0,0,0,0,0,0,-8,2,235,-8,2,234,6,5,0,0,0,0,0,0,11202
123.33285904,0,-1,-28,0,0,0,0,0,0,-7,2,234,-8,2,234,6,5,0,0,0,0,0,0,11203
123.343879939,0,-1,-28,0,0,0,0,0,0,-7,2,234,-8,2,234,6,5,0,0,0,0,0,0,11204
123.354815007,0,-1,-28,0,0,0,0,0,0,-7,2,234,-8,2,234,6,5,0,0,0,0,0,0,11205
123.365879059,0,-1,-28,0,0,0,0,0,0,-7,2,234,-8,2,234,6,5,0,0,0,0,0,0,11206
123.377727986,0,-1,-28,0,0,0,0,0,0,-7,2,234,-8,2,234,6,5,0,0,0,0,0,0,11207
123.387840987,0,-1,-28,0,0,0,0,0,0,-7,2,234,-8,2,235,6,5,0,0,0,0,0,0,11208
123.398895979,0,-1,-28,0,0,0,0,0,0,-7,2,234,-8,2,235,6,5,0,0,0,0,0,0,11209
123.409893036,0,-1,-28,0,0,0,0,0,0,-7,2,234,-8,2,235,6,5,0,0,0,0,0,0,11210
123.420840979,0,-1,-28,0,0,0,0,0,0,-8,2,236,-8,2,235,6,5,0,0,0,0,0,0,11211
123.431993008,0,-1,-28,0,0,0,0,0,0,-8,2,236,-8,2,235,6,5,0,0,0,0,0,0,11212
123.442841053,0,-1,-28,0,0,0,0,0,0,-8,2,236,-8,3,235,6,5,0,0,0,0,0,0,11213
123.453913928,0,-1,-28,0,0,0,0,0,0,-8,2,236,-8,3,235,6,5,0,0,0,0,0,0,11214
123.464982987,0,-1,-28,0,0,0,0,0,0,-8,2,235,-8,2,235,6,5,0,0,0,0,0,0,11215
123.475932122,0,-1,-28,0,0,0,0,0,0,-8,2,235,-8,2,235,6,5,0,0,0,0,0,0,11216
123.489630938,0,-1,-28,0,0,0,0,0,0,-8,2,234,-8,2,235,6,5,0,0,0,0,0,0,11217
123.497925044,0,-1,-28,0,0,0,0,0,0,-8,2,234,-8,2,235,6,5,0,0,0,0,0,0,11218
123.508954049,0,-1,-28,0,0,0,0,0,0,-8,2,234,-8,2,235,6,5,0,0,0,0,0,0,11219
123.519937039,0,-1,-28,0,0,0,0,0,0,-8,2,234,-8,2,235,6,5,0,0,0,0,0,0,11220
123.530841113,0,-1,-28,0,0,0,0,0,0,-8,2,235,-8,2,235,6,5,0,0,0,0,0,0,11221
123.542088986,0,-1,-28,0,0,0,0,0,0,-8,2,235,-8,2,235,6,5,0,0,0,0,0,0,11222
123.552802086,0,-1,-28,0,0,0,0,0,0,-8,1,234,-8,2,235,6,5,0,0,0,0,0,0,11223
123.563980103,0,-1,-28,0,0,0,0,0,0,-8,1,234,-8,2,235,6,5,0,0,0,0,0,0,11224
123.574872971,0,-1,-28,0,0,0,0,0,0,-8,2,235,-8,2,235,6,5,0,0,0,0,0,0,11225
123.585920096,0,-1,-28,0,0,0,0,0,0,-8,2,235,-8,2,235,6,5,0,0,0,0,0,0,11226
