TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
5.468299865,35,-21,0,57,-7,-15,0,1,722
5.474061012,8,-52,12,41,-20,-6,0,1,723
5.497946023,8,-52,12,31,-29,0,0,1,724
5.503883838,-68,50,80,0,-6,27,0,1,725
5.510043859,-68,50,80,-21,10,44,0,1,726
5.515859842,21,79,-24,-7,30,21,0,1,727
5.521893024,21,79,-24,1,44,6,0,1,728
5.527880907,21,79,-24,7,54,-4,0,1,729
5.551913976,68,-7,4,26,36,-1,0,1,730
5.560576915,128,46,-26,58,39,-9,0,1,731
5.562959909,128,46,-26,80,41,-15,0,1,732
5.569069862,128,46,-26,95,43,-19,0,1,733
5.574916839,105,89,-20,98,56,-19,0,1,734
5.59888792,105,89,-20,100,66,-19,0,1,735
5.605167865,135,10,14,111,50,-8,0,1,736
5.610929966,135,10,14,119,38,0,0,1,737
5.617187023,106,27,17,115,35,5,0,1,738
5.623292923,106,27,17,112,33,9,0,1,739
5.635776996,106,27,17,110,31,12,0,1,740
5.653872013,114,101,42,111,52,22,0,1,741
5.658232927,142,78,58,121,59,34,0,1,742
5.663938999,142,78,58,127,64,42,0,1,743
5.669942855,142,78,58,132,68,48,0,1,744
5.683205843,80,59,-8,115,65,29,0,1,745
5.686578989,80,59,-8,104,63,16,0,1,746
5.709010839,80,59,-8,96,62,7,0,1,747
5.716380834,10,72,20,69,65,12,0,1,748
5.717932939,10,-10,20,51,43,14,0,1,749
5.723940849,10,-10,20,38,28,16,0,1,750
5.744050025,10,-10,20,29,17,18,0,1,751
5.745146036,34,-45,71,31,0,36,0,1,752
5.759274959,34,-45,71,32,-13,48,0,1,753
5.766535997,29,-24,99,31,-16,65,0,1,754
5.771030902,29,-24,99,30,-18,76,0,1,755
5.776963949,-58,8,115,3,-10,89,0,1,756
5.781927824,-58,8,115,-15,-5,98,0,1,757
5.787993907,-58,8,115,-28,-1,103,0,1,758
5.811995983,62,27,43,0,7,83,0,1,759
5.818007946,78,-27,45,24,-2,70,0,1,760
5.82459402,78,-27,45,41,-9,62,0,1,761
5.829905986,78,-27,45,53,-14,56,0,1,762
5.835853815,46,13,22,51,-6,45,0,1,763
5.859956979,46,13,22,49,0,37,0,1,764
5.865943908,82,37,48,60,10,41,0,1,765
5.873560905,82,37,48,67,18,43,0,1,766
5.877904892,26,61,73,54,30,53,0,1,767
5.883213996,26,61,73,45,39,60,0,1,768
5.890305995,26,61,73,39,46,64,0,1,769
5.912951946,56,4,128,45,34,85,0,1,770
