TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
189.576208114,5,1,-70,1,-1,0,14,1,3511
189.627164125,5,1,-70,0,-1,0,14,1,3512
189.677175045,5,1,-70,0,-2,0,14,1,3513
189.72815299,5,0,-70,1,-1,0,14,1,3514
189.778127908,5,1,-70,1,-1,0,14,1,3515
189.829143047,5,1,-70,0,-1,0,14,1,3516
189.879086017,5,1,-70,0,-2,0,14,1,3517
189.929173946,5,1,-70,0,-2,0,14,1,3518
190.003152132,5,1,-70,1,-2,0,14,1,3519
190.05916214,5,1,-70,-1,-1,0,14,1,3520
190.115227937,5,1,-70,2,-2,0,14,1,3521
190.165210008,5,1,-70,-1,-2,0,14,1,3522
190.216193914,5,1,-70,0,-1,0,14,1,3523
190.266179085,5,1,-70,0,-1,0,14,1,3524
190.322144031,5,1,-70,0,-1,0,14,1,3525
190.373162031,5,1,-70,0,-2,0,14,1,3526
190.423233986,5,1,-70,0,-2,0,14,1,3527
190.473240137,5,1,-70,-1,-2,0,14,1,3528
190.529185056,5,1,-70,0,-1,0,14,1,3529
190.585047006,5,1,-70,0,-1,0,14,1,3530
190.659318924,5,1,-70,1,-2,0,14,1,3531
190.715163946,5,1,-70,-2,-1,0,14,1,3532
190.76513195,5,1,-70,1,-1,0,14,1,3533
190.81616807,5,1,-70,0,-1,0,14,1,3534
190.866255045,5,1,-70,-1,-1,0,14,1,3535
190.922199011,5,1,-70,0,-1,0,14,1,3536
190.972131014,5,1,-70,1,-1,0,14,1,3537
191.02809906,5,1,-70,-1,-1,0,14,1,3538
191.079112053,5,1,-70,0,-1,0,14,1,3539
191.129209041,5,1,-70,0,-1,0,14,1,3540
191.180171013,5,1,-70,-1,-1,0,14,1,3541
191.230112076,5,1,-70,0,-2,0,14,1,3542
191.281146049,5,0,-70,0,-1,0,14,1,3543
191.331093073,5,0,-70,0,-1,0,14,1,3544
191.382056951,5,0,-70,0,-1,0,14,1,3545
191.432205915,5,0,-70,1,-2,0,14,1,3546
191.483052015,5,0,-70,0,-2,0,14,1,3547
191.533174991,5,1,-70,0,-2,0,14,1,3548
191.583224058,5,1,-70,0,-1,0,14,1,3549
191.634088993,5,1,-70,0,-1,0,14,1,3550
191.684175014,5,1,-70,1,-1,0,14,1,3551
191.740214109,5,1,-70,0,-1,0,14,1,3552
191.796273947,5,1,-70,-1,-1,0,14,1,3553
191.846220016,5,1,-70,0,-1,0,14,1,3554
191.897166013,5,1,-70,0,-2,0,14,1,3555
191.971192121,5,1,-70,0,-2,0,14,1,3556
192.021222114,5,1,-70,0,-2,0,14,1,3557
192.078938961,5,1,-70,0,-1,0,14,1,3558
192.134095907,5,1,-70,-1,-1,0,14,1,3559
192.189043998,5,1,-70,1,-2,0,14,1,3560
192.239140033,5,0,-70,-1,-1,0,14,1,3561
192.290163994,5,1,-70,-1,-1,0,14,1,3562
192.340215921,5,1,-70,0,-1,0,14,1,3563
192.390228033,5,1,-70,0,-1,0,14,1,3564
192.441123009,5,1,-70,0,-2,0,14,1,3565
192.491189003,5,1,-70,0,-2,0,14,1,3566
192.547135114,5,1,-70,0,-1,0,14,1,3567
192.603214979,5,1,-70,0,-1,0,14,1,3568
192.677130937,5,1,-70,0,-1,0,14,1,3569
192.733088016,5,1,-70,0,-1,0,14,1,3570
192.788301945,5,1,-70,0,-2,0,14,1,3571
192.839152097,5,1,-70,0,-2,0,14,1,3572
192.889291048,5,1,-70,0,-1,0,14,1,3573
192.940169096,5,1,-70,0,-1,0,14,1,3574
192.990140915,5,1,-70,0,-2,0,14,1,3575
193.04114294,5,1,-71,1,-2,0,14,1,3576
193.091124058,5,1,-71,0,-2,0,14,1,3577
193.147083044,5,1,-71,0,-1,0,14,1,3578
193.197158098,5,1,-71,0,-1,0,14,1,3579
193.248196125,5,1,-71,0,-1,0,14,1,3580
193.298171997,5,1,-71,0,-2,0,14,1,3581
193.349178076,5,1,-71,0,-1,0,14,1,3582
193.398158073,5,0,-71,0,-2,0,14,1,3583
193.449087143,5,1,-71,0,-1,0,14,1,3584
193.499228954,5,1,-71,0,-1,0,14,1,3585
193.550209999,5,1,-71,1,-2,0,14,1,3586
193.605195999,5,1,-71,0,-2,0,14,1,3587
193.656168937,5,1,-71,0,-1,0,14,1,3588
193.712113142,5,1,-71,0,-2,0,14,1,3589
193.762171983,5,1,-71,0,-2,0,14,1,3590
193.813174963,5,1,-71,0,-1,0,14,1,3591
193.863209963,5,1,-71,-1,-1,0,14,1,3592
193.93721199,5,1,-71,0,-1,0,14,1,3593
193.993188143,5,1,-71,-1,-1,0,14,1,3594
194.049268007,5,1,-71,0,-1,0,14,1,3595
194.105068922,5,1,-71,1,-2,0,14,1,3596
194.155210018,5,1,-71,1,-2,0,14,1,3597
194.206186056,5,0,-71,0,-1,0,14,1,3598
194.256330967,5,1,-71,0,-1,0,14,1,3599
194.307114124,5,0,-71,0,-1,0,14,1,3600
194.357341051,5,0,-71,0,-1,0,14,1,3601
194.408169985,5,0,-71,0,-1,0,14,1,3602
194.458142996,5,0,-71,0,-1,0,14,1,3603
194.509092092,5,0,-71,0,-1,0,14,1,3604
194.55911994,5,0,-71,0,-2,0,14,1,3605
194.610178947,5,0,-71,-1,-1,0,14,1,3606
194.660197019,5,0,-71,-1,-1,0,14,1,3607
194.711133003,5,1,-71,2,-1,0,14,1,3608
194.761245966,5,1,-71,-1,-1,0,14,1,3609
194.812062979,5,1,-71,0,-1,0,14,1,3610
194.862142086,5,1,-71,-1,-2,0,14,1,3611
194.913048982,5,0,-71,0,-2,0,14,1,3612
194.963230133,5,0,-71,0,-2,0,14,1,3613
195.014135122,5,0,-71,1,-2,0,14,1,3614
195.064243078,5,0,-71,-1,-2,0,14,1,3615
195.115095138,5,0,-71,0,-2,0,14,1,3616
195.165193081,5,0,-71,1,-1,0,14,1,3617
195.21620512,5,1,-71,0,-1,0,14,1,3618
195.266211033,5,1,-71,0,-1,0,14,1,3619
195.317170143,5,1,-71,0,-2,0,14,1,3620
195.367325067,5,1,-71,1,-1,0,14,1,3621
195.418087959,5,1,-71,0,-2,0,14,1,3622
195.468214988,5,1,-71,1,-1,0,14,1,3623
195.519222975,5,1,-71,0,-1,0,14,1,3624
195.569131136,5,1,-71,1,-2,0,14,1,3625
195.620124101,5,0,-71,1,-2,0,14,1,3626
195.670218944,5,0,-71,0,-2,0,14,1,3627
195.721209049,5,0,-71,0,-1,0,14,1,3628
195.771173,5,1,-71,0,-1,0,14,1,3629
195.822175979,5,0,-71,0,-1,0,14,1,3630
195.872121095,5,0,-71,0,-1,0,14,1,3631
195.923068046,5,0,-71,1,-2,0,14,1,3632
195.97322011,5,0,-71,-1,-1,0,14,1,3633
196.024088144,5,0,-71,0,-1,0,14,1,3634
196.074216127,5,0,-71,0,-1,0,14,1,3635
196.125167131,5,0,-71,0,-1,0,14,1,3636
196.176157951,5,1,-71,0,-2,0,14,1,3637
196.226110935,5,1,-71,0,-1,0,14,1,3638
196.276226043,5,1,-71,-1,-1,0,14,1,3639
196.327171087,5,0,-71,-1,-2,0,14,1,3640
196.383140087,5,0,-71,0,-2,0,14,1,3641
196.433181047,5,0,-71,1,-2,0,14,1,3642
196.484199047,5,0,-71,0,-1,0,14,1,3643
196.535174131,5,1,-71,0,-1,0,14,1,3644
196.585212946,5,1,-71,-1,-2,0,14,1,3645
196.636104107,5,1,-71,0,-1,0,14,1,3646
196.68610096,5,1,-71,0,-1,0,14,1,3647
196.736084938,5,1,-71,-1,-1,0,14,1,3648
196.787192106,5,1,-71,1,-2,0,14,1,3649
196.843123913,5,1,-71,1,-2,0,14,1,3650
196.893279075,5,1,-71,0,-1,0,14,1,3651
196.944175005,5,1,-71,0,-2,0,14,1,3652
196.994202137,5,1,-71,0,-1,0,14,1,3653
