TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
1777.2623961,-3,-2,-29,3,8,2,110,1,31761
1777.31244111,-3,-2,-29,-4,3,4,110,1,31762
1777.36942601,-2,-2,-29,0,-9,-5,110,1,31763
1777.42339516,-2,-2,-29,-2,-1,0,110,1,31764
1777.48436308,-2,-3,-29,-2,1,0,110,1,31765
1777.53741503,-2,-3,-29,2,2,0,110,1,31766
1777.59846711,-2,-2,-29,2,-2,-2,110,1,31767
1777.65266919,-2,-1,-29,-1,4,1,110,1,31768
1777.70344305,-2,0,-29,-3,-2,0,110,1,31769
1777.75953221,-2,0,-29,-2,-2,-1,110,1,31770
1777.81237507,-2,-1,-29,2,-4,1,110,1,31771
1777.865484,-2,-2,-29,0,6,1,110,1,31772
1777.92236114,-1,-2,-29,-3,3,0,110,1,31773
1777.97542501,-1,-3,-29,1,-7,-1,110,1,31774
1778.0364871,-1,-3,-29,2,-6,1,110,1,31775
1778.09039307,-1,-2,-29,0,4,1,110,1,31776
1778.15149021,-2,-1,-29,0,10,0,110,1,31777
1778.20447922,-2,0,-29,-4,0,-4,110,1,31778
1778.25838518,-3,0,-29,3,6,0,110,1,31779
1778.31944418,-3,-1,-29,3,-7,0,110,1,31780
1778.3733232,-2,-3,-29,1,0,0,110,1,31781
1778.42540813,-2,-3,-29,-5,-4,-4,110,1,31782
1778.48242021,-2,-3,-29,-3,7,-1,110,1,31783
1778.53636908,-2,-3,-29,0,16,0,110,1,31784
1778.59737301,-2,-2,-29,-5,3,-1,110,1,31785
1778.65042806,-2,-2,-29,0,-10,-2,110,1,31786
1778.70342112,-3,-2,-29,-1,2,4,110,1,31787
1778.75534821,-3,-2,-29,-5,1,2,110,1,31788
1778.80847502,-3,-2,-29,-11,0,-3,110,1,31789
1778.86140609,-3,-1,-29,-11,1,0,110,1,31790
1778.91741109,-3,-1,-29,-7,0,-2,110,1,31791
1778.97140002,-4,-2,-29,-4,-2,-5,110,1,31792
1779.02435422,-4,-1,-29,-11,-5,-1,110,1,31793
