TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,VelocidadPitch,VelocidadRoll,VelocidadYaw,Altura,EstadoEncendido,MensajesRecibidos
623.319927216,-1,-6,-23,3,5,-6,110,1,10662
623.370876074,0,-5,-23,3,0,1,110,1,10663
623.422376156,1,-4,-23,4,0,6,110,1,10664
623.472045183,1,-3,-23,5,1,1,110,1,10665
623.527937174,1,-3,-23,0,4,1,110,1,10666
623.583848,-1,-3,-23,-10,0,0,110,1,10667
623.634863138,-2,-3,-23,-9,1,-1,110,1,10668
623.685950041,-3,-3,-23,-2,-4,0,110,1,10669
623.74585104,-3,-2,-23,7,5,-3,110,1,10670
623.796939135,-3,-1,-23,6,-3,-3,110,1,10671
623.852832079,-3,0,-23,6,0,-3,110,1,10672
623.904880047,-3,1,-23,0,5,0,110,1,10673
623.957928181,-3,2,-23,-4,-2,1,110,1,10674
624.010848045,-4,3,-23,-3,-1,0,110,1,10675
624.060001135,-4,4,-23,-2,0,0,110,1,10676
624.115945101,-5,4,-23,-2,-2,0,110,1,10677
624.170849085,-4,5,-23,1,0,-1,110,1,10678
624.230986118,-4,6,-23,4,1,-1,110,1,10679
624.284010172,-4,5,-23,4,6,2,110,1,10680
624.336817026,-5,4,-23,0,1,0,110,1,10681
624.387897015,-6,4,-23,-2,3,1,110,1,10682
624.442028999,-7,3,-23,-4,5,0,110,1,10683
624.504955053,-8,3,-23,-2,1,2,110,1,10684
624.554960012,-8,3,-23,0,3,0,110,1,10685
624.608872175,-7,2,-23,-1,-7,-3,110,1,10686
624.659882069,-6,2,-23,0,-8,-4,110,1,10687
624.709877014,-5,1,-23,8,4,0,110,1,10688
624.762961149,-5,1,-23,-3,1,0,110,1,10689
624.815901041,-5,1,-23,2,-3,-5,110,1,10690
624.870894194,-6,2,-23,0,-3,-2,110,1,10691
624.926944017,-6,3,-23,-3,-2,2,110,1,10692
624.981870174,-6,4,-23,-3,-2,-2,110,1,10693
625.034912109,-5,5,-23,-2,-1,-1,110,1,10694
625.08992815,-5,5,-23,0,7,-3,110,1,10695
625.139902115,-6,6,-23,8,-2,-6,110,1,10696
625.201916218,-5,6,-23,7,-2,-3,110,1,10697
625.256936073,-4,7,-23,-1,7,0,110,1,10698
625.314898014,-4,7,-23,-3,8,0,110,1,10699
625.361903191,-4,6,-23,0,-2,0,110,1,10700
625.416036129,-5,4,-23,-7,-2,0,110,1,10701
625.466068029,-6,3,-23,-4,1,-3,110,1,10702
625.523866177,-7,2,-23,5,3,-3,110,1,10703
625.575914144,-6,1,-23,4,0,-1,110,1,10704
625.631909132,-5,1,-23,-7,-1,-4,110,1,10705
625.686904192,-4,2,-23,-7,0,-2,110,1,10706
625.736939192,-3,2,-23,0,-2,2,110,1,10707
625.798038006,-3,3,-23,0,-2,3,110,1,10708
625.849927187,-3,5,-23,-3,-1,0,110,1,10709
625.899849176,-4,5,-23,5,3,-1,110,1,10710
625.952960014,-5,5,-23,0,2,3,110,1,10711
626.006929159,-5,5,-23,-6,4,5,110,1,10712
626.061830044,-5,5,-23,-2,-1,3,110,1,10713
626.121999025,-6,4,-23,3,6,-2,110,1,10714
626.167899132,-6,3,-23,-2,0,-1,110,1,10715
626.218922138,-7,2,-23,0,0,0,110,1,10716
626.276915073,-7,1,-23,3,-6,0,110,1,10717
626.329892158,-8,-1,-23,3,2,1,110,1,10718
626.379903078,-8,-3,-23,2,5,1,110,1,10719
626.438915014,-7,-5,-23,1,7,0,110,1,10720
626.486809015,-6,-6,-23,-7,-3,1,110,1,10721
626.541974068,-5,-7,-23,-4,-5,-3,110,1,10722
626.601952076,-4,-8,-23,7,0,-3,110,1,10723
626.655958176,-4,-9,-23,0,3,2,110,1,10724
626.708984137,-4,-10,-23,2,-3,0,110,1,10725
626.762925148,-4,-11,-23,7,1,0,110,1,10726
626.814846992,-5,-11,-23,4,2,0,110,1,10727
626.874850988,-5,-9,-23,88,-8,11,110,1,10728
626.928858995,-3,-8,-23,54,3,12,110,1,10729
626.9798522,-1,-7,-23,-7,2,-2,110,1,10730
627.031985044,1,-6,-23,-44,1,-7,110,1,10731
627.085932016,1,-6,-23,-64,3,-8,110,1,10732
627.136944056,-2,-6,-23,-52,7,-8,110,1,10733
627.191030025,-6,-6,-23,-15,-9,2,110,1,10734
627.240916014,-10,-6,-23,15,-11,3,110,1,10735
627.295979023,-13,-6,-23,48,7,3,110,1,10736
627.351905107,-14,-6,-23,29,-5,4,110,1,10737
627.412067175,-14,-6,-23,10,6,3,110,1,10738
627.465052128,-13,-6,-23,-14,4,0,110,1,10739
627.51790905,-12,-5,-23,-31,0,1,110,1,10740
627.569888115,-11,-4,-23,-23,1,-2,110,1,10741
627.623925209,-10,-4,-23,-9,-5,0,110,1,10742
627.675911188,-10,-4,-23,5,3,2,110,1,10743
627.730033159,-11,-5,-23,19,-6,0,110,1,10744
627.780935049,-11,-6,-23,17,-2,5,110,1,10745
627.838889122,-11,-8,-23,6,-8,4,110,1,10746
627.889827013,-11,-8,-23,-5,-1,5,110,1,10747
627.942059994,-11,-7,-23,-12,1,6,110,1,10748
627.995928049,-11,-6,-23,-21,-1,-1,110,1,10749
628.048916101,-11,-5,-23,108,-4,1,110,1,10750
628.104890108,-12,-4,-23,118,-2,4,110,1,10751
628.156830072,-12,-3,-23,59,1,0,110,1,10752
628.208914995,-9,-3,-22,-41,9,-3,110,1,10753
628.271881103,-9,-4,-22,-88,3,-8,110,1,10754
628.321994066,-11,-3,-22,-87,13,-9,110,1,10755
628.372041225,-13,-2,-23,-48,-2,-8,110,1,10756
628.426941156,-15,-2,-23,6,-8,-6,110,1,10757
628.480885029,-15,-3,-23,35,-9,-4,110,1,10758
628.538938999,-14,-4,-23,47,4,6,110,1,10759
628.589920044,-12,-4,-23,26,-1,3,110,1,10760
628.643071175,-10,-4,-23,3,0,1,110,1,10761
628.69486618,-8,-3,-23,-35,6,0,110,1,10762
628.746057033,-7,-4,-23,-39,7,-1,110,1,10763
628.803894043,-7,-5,-23,-32,6,0,110,1,10764
628.856986046,-9,-7,-23,-13,0,1,110,1,10765
628.912907124,-10,-7,-23,10,1,4,110,1,10766
628.963881016,-10,-6,-23,28,2,4,110,1,10767
629.017911196,-10,-5,-23,21,0,5,110,1,10768
629.069971085,-9,-3,-23,1,-1,-4,110,1,10769
629.121000051,-8,-3,-23,-14,2,0,110,1,10770
629.17941308,-7,-2,-23,-21,2,0,110,1,10771
629.22786212,-6,-2,-23,-18,0,-3,110,1,10772
629.287939072,-5,-1,-23,18,-6,2,110,1,10773
629.34090805,-4,0,-23,149,-8,13,110,1,10774
629.393959999,-3,1,-23,60,-5,12,110,1,10775
629.44462204,-1,2,-23,-20,7,-1,110,1,10776
