TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,G_Pitch,G_Roll,G_Yaw,G_Pitch_filtrada,G_Roll_filtrada,G_Yaw_filtrada,Ax,Ay,Az,Ax_filtrada,Ay_filtrada,Az_filtrada,posZ,posZ_filtrada,velZ,motorDelantero,motorTrasero,motorDerecho,motorIzquierdo,EstadoEncendido,MensajesRecibidos
56.380887031,-6,-9,-5,-11,-3,-14,1,6,1,44,11,212,-14,-25,10,195,15,-1,214,163,193,208,1,4732
56.39113307,-6,-8,-5,6,-1,3,0,6,1,-63,-168,185,-17,-34,15,195,15,-1,176,216,194,192,1,4733
56.401287078,-6,-8,-5,1,3,1,0,6,0,100,-91,71,-1,-33,10,195,15,-1,199,191,201,187,1,4734
56.42861104,-6,-7,-5,0,3,-5,0,3,-1,-20,-160,187,-8,-48,9,195,15,-1,194,191,198,195,1,4735
56.437369108,-6,-7,-5,3,2,2,0,1,-2,169,-47,87,5,-34,1,195,15,-1,190,201,194,193,1,4736
56.446820974,-6,-6,-5,9,2,-2,0,0,-3,-238,12,64,2,-23,244,195,15,-1,183,204,197,194,1,4737
56.455910921,-6,-6,-5,-3,-15,3,0,0,-3,38,105,91,15,-11,232,195,15,-1,209,183,168,218,1,4738
56.483796119,-6,-5,-5,2,1,0,1,0,-2,-7,95,128,19,-12,226,195,15,-1,187,201,210,180,1,4739
56.492969989,-6,-5,-5,-4,-15,-1,2,0,-1,163,155,235,26,4,236,195,15,-1,203,184,171,219,1,4740
56.503210067,-5,-4,-5,0,14,0,3,0,0,214,253,202,37,15,234,195,15,-1,191,199,220,160,1,4741
56.511994123,-5,-3,-5,16,-1,-4,3,-1,0,-43,-127,77,40,20,242,195,15,-1,168,218,182,211,1,4742
56.540102958,-4,-2,-5,0,10,2,2,-2,1,255,134,134,43,33,227,195,15,-1,208,182,212,176,1,4743
56.55291295,-3,-1,-5,0,5,1,1,-3,0,107,93,132,51,56,227,195,15,-1,197,193,192,196,1,4744
56.559003114,-2,0,-5,-2,2,7,1,-2,0,-84,53,69,52,54,213,195,15,-1,201,194,190,193,1,4745
56.568144083,-1,0,-5,-11,-4,9,1,0,0,62,161,225,53,75,218,195,15,-1,212,184,183,199,1,4746
56.595941066,0,1,-5,8,6,1,2,2,0,-99,34,-222,58,70,203,195,15,-1,173,217,208,180,1,4747
56.60562396,0,2,-4,-20,-7,7,1,4,0,-16,208,245,54,68,209,195,15,-1,220,160,175,208,1,4748
56.615029096,2,3,-4,8,-2,5,0,5,2,-105,-121,162,48,56,217,195,15,-1,167,220,194,190,1,4749
56.623953104,3,3,-4,-4,3,-3,-1,4,4,212,-139,150,61,46,200,195,15,-1,206,180,203,189,1,4750
56.652225017,3,4,-4,4,-19,3,-3,2,6,-7,117,240,46,54,198,195,15,-1,186,206,162,220,1,4751
56.660954952,4,5,-4,6,3,0,-4,0,6,160,132,48,52,60,177,195,15,-1,189,200,216,173,1,4752
56.674154996,5,5,-4,10,-19,-2,-4,-2,5,-60,-60,107,52,53,185,195,15,-1,184,203,163,220,1,4753
56.679970026,6,6,-4,-10,-3,2,-2,-4,3,141,9,6,42,71,195,195,15,-1,220,171,204,183,1,4754
56.707869052,7,6,-4,15,5,2,0,-6,2,-138,-5,92,49,66,203,195,15,-1,163,220,206,181,1,4755
56.717067003,7,7,-4,-3,-2,-1,2,-7,0,121,-25,100,46,67,204,195,15,-1,212,175,187,203,1,4756
