TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,G_Pitch,G_Roll,G_Yaw,G_Pitch_filtrada,G_Roll_filtrada,G_Yaw_filtrada,Ax,Ay,Az,Ax_filtrada,Ay_filtrada,Az_filtrada,posZ,posZ_filtrada,velZ,motorDelantero,motorTrasero,motorDerecho,motorIzquierdo,EstadoEncendido,MensajesRecibidos
139.036349058,1,0,3,-7,8,1,-3,-4,2,-101,184,6,-19,-44,168,181,12,-1,191,171,195,165,1,9544
139.064041138,0,0,3,4,2,-1,-4,-4,1,1,234,-58,-5,-34,166,181,12,-1,167,192,177,185,1,9545
139.074062109,0,0,3,-13,1,1,-4,-3,0,-208,68,26,-12,-33,170,181,12,-1,204,157,181,180,1,9546
139.085005045,0,0,3,8,-13,-4,-4,-1,0,84,-32,123,-5,-32,164,181,12,-1,156,202,161,203,1,9547
139.113926173,0,0,3,3,-5,-5,-3,1,-1,169,-102,249,-2,-38,168,181,12,-1,180,176,185,180,1,9548
139.12511611,0,0,2,9,-9,-6,-2,2,-1,-106,17,146,-11,-33,179,181,12,-1,167,189,174,193,1,9549
139.136729002,-1,0,2,0,-1,-3,-1,1,-1,84,203,19,1,-31,179,181,12,-1,188,170,187,177,1,9550
139.165032149,-1,0,2,0,14,0,0,0,-2,-118,-42,101,-15,-39,177,181,12,-1,181,181,203,158,1,9551
139.176422119,-1,0,2,-5,-3,1,1,-3,-3,139,-115,193,-6,-44,186,181,12,-1,189,173,163,197,1,9552
139.186990977,-2,0,2,-15,15,2,2,-5,-3,93,153,36,-13,-38,183,181,12,-1,200,163,205,154,1,9553
139.216333151,-2,0,2,8,4,0,3,-5,-3,-42,-113,173,-7,-43,185,181,12,-1,155,207,175,186,1,9554
139.226164103,-2,0,3,-2,9,5,1,-2,-3,30,177,-15,-1,-29,185,181,12,-1,194,172,188,168,1,9555
139.236977101,-2,0,3,9,-2,0,0,1,-1,-125,-78,171,-2,-44,182,181,12,-1,164,197,170,192,1,9556
139.266343117,-3,0,3,7,-10,-2,-2,5,0,26,-117,242,-6,-44,182,181,12,-1,176,183,167,196,1,9557
139.277135134,-3,0,2,8,0,-6,-3,8,1,97,247,69,-7,-36,187,181,12,-1,172,184,193,173,1,9558
139.288031102,-3,0,2,-2,0,-3,-2,8,2,-107,-103,105,-9,-44,192,181,12,-1,190,168,182,181,1,9559
139.317002058,-3,0,2,-2,-5,6,0,5,2,-49,-11,87,-10,-44,189,181,12,-1,185,182,169,187,1,9560
139.328191996,-4,0,2,-12,6,-2,3,1,0,13,-179,230,-8,-45,201,181,12,-1,196,163,196,167,1,9561
139.340171099,-4,0,2,-9,6,-4,5,-1,-1,-176,-8,-78,-17,-46,189,181,12,-1,182,176,187,178,1,9562
139.367999077,-4,0,2,6,8,-7,5,-3,-2,180,141,203,-8,-36,199,181,12,-1,161,194,190,177,1,9563
139.378225088,-5,0,2,-5,3,0,2,-3,-2,-23,-254,-18,-16,-35,198,181,12,-1,194,167,179,182,1,9564
139.389206171,-5,0,2,12,-2,-7,-1,-1,-2,64,-180,64,-15,-40,191,181,12,-1,154,201,177,190,1,9565
139.418074131,-5,0,2,0,2,0,-4,1,-2,-48,200,179,-17,-35,197,181,12,-1,190,170,185,176,1,9566
139.429190159,-5,-1,2,5,-4,0,-5,4,-2,-139,-19,107,-20,-36,198,181,12,-1,173,188,171,190,1,9567
139.440043211,-5,-1,2,-5,-3,7,-4,5,-3,209,48,199,-14,-25,207,181,12,-1,196,170,176,179,1,9568
139.469040156,-5,-1,2,-8,-6,9,0,5,-3,-32,-3,38,-16,-17,211,181,12,-1,192,177,170,183,1,9569
139.479951144,-6,-1,2,-12,0,3,2,2,-2,-13,-14,175,-16,-17,215,181,12,-1,193,171,186,173,1,9570
139.490123988,-6,-1,2,-6,3,-6,3,0,0,-8,224,89,-15,-6,212,181,12,-1,178,178,188,179,1,9571
139.519105196,-5,-1,2,5,6,0,2,-3,1,-20,-240,255,-19,-11,212,181,12,-1,167,194,187,174,1,9572
139.530722142,-6,-1,2,-13,2,-3,-1,-4,3,209,-83,58,-9,-13,203,181,12,-1,203,155,180,184,1,9573
139.54104805,-5,-1,2,12,3,0,-4,-3,4,-24,-118,102,-14,-10,206,181,12,-1,151,210,184,177,1,9574
139.570044041,-5,-1,2,1,-2,10,-7,-1,3,126,-65,40,-10,-11,211,181,12,-1,192,177,169,183,1,9575
139.581135035,-5,-1,2,0,5,3,-7,1,1,-120,90,234,-11,-10,213,181,12,-1,182,182,189,169,1,9576
139.592054129,-5,-1,2,0,-12,-1,-5,3,0,209,-34,29,-7,-16,210,181,12,-1,181,179,158,204,1,9577
139.621007204,-5,-1,2,-8,-1,0,-2,4,0,-96,62,190,-7,-9,210,181,12,-1,193,169,189,172,1,9578
139.631206036,-5,-1,2,-7,-7,-3,0,3,0,32,60,212,-7,-9,208,181,12,-1,183,175,172,192,1,9579
139.642230988,-5,-1,2,-12,4,0,2,1,1,153,10,150,-2,-4,215,181,12,-1,193,167,194,167,1,9580
139.671083212,-5,-1,2,-4,15,0,2,-1,2,179,-78,170,6,-8,212,181,12,-1,176,185,200,161,1,9581
139.681810141,-5,-1,2,-8,-6,2,0,-3,2,-95,-125,56,-2,-9,211,181,12,-1,190,173,156,202,1,9582
139.69302702,-5,-1,2,10,14,0,-4,-3,1,65,9,-101,0,0,202,181,12,-1,158,203,207,153,1,9583
139.721158982,-5,-1,2,10,-2,1,-7,-2,0,-90,-35,113,0,-11,205,181,12,-1,175,187,165,195,1,9584
