TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,G_Pitch,G_Roll,G_Yaw,G_Pitch_filtrada,G_Roll_filtrada,G_Yaw_filtrada,Ax,Ay,Az,Ax_filtrada,Ay_filtrada,Az_filtrada,posZ,posZ_filtrada,velZ,motorDelantero,motorTrasero,motorDerecho,motorIzquierdo,EstadoEncendido,MensajesRecibidos
102.896656037,-4,9,21,-3,3,6,0,1,5,120,147,-154,38,-11,192,183,5,0,194,176,186,174,1,7945
102.906563997,-4,9,21,0,4,10,-1,3,8,168,230,24,46,1,184,183,5,0,185,189,181,175,1,7946
102.935150862,-4,9,21,-7,-1,3,-3,1,6,50,-79,66,44,-5,183,183,5,0,194,174,175,187,1,7947
102.946332932,-4,9,21,4,-1,-1,-1,-1,0,41,183,122,41,3,183,183,5,0,169,195,183,183,1,7948
102.956342936,-4,9,21,-9,-6,-6,-2,-4,-4,2,6,27,40,-1,185,183,5,0,197,162,176,195,1,7949
102.985280037,-4,9,21,6,0,4,-1,-3,-1,-88,0,229,35,-6,184,183,5,0,168,201,187,174,1,7950
102.99545908,-4,9,21,-11,-2,-2,-2,-1,0,-74,101,-39,36,-2,177,183,5,0,204,159,179,188,1,7951
103.006150961,-4,9,21,10,3,12,0,0,5,-96,46,74,28,-7,178,183,5,0,162,213,185,170,1,7952
103.034417868,-4,9,21,-4,1,0,3,2,6,116,-116,125,39,-3,188,183,5,0,198,167,182,182,1,7953
103.045146942,-3,9,21,3,0,3,0,0,2,38,245,135,37,-6,189,183,5,0,175,193,178,184,1,7954
103.056809902,-3,9,21,0,8,-1,2,4,0,16,-85,-62,37,-18,183,183,5,0,184,179,197,169,1,7955
103.084275961,-3,9,21,2,-4,-11,1,2,-6,-93,-218,147,32,-28,190,183,5,0,175,181,173,201,1,7956
103.094297886,-4,9,21,1,1,3,2,-1,-4,221,-235,72,34,-35,183,183,5,0,183,185,187,175,1,7957
103.105227947,-4,9,21,4,1,-5,3,1,-1,-220,-41,175,32,-33,193,183,5,0,175,186,186,184,1,7958
103.133384943,-4,9,21,-4,2,-6,0,2,-6,83,154,60,30,-38,191,183,5,0,191,169,188,182,1,7959
103.144423008,-4,9,21,6,0,0,0,1,-3,-71,25,211,28,-36,204,183,5,0,169,196,180,184,1,7960
103.154474974,-4,9,21,-5,1,-8,0,0,-4,51,58,49,27,-36,202,183,5,0,193,165,188,184,1,7961
103.183321953,-4,9,21,3,-10,0,-1,-4,-4,-37,-61,8,24,-39,206,183,5,0,173,192,166,200,1,7962
103.194262982,-5,9,21,0,2,2,1,-4,0,31,-97,125,26,-49,204,183,5,0,186,180,194,170,1,7963
103.20418787,-5,9,21,-6,0,12,-3,1,7,105,-54,75,28,-44,210,183,5,0,197,178,176,178,1,7964
103.233279944,-5,9,21,3,1,5,-1,0,9,22,-68,1,28,-57,205,183,5,0,174,195,182,179,1,7965
103.243514061,-5,9,21,0,0,7,1,1,6,76,124,107,27,-47,208,183,5,0,188,183,180,180,1,7966
103.255734921,-5,9,21,-2,-7,2,0,-3,4,147,-159,53,27,-57,202,183,5,0,187,180,170,194,1,7967
103.282454968,-6,9,21,3,8,-6,0,0,-2,112,6,90,26,-48,204,183,5,0,173,187,204,166,1,7968
103.293333054,-6,9,21,13,-8,3,8,0,-1,-111,23,73,31,-43,208,183,5,0,167,201,161,201,1,7969
103.306683064,-6,9,21,-8,5,2,2,-1,3,90,150,72,31,-28,206,183,5,0,207,160,197,166,1,7970
103.334281922,-6,9,21,8,-1,9,0,2,5,237,-132,36,41,-33,204,183,5,0,167,206,172,186,1,7971
103.342378855,-6,9,22,0,0,6,4,0,7,87,-55,11,40,-25,196,183,5,0,192,178,181,178,1,7972
103.353281975,-6,9,22,7,6,-6,3,3,0,-97,39,57,33,-17,200,183,5,0,170,190,195,175,1,7973
103.381388903,-6,9,22,-9,-1,-7,-1,2,-6,88,138,17,36,-5,199,183,5,0,199,159,177,194,1,7974
103.392287016,-6,9,21,11,9,0,0,3,-4,-116,-23,246,26,4,200,183,5,0,157,208,198,167,1,7975
103.402358055,-6,9,21,-4,-5,-5,3,1,-3,176,-100,86,29,-6,198,183,5,0,196,164,168,201,1,7976
103.431402922,-5,9,21,2,3,-4,0,-1,-4,-106,-62,173,22,-1,199,183,5,0,173,188,195,173,1,7977
103.442544937,-5,9,21,0,0,7,1,2,1,67,-136,195,30,1,196,183,5,0,187,184,177,182,1,7978
103.454093933,-5,9,22,-6,7,5,-2,3,6,-170,178,17,20,-1,194,183,5,0,195,175,191,169,1,7979
103.481169939,-5,9,22,9,-10,-3,1,-1,1,185,-243,137,26,-12,200,183,5,0,162,201,162,205,1,7980
103.491318941,-5,8,21,-6,-6,2,1,-8,0,91,109,172,27,-9,197,183,5,0,201,166,180,183,1,7981
103.502179861,-5,8,21,5,-4,-3,0,-5,0,-141,-33,178,23,-17,205,183,5,0,168,194,182,186,1,7982
103.530192852,-5,8,21,1,-3,4,3,-3,0,-65,3,37,22,-13,197,183,5,0,186,182,180,181,1,7983
103.541267872,-5,8,22,5,-4,0,3,-3,2,-130,158,100,20,-9,205,183,5,0,177,189,178,186,1,7984
103.551209927,-4,8,22,-5,-3,1,0,-4,1,-52,-91,-35,15,-15,208,183,5,0,195,171,179,184,1,7985
103.580352068,-4,8,22,9,15,0,2,5,0,12,121,152,11,-11,217,183,5,0,164,201,210,156,1,7986
103.59028697,-4,8,22,5,-4,-1,7,5,-1,-173,-22,66,6,-16,217,183,5,0,181,182,164,203,1,7987
103.601295948,-4,8,21,-2,12,-10,1,4,-5,-65,193,69,3,-16,216,183,5,0,187,170,209,164,1,7988
103.629482985,-4,8,21,-2,-2,1,-2,4,-4,228,-188,33,9,-27,216,183,5,0,185,182,167,197,1,7989
103.640172959,-4,7,22,-2,0,0,-2,-1,1,169,70,248,15,-26,217,183,5,0,184,182,186,179,1,7990
103.650304079,-4,7,22,-7,-2,2,-4,-1,1,-52,-28,-100,16,-35,215,183,5,0,192,175,177,186,1,7991
103.679188013,-5,7,22,3,0,5,-1,-1,3,22,168,124,19,-32,210,183,5,0,173,196,182,178,1,7992
103.689307928,-5,7,22,9,12,-2,6,6,1,-55,204,66,15,-24,202,183,5,0,171,192,202,165,1,7993
103.700308085,-5,7,22,-11,1,2,-1,6,0,-30,50,254,13,-23,199,183,5,0,209,158,174,189,1,7994
103.728543997,-5,7,22,8,6,-4,-1,4,0,44,-168,99,13,-18,203,183,5,0,159,203,193,175,1,7995
103.739300013,-5,7,22,-5,4,0,1,5,-2,226,16,-78,22,-13,191,183,5,0,197,167,184,181,1,7996
103.74939704,-5,7,21,7,-2,-5,0,1,-3,-146,-27,226,12,-7,194,183,5,0,165,195,177,192,1,7997
103.778331042,-5,7,21,-3,-4,3,1,-3,-1,-2,-85,93,18,-8,192,183,5,0,195,173,176,186,1,7998
103.788423062,-4,7,22,0,-3,5,-1,-4,4,-41,53,79,15,-11,199,183,5,0,182,187,179,182,1,7999
103.802531004,-4,7,22,1,-3,-5,0,-3,0,233,102,155,22,-9,198,183,5,0,178,182,183,187,1,8000
103.828636885,-4,7,22,-3,0,12,-1,-1,3,-75,-75,28,19,-19,191,183,5,0,194,181,180,174,1,8001
103.839360953,-4,7,22,7,-1,3,2,0,7,102,51,198,23,-10,189,183,5,0,169,198,179,183,1,8002
103.849257946,-4,7,22,-8,-9,2,0,-5,2,-13,61,120,21,0,189,183,5,0,203,164,168,194,1,8003
103.877321959,-4,7,22,4,14,5,-2,2,4,-70,20,77,17,8,183,183,5,0,170,199,210,151,1,8004
103.888565064,-4,7,22,0,-7,3,2,3,4,101,123,195,19,19,188,183,5,0,188,179,159,204,1,8005
103.89891696,-4,7,22,8,14,3,3,3,3,7,69,95,17,18,181,183,5,0,171,196,209,153,1,8006
103.928034067,-3,6,22,0,-2,1,3,6,2,-47,-59,117,12,20,189,183,5,0,190,176,167,197,1,8007
103.937541962,-3,7,22,5,13,8,2,5,4,-73,-32,-42,8,13,179,183,5,0,177,195,200,158,1,8008
103.948312044,-3,6,22,-7,-6,4,0,3,6,214,-172,38,16,2,178,183,5,0,201,168,160,201,1,8009
103.980581999,-3,6,22,0,0,9,-3,-2,7,126,-216,43,17,-13,184,183,5,0,180,193,186,172,1,8010
103.98752904,-3,6,22,-6,2,0,-3,1,4,13,-193,38,18,-14,184,183,5,0,192,173,186,179,1,8011
103.997350931,-3,6,22,1,6,-1,-2,4,-1,-160,-48,69,11,-14,186,183,5,0,175,189,191,175,1,8012
104.026252985,-3,6,22,7,2,-12,4,4,-6,123,-99,173,17,-24,182,183,5,0,168,187,185,190,1,8013
104.038213968,-3,6,22,-7,4,9,0,3,-1,-141,212,152,11,-22,185,183,5,0,203,169,184,173,1,8014
104.047384978,-3,6,22,7,6,0,0,5,5,98,54,53,17,-20,181,183,5,0,165,200,188,176,1,8015
104.075389862,-3,6,22,-8,-5,12,0,0,6,-211,-180,132,7,-16,182,183,5,0,206,169,164,192,1,8016
104.08620596,-3,6,22,4,1,3,-1,-2,7,-145,163,108,6,-10,180,183,5,0,170,198,188,174,1,8017
104.099128008,-3,6,22,-2,-10,4,0,-4,4,-28,-21,119,3,-7,178,183,5,0,192,176,163,198,1,8018
104.125318051,-3,6,22,4,9,9,1,0,7,127,102,54,11,-3,179,183,5,0,177,196,202,155,1,8019
104.135443926,-3,6,22,-1,-1,-5,1,4,2,-24,-159,-45,6,-1,168,183,5,0,187,173,175,194,1,8020
104.146331072,-3,6,22,8,11,-1,3,5,-3,23,-94,80,10,-6,172,183,5,0,167,196,201,165,1,8021
104.175224066,-3,6,22,-7,4,-6,0,7,-4,-75,-133,135,12,-8,165,183,5,0,198,162,182,188,1,8022
104.185359001,-3,5,22,-7,-4,10,-7,0,1,128,-170,50,17,-13,172,183,5,0,192,182,168,189,1,8023
104.195303917,-3,5,22,-1,4,-3,-4,0,3,0,83,82,20,-15,165,183,5,0,176,186,195,173,1,8024
104.226500988,-3,5,22,-2,-11,-10,-1,-3,-7,-46,-81,82,20,-14,174,183,5,0,181,176,166,208,1,8025
104.235296965,-3,5,22,-6,0,0,-4,-5,-5,40,191,103,21,-19,166,183,5,0,190,174,194,172,1,8026
104.245715857,-3,5,22,-3,-1,2,-4,0,1,68,-121,46,27,-15,172,183,5,0,183,184,178,184,1,8027
104.274322033,-3,6,22,4,-5,0,0,-3,1,64,43,71,30,-19,172,183,5,0,172,192,175,190,1,8028
104.284331084,-4,6,22,-11,0,5,-3,-2,2,124,254,171,28,-1,176,183,5,0,206,163,186,175,1,8029
