TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,G_Pitch,G_Roll,G_Yaw,G_Pitch_filtrada,G_Roll_filtrada,G_Yaw_filtrada,Ax,Ay,Az,Ax_filtrada,Ay_filtrada,Az_filtrada,posZ,posZ_filtrada,velZ,motorDelantero,motorTrasero,motorDerecho,motorIzquierdo,EstadoEncendido,MensajesRecibidos
39.465935945,-4,1,-19,-4,6,0,-6,-1,-1,11,-30,227,10,-15,226,107,45,0,0,0,0,0,0,3018
39.476016998,-4,1,-19,-4,8,0,-6,0,-1,9,-31,226,10,-15,226,107,45,0,0,0,0,0,0,3019
39.486031055,-4,1,-19,-3,9,0,-6,2,-1,9,-30,226,10,-15,226,107,45,0,0,0,0,0,0,3020
39.499879122,-4,1,-19,-3,9,0,-5,4,-1,5,-28,225,10,-16,226,107,45,0,0,0,0,0,0,3021
39.51080513,-4,1,-19,-2,10,1,-5,5,0,4,-25,220,10,-16,226,107,45,0,0,0,0,0,0,3022
39.520882129,-4,1,-19,-1,11,1,-4,7,0,3,-23,225,9,-16,226,107,45,0,0,0,0,0,0,3023
39.534925937,-4,1,-19,0,12,1,-3,8,0,-1,-22,223,9,-17,226,107,45,0,0,0,0,0,0,3024
39.544981003,-4,2,-19,0,12,1,-3,9,0,3,-22,227,9,-17,226,107,45,0,0,0,0,0,0,3025
39.555837154,-4,2,-19,0,12,1,-2,10,1,1,-22,226,9,-17,226,107,45,0,0,0,0,0,0,3026
39.569967031,-4,2,-19,1,13,2,-2,11,1,2,-21,226,9,-17,226,107,45,0,0,0,0,0,0,3027
39.579972028,-4,2,-19,1,12,3,-1,12,1,2,-20,225,8,-18,226,107,45,0,0,0,0,0,0,3028
39.590004921,-4,2,-19,1,12,3,0,12,1,0,-22,224,8,-18,226,107,45,0,0,0,0,0,0,3029
39.604069948,-4,2,-19,0,11,4,0,12,1,0,-16,228,8,-18,226,107,44,0,0,0,0,0,0,3030
39.613983154,-4,2,-19,0,10,5,0,13,1,-1,-16,226,8,-18,226,107,44,0,0,0,0,0,0,3031
39.631686926,-4,2,-19,0,10,5,1,12,2,-2,-16,226,7,-19,226,107,44,0,0,0,0,0,0,3032
39.638900995,-4,2,-19,0,10,5,1,12,3,-4,-17,226,7,-19,226,107,44,0,0,0,0,0,0,3033
39.649245023,-4,2,-19,0,10,5,1,11,3,-3,-18,225,7,-19,226,107,44,0,0,0,0,0,0,3034
39.659017086,-4,2,-19,0,9,5,1,11,4,-5,-17,226,6,-19,226,107,44,0,0,0,0,0,0,3035
39.67298913,-4,2,-19,0,9,5,0,10,5,-6,-17,224,6,-19,225,107,44,0,0,0,0,0,0,3036
39.683869123,-4,2,-19,0,8,5,0,10,5,-7,-19,222,5,-19,225,107,44,0,0,0,0,0,0,3037
