TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,G_Pitch,G_Roll,G_Yaw,G_Pitch_filtrada,G_Roll_filtrada,G_Yaw_filtrada,Ax,Ay,Az,Ax_filtrada,Ay_filtrada,Az_filtrada,posZ,posZ_filtrada,velZ,motorDelantero,motorTrasero,motorDerecho,motorIzquierdo,EstadoEncendido,MensajesRecibidos
50.572463035,3,9,-1,6,11,-1,-1,-2,0,-85,-180,246,-85,-180,246,7,5,0,172,163,168,166,1,4098
50.593618154,3,8,-1,5,10,-1,0,-1,0,-85,-180,246,-85,-180,246,7,5,0,161,174,166,168,1,4099
50.619738102,0,7,-1,4,10,-1,1,1,0,-51,-190,237,-51,-190,237,7,5,0,173,162,165,170,1,4100
50.632837057,-1,10,-1,2,11,-1,1,1,0,223,-107,205,223,-107,205,7,5,0,162,173,167,168,1,4101
50.649648189,-1,9,-1,2,10,-1,0,0,0,223,-107,205,223,-107,205,7,5,0,171,163,173,163,1,4102
50.680063009,0,7,-1,1,11,-1,0,-2,0,-34,21,110,-34,21,110,7,5,0,167,169,168,167,1,4103
50.69295907,0,8,-1,0,11,-1,0,0,0,127,106,77,127,106,77,7,5,0,166,168,171,165,1,4104
50.707108974,0,7,-1,0,10,-1,0,3,0,127,106,77,127,106,77,7,5,0,169,168,166,166,1,4105
50.744397163,3,7,-1,1,11,-1,0,4,0,5,245,92,5,245,92,7,5,0,173,164,163,170,1,4106
50.754328012,6,9,-1,3,11,-1,0,1,1,165,195,102,165,195,102,7,5,0,163,171,165,170,1,4107
50.76741004,5,8,-1,3,10,-1,-1,-1,2,165,195,102,165,195,102,7,5,0,173,161,170,166,1,4108
50.800001144,8,8,-1,5,11,-1,-1,-2,1,57,217,220,57,217,220,7,5,0,162,173,168,167,1,4109
50.814018011,9,6,-1,6,10,-1,-1,-1,0,-138,187,81,-138,187,81,7,5,0,176,158,169,167,1,4110
50.836883068,8,6,-1,6,9,-1,-1,0,-1,-138,187,81,-138,187,81,7,5,0,165,172,169,164,1,4111
50.859975099,10,5,-1,7,9,-1,-1,2,-1,-92,168,55,-92,168,55,7,5,0,172,162,170,167,1,4112
50.87501812,10,4,-1,9,8,-1,-2,2,0,-2,45,179,-2,45,179,7,5,0,160,176,164,170,1,4113
50.888158083,9,4,-1,8,7,-1,-1,1,0,-2,45,179,-2,45,179,7,5,0,172,161,169,168,1,4114
50.924594164,7,3,-1,9,7,-1,0,0,0,0,-73,183,0,-73,183,7,5,0,167,171,166,166,1,4115
50.935403108,5,4,-1,8,6,-1,1,0,0,49,-93,248,49,-93,248,7,5,0,165,170,163,173,1,4116
50.948961019,5,4,-1,8,6,-1,0,-1,0,49,-93,248,49,-93,248,7,5,0,172,166,171,162,1,4117
50.981134176,6,5,-1,8,6,-1,0,0,1,131,120,42,131,120,42,7,5,0,167,167,174,161,1,4118
50.996015072,10,5,-1,9,6,-1,0,0,2,53,242,123,53,242,123,7,5,0,173,161,172,164,1,4119
51.010925054,9,5,-1,8,6,-1,-1,4,0,53,242,123,53,242,123,7,5,0,165,167,161,177,1,4120
51.041995048,11,5,-1,10,6,-1,-3,4,-1,66,255,21,66,255,21,7,5,0,171,166,164,169,1,4121
51.056068182,12,4,-1,11,6,-1,-3,0,-2,-103,129,106,-103,129,106,7,5,0,161,171,166,172,1,4122
51.070688963,11,3,-1,11,5,-1,-1,-4,-1,-103,129,106,-103,129,106,7,5,0,164,170,176,160,1,4123
51.102055073,11,4,-1,11,5,-1,1,-4,0,83,119,98,83,119,98,7,5,0,172,163,169,166,1,4124
51.116914034,13,5,-1,12,6,-1,2,0,-1,99,196,26,99,196,26,7,5,0,167,165,171,167,1,4125
51.131860018,12,5,-1,12,5,-1,1,5,-2,99,196,26,99,196,26,7,5,0,171,164,167,168,1,4126
51.156919956,13,6,-1,13,6,-1,1,5,-2,101,126,14,101,126,14,7,5,0,170,165,168,167,1,4127
51.170469999,14,7,-1,14,7,-1,-2,5,-1,114,74,202,114,74,202,7,5,0,168,167,168,167,1,4128
