TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,G_Pitch,G_Roll,G_Yaw,G_Pitch_filtrada,G_Roll_filtrada,G_Yaw_filtrada,Ax,Ay,Az,Ax_filtrada,Ay_filtrada,Az_filtrada,posZ,posZ_filtrada,velZ,motorDelantero,motorTrasero,motorDerecho,motorIzquierdo,EstadoEncendido,MensajesRecibidos
47.255723953,5,-1,0,8,-2,0,1,0,2,148,-21,62,-31,0,184,0,0,0,108,113,104,113,1,4256
47.26682806,5,-1,0,8,-2,0,1,0,2,148,-21,62,-31,0,184,0,0,0,108,113,108,109,1,4257
47.28006196,4,-1,0,7,-2,0,0,-1,2,148,-21,62,-31,0,184,0,0,0,110,108,110,110,1,4258
47.29783988,2,0,0,6,-2,0,0,-1,2,170,-188,217,-2,-62,218,0,0,0,109,109,116,103,1,4259
47.308691978,0,2,0,4,-1,0,-1,-1,1,155,-162,15,88,-96,251,0,0,0,109,109,116,103,1,4260
47.319802999,0,2,0,4,-1,0,-1,-1,1,155,-162,15,88,-96,251,0,0,0,110,110,103,115,1,4261
47.330925941,0,2,0,4,-1,0,0,0,0,155,-162,15,88,-96,251,0,0,0,110,110,103,115,1,4262
47.350739002,-1,2,0,2,0,0,0,0,0,5,-113,28,171,-117,15,0,0,0,110,106,114,107,1,4263
47.361768961,-3,0,0,0,2,0,0,1,0,-80,-122,192,160,-149,12,0,0,0,110,106,114,107,1,4264
47.372750997,-3,0,0,0,2,0,0,1,0,-80,-122,192,160,-149,12,0,0,0,110,109,110,110,1,4265
47.383773088,-3,0,0,0,2,0,0,0,-1,-80,-122,192,160,-149,12,0,0,0,110,109,110,110,1,4266
47.40465498,-2,3,0,-1,3,0,-1,0,-1,62,15,87,53,-152,246,0,0,0,111,110,104,112,1,4267
47.416017055,-3,1,0,-3,2,0,0,0,0,-58,-37,100,-47,-99,201,0,0,0,111,110,104,112,1,4268
47.429656029,-3,1,0,-3,2,0,0,0,0,-58,-37,100,-47,-99,201,0,0,0,112,105,115,106,1,4269
47.437934875,-3,1,0,-2,2,0,0,0,0,-58,-37,100,-47,-99,201,0,0,0,112,105,115,106,1,4270
47.460933924,0,0,0,-3,0,0,0,0,0,-44,113,135,-57,-25,132,0,0,0,109,112,108,109,1,4271
47.469040871,0,3,0,-2,0,0,0,0,0,140,19,145,-11,27,85,0,0,0,106,113,108,110,1,4272
47.480175972,0,3,0,-2,0,0,0,0,0,140,19,145,-11,27,85,0,0,0,106,113,108,110,1,4273
47.490638971,0,2,0,-1,0,0,-1,0,0,140,19,145,-11,27,85,0,0,0,109,109,109,111,1,4274
47.511744022,1,3,0,0,0,0,0,0,0,60,55,195,22,53,101,0,0,0,114,104,112,108,1,4275
47.523578882,1,6,0,1,1,0,1,0,0,202,39,173,54,59,156,0,0,0,114,104,112,108,1,4276
