TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,G_Pitch,G_Roll,G_Yaw,G_Pitch_filtrada,G_Roll_filtrada,G_Yaw_filtrada,Ax,Ay,Az,Ax_filtrada,Ay_filtrada,Az_filtrada,posZ,posZ_filtrada,velZ,motorDelantero,motorTrasero,motorDerecho,motorIzquierdo,EstadoEncendido,MensajesRecibidos
168.897816896,-1,5,-167,-8,-47,11,-14,-45,14,-66,-75,189,138,95,180,2,5,0,179,166,131,195,1,14966
168.912883043,0,4,-167,-8,-47,11,-14,-45,14,-48,154,2,172,74,178,2,5,0,178,167,131,194,1,14967
168.923995018,0,2,-167,-18,-39,11,-14,-44,13,-54,-10,148,197,52,182,2,5,0,178,167,131,194,1,14968
168.934944868,0,1,-167,-13,-45,11,-14,-44,14,-54,-10,148,197,52,182,2,5,0,190,155,140,186,1,14969
168.945911884,0,1,-167,-13,-45,11,-14,-44,14,-54,-10,148,197,52,182,2,5,0,178,166,129,196,1,14970
168.96490097,0,1,-167,-22,-42,13,-14,-43,14,-5,19,246,206,30,190,2,5,0,192,153,136,189,1,14971
168.975947857,-1,0,-167,-15,-40,14,-14,-43,14,15,-79,245,193,13,203,2,5,0,192,153,136,189,1,14972
168.989681005,-1,0,-167,-15,-40,14,-14,-43,14,15,-79,245,193,13,203,2,5,0,179,167,136,188,1,14973
168.998029947,-1,0,-167,-14,-38,16,-13,-43,14,15,-79,245,193,13,203,2,5,0,179,167,136,188,1,14974
169.015934944,-5,2,-167,-14,-38,16,-13,-43,14,134,-19,162,159,3,215,2,5,0,183,164,136,186,1,14975
169.027224064,-7,0,-166,-12,-47,15,-13,-43,13,-57,-90,102,110,-2,226,2,5,0,183,164,136,186,1,14976
169.037859916,-7,0,-166,-12,-47,15,-13,-43,13,-57,-90,102,110,-2,226,2,5,0,181,166,125,198,1,14977
169.050976991,-7,0,-166,-14,-49,13,-13,-43,13,-57,-90,102,110,-2,226,2,5,0,182,163,128,197,1,14978
169.067806005,-5,-3,-166,-14,-49,13,-13,-43,13,-234,242,52,57,-7,232,2,5,0,182,164,129,196,1,14979
169.082808017,-3,-3,-166,-9,-40,13,-14,-43,13,-14,115,67,9,-14,232,2,5,0,182,164,129,196,1,14980
169.089884996,-3,-3,-166,-9,-40,13,-14,-43,13,-14,115,67,9,-14,232,2,5,0,177,169,140,184,1,14981
169.100863933,-3,-3,-166,-13,-39,14,-15,-42,13,-14,115,67,9,-14,232,2,5,0,184,162,136,188,1,14982
169.119142055,-3,-3,-166,-13,-39,14,-15,-42,13,19,-16,61,-26,-22,228,2,5,0,182,165,135,188,1,14983
169.129852056,-5,-4,-165,-15,-40,15,-15,-42,13,-63,-169,25,-50,-30,222,2,5,0,182,165,135,188,1,14984
169.141494035,-5,-4,-165,-20,-42,12,-15,-43,13,-63,-169,25,-50,-30,222,2,5,0,185,163,134,188,1,14985
169.154742956,-6,-7,-165,-20,-42,12,-15,-43,13,-159,-38,207,-62,-33,218,2,5,0,188,157,133,192,1,14986
169.170964002,-5,-6,-165,-13,-37,13,-15,-43,13,-159,-38,207,-62,-33,218,2,5,0,179,167,139,185,1,14987
169.182079076,-6,-9,-165,-13,-48,13,-14,-43,14,-124,-69,222,-65,-30,219,2,5,0,179,167,139,185,1,14988
169.193060875,-6,-9,-165,-13,-48,13,-14,-43,14,-124,-69,222,-65,-30,219,2,5,0,182,164,124,200,1,14989
169.2038939,-6,-8,-165,-9,-48,15,-14,-42,14,-124,-69,222,-65,-30,219,2,5,0,178,170,129,193,1,14990
169.221920013,-6,-12,-165,-9,-48,15,-14,-42,14,-202,12,142,-63,-23,226,2,5,0,180,167,129,194,1,14991
169.234740019,-3,-12,-165,-10,-41,13,-13,-42,14,0,219,7,-61,-17,237,2,5,0,180,167,129,194,1,14992
169.243967056,-2,-12,-165,-13,-45,15,-13,-42,14,0,219,7,-61,-17,237,2,5,0,181,166,138,186,1,14993
169.254916906,-2,-12,-165,-13,-45,15,-13,-42,14,0,219,7,-61,-17,237,2,5,0,184,163,128,194,1,14994
169.274107933,-5,-8,-165,-20,-36,14,-14,-42,14,94,-98,-3,-62,-12,247,2,5,0,190,156,142,181,1,14995
169.284884929,-9,-6,-164,-17,-43,15,-13,-42,14,141,-199,-1,-67,-10,253,2,5,0,190,156,142,181,1,14996
169.295897007,-9,-6,-164,-17,-43,15,-13,-42,14,141,-199,-1,-67,-10,253,2,5,0,184,163,128,194,1,14997
169.306999921,-9,-5,-164,-15,-42,15,-13,-42,13,141,-199,-1,-67,-10,253,2,5,0,184,163,128,194,1,14998
169.32546401,-6,-4,-164,-15,-42,15,-13,-42,13,182,209,33,-73,-9,251,2,5,0,182,165,133,190,1,14999
169.336335897,-5,-2,-164,-17,-42,16,-13,-43,14,159,103,68,-75,-7,238,2,5,0,182,165,133,190,1,15000
