TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,G_Pitch,G_Roll,G_Yaw,G_Pitch_filtrada,G_Roll_filtrada,G_Yaw_filtrada,Ax,Ay,Az,Ax_filtrada,Ay_filtrada,Az_filtrada,posZ,posZ_filtrada,velZ,motorDelantero,motorTrasero,motorDerecho,motorIzquierdo,EstadoEncendido,MensajesRecibidos
83.794993162,0,-2,-54,-1,-1,-2,0,0,0,-24,13,84,-1,-32,201,6,4,0,169,170,170,169,1,7562
83.80599618,0,-2,-54,-1,-1,-2,0,0,0,-24,13,84,-1,-32,201,6,4,0,170,169,169,170,1,7563
83.824972153,0,-2,-54,1,0,1,0,0,0,-49,-119,0,-9,-44,197,6,4,0,169,170,170,169,1,7564
83.8392272,0,-2,-54,0,0,-2,0,0,0,125,-72,9,-17,-52,203,6,4,0,169,170,170,169,1,7565
83.847227097,0,-2,-54,1,0,2,0,0,0,125,-72,9,-17,-52,203,6,4,0,170,169,169,170,1,7566
83.85811019,0,-2,-54,1,0,2,0,0,0,78,-96,186,-24,-55,218,6,4,0,169,170,170,169,1,7567
83.876969099,0,-2,-54,-1,0,-2,0,0,0,78,-96,186,-24,-55,218,6,4,0,170,169,169,170,1,7568
83.888275147,0,-2,-55,0,0,0,0,0,-1,-192,-22,169,-28,-55,240,6,4,0,170,169,169,170,1,7569
83.899054051,0,-2,-55,0,0,0,0,0,-1,-192,-22,169,-28,-55,240,6,4,0,169,170,169,170,1,7570
83.911139012,0,-2,-55,-1,0,0,0,0,0,-192,-22,169,-28,-55,240,6,4,0,169,170,169,170,1,7571
83.928166151,0,-2,-55,-1,0,0,0,0,0,-146,-9,118,-27,-54,6,6,4,0,170,169,170,169,1,7572
83.93902421,0,-2,-55,0,0,0,0,0,0,-124,-36,241,-22,-52,22,6,4,0,170,169,170,169,1,7573
83.949927092,0,-2,-55,0,0,0,0,0,0,-124,-36,241,-22,-52,22,6,4,0,169,170,169,170,1,7574
83.960964203,0,-2,-55,-1,-1,-1,0,0,0,-124,-36,241,-22,-52,22,6,4,0,170,169,169,170,1,7575
83.979959011,0,-2,-55,-1,-1,-1,0,0,0,14,144,10,-17,-52,28,6,4,0,170,169,169,170,1,7576
83.991064072,0,-2,-55,0,0,-1,0,0,0,-70,74,135,-15,-50,22,6,4,0,170,169,169,170,1,7577
84.001923084,0,-2,-55,0,0,-1,0,0,0,-70,74,135,-15,-50,22,6,4,0,170,169,169,170,1,7578
84.012906075,0,-2,-55,1,0,1,0,0,0,-70,74,135,-15,-50,22,6,4,0,168,171,170,169,1,7579
84.030984164,0,-2,-55,1,0,1,0,0,0,-59,-14,2,-20,-47,5,6,4,0,168,171,170,169,1,7580
84.041975022,-1,-2,-55,0,0,0,0,0,0,-115,75,55,-31,-38,239,6,4,0,168,171,170,169,1,7581
84.053035021,-1,-2,-55,-1,-1,-2,0,0,0,-115,75,55,-31,-38,239,6,4,0,169,170,170,169,1,7582
84.063971043,-1,-2,-55,-1,-1,-2,0,0,0,-115,75,55,-31,-38,239,6,4,0,171,168,169,170,1,7583
84.084007979,-1,-2,-55,0,0,0,0,0,0,-147,-26,70,-45,-25,217,6,4,0,170,169,169,170,1,7584
84.093923092,-1,-2,-55,0,0,0,0,0,0,-101,-9,66,-61,-7,200,6,4,0,170,169,169,170,1,7585
84.104959011,-1,-2,-55,0,0,0,0,0,0,-101,-9,66,-61,-7,200,6,4,0,170,169,170,169,1,7586
84.115998984,-1,-3,-55,0,0,0,0,0,0,31,-13,239,-74,11,193,6,4,0,170,169,170,169,1,7587
84.135028124,-1,-3,-55,0,0,-2,0,0,0,31,-13,239,-74,11,193,6,4,0,170,169,169,170,1,7588
84.152091027,-1,-3,-55,0,0,-1,0,0,0,93,-96,1,-86,27,198,6,4,0,170,169,169,170,1,7589
84.157258034,-1,-3,-55,0,0,-1,0,0,0,93,-96,1,-86,27,198,6,4,0,170,169,169,170,1,7590
84.167904139,-1,-3,-55,1,0,1,0,0,0,93,-96,1,-86,27,198,6,4,0,170,169,169,170,1,7591
84.186053992,-1,-3,-55,1,0,1,0,0,0,85,-12,214,-92,38,214,6,4,0,169,170,170,169,1,7592
84.196945191,-1,-3,-55,-1,0,0,0,0,0,156,-158,162,-93,40,236,6,4,0,169,170,170,169,1,7593
84.208377123,-1,-3,-55,-1,0,0,0,0,0,156,-158,162,-93,40,236,6,4,0,170,169,170,169,1,7594
84.219156981,-1,-3,-55,0,0,-1,0,0,0,156,-158,162,-93,40,236,6,4,0,170,169,169,170,1,7595
84.236968041,-1,-4,-55,0,0,-1,0,0,0,-34,-71,17,-83,32,3,6,4,0,170,169,169,170,1,7596
84.248291016,0,-4,-55,-1,0,-2,0,0,0,-57,-24,137,-64,16,20,6,4,0,170,169,169,170,1,7597
84.259102106,0,-4,-55,-2,0,0,0,0,0,-57,-24,137,-64,16,20,6,4,0,170,169,169,170,1,7598
84.270075083,0,-4,-55,-2,0,0,0,0,0,-57,-24,137,-64,16,20,6,4,0,171,168,170,169,1,7599
84.288943053,0,-4,-55,0,0,-2,0,0,0,-172,19,189,-35,-5,27,6,4,0,169,170,169,170,1,7600
84.300096035,0,-4,-55,-1,0,-1,0,0,0,-18,13,26,-4,-30,24,6,4,0,169,170,169,170,1,7601
84.311105013,0,-4,-55,-1,0,-1,0,0,0,-18,13,26,-4,-30,24,6,4,0,170,169,169,170,1,7602
84.321966171,0,-4,-55,1,0,1,0,0,0,-18,13,26,-4,-30,24,6,4,0,169,170,170,169,1,7603
84.341137171,0,-4,-55,0,1,0,0,0,-1,41,-19,13,22,-52,11,6,4,0,170,169,170,169,1,7604
84.352097988,-1,-4,-55,1,0,2,0,0,-1,-112,105,17,37,-67,248,6,4,0,170,169,170,169,1,7605
84.363084078,-1,-4,-55,1,0,2,0,0,-1,-112,105,17,37,-67,248,6,4,0,168,171,170,169,1,7606
84.374085188,-1,-4,-55,0,0,-1,0,0,-1,-112,105,17,37,-67,248,6,4,0,168,171,170,169,1,7607
84.392054081,-1,-4,-55,0,0,-1,0,0,-1,-100,-31,47,38,-71,229,6,4,0,169,170,169,170,1,7608
84.403082133,-1,-4,-55,0,0,-1,0,0,0,55,2,182,26,-65,214,6,4,0,169,170,169,170,1,7609
84.421653986,-1,-4,-55,0,0,-1,0,0,0,55,2,182,26,-65,214,6,4,0,169,170,169,170,1,7610
84.424945116,-1,-4,-55,-2,0,-1,0,0,0,55,2,182,26,-65,214,6,4,0,169,170,169,170,1,7611
84.447099209,-1,-4,-55,-2,0,-1,0,0,0,70,-77,246,5,-50,207,6,4,0,171,168,170,169,1,7612
84.454945088,-1,-4,-55,-2,0,-1,0,0,0,21,-4,82,-18,-29,209,6,4,0,171,168,170,169,1,7613
84.465964079,-1,-4,-55,-2,0,-1,0,0,0,21,-4,82,-18,-29,209,6,4,0,171,168,169,170,1,7614
84.475992203,-1,-3,-55,1,0,2,0,0,0,21,-4,82,-18,-29,209,6,4,0,169,170,169,170,1,7615
84.495063067,-2,-4,-55,1,0,2,0,0,0,46,6,7,-39,-7,218,6,4,0,169,170,169,170,1,7616
84.505911112,-2,-4,-55,0,0,2,0,0,0,75,64,222,-51,8,228,6,4,0,169,170,169,170,1,7617
84.519181013,-2,-3,-55,-1,0,-1,0,0,0,75,64,222,-51,8,228,6,4,0,170,169,170,169,1,7618
84.527932167,-2,-3,-55,-1,0,-1,0,0,0,75,64,222,-51,8,228,6,4,0,170,169,170,169,1,7619
84.546916008,-2,-4,-55,0,0,-1,0,0,0,197,-17,55,-51,18,237,6,4,0,170,169,170,169,1,7620
84.558008194,-1,-4,-55,2,0,-1,0,0,0,145,-26,27,-39,20,241,6,4,0,170,169,170,169,1,7621
84.575213194,-1,-4,-55,2,0,-1,0,0,0,145,-26,27,-39,20,241,6,4,0,168,171,169,170,1,7622
84.579927206,-1,-4,-55,1,0,2,0,0,0,145,-26,27,-39,20,241,6,4,0,168,171,170,169,1,7623
84.598004103,-1,-4,-55,1,0,2,0,0,0,108,-63,105,-16,17,240,6,4,0,168,171,170,169,1,7624
84.609000206,-1,-4,-55,-3,0,-2,0,0,0,-11,-27,54,14,10,238,6,4,0,168,171,170,169,1,7625
84.620068073,-1,-4,-55,0,0,-1,0,0,0,-11,-27,54,14,10,238,6,4,0,171,168,170,169,1,7626
84.635164976,-1,-4,-55,0,0,-1,0,0,0,99,-57,167,49,2,237,6,4,0,169,170,169,170,1,7627
