TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,G_Pitch,G_Roll,G_Yaw,G_Pitch_filtrada,G_Roll_filtrada,G_Yaw_filtrada,Ax,Ay,Az,Ax_filtrada,Ay_filtrada,Az_filtrada,posZ,posZ_filtrada,velZ,motorDelantero,motorTrasero,motorDerecho,motorIzquierdo,EstadoEncendido,MensajesRecibidos
126.864212036,-2,-5,-9,3,17,2,-9,-6,6,21,-66,92,49,29,197,23,21,0,167,172,178,161,1,10535
126.875298977,-2,-5,-9,15,20,5,-8,-6,5,21,-66,92,49,29,197,23,21,0,167,172,178,161,1,10536
126.894297838,-2,-5,-9,6,15,-1,-6,-3,5,81,-37,45,61,21,201,23,21,0,166,173,176,163,1,10537
126.905192852,-2,-4,-8,17,12,0,-4,0,4,-91,174,177,65,8,211,23,21,0,166,173,176,163,1,10538
126.916327953,-2,-4,-8,17,12,0,-4,0,4,-91,174,177,65,8,211,23,21,0,159,180,174,165,1,10539
126.927175045,-2,-4,-8,18,7,2,0,5,4,-91,174,177,65,8,211,23,21,0,159,180,172,167,1,10540
126.945386886,-2,-4,-8,18,7,2,0,5,4,-45,-47,64,60,-6,223,23,21,0,159,180,172,167,1,10541
126.956351041,-1,-3,-8,15,2,2,2,10,3,81,-73,0,45,-20,235,23,21,0,159,180,172,167,1,10542
126.967345953,-1,-3,-8,11,-9,-2,6,14,3,81,-73,0,45,-20,235,23,21,0,160,179,169,170,1,10543
126.979568958,-1,-3,-8,11,-9,-2,6,14,3,81,-73,0,45,-20,235,23,21,0,162,177,161,178,1,10544
126.997268915,-1,-3,-8,6,0,0,9,16,2,181,-185,6,26,-29,242,23,21,0,166,173,167,172,1,10545
127.008281946,-1,-2,-8,2,-6,-2,12,16,2,-130,18,86,7,-32,242,23,21,0,166,173,167,172,1,10546
127.020326852,-1,-2,-8,2,-6,-2,12,16,2,-130,18,86,7,-32,242,23,21,0,168,171,163,176,1,10547
127.030383825,-1,-2,-8,-1,-9,-1,14,13,1,-130,18,86,7,-32,242,23,21,0,170,169,161,178,1,10548
127.049316883,-1,-2,-8,-1,-9,-1,14,13,1,-184,117,-12,-8,-31,234,23,21,0,170,169,161,178,1,10549
127.060248851,-1,-2,-8,-10,-3,-2,15,9,0,-166,246,144,-16,-29,219,23,21,0,170,169,161,178,1,10550
127.071472883,-1,-2,-8,-13,-3,4,14,4,0,-166,246,144,-16,-29,219,23,21,0,176,163,165,174,1,10551
127.08227086,-1,-2,-8,-13,-3,4,14,4,0,-166,246,144,-16,-29,219,23,21,0,178,161,165,174,1,10552
127.100261926,-1,-2,-8,-17,4,0,11,0,0,92,-44,165,-19,-26,198,23,21,0,180,159,170,169,1,10553
127.111203909,-1,-2,-8,-27,4,-3,7,-4,-1,167,-28,-42,-20,-21,172,23,21,0,180,159,170,169,1,10554
