TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,G_Pitch,G_Roll,G_Yaw,G_Pitch_filtrada,G_Roll_filtrada,G_Yaw_filtrada,Ax,Ay,Az,Ax_filtrada,Ay_filtrada,Az_filtrada,posZ,posZ_filtrada,velZ,motorDelantero,motorTrasero,motorDerecho,motorIzquierdo,EstadoEncendido,MensajesRecibidos
5.254472971,-3,3,0,-1,-1,2,0,0,0,65,136,7,-38,-16,21,0,0,0,169,170,172,167,1,450
5.272089004,-3,3,0,-1,-1,2,0,0,0,164,-36,165,-28,8,20,0,0,0,170,169,169,170,1,451
5.283164978,-3,3,0,-2,-5,0,0,0,0,226,228,22,-15,35,12,0,0,0,170,169,169,170,1,452
5.297212839,-3,3,0,3,4,3,0,0,0,226,228,22,-15,35,12,0,0,0,171,168,166,173,1,453
5.305275917,-3,3,0,3,4,3,0,0,0,226,228,22,-15,35,12,0,0,0,167,172,172,167,1,454
5.324213981,-2,3,0,2,0,0,0,0,0,20,83,197,0,58,255,0,0,0,168,171,170,169,1,455
5.335185051,-2,3,0,2,7,3,0,0,0,106,-81,102,19,76,237,0,0,0,168,171,170,169,1,456
5.346122026,-2,3,0,2,7,3,0,0,0,106,-81,102,19,76,237,0,0,0,168,171,174,165,1,457
5.357094049,-2,3,0,-3,-2,-3,0,0,1,106,-81,102,19,76,237,0,0,0,168,171,174,165,1,458
5.375313043,-2,3,0,-3,-2,-3,0,0,1,-130,-154,154,40,88,217,0,0,0,172,167,168,171,1,459
5.387346029,-1,3,0,-4,0,2,0,0,1,78,-76,240,62,92,196,0,0,0,172,167,168,171,1,460
5.397306919,-1,3,0,2,4,4,0,0,1,78,-76,240,62,92,196,0,0,0,172,167,169,170,1,461
5.408112049,-1,3,0,2,4,4,0,0,1,78,-76,240,62,92,196,0,0,0,168,171,172,167,1,462
5.427096843,-1,3,0,-2,-6,-3,0,1,2,-44,-118,255,80,88,180,0,0,0,171,168,166,173,1,463
5.438245058,-1,3,0,1,5,1,0,1,2,-137,56,171,90,73,172,0,0,0,171,168,166,173,1,464
5.453845977,-1,3,0,1,5,1,0,1,2,-137,56,171,90,73,172,0,0,0,169,170,173,166,1,465
5.460093975,-1,3,0,-5,-4,-1,0,1,1,-137,56,171,90,73,172,0,0,0,173,166,167,172,1,466
5.479075908,0,3,0,-5,-4,-1,0,1,1,-63,44,66,89,49,172,0,0,0,173,166,167,172,1,467
5.49010992,0,4,0,-5,-2,-3,0,1,1,46,5,92,77,17,180,0,0,0,173,166,167,172,1,468
5.501337051,0,4,0,-5,-2,-3,0,1,1,46,5,92,77,17,180,0,0,0,173,166,168,171,1,469
5.512140035,0,4,0,0,3,-1,0,1,1,46,5,92,77,17,180,0,0,0,173,166,168,171,1,470
5.530133962,0,4,0,0,3,-1,0,1,1,-5,-27,106,54,-14,194,0,0,0,170,169,171,168,1,471
5.541132927,0,4,0,0,0,1,-1,0,0,-160,92,170,24,-40,212,0,0,0,170,169,171,168,1,472
5.552060842,0,4,0,-1,0,0,-1,0,0,-160,92,170,24,-40,212,0,0,0,169,170,170,169,1,473
5.563146829,0,4,0,-1,0,0,-1,0,0,-160,92,170,24,-40,212,0,0,0,171,168,169,170,1,474
5.58206892,0,4,0,4,1,4,-2,0,0,18,-102,86,-7,-55,230,0,0,0,167,172,171,168,1,475
5.593107938,0,4,0,2,-3,2,-2,0,0,169,-15,42,-34,-57,245,0,0,0,167,172,171,168,1,476
5.604213953,0,4,0,2,-3,2,-2,0,0,169,-15,42,-34,-57,245,0,0,0,168,171,167,172,1,477
5.615149021,0,4,0,-3,0,0,-2,0,0,169,-15,42,-34,-57,245,0,0,0,171,168,169,170,1,478
5.633153915,0,4,0,-3,0,0,-2,0,0,56,76,29,-53,-48,253,0,0,0,171,168,169,170,1,479
5.644121885,0,4,0,1,2,0,-1,0,0,-127,-96,227,-61,-32,255,0,0,0,171,168,169,170,1,480
5.655199051,0,4,0,-3,-2,-4,0,0,0,-127,-96,227,-61,-32,255,0,0,0,168,171,171,168,1,481
5.666126012,0,4,0,-3,-2,-4,0,0,0,-127,-96,227,-61,-32,255,0,0,0,171,168,168,171,1,482
5.685134887,0,4,0,3,2,3,0,0,0,-12,-195,198,-58,-15,249,0,0,0,168,171,171,168,1,483
5.696249008,0,3,0,0,0,2,0,0,1,165,22,238,-44,-1,238,0,0,0,168,171,171,168,1,484
5.707247972,0,3,0,0,0,2,0,0,1,165,22,238,-44,-1,238,0,0,0,169,170,169,170,1,485
5.718271017,0,3,0,0,-1,-2,1,0,1,165,22,238,-44,-1,238,0,0,0,169,170,169,170,1,486
5.736080885,0,3,0,0,-1,-2,1,0,1,6,-67,7,-24,6,225,0,0,0,169,170,169,170,1,487
5.747154951,0,3,0,-5,4,1,1,0,1,-132,-154,100,-3,4,213,0,0,0,169,170,169,170,1,488
5.758163929,0,3,0,-5,4,1,1,0,1,-132,-154,100,-3,4,213,0,0,0,173,166,172,167,1,489
5.769239902,0,3,0,0,1,0,1,0,1,-132,-154,100,-3,4,213,0,0,0,173,166,172,167,1,490
5.787267923,0,3,0,0,1,0,1,0,1,-70,-113,167,15,-6,205,0,0,0,169,170,170,169,1,491
5.798198938,-1,3,0,-1,-5,-2,0,0,0,81,-148,226,28,-24,201,0,0,0,169,170,170,169,1,492
5.809269905,-1,3,0,-1,-5,-2,0,0,0,81,-148,226,28,-24,201,0,0,0,171,168,166,173,1,493
5.82019186,0,3,0,-2,0,1,0,0,0,81,-148,226,28,-24,201,0,0,0,171,168,166,173,1,494
5.839126825,-1,3,0,-2,0,1,0,0,0,-37,-5,161,33,-46,200,0,0,0,171,168,170,169,1,495
5.850234031,-1,3,0,-1,0,1,0,0,0,-151,-46,16,29,-69,200,0,0,0,171,168,170,169,1,496
5.861600875,-1,3,0,-1,0,1,0,0,0,-151,-46,16,29,-69,200,0,0,0,170,169,169,170,1,497
5.872164011,-1,3,0,1,-2,1,0,0,0,-151,-46,16,29,-69,200,0,0,0,170,169,169,170,1,498
