TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,G_Pitch,G_Roll,G_Yaw,G_Pitch_filtrada,G_Roll_filtrada,G_Yaw_filtrada,Ax,Ay,Az,Ax_filtrada,Ay_filtrada,Az_filtrada,posZ,posZ_filtrada,velZ,motorDelantero,motorTrasero,motorDerecho,motorIzquierdo,EstadoEncendido,MensajesRecibidos
75.703815937,0,1,-4,4,0,-4,2,0,-4,22,-91,33,-2,1,223,118,0,0,111,116,120,122,1,6622
75.731986999,0,1,-4,1,-1,0,2,-1,-2,156,-156,61,2,-1,224,118,0,0,112,118,116,124,1,6623
75.741003036,0,1,-4,2,1,1,1,0,0,-11,-114,97,2,-1,225,118,0,0,115,117,119,120,1,6624
75.750072002,0,1,-4,5,0,0,3,0,0,198,-23,165,6,-5,227,118,0,0,110,121,120,119,1,6625
75.759861946,0,1,-4,-1,-3,1,1,-1,0,119,87,117,13,-5,226,118,0,0,115,116,114,125,1,6626
75.787001133,0,1,-4,4,0,-2,1,-2,0,-151,-90,169,8,-6,224,118,0,0,114,115,117,124,1,6627
75.797044038,0,1,-4,3,-3,3,3,-1,0,20,-20,194,11,-5,222,118,0,0,111,123,115,121,1,6628
75.805964946,0,1,-4,4,0,-2,3,-1,0,-153,98,130,8,1,225,118,0,0,111,118,119,123,1,6629
75.815006017,0,1,-4,-2,1,3,0,1,0,-2,100,36,3,1,223,118,0,0,118,115,120,116,1,6630
75.84325695,0,1,-4,3,0,0,0,1,1,101,39,128,12,0,223,118,0,0,115,115,120,120,1,6631
75.851881027,0,1,-4,-2,2,-4,0,1,-2,-157,-100,4,7,-7,227,118,0,0,113,114,121,121,1,6632
75.861185073,0,1,-4,-3,0,-6,-2,1,-5,130,-239,243,16,-14,230,118,0,0,118,108,122,123,1,6633
75.871004104,0,1,-4,-2,0,-3,-3,0,-5,64,-33,55,16,-12,233,118,0,0,117,111,119,123,1,6634
75.898918151,0,1,-4,-5,-2,6,-4,0,1,-43,-11,239,12,-11,232,118,0,0,123,113,114,121,1,6635
75.907959938,0,1,-4,1,0,0,-2,0,3,-182,70,92,6,-6,228,118,0,0,115,115,118,122,1,6636
75.916988134,0,1,-4,-5,0,-1,-2,0,-1,-83,129,55,0,-4,222,118,0,0,117,112,120,121,1,6637
75.925914049,0,1,-4,-1,0,1,-3,0,0,25,16,49,7,-3,227,118,0,0,120,112,117,121,1,6638
75.953952074,0,1,-4,-5,1,0,-3,0,1,193,148,175,10,0,225,118,0,0,119,113,119,119,1,6639
75.962968111,0,1,-4,0,-4,0,-3,-1,0,136,56,185,15,-2,228,118,0,0,118,113,115,124,1,6640
75.972794055,0,1,-4,-1,1,-5,0,-1,-2,-7,-63,45,13,-2,227,118,0,0,112,114,119,124,1,6641
75.981924057,0,1,-4,0,-2,-1,0,0,-3,-48,-176,122,10,-7,224,118,0,0,115,114,119,122,1,6642
76.009952068,0,1,-4,3,2,-3,2,0,-2,-107,-118,21,10,-7,226,118,0,0,110,118,120,123,1,6643
76.018814086,0,1,-4,1,1,1,2,2,0,-43,26,62,6,-4,225,118,0,0,113,120,121,116,1,6644
76.028066158,0,1,-4,1,-2,0,1,0,0,39,24,214,7,-4,227,118,0,0,114,116,116,124,1,6645
76.037883043,0,1,-4,0,-1,1,0,-2,0,132,104,255,10,-6,228,118,0,0,116,116,114,124,1,6646
76.06497693,0,1,-4,0,-1,-1,0,-1,0,6,-102,235,12,-6,230,118,0,0,116,114,117,123,1,6647
76.074794054,0,1,-4,4,1,2,2,0,0,-94,-106,10,15,-9,230,118,0,0,112,121,118,119,1,6648
76.085034132,0,1,-4,3,-3,0,4,0,0,123,59,181,17,-6,230,118,0,0,110,120,117,123,1,6649
76.093008041,0,2,-4,2,1,2,2,0,1,-149,79,191,10,-6,230,118,0,0,115,118,116,121,1,6650
76.120975017,0,2,-4,3,-2,0,3,0,1,97,31,164,11,-10,229,118,0,0,112,118,118,122,1,6651
76.13007307,0,2,-4,2,3,0,3,0,0,-255,29,185,6,-10,229,118,0,0,112,118,119,120,1,6652
76.138935089,0,2,-4,3,1,-3,2,2,-2,54,-136,195,5,-9,231,118,0,0,112,116,123,119,1,6653
76.148859977,0,2,-4,4,-3,3,3,0,0,163,-148,55,11,-14,231,118,0,0,112,121,113,124,1,6654
